日付,曜日,特定日,627番台,,,,,,,628番台,,,,,,,630番台,,,,,,,631番台,,,,,,,632番台,,,,,,,633番台,,,,,,,635番台,,,,,,,636番台,,,,,,,637番台,,,,,,,638番台,,,,,,,650番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-29,金,いいえ,"+1,625","4,108",20,13,1/124,1/5.73,3.77,"+1,500","7,435",28,33,1/122,1/5.90,5.17,+125,"1,150",5,3,1/144,1/6.19,3.35,"+1,000","3,397",17,8,1/136,1/5.98,2.93,-291,881,3,1,1/220,1/6.48,2.92,+625,"2,362",9,10,1/124,1/5.60,4.29,-416,843,2,1,1/281,1/6.03,2.93,+250,"1,040",5,3,1/130,1/6.24,3.48,+0,"5,192",17,22,1/133,1/6.16,4.76,-166,617,2,1,1/206,1/6.20,3.18,"-1,708","3,388",8,7,1/226,1/6.48,2.39
2026-05-28,木,はい,+209,"3,532",12,13,1/141,1/5.79,4.06,-625,"1,381",4,2,1/230,1/6.61,2.74,-375,"2,263",7,7,1/162,1/6.21,3.45,+125,"2,286",9,5,1/163,1/5.78,2.89,-500,"1,228",3,4,1/175,1/6.69,3.51,"+2,084","4,728",24,18,1/113,1/6.03,4.55,"+1,167","3,878",19,10,1/134,1/5.93,3.10,-791,"1,090",2,2,1/273,1/6.85,2.97,"+1,500","7,151",28,31,1/121,1/5.98,5.10,"+2,709","6,098",27,31,1/105,1/5.84,5.34,+375,"8,756",29,38,1/131,1/6.05,5.15
2026-05-27,水,いいえ,"+1,042","3,977",20,11,1/128,1/6.35,3.32,-583,"1,777",3,8,1/162,1/5.94,4.13,"+2,000","6,022",23,37,1/100,1/6.11,5.45,-416,336,0,0,-,1/6.18,3.10,-41,985,3,5,1/123,1/6.48,4.09,+84,"2,662",10,8,1/148,1/6.03,3.44,-125,"1,141",4,3,1/163,1/6.22,3.32,+250,"4,101",16,14,1/137,1/6.25,3.91,-250,233,0,0,-,1/5.48,3.22,+250,"6,084",17,32,1/124,1/5.87,5.30,"-1,291","1,985",4,2,1/331,1/6.26,2.22
2026-05-26,火,いいえ,"-1,250","3,525",9,10,1/186,1/6.34,3.09,+375,985,4,5,1/109,1/5.71,4.13,-208,"1,552",4,4,1/194,1/5.33,3.18,-625,761,0,2,1/381,1/5.48,3.27,+0,"2,937",12,6,1/163,1/6.13,2.64,-291,402,0,1,1/402,1/5.09,3.36,+167,"1,466",5,4,1/163,1/5.25,3.31,-41,"1,687",7,3,1/169,1/6.20,2.83,"+1,375","4,182",21,13,1/123,1/6.18,3.73,-541,716,1,1,1/358,1/6.20,3.03,-250,927,2,4,1/155,1/6.14,3.81
2026-05-25,月,いいえ,+375,"4,179",19,7,1/161,1/6.09,2.12,+125,"4,139",15,14,1/143,1/6.05,3.84,-458,737,1,2,1/246,1/6.12,3.34,-375,"1,164",3,2,1/233,1/5.73,2.93,+84,"1,594",7,2,1/177,1/5.90,2.63,-875,"1,684",2,5,1/241,1/5.60,3.27,+0,"3,393",11,14,1/136,1/6.07,4.40,"+1,042","3,017",15,9,1/126,1/5.99,3.56,-291,"3,193",11,10,1/152,1/6.29,3.52,-875,"2,264",6,4,1/226,1/6.12,2.53,+834,"2,363",12,8,1/118,1/6.26,3.85
2026-05-24,日,いいえ,"-1,833","3,708",7,13,1/185,1/6.53,3.71,"-1,083","1,487",1,6,1/212,1/6.42,3.77,-250,"3,382",13,6,1/178,1/6.07,2.30,-83,"2,187",7,6,1/168,1/5.62,3.22,-208,458,1,0,1/458,1/5.23,3.00,+209,"4,378",16,16,1/137,1/6.12,4.16,"-1,333","4,183",11,11,1/190,1/6.17,2.81,+625,"3,023",12,12,1/126,1/5.90,4.28,-500,"3,156",11,9,1/158,1/6.56,3.25,-708,829,1,0,1/829,1/5.82,2.60,-916,"1,939",3,5,1/242,1/5.63,3.03
2026-05-23,土,はい,-291,"1,172",4,2,1/195,1/6.35,2.96,-625,"2,813",7,11,1/156,1/6.12,4.05,"-1,541","3,250",7,11,1/181,1/6.73,3.60,-541,"2,037",6,4,1/204,1/5.99,2.74,-375,"2,220",7,6,1/171,1/6.12,3.19,-500,"1,078",3,1,1/270,1/6.26,2.72,+834,"3,572",16,10,1/137,1/5.85,3.30,-833,"3,566",8,14,1/162,1/5.90,4.15,-625,846,1,1,1/423,1/5.79,2.89,-500,"2,287",8,3,1/208,1/6.13,2.32,-458,"3,259",11,8,1/172,1/6.13,2.85
2026-05-22,金,いいえ,-500,"2,385",8,6,1/170,1/6.48,3.05,"-1,125","1,915",4,3,1/274,1/6.31,2.51,-500,388,0,1,1/388,1/8.03,3.37,"+1,042","3,416",18,6,1/142,1/5.97,2.41,-208,766,2,2,1/192,1/5.92,3.35,-83,"2,551",9,9,1/142,1/6.30,3.83,-41,503,2,0,1/252,1/5.52,2.98,-291,257,0,0,-,1/5.71,3.19,"+1,125","3,063",14,14,1/109,1/6.12,4.72,+84,"1,138",5,1,1/190,1/5.66,2.73,-500,973,2,1,1/324,1/5.71,2.79
2026-05-21,木,いいえ,-375,"2,066",7,6,1/159,1/6.58,3.36,-250,258,0,1,1/258,1/6.72,3.53,-500,544,0,1,1/544,1/5.57,3.19,-125,291,1,0,1/291,1/6.47,3.19,+459,"1,314",7,3,1/131,1/6.07,3.24,-208,831,2,3,1/166,1/6.02,3.60,+875,"1,871",12,4,1/117,1/6.80,3.13,-291,639,1,2,1/213,1/5.79,3.45,-125,158,0,0,-,1/4.59,3.31,-166,434,0,2,1/217,1/4.68,3.66,"+1,000","3,180",15,10,1/127,1/5.91,3.68
2026-05-20,水,はい,-750,"1,653",3,5,1/207,1/6.01,3.35,-458,799,2,1,1/266,1/6.62,2.98,+917,"4,233",17,17,1/125,1/5.93,4.53,-125,"2,465",9,8,1/145,1/6.41,3.62,-958,"5,126",13,22,1/146,1/6.19,4.71,-208,770,3,1,1/193,1/6.93,3.05,"-1,083",876,0,1,1/876,1/6.74,2.82,+0,"5,422",19,18,1/147,1/6.02,3.80,-583,643,1,1,1/322,1/7.38,3.11,-583,"1,530",4,4,1/191,1/6.45,3.20,+292,"6,116",23,19,1/146,1/6.00,3.54
2026-05-19,火,いいえ,-333,265,0,0,-,1/6.26,3.18,-291,"1,488",4,5,1/165,1/5.99,3.57,+375,"2,919",14,8,1/133,1/6.74,3.32,"+2,417","3,672",22,15,1/99,1/6.22,4.68,+125,984,5,0,1/197,1/5.81,2.59,-250,847,2,3,1/169,1/6.15,3.58,+459,870,5,3,1/109,1/6.26,3.68,-208,489,1,0,1/489,1/5.02,2.96,+792,"2,202",11,7,1/122,1/6.03,3.68,"+1,250","3,154",16,8,1/131,1/5.69,3.14,-458,547,0,3,1/182,1/6.85,3.85
2026-05-18,月,いいえ,-625,494,0,0,-,1/6.31,2.92,+792,"3,049",14,12,1/117,1/6.37,4.32,-500,877,1,3,1/219,1/5.94,3.51,-416,351,0,1,1/351,1/7.45,3.42,"+1,500","4,817",22,19,1/117,1/6.10,4.62,-41,980,3,3,1/163,1/5.62,3.47,-916,"2,537",6,7,1/195,1/6.11,3.12,-250,"1,617",6,3,1/180,1/6.33,2.87,-208,592,2,0,1/296,1/6.02,2.89,+542,"5,040",21,18,1/129,1/6.42,4.22,-916,"2,372",6,5,1/216,1/6.13,2.70
2026-05-17,日,いいえ,+709,"3,801",17,8,1/152,1/5.76,2.55,+250,"2,794",12,6,1/155,1/6.01,2.77,+125,"2,020",8,5,1/155,1/5.89,3.13,-958,"1,395",2,3,1/279,1/6.26,2.96,-500,"1,301",2,4,1/217,1/5.46,3.38,-541,"1,081",3,2,1/216,1/6.93,3.02,"-1,291","2,020",4,3,1/289,1/6.39,2.42,"-1,333","1,894",2,4,1/316,1/5.88,2.74,-208,"2,187",9,1,1/219,1/5.90,2.00,-166,"1,226",5,3,1/153,1/7.06,3.26,"-1,541","2,255",4,2,1/376,1/6.08,2.04
2026-05-16,土,はい,"+1,542","4,158",21,11,1/130,1/5.82,3.17,"-1,041","2,965",8,8,1/185,1/6.45,3.04,-583,983,2,2,1/246,1/6.50,3.09,"-1,000","3,755",14,6,1/188,1/6.83,2.08,"-1,416","1,609",1,4,1/322,1/6.37,3.00,-291,747,2,1,1/249,1/5.97,3.03,"+1,500","6,746",30,22,1/130,1/6.06,3.96,-416,805,2,2,1/201,1/6.96,3.30,-166,"1,523",5,3,1/190,1/5.69,2.93,-458,"3,657",13,8,1/174,1/6.15,2.56,-375,"2,447",9,3,1/204,1/6.00,2.23
2026-05-15,金,いいえ,+584,"3,874",19,6,1/155,1/6.17,2.12,-583,"2,050",4,8,1/171,1/5.79,3.88,+167,"1,989",9,4,1/153,1/6.24,2.89,"+3,000","6,495",29,38,1/97,1/6.14,5.47,-541,"1,172",2,4,1/195,1/6.10,3.53,+334,"1,780",8,4,1/148,1/5.84,3.08,-500,"3,155",9,10,1/166,1/5.93,3.48,-958,"5,780",14,24,1/152,1/5.90,4.65,-83,921,3,1,1/230,1/5.27,2.88,-708,"1,759",4,5,1/195,1/6.24,3.27,+917,"4,611",20,15,1/132,1/6.04,3.82
2026-05-14,木,いいえ,"-1,166","3,111",8,6,1/222,1/6.04,2.38,-625,"1,455",3,3,1/243,1/5.78,2.93,+250,"2,131",9,6,1/142,1/6.09,3.36,-500,953,1,3,1/238,1/5.55,3.42,+167,"1,743",8,3,1/158,1/6.13,2.81,-166,799,3,0,1/266,1/5.81,2.70,+167,"2,645",11,5,1/165,1/5.86,2.61,-833,"3,580",10,11,1/170,1/6.16,3.37,+959,"2,594",12,10,1/118,1/5.86,4.17,-833,"1,276",2,4,1/213,1/6.76,3.41,"-1,916","5,616",15,11,1/216,1/6.02,1.94
2026-05-13,水,いいえ,+792,"2,383",11,8,1/125,1/5.81,3.79,"+1,292","2,833",17,4,1/135,1/5.98,2.38,-458,430,0,1,1/430,1/6.43,3.32,-250,"1,344",4,5,1/149,1/6.46,3.74,+292,"1,292",4,6,1/129,1/5.22,4.10,+959,"2,805",12,12,1/117,1/5.78,4.47,-375,292,0,0,-,1/6.40,3.15,+209,"2,790",10,12,1/127,1/6.21,4.42,+500,"2,397",10,7,1/141,1/5.68,3.42,"+1,042","3,675",17,12,1/127,1/5.99,3.82,"+1,459","2,902",15,12,1/107,1/6.00,4.48
