日付,曜日,特定日,627番台,,,,,,,628番台,,,,,,,630番台,,,,,,,631番台,,,,,,,632番台,,,,,,,633番台,,,,,,,635番台,,,,,,,636番台,,,,,,,637番台,,,,,,,638番台,,,,,,,650番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-03-28,土,はい,"+1,500","6,771",32,19,1/133,1/6.19,3.24,+209,"3,135",13,7,1/157,1/5.98,2.76,-83,"3,288",14,9,1/143,1/6.84,3.23,-625,"1,021",2,1,1/340,1/6.00,2.74,-916,"1,307",2,1,1/436,1/5.83,2.46,+542,"3,690",16,9,1/148,1/5.92,2.89,-958,"2,483",6,7,1/191,1/6.32,3.17,"+2,000","5,760",29,15,1/131,1/5.89,3.02,-541,"3,775",11,13,1/157,1/6.05,3.78,+542,"5,002",23,9,1/156,1/6.12,2.08,-458,"4,252",14,13,1/157,1/6.15,3.40
2026-03-27,金,いいえ,-625,513,0,0,-,1/6.08,2.90,-750,"1,644",4,4,1/206,1/6.51,3.07,-291,452,1,0,1/452,1/6.01,3.00,-583,"1,855",4,6,1/186,1/5.87,3.48,-250,273,0,1,1/273,1/6.33,3.51,+917,"2,839",15,6,1/135,1/6.06,2.83,-125,149,0,0,-,1/4.72,3.32,+167,"1,099",6,1,1/157,1/6.56,2.80,+584,"1,895",9,5,1/135,1/5.76,3.31,"+2,125","2,700",19,4,1/117,1/5.71,2.55,-208,462,1,1,1/231,1/6.02,3.33
2026-03-26,木,いいえ,-875,856,0,3,1/285,1/6.82,3.49,-291,"1,755",5,5,1/176,1/5.82,3.31,-166,861,3,1,1/215,1/5.93,2.95,+459,"1,273",7,2,1/141,1/5.91,2.96,+209,"2,239",10,5,1/149,1/6.23,2.97,"+2,250","3,004",20,7,1/111,1/5.81,3.15,-291,"3,150",10,10,1/158,1/6.00,3.52,-41,299,1,0,1/299,1/5.15,3.18,-166,"1,522",5,4,1/169,1/5.96,3.25,+792,"3,919",17,13,1/131,1/6.05,3.85,-833,"1,264",1,5,1/211,1/6.18,3.71
2026-03-25,水,いいえ,-791,"3,286",10,8,1/183,1/6.20,2.79,-458,389,0,0,-,1/5.90,3.04,-125,"1,166",4,3,1/167,1/6.10,3.29,-750,"1,657",3,7,1/166,1/6.57,3.97,+750,"3,644",15,12,1/135,1/5.78,3.78,-166,745,2,2,1/186,1/5.82,3.37,-625,"1,067",2,2,1/267,1/6.18,3.00,-291,"1,334",5,2,1/191,1/6.53,2.82,-166,306,1,0,1/306,1/6.86,3.17,+125,"2,876",11,10,1/137,1/6.27,3.85,-291,642,2,0,1/321,1/6.18,2.83
2026-03-24,火,いいえ,-375,293,0,0,-,1/6.38,3.15,-41,"1,414",4,8,1/118,1/6.43,4.49,"+2,417","3,648",19,18,1/99,1/5.69,5.06,"+1,917","2,891",17,11,1/103,1/5.94,4.31,-125,458,1,1,1/229,1/5.34,3.33,+459,"1,150",7,1,1/144,1/6.10,2.79,-83,655,2,2,1/164,1/5.96,3.48,-208,355,1,0,1/355,1/6.47,3.12,"+1,209","2,828",14,8,1/129,1/5.56,3.41,+167,"1,914",9,3,1/160,1/6.24,2.67,-875,"1,822",3,4,1/260,1/5.61,2.85
2026-03-23,月,いいえ,+209,"1,820",8,4,1/152,1/6.03,3.04,+834,"1,092",7,1,1/137,1/5.03,2.85,-666,670,0,1,1/670,1/5.73,3.04,"-1,375","2,556",6,7,1/197,1/7.03,3.10,-458,377,0,0,-,1/6.07,3.05,-166,788,2,3,1/158,1/6.08,3.65,-291,730,1,3,1/183,1/5.74,3.68,+334,888,4,2,1/148,1/5.14,3.28,"-1,125","5,681",17,17,1/167,1/6.19,3.22,-583,543,0,1,1/543,1/6.24,3.19,"+2,667","3,826",24,10,1/113,1/5.73,3.33
2026-03-22,日,いいえ,+792,"2,977",15,7,1/135,1/6.15,2.99,-500,969,2,1,1/323,1/5.73,2.79,-375,"1,386",4,2,1/231,1/5.73,2.73,-291,508,1,1,1/254,1/6.28,3.27,+167,"1,907",9,4,1/147,1/6.52,2.98,+375,"3,404",15,9,1/142,1/6.27,3.14,-375,"2,497",10,2,1/208,1/6.18,2.02,-83,"1,659",5,5,1/166,1/5.58,3.42,-166,312,1,0,1/312,1/6.71,3.17,-291,"2,296",7,6,1/177,1/5.77,3.10,-708,"1,613",3,4,1/230,1/5.77,3.07
2026-03-21,土,はい,-291,"1,772",6,3,1/197,1/5.92,2.71,+417,"5,377",22,15,1/145,1/6.11,3.14,-791,727,0,2,1/364,1/6.78,3.31,-458,699,1,1,1/350,1/5.80,3.05,+84,"1,524",7,1,1/191,1/5.86,2.43,-291,406,0,2,1/203,1/5.96,3.69,-250,236,0,0,-,1/5.43,3.21,-291,202,0,0,-,1/7.32,3.26,-375,"2,007",6,7,1/154,1/6.37,3.70,"-1,750","3,562",8,5,1/274,1/5.97,1.91,-250,"1,581",5,4,1/176,1/6.00,3.18
2026-03-20,金,はい,+84,"2,030",11,1,1/169,1/6.90,2.15,-541,"2,716",8,7,1/181,1/5.96,3.00,-83,"5,312",18,17,1/152,1/5.91,3.61,"-1,041","2,050",3,6,1/228,1/5.82,3.22,"-1,208","1,159",1,0,1/1159,1/6.28,2.31,"+1,042","4,907",20,18,1/129,1/5.87,4.30,-541,"1,302",4,0,1/326,1/5.96,2.28,+250,"1,539",7,3,1/154,1/5.88,2.99,-666,"2,035",5,7,1/170,1/6.38,3.63,+417,"2,586",11,7,1/144,1/5.88,3.25,+84,"2,806",12,5,1/165,1/6.10,2.50
2026-03-19,木,いいえ,+959,"3,623",17,11,1/129,1/6.05,3.58,-208,889,2,3,1/178,1/5.69,3.53,-333,246,0,0,-,1/6.78,3.20,"+1,042","4,828",19,17,1/134,1/5.64,4.10,-375,530,1,0,1/530,1/5.93,2.92,-83,749,3,2,1/150,1/6.93,3.41,+709,"3,236",15,8,1/141,1/5.95,3.02,+459,983,6,2,1/123,1/6.33,3.25,"-1,500","3,556",9,9,1/198,1/6.51,2.78,-375,898,2,1,1/299,1/5.53,2.87,+750,"4,901",22,13,1/140,1/6.16,3.04
2026-03-18,水,いいえ,-83,684,3,1,1/171,1/6.87,3.15,-166,"1,719",6,5,1/156,1/6.27,3.39,-41,644,2,2,1/161,1/5.77,3.49,+584,"2,090",9,6,1/139,1/5.52,3.41,-291,542,1,1,1/271,1/5.91,3.23,-666,566,0,1,1/566,1/6.74,3.16,+417,"4,568",17,20,1/123,1/6.33,4.82,-166,426,1,0,1/426,1/5.16,3.03,-416,"1,295",3,4,1/185,1/6.02,3.43,"+1,625","3,516",19,11,1/117,1/6.01,3.77,"-1,208","1,710",3,1,1/428,1/6.03,2.17
2026-03-17,火,いいえ,+792,"3,862",18,8,1/149,1/5.87,2.53,"+1,584","6,404",31,16,1/136,1/6.07,2.77,-250,694,3,0,1/231,1/7.40,2.81,+459,"4,613",20,12,1/144,1/6.21,2.97,-458,561,1,0,1/561,1/6.31,2.88,+500,"3,519",16,8,1/147,1/6.11,2.77,-791,"2,012",5,5,1/201,1/6.28,3.03,+250,"1,249",6,3,1/139,1/6.20,3.28,-666,"3,261",8,14,1/148,1/6.17,4.41,+125,"2,601",11,7,1/145,1/6.38,3.24,-666,"2,030",6,4,1/203,1/6.30,2.74
2026-03-16,月,いいえ,-833,"1,185",3,0,1/395,1/6.72,2.34,-833,"1,067",2,1,1/356,1/6.73,2.69,-83,"4,261",18,7,1/170,1/6.21,2.05,+292,957,4,4,1/120,1/5.79,3.86,-83,"2,595",11,4,1/173,1/6.24,2.39,-166,"1,993",6,4,1/199,1/5.34,2.78,-291,769,2,1,1/256,1/5.83,3.01,-416,"2,643",9,7,1/165,1/6.34,3.12,-541,"2,402",8,3,1/218,1/5.94,2.23,"+1,167","3,935",20,9,1/136,1/6.03,2.79,-125,"2,333",7,9,1/146,1/5.92,3.98
2026-03-15,日,いいえ,-166,"3,736",14,9,1/162,1/6.10,2.78,+792,"2,394",11,7,1/133,1/5.62,3.46,-500,"1,054",2,3,1/211,1/6.13,3.34,"+1,000","4,167",19,16,1/119,1/6.39,4.44,-250,"2,187",8,5,1/168,1/6.27,2.95,-625,"1,671",4,3,1/239,1/5.79,2.74,-833,"4,323",12,15,1/160,1/6.13,3.82,+250,"3,455",14,8,1/157,1/5.88,2.77,+959,"6,087",25,20,1/135,1/5.98,3.90,-500,"2,400",8,5,1/185,1/6.24,2.74,-708,"4,278",14,12,1/165,1/6.29,3.09
2026-03-14,土,はい,"+1,542","4,668",23,13,1/130,1/5.92,3.31,-458,"1,226",4,0,1/307,1/5.99,2.34,-250,"1,481",6,1,1/212,1/6.27,2.43,-416,"1,695",5,4,1/188,1/6.08,3.06,+459,"2,079",10,4,1/149,1/5.91,2.84,+750,"5,129",21,16,1/139,1/5.94,3.62,-83,"1,232",5,0,1/246,1/5.55,2.36,-958,"1,720",4,2,1/287,1/6.26,2.42,-708,"1,544",3,3,1/257,1/5.73,2.84,-750,"2,652",7,8,1/177,1/6.18,3.34,-583,"2,914",10,4,1/208,1/5.99,2.14
2026-03-13,金,いいえ,-791,"1,319",2,4,1/220,1/6.36,3.36,-916,"2,911",7,9,1/182,1/6.09,3.36,+417,"3,348",15,8,1/146,1/6.17,2.91,-541,976,2,1,1/325,1/5.87,2.78,-125,"1,013",4,0,1/253,1/5.66,2.53,-208,"1,308",4,2,1/218,1/5.50,2.81,+84,"2,428",9,7,1/152,1/5.91,3.35,+250,"1,131",6,1,1/162,1/6.01,2.77,-875,"2,675",9,2,1/243,1/6.23,1.91,-291,"2,464",9,4,1/190,1/5.98,2.44,-291,"1,665",5,5,1/167,1/6.10,3.41
2026-03-12,木,いいえ,+292,"1,142",6,1,1/163,1/5.80,2.76,-875,"3,805",11,9,1/190,1/5.94,2.62,-375,337,0,1,1/337,1/7.05,3.44,-250,"1,920",6,7,1/148,1/6.33,3.80,"-1,041","2,828",5,13,1/157,1/6.27,4.46,-458,"4,736",15,12,1/175,1/5.74,2.70,-250,365,0,1,1/365,1/5.05,3.40,+959,"4,529",17,18,1/129,1/5.65,4.51,+209,229,2,0,1/115,1/6.44,3.31,+959,"5,281",25,11,1/147,1/6.06,2.33,-125,"2,512",9,7,1/157,1/6.10,3.26
2026-03-11,水,いいえ,"+1,000","3,629",19,5,1/151,1/5.91,2.08,-458,572,0,1,1/572,1/5.11,3.16,-333,434,0,1,1/434,1/5.18,3.32,-208,"2,759",10,9,1/145,1/6.51,3.64,-375,"1,009",2,3,1/202,1/5.82,3.39,-375,594,1,1,1/297,1/6.08,3.17,-375,"1,297",4,2,1/216,1/6.07,2.83,-125,"2,579",9,7,1/161,1/5.96,3.18,-208,320,1,0,1/320,1/7.31,3.16,-458,457,0,0,-,1/5.22,2.96,"-1,041","2,630",7,6,1/202,1/6.42,2.76
2026-03-10,火,はい,+500,"7,043",28,20,1/147,1/6.03,3.12,-708,"2,907",6,13,1/153,1/5.98,4.43,"+1,500","5,133",22,20,1/122,1/5.85,4.59,-625,"1,461",4,4,1/183,1/6.95,3.28,-416,"2,284",6,7,1/176,1/5.74,3.39,-416,"1,007",2,4,1/168,1/6.47,3.72,-541,"1,984",6,4,1/198,1/6.14,2.79,"+1,709","4,595",20,18,1/121,1/5.60,4.54,"+1,292","7,941",30,35,1/122,1/6.07,5.18,+750,"4,433",16,22,1/117,1/6.09,5.10,-83,"3,014",11,8,1/159,1/6.02,3.10
2026-03-09,月,いいえ,+125,"2,023",6,8,1/145,1/5.46,3.98,+334,"3,103",12,9,1/148,1/5.77,3.35,+0,"2,093",7,8,1/140,1/6.05,3.95,+250,942,5,2,1/135,1/6.38,3.26,"+1,459","3,023",15,11,1/116,1/5.66,4.13,+0,509,2,2,1/127,1/6.88,3.65,+875,"2,450",11,11,1/111,1/6.04,4.51,-416,691,1,2,1/230,1/6.21,3.39,-416,373,0,0,-,1/5.64,3.05,"-1,250","1,731",3,3,1/289,1/6.63,2.65,+292,"2,968",12,6,1/165,1/5.65,2.61
2026-03-08,日,いいえ,-666,"4,151",13,13,1/160,1/6.25,3.47,+167,"6,559",26,18,1/149,1/6.18,2.98,+584,"2,844",12,9,1/135,1/5.84,3.63,+125,"6,738",21,30,1/132,1/5.99,5.06,"+1,625","3,675",20,12,1/115,1/6.21,3.93,"+1,584","6,399",27,26,1/121,1/6.04,4.87,"+1,584","4,801",22,17,1/123,1/5.86,4.22,"+2,250","6,274",32,15,1/133,1/5.82,2.67,"+1,125","4,353",23,7,1/145,1/6.14,2.10,-541,"1,838",5,5,1/184,1/6.20,3.22,+0,"1,523",7,0,1/218,1/5.83,2.19
2026-03-07,土,はい,"+3,792","7,879",39,34,1/108,1/5.93,5.23,-375,745,2,2,1/186,1/7.32,3.37,-750,"1,110",2,2,1/278,1/6.51,2.95,"-1,333","3,732",10,9,1/196,1/6.31,2.65,-375,791,1,3,1/198,1/5.82,3.61,"-1,166","2,880",7,8,1/192,1/6.41,3.09,"-1,041","3,070",6,13,1/162,1/6.19,4.29,-166,"3,243",11,10,1/154,1/6.02,3.46,-416,711,1,2,1/237,1/6.05,3.37,-500,780,2,0,1/390,1/6.42,2.69,"-2,333","3,170",5,5,1/317,1/6.41,2.06
2026-03-06,金,いいえ,-750,"2,599",7,8,1/173,1/6.31,3.40,+0,"1,271",5,2,1/182,1/5.76,2.89,-375,541,1,1,1/271,1/6.69,3.23,"+1,875","3,769",23,6,1/130,1/5.98,2.29,-250,180,0,0,-,1/6.99,3.28,-333,"2,890",10,9,1/152,1/6.43,3.50,-583,761,1,1,1/381,1/6.11,2.98,-291,215,0,0,-,1/6.78,3.24,+459,"1,943",8,7,1/130,1/5.78,3.85,+209,840,5,0,1/168,1/6.25,2.73,-250,"2,098",7,5,1/175,1/5.96,3.01
2026-03-05,木,いいえ,-541,"3,040",11,7,1/169,1/6.56,2.78,-166,"2,338",8,7,1/156,1/6.11,3.41,+542,"5,593",24,17,1/136,1/6.38,3.54,-625,"5,461",18,17,1/156,1/6.22,3.46,+250,"4,341",16,16,1/136,1/6.13,4.20,-416,694,1,1,1/347,1/5.59,3.06,-416,"3,409",9,13,1/155,1/5.81,4.07,"+2,834","5,947",30,24,1/110,1/5.94,4.89,+959,"3,960",18,11,1/137,1/5.88,3.27,-791,843,1,0,1/843,1/6.17,2.59,-291,"4,159",16,7,1/181,1/6.01,2.07
2026-03-04,水,いいえ,-291,"1,353",5,3,1/169,1/6.83,3.12,+834,"1,961",11,5,1/123,1/6.17,3.31,-833,"1,454",3,1,1/364,1/5.82,2.37,-375,267,0,0,-,1/7.09,3.18,-625,680,0,1,1/680,1/5.43,3.03,"+2,334","1,872",16,4,1/94,1/5.64,3.29,-250,791,2,2,1/198,1/5.99,3.32,-166,505,1,2,1/168,1/6.04,3.61,+125,"3,048",13,6,1/160,1/6.12,2.57,-291,"2,459",8,7,1/164,1/6.06,3.28,+250,"1,921",8,5,1/148,1/5.87,3.24
2026-03-03,火,いいえ,+500,"2,588",12,7,1/136,1/6.17,3.29,+375,"3,495",14,10,1/146,1/5.91,3.31,+667,"1,984",9,8,1/117,1/5.99,4.13,+0,"1,105",4,3,1/158,1/5.89,3.36,-208,177,0,0,-,1/5.89,3.29,-125,"3,456",10,14,1/144,1/5.81,4.31,-166,371,1,0,1/371,1/5.69,3.10,+750,"2,261",9,11,1/113,1/5.75,4.60,-458,"3,440",9,12,1/164,1/5.70,3.77,-250,371,1,0,1/371,1/6.78,3.10,-208,"2,054",6,7,1/158,1/5.85,3.65
2026-03-02,月,いいえ,+500,"2,615",10,13,1/114,1/6.25,4.75,-750,"1,831",5,5,1/183,1/6.83,3.22,+709,"1,875",9,7,1/117,1/5.97,3.96,-375,"1,076",2,3,1/215,1/5.53,3.32,-416,"3,052",9,10,1/161,1/5.98,3.59,-208,303,1,0,1/303,1/7.89,3.18,+917,"2,809",15,6,1/134,1/6.13,2.86,-875,"1,429",2,4,1/238,1/6.16,3.24,-41,"2,696",11,6,1/159,1/6.28,2.84,-666,"1,349",2,6,1/169,1/6.47,3.96,"+1,125","3,896",18,13,1/126,1/5.99,3.91
2026-03-01,日,いいえ,-208,519,1,1,1/260,1/5.48,3.26,-916,"3,875",10,18,1/138,1/6.68,4.78,+84,"1,423",6,2,1/178,1/5.74,2.77,-625,"3,284",10,10,1/164,1/6.24,3.38,"-1,375","1,238",1,1,1/619,1/7.01,2.50,"-1,583","4,028",8,13,1/192,1/6.02,3.42,-125,948,3,3,1/158,1/6.16,3.51,-708,"3,965",11,15,1/153,1/6.20,4.13,+0,"1,933",7,6,1/149,1/6.06,3.51,+292,"3,263",13,10,1/142,1/6.05,3.52,+459,"3,710",17,7,1/155,1/6.07,2.39
2026-02-28,土,はい,-458,"4,155",15,11,1/160,1/6.37,2.97,"+2,125","7,077",30,32,1/114,1/6.03,5.22,"+1,500","3,654",20,7,1/135,1/5.81,2.52,-333,"1,672",5,5,1/167,1/6.20,3.40,-541,"7,187",23,25,1/150,1/6.08,4.05,-166,"1,457",5,2,1/208,1/5.63,2.70,+0,"4,960",17,18,1/142,1/6.07,4.16,+250,"7,013",26,23,1/143,1/6.07,3.83,-250,"6,249",19,24,1/145,1/5.90,4.46,"+3,375","6,679",35,24,1/113,1/5.84,4.57,"-1,458","3,244",8,5,1/250,1/6.09,2.08
2026-02-27,金,いいえ,-291,565,1,1,1/283,1/5.71,3.20,-666,"1,814",5,4,1/202,1/6.36,2.93,-41,"3,164",12,10,1/144,1/6.36,3.58,-458,314,0,0,-,1/7.44,3.12,-458,714,1,1,1/357,1/5.70,3.03,+417,"1,965",10,4,1/140,1/6.33,2.95,-375,945,2,2,1/236,1/5.72,3.14,+459,"1,902",9,5,1/136,1/6.03,3.30,-83,"1,981",7,5,1/165,1/5.90,3.14,"+2,500","4,642",27,12,1/119,1/5.90,3.19,-791,"2,790",8,7,1/186,1/6.23,2.93
2026-02-26,木,いいえ,+959,"2,949",13,13,1/113,1/6.06,4.59,+667,"3,113",13,10,1/135,1/5.78,3.68,-416,353,0,0,-,1/5.90,3.08,-666,"1,448",2,5,1/207,1/5.75,3.54,+209,"1,444",8,0,1/181,1/6.25,2.28,+0,"1,578",5,6,1/143,1/5.85,3.83,-666,826,1,2,1/275,1/6.73,3.23,-583,"1,085",2,3,1/217,1/6.33,3.30,-166,849,2,3,1/170,1/5.70,3.58,-500,561,1,0,1/561,1/6.71,2.88,-416,"7,966",27,30,1/140,1/6.34,4.56
2026-02-25,水,いいえ,"-1,583","3,357",8,7,1/224,1/6.35,2.42,+459,"2,766",11,10,1/132,1/5.94,3.97,-166,"1,459",6,2,1/182,1/6.40,2.73,+875,"1,171",8,2,1/117,1/5.75,3.12,-125,571,2,1,1/190,1/6.34,3.24,-375,553,1,0,1/553,1/5.72,2.89,"-1,458","2,772",6,6,1/231,1/6.39,2.60,-125,"3,314",11,11,1/151,1/5.98,3.69,"+2,167","5,282",26,20,1/115,1/5.99,4.58,+167,"1,429",5,4,1/159,1/5.34,3.36,-750,946,2,0,1/473,1/6.63,2.52
2026-02-24,火,いいえ,+84,"2,904",10,10,1/145,1/5.87,3.79,"+1,584","3,388",17,12,1/117,1/5.74,4.11,"+1,209","3,032",17,7,1/126,1/6.18,3.00,-250,163,0,0,-,1/8.00,3.30,-708,746,1,1,1/373,1/7.16,3.00,+417,"3,052",12,11,1/133,1/6.01,3.99,"+1,500","6,435",29,27,1/115,1/6.54,5.00,-291,280,0,0,-,1/5.35,3.16,+0,"1,727",7,5,1/144,1/6.50,3.42,"-1,166","4,113",10,16,1/158,1/6.34,4.21,"-1,000","2,011",4,4,1/251,1/5.96,2.69
2026-02-23,月,いいえ,"+1,084","6,277",27,20,1/134,1/6.09,3.79,+875,"5,387",22,17,1/138,1/5.88,3.67,-375,762,1,2,1/254,1/5.49,3.31,+334,"3,339",15,9,1/139,1/6.45,3.21,-416,"2,162",7,6,1/166,1/6.37,3.25,-458,"3,231",9,11,1/162,1/5.88,3.70,-666,887,1,0,1/887,1/5.34,2.55,-83,928,4,0,1/232,1/5.90,2.61,+834,"4,156",18,11,1/143,1/5.77,3.07,-458,798,2,0,1/399,1/6.03,2.67,-750,"2,642",6,6,1/220,1/5.49,2.72
2026-02-22,日,いいえ,-166,"3,312",12,10,1/151,1/6.26,3.43,-916,"4,623",15,10,1/185,1/6.12,2.33,-458,669,1,1,1/335,1/6.03,3.08,-458,"3,285",11,5,1/205,1/5.71,2.12,+750,"2,985",15,7,1/136,1/6.20,2.98,-791,"3,016",10,6,1/189,1/6.44,2.51,-666,"1,176",3,2,1/235,1/6.90,2.92,+167,"3,740",14,14,1/134,1/6.29,4.19,+584,"4,873",21,11,1/152,1/5.94,2.52,-166,"1,280",4,3,1/183,1/5.76,3.16,+334,"4,315",16,12,1/154,1/5.69,3.13
2026-02-21,土,はい,-500,"1,111",2,3,1/222,1/5.84,3.27,+84,"3,619",17,4,1/172,1/6.33,1.89,-750,"1,595",3,3,1/266,1/5.68,2.78,-750,825,1,1,1/413,1/6.66,2.91,"+1,500","3,932",23,5,1/140,1/6.08,1.99,+0,913,4,1,1/183,1/6.05,2.93,-416,"2,672",9,8,1/157,1/6.46,3.39,-166,"1,660",6,3,1/184,1/5.94,2.82,-958,"3,391",9,9,1/188,1/6.04,2.94,-291,"2,094",7,6,1/161,1/6.28,3.33,+792,"4,133",19,9,1/148,1/5.90,2.58
2026-02-20,金,はい,-458,"3,520",12,10,1/160,1/6.30,3.21,+250,"4,049",16,10,1/156,1/5.88,2.82,"-1,416","2,753",3,13,1/172,1/6.21,4.46,-291,"4,031",17,3,1/202,1/6.04,1.62,-416,739,1,1,1/370,1/5.34,3.00,"+3,292","7,599",39,30,1/110,1/6.20,4.99,-291,455,1,0,1/455,1/5.97,3.00,"+1,167","5,091",23,14,1/138,1/5.89,3.17,-166,"1,777",6,3,1/197,1/5.61,2.71,-333,"2,782",11,3,1/199,1/6.10,2.05,-166,"6,473",23,21,1/147,1/6.16,3.73
2026-02-19,木,いいえ,-625,940,1,4,1/188,1/6.72,3.76,-375,"1,827",6,3,1/203,1/5.97,2.66,-666,"3,422",11,9,1/171,1/6.28,2.98,-541,833,1,3,1/208,1/6.48,3.56,-750,698,1,0,1/698,1/7.29,2.73,-875,"3,464",11,10,1/165,1/6.66,3.23,-166,"1,842",8,2,1/184,1/6.44,2.44,"-1,000","1,481",3,1,1/370,1/6.24,2.35,"-1,041","2,152",4,5,1/239,1/5.90,2.84,-875,"2,557",6,9,1/170,1/6.35,3.71,-666,"2,230",6,6,1/186,1/6.17,3.14
2026-02-18,水,いいえ,"+1,959","4,901",22,22,1/111,1/5.85,5.00,-250,339,0,1,1/339,1/5.29,3.43,-250,272,0,0,-,1/4.96,3.17,+625,"3,692",15,9,1/154,1/5.55,2.85,+709,"3,993",20,9,1/138,1/6.51,2.74,-666,"2,605",6,11,1/153,1/6.20,4.22,+500,"2,371",11,7,1/132,1/6.21,3.49,+167,"4,182",18,14,1/131,1/6.87,3.90,+209,"3,948",15,11,1/152,1/5.89,3.17,-166,343,1,0,1/343,1/6.09,3.13,+84,"4,716",17,13,1/157,1/5.81,3.05
2026-02-17,火,いいえ,-458,729,2,0,1/365,1/6.60,2.74,"+1,209","3,936",19,12,1/127,1/6.02,3.62,-416,"1,834",6,3,1/204,1/6.05,2.65,-458,331,0,0,-,1/6.96,3.10,-166,"1,369",5,1,1/228,1/5.63,2.50,-166,"2,954",11,5,1/185,1/5.82,2.35,-333,688,2,0,1/344,1/6.08,2.78,-916,"4,407",16,5,1/210,1/6.15,1.69,+375,"2,633",12,7,1/139,1/6.30,3.24,+417,"2,402",13,1,1/172,1/6.15,1.96,-125,"3,038",11,7,1/169,1/5.90,2.79
2026-02-16,月,いいえ,-416,999,4,0,1/250,1/7.23,2.54,+0,"1,514",6,4,1/151,1/6.26,3.30,"+1,584","3,507",22,4,1/135,1/6.19,2.04,+459,"1,862",8,5,1/143,1/5.57,3.31,+0,739,3,1,1/185,1/5.80,3.08,+834,"3,572",17,8,1/143,1/5.93,2.76,-416,330,0,0,-,1/6.28,3.10,+167,"2,054",10,1,1/187,1/5.98,2.11,-166,"3,303",13,7,1/165,1/6.22,2.61,-125,934,3,3,1/156,1/6.25,3.52,"+2,334","5,933",28,21,1/121,1/5.74,4.35
2026-02-15,日,いいえ,"-1,958","2,101",2,2,1/525,1/6.30,2.09,-583,"4,142",15,7,1/188,1/6.08,2.06,+125,"3,514",14,10,1/146,1/6.21,3.29,"+1,125","5,734",22,28,1/115,1/6.20,5.23,"+1,292","3,797",18,14,1/119,1/6.05,4.26,-250,"4,371",17,11,1/156,1/6.39,2.83,"+2,375","6,051",31,17,1/126,1/5.87,3.35,"-1,750","5,083",12,20,1/159,1/6.59,4.35,-41,"5,293",16,22,1/139,1/5.87,4.68,+542,"3,996",17,11,1/143,1/6.01,3.19,"-1,041","3,171",8,9,1/187,1/6.18,3.13
2026-02-14,土,はい,-166,"1,222",5,0,1/244,1/5.86,2.37,+417,"5,131",25,5,1/171,1/6.20,1.57,+0,"2,578",10,5,1/172,1/5.85,2.63,-333,"1,236",4,1,1/247,1/5.84,2.59,+500,"2,707",13,6,1/142,1/6.19,2.90,-625,663,0,2,1/332,1/6.15,3.38,-666,"2,653",7,6,1/204,1/5.72,2.74,+334,"5,727",25,15,1/143,1/6.47,2.91,+0,"1,718",8,2,1/172,1/6.42,2.55,-458,"2,048",7,5,1/171,1/6.60,3.06,"-1,125","3,017",9,3,1/251,1/6.10,1.89
2026-02-13,金,いいえ,-458,"5,706",23,9,1/178,1/6.23,1.76,+250,"1,295",4,8,1/108,1/5.92,4.59,"-1,833","4,066",9,10,1/214,1/6.22,2.59,+0,908,4,1,1/182,1/6.08,2.93,-83,"3,449",12,9,1/164,1/5.80,2.99,"-1,416","1,856",4,0,1/464,1/6.52,1.92,-41,"1,919",7,4,1/174,1/5.75,2.89,-875,"1,732",4,3,1/247,1/6.26,2.68,-916,"3,955",14,5,1/208,1/6.22,1.83,-250,319,0,1,1/319,1/5.53,3.46,"+1,292","4,717",23,12,1/135,1/6.01,2.98
2026-02-12,木,いいえ,-875,"2,337",5,8,1/180,1/6.21,3.61,-583,505,0,0,-,1/5.80,2.90,-625,372,0,0,-,1/9.37,3.06,+375,"3,691",18,5,1/160,1/6.28,2.03,-208,348,1,0,1/348,1/6.61,3.12,-875,"2,404",7,5,1/200,1/6.48,2.70,-708,"1,118",3,1,1/280,1/7.04,2.68,"-1,291","2,830",7,4,1/257,1/6.08,2.12,-750,"1,752",5,4,1/195,1/6.87,3.00,-625,"1,090",2,1,1/363,1/5.68,2.67,-250,812,2,1,1/271,1/5.39,2.96
2026-02-11,水,いいえ,+125,"1,790",7,3,1/179,1/5.50,2.73,-291,"2,366",9,5,1/169,1/6.42,2.80,-500,705,1,0,1/705,1/5.46,2.73,"+1,042","2,158",11,8,1/114,1/5.83,4.03,-416,885,2,2,1/221,1/6.27,3.21,"+1,667","5,544",26,17,1/129,1/5.90,3.66,-208,383,1,0,1/383,1/6.01,3.08,+500,"1,876",9,5,1/134,1/6.00,3.33,+875,"2,564",14,6,1/128,1/6.30,3.08,-750,602,0,0,-,1/6.21,2.80,-791,"4,555",16,11,1/169,1/6.45,2.64
