日付,曜日,特定日,1013番台,,,,,,,1014番台,,,,,,,1015番台,,,,,,,1016番台,,,,,,,1017番台,,,,,,,1018番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-20,水,いいえ,-987,"6,265",20,11,1/202,1/5.71,1.75,+754,"1,355",9,1,1/136,1/5.96,2.65,"+2,433","7,832",34,32,1/119,1/5.91,5.03,+349,"2,034",10,3,1/156,1/6.05,2.59,"-1,781","3,406",6,7,1/262,1/5.85,2.33,+18,"5,736",21,16,1/155,1/5.95,3.04
2026-05-19,火,いいえ,"-1,548","2,616",4,7,1/238,1/6.16,2.96,-321,"3,417",13,5,1/190,1/5.98,2.08,+447,"4,924",19,18,1/133,1/6.16,4.25,-807,"1,854",4,5,1/206,1/6.18,3.16,"+1,205","5,390",25,17,1/128,1/6.24,3.78,"-1,108","4,736",16,6,1/215,1/6.04,1.68
2026-05-18,月,いいえ,"-1,299","3,980",13,4,1/234,1/6.22,1.69,+104,"3,950",15,12,1/146,1/6.11,3.46,-185,"5,796",19,18,1/157,1/5.82,3.45,+51,"4,780",19,13,1/149,1/6.26,3.06,-931,"3,848",13,7,1/192,1/6.33,2.19,+334,"5,224",19,19,1/137,1/6.02,4.23
2026-05-17,日,いいえ,+503,"4,106",17,12,1/142,1/6.02,3.37,-263,"2,931",10,7,1/172,1/5.92,2.86,-473,"2,796",9,5,1/200,1/5.80,2.42,"+2,007","6,669",30,30,1/111,1/6.32,5.20,"-1,598","4,158",9,14,1/181,1/6.26,3.60,"+2,427","8,194",35,36,1/115,1/6.03,5.24
2026-05-16,土,はい,"+3,006","8,169",36,36,1/113,1/5.86,5.25,"+1,208","7,574",34,20,1/140,1/6.13,2.86,-19,"5,920",23,14,1/160,1/6.05,2.46,+716,"6,194",27,15,1/147,1/6.08,2.59,-849,"7,269",23,20,1/169,1/5.91,2.79,"-2,995","6,230",14,10,1/260,1/6.01,1.61
2026-05-15,金,いいえ,+856,"5,168",24,11,1/148,1/6.05,2.38,"+2,217","5,970",29,20,1/122,1/5.90,4.13,-25,"5,607",22,13,1/160,1/6.08,2.45,"-1,379","6,568",16,28,1/149,1/6.17,4.83,"-1,196","4,401",11,15,1/169,1/6.14,3.71,+485,"5,785",24,16,1/145,1/6.14,3.09
2026-05-14,木,いいえ,-885,"3,301",9,7,1/206,1/5.83,2.49,"-1,208","1,501",2,2,1/375,1/6.33,2.56,"-1,655","4,737",12,13,1/189,1/6.25,2.86,"-1,264","1,718",3,3,1/286,1/6.73,2.66,-720,"2,277",6,5,1/207,1/5.97,2.79,+883,"4,914",24,10,1/145,1/6.23,2.35
2026-05-13,水,いいえ,-29,"3,076",10,10,1/154,1/5.75,3.60,-170,"5,624",22,14,1/156,1/6.27,2.66,-513,"2,422",9,3,1/202,1/6.33,2.24,-701,"6,513",21,18,1/167,1/5.95,2.87,-192,"2,890",9,10,1/152,1/5.94,3.76,-69,"4,951",19,15,1/146,1/6.35,3.45
2026-05-12,火,いいえ,"-1,654","4,719",13,8,1/225,1/6.04,1.89,-209,"2,757",12,4,1/172,1/6.56,2.30,-326,"4,655",15,17,1/145,1/6.16,4.13,"-1,355","3,340",8,10,1/186,1/6.48,3.25,"-1,127","3,532",10,7,1/208,1/6.11,2.34,"+2,805","5,225",34,10,1/119,1/6.44,2.39
2026-05-11,月,はい,"-1,458","2,727",7,5,1/227,1/6.82,2.42,"+3,002","6,628",37,19,1/118,1/6.15,3.54,"-1,317","3,028",6,9,1/202,1/6.10,3.20,+203,"4,479",19,10,1/154,1/6.19,2.54,"-2,132","3,334",6,6,1/278,1/6.32,2.17,"-1,693","6,010",15,21,1/167,1/6.22,3.88
2026-05-10,日,いいえ,-723,"4,309",16,6,1/196,1/6.18,1.84,-689,"5,316",16,15,1/171,1/5.83,2.99,-221,"5,756",19,20,1/148,1/6.03,4.00,+605,"6,292",26,18,1/143,1/6.10,3.22,-225,"9,105",29,37,1/138,1/6.09,4.94,"-1,456","5,114",16,11,1/189,1/6.39,2.23
