日付,曜日,特定日,531番台,,,,,,,532番台,,,,,,,533番台,,,,,,,535番台,,,,,,,536番台,,,,,,,537番台,,,,,,,538番台,,,,,,,550番台,,,,,,,551番台,,,,,,,552番台,,,,,,,553番台,,,,,,,555番台,,,,,,,556番台,,,,,,,557番台,,,,,,,558番台,,,,,,,560番台,,,,,,,561番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-04-07,火,いいえ,"+2,621","5,842",0,10,1/584,0,-,"-1,037","5,467",0,11,1/497,52,7.0,"-3,293","3,454",0,6,1/576,67,11.0,"+2,761","5,401",0,13,1/415,6,2.0,+161,"2,107",0,3,1/702,39,20.0,"+5,976","7,631",0,18,1/424,9,3.0,"-1,422","1,118",0,2,1/559,70,3.0,+950,"6,309",0,14,1/451,13,4.0,"-1,204","4,560",0,8,1/570,56,4.0,"-1,305","1,975",0,6,1/329,16,3.0,"-2,702","4,594",0,9,1/510,40,1.0,-858,"6,549",0,15,1/437,4,4.0,-644,"2,055",0,4,1/514,45,5.0,-423,"7,850",0,18,1/436,0,-,"-2,256","4,172",0,10,1/417,56,4.0,-661,"2,646",0,6,1/441,19,3.0,-875,"5,506",0,8,1/688,40,1.0
2026-04-06,月,はい,"+2,503","7,453",0,16,1/466,0,-,"-1,514","6,974",0,21,1/332,48,6.0,"-1,863","7,726",0,19,1/407,60,1.0,"+7,715","8,162",0,15,1/544,0,-,"-2,063","7,977",0,19,1/420,39,5.0,"-3,462","5,049",0,8,1/631,65,5.0,"-1,785","4,151",0,6,1/692,59,11.0,-46,"9,769",0,27,1/362,17,2.0,"-2,814","8,711",0,22,1/396,42,2.0,"+4,980","6,416",0,12,1/535,0,-,"+5,316","5,090",0,6,1/848,17,2.0,"+3,743","7,844",0,14,1/560,0,-,"+1,528","8,697",0,21,1/414,15,15.0,"+4,328","6,957",0,15,1/464,0,-,-632,"7,898",0,18,1/439,34,17.0,"+4,490","7,115",0,14,1/508,0,-,-149,"6,986",0,13,1/537,40,1.0
2026-04-05,日,いいえ,"+1,856","5,567",0,15,1/371,12,-,"+1,122","5,201",0,12,1/433,41,3.0,-727,"3,934",0,9,1/437,70,7.0,+33,997,0,1,1/997,38,5.0,+679,"1,447",0,5,1/289,45,1.0,-786,"3,402",0,7,1/486,63,6.0,"-1,609","5,666",0,13,1/436,57,7.0,-721,"3,526",0,5,1/705,26,1.0,-409,"6,453",0,10,1/645,45,1.0,+767,"1,676",0,6,1/279,44,1.0,-819,"3,161",0,6,1/527,43,2.0,"+1,720","2,572",0,4,1/643,24,12.0,"-1,760","6,004",0,16,1/375,33,1.0,"-1,955","2,777",0,5,1/555,50,5.0,"-3,051","6,579",0,15,1/439,32,6.0,-21,"6,537",0,10,1/654,25,1.0,-890,"2,857",0,7,1/408,57,7.0
2026-04-04,土,いいえ,-419,"8,164",0,22,1/371,19,4.0,"-3,701","5,961",0,11,1/542,33,7.0,"-1,790","2,597",0,4,1/649,77,11.0,"-1,072","1,507",0,2,1/754,14,10.0,-913,989,0,2,1/495,26,2.0,"-3,175","4,626",0,7,1/661,61,5.0,"-4,263","4,028",0,7,1/575,63,2.0,+761,"6,528",0,11,1/593,15,1.0,"-2,345","3,463",0,5,1/693,66,3.0,"-2,230","4,635",0,8,1/579,56,2.0,"+2,446","7,194",0,19,1/379,34,1.0,"-2,085","5,672",0,11,1/516,46,10.0,"+4,208","6,637",0,16,1/415,4,-,-894,"4,508",0,7,1/644,24,5.0,"+2,263","5,019",0,9,1/558,15,1.0,+355,"7,924",0,20,1/396,36,2.0,"-3,737","5,200",0,8,1/650,54,8.0
2026-04-03,金,はい,+76,"5,041",0,13,1/388,27,3.0,"+5,814","7,874",0,21,1/375,7,6.0,"-3,697","4,978",0,5,1/996,70,1.0,"+18,123","9,212",0,12,1/768,0,-,"+12,114","8,779",0,12,1/732,1,1.0,"+1,150","6,287",0,18,1/349,24,2.0,"-2,935","2,967",0,5,1/593,66,3.0,-231,"6,736",0,16,1/421,22,15.0,"-2,228","2,022",0,3,1/674,69,3.0,"-2,703","8,284",0,22,1/377,32,3.0,"-2,771","6,528",0,11,1/593,69,3.0,-838,"3,708",0,8,1/464,33,1.0,"+2,333","7,845",0,13,1/603,27,3.0,+406,"6,550",0,16,1/409,0,-,-698,"2,561",0,4,1/640,55,22.0,"-1,903","4,972",0,11,1/452,63,8.0,"+1,297","7,263",0,16,1/454,29,2.0
2026-04-02,木,いいえ,"-2,349","3,794",0,7,1/542,17,10.0,-115,"1,762",0,4,1/441,50,7.0,"-2,846","6,069",0,11,1/552,63,2.0,"-1,177","3,428",0,9,1/381,31,7.0,"-1,408","2,292",0,6,1/382,32,1.0,-629,"2,976",0,7,1/425,61,2.0,"-1,473","4,315",0,9,1/479,65,2.0,+287,"3,238",0,7,1/463,43,8.0,"-1,456","2,647",0,4,1/662,65,2.0,-75,312,0,1,1/312,24,7.0,"-1,532","3,812",0,8,1/477,58,5.0,-386,"4,916",0,10,1/492,35,3.0,"-2,843","3,190",0,5,1/638,72,7.0,"+8,361","3,189",0,3,1/1063,7,-,"-1,422","6,936",0,17,1/408,51,1.0,"-1,125","2,978",0,4,1/745,53,2.0,"-2,893","2,605",0,4,1/651,59,1.0
2026-04-01,水,いいえ,"+7,519","8,325",0,16,1/520,0,-,-224,"4,376",0,9,1/486,52,3.0,-314,"2,631",0,6,1/439,64,1.0,"+2,685","4,395",0,8,1/549,14,4.0,"+1,108","5,469",0,14,1/391,10,9.0,"-1,142","3,807",0,9,1/423,59,2.0,-799,"1,749",0,4,1/437,57,5.0,"-1,992","2,206",0,2,1/1103,49,1.0,"-1,826","1,643",0,2,1/822,59,2.0,"+4,409","5,337",0,8,1/667,1,1.0,-997,"7,150",0,13,1/550,36,13.0,+104,607,0,1,1/607,23,9.0,+391,"4,285",0,14,1/306,64,1.0,"-1,124","1,319",0,2,1/660,63,4.0,"-1,896","3,813",0,7,1/545,52,3.0,-555,"7,008",0,15,1/467,45,9.0,"-3,626","7,258",0,17,1/427,48,3.0
2026-03-31,火,いいえ,+590,"8,120",0,21,1/387,23,9.0,"-2,724","3,825",0,9,1/425,55,1.0,"-1,773","5,136",0,13,1/395,57,1.0,-408,"2,836",0,6,1/473,43,1.0,"+3,673","5,741",0,9,1/638,0,-,"-1,123","5,094",0,11,1/463,56,1.0,-893,"6,913",0,18,1/384,54,10.0,-985,"3,606",0,7,1/515,14,8.0,"-3,377","7,774",0,17,1/457,44,1.0,"-1,458","3,958",0,11,1/360,58,1.0,"+1,272","6,968",0,14,1/498,42,11.0,"+2,169","3,648",0,6,1/608,6,6.0,"-4,620","5,574",0,8,1/697,55,1.0,"-3,200","5,896",0,13,1/454,54,10.0,-138,"8,772",0,28,1/313,31,2.0,"-1,583","4,576",0,7,1/654,57,1.0,"+1,209","4,977",0,9,1/553,29,6.0
2026-03-30,月,いいえ,"-2,519","4,431",0,7,1/633,39,7.0,-156,"2,159",0,4,1/540,28,11.0,-17,"5,833",0,11,1/530,47,8.0,+409,"4,221",0,8,1/528,56,3.0,"+6,077","7,310",0,15,1/487,0,-,-951,"3,502",0,7,1/500,39,7.0,"-1,303","3,864",0,8,1/483,57,1.0,"+2,975","4,421",0,10,1/442,1,1.0,"-1,128","6,511",0,11,1/592,47,8.0,-822,"2,212",0,5,1/442,53,6.0,"-3,025","2,899",0,4,1/725,69,9.0,"+1,015","7,356",0,17,1/433,9,8.0,"-1,340","7,115",0,16,1/445,17,8.0,"-1,162","3,688",0,7,1/527,39,7.0,-541,"3,165",0,6,1/528,60,1.0,"-1,072","4,592",0,8,1/574,59,2.0,"-2,644","6,341",0,14,1/453,32,4.0
2026-03-29,日,いいえ,"+1,652","6,048",0,15,1/403,20,13.0,"+7,210","7,172",0,16,1/448,7,1.0,"-2,299","2,106",0,4,1/527,36,4.0,"-3,558","3,362",0,6,1/560,50,7.0,+499,"1,579",0,1,1/1579,20,13.0,"+2,521","6,296",0,14,1/450,23,3.0,-919,"5,264",0,10,1/526,43,3.0,"+3,155","3,642",0,9,1/405,20,13.0,"-2,042","3,252",0,5,1/650,43,3.0,"-2,626","3,797",0,6,1/633,40,4.0,"-1,832","6,712",0,12,1/559,32,6.0,"-1,354","1,682",0,3,1/561,59,3.0,"+8,740","7,933",0,12,1/661,7,1.0,+91,"2,559",0,4,1/640,26,3.0,"-3,375","3,631",0,4,1/908,56,2.0,"-2,486","6,536",0,17,1/384,54,4.0,"+2,582","6,189",0,15,1/413,6,-
2026-03-28,土,いいえ,"-2,253","5,572",0,12,1/464,52,4.0,"+3,032","4,597",0,8,1/575,19,2.0,"+5,807","6,605",0,12,1/550,15,1.0,"-1,037","7,932",0,19,1/417,40,7.0,"+3,148","4,086",0,6,1/681,10,-,"-1,655","4,131",0,12,1/344,70,14.0,-647,"8,187",0,16,1/512,33,1.0,"-1,742","1,952",0,4,1/488,47,2.0,-890,"2,441",0,6,1/407,17,2.0,"+2,998","3,349",0,7,1/478,24,5.0,"+1,864","6,208",0,15,1/414,14,4.0,"-1,072",850,0,2,1/425,48,1.0,-622,"4,725",0,10,1/473,56,4.0,"+1,736","4,829",0,8,1/604,32,8.0,-678,"6,432",0,14,1/459,47,2.0,"-1,159","6,275",0,10,1/628,52,4.0,"-1,193","3,327",0,7,1/475,45,5.0
2026-03-27,金,いいえ,"-3,139","3,966",0,8,1/496,50,5.0,"+1,698","1,508",0,3,1/503,33,11.0,"-1,335","3,047",0,5,1/609,55,1.0,"-3,643","4,545",0,10,1/455,50,5.0,-908,"1,190",0,3,1/397,22,1.0,"-2,109","2,613",0,5,1/523,66,6.0,-557,562,0,1,1/562,60,1.0,-962,"4,847",0,9,1/539,21,6.0,"+6,829","6,885",0,9,1/765,0,-,"-1,531","1,658",0,3,1/553,56,1.0,"+6,262","4,435",0,6,1/739,15,15.0,-682,830,0,1,1/830,38,5.0,-321,943,0,2,1/472,51,1.0,-790,789,0,1,1/789,54,3.0,"-2,305","3,176",0,6,1/529,56,1.0,"-1,755","3,091",0,6,1/515,59,3.0,+939,"6,954",0,16,1/435,45,7.0
2026-03-26,木,はい,-845,"7,379",0,13,1/568,14,10.0,"-2,022","6,698",0,14,1/478,22,7.0,"-2,537","5,924",0,14,1/423,29,2.0,-856,"6,369",0,15,1/425,24,2.0,"+4,450","5,833",0,12,1/486,0,-,+888,"8,640",0,19,1/455,40,5.0,-968,"1,635",0,2,1/818,42,2.0,"+3,423","8,164",0,14,1/583,4,4.0,"-4,402","8,045",0,15,1/536,42,2.0,-93,"5,354",0,10,1/535,44,2.0,+778,"4,422",0,8,1/553,35,6.0,+486,"4,978",0,14,1/356,15,1.0,-949,"4,903",0,10,1/490,27,3.0,"-3,458","5,790",0,12,1/483,35,6.0,"-1,690","8,192",0,17,1/482,46,2.0,"-4,361","7,619",0,15,1/508,56,4.0,"-4,336","5,724",0,11,1/520,52,6.0
2026-03-25,水,いいえ,+567,"4,414",0,10,1/441,9,1.0,"+5,566","6,375",0,10,1/638,3,-,"+6,830","5,881",0,13,1/452,13,4.0,"-1,055","3,652",0,7,1/522,33,5.0,"+3,151","6,179",0,15,1/412,16,3.0,"-3,463","5,936",0,11,1/540,64,4.0,+0,"3,278",0,6,1/546,21,5.0,"-2,725","4,017",0,8,1/502,58,13.0,"-3,082","4,039",0,8,1/505,28,5.0,"-3,704","5,351",0,14,1/382,60,2.0,-473,"3,637",0,6,1/606,35,2.0,+692,"2,870",0,5,1/574,8,5.0,"+9,196","3,993",0,4,1/998,23,2.0,"+1,935","2,733",0,7,1/390,13,4.0,"-4,053","5,209",0,11,1/474,58,13.0,"-1,738","4,784",0,12,1/399,67,3.0,"-1,780","4,223",0,8,1/528,45,10.0
2026-03-24,火,いいえ,"+5,466","5,810",0,14,1/415,0,-,"+1,534","6,679",0,17,1/393,28,1.0,"+6,402","3,745",0,4,1/936,15,2.0,+557,"1,672",0,4,1/418,13,2.0,"-2,874","4,528",0,11,1/412,56,3.0,-445,"1,982",0,3,1/661,33,1.0,"+5,195","4,866",0,8,1/608,11,11.0,"-1,286","1,668",0,5,1/334,23,8.0,"+2,222","2,789",0,3,1/930,0,-,-532,458,0,1,1/458,32,4.0,"+6,950","3,624",0,3,1/1208,15,2.0,"+8,656","7,560",0,17,1/445,0,-,-755,"1,269",0,1,1/1269,52,19.0,+944,"5,639",0,13,1/434,27,4.0,+426,"1,686",0,1,1/1686,53,1.0,"-3,465","3,229",0,5,1/646,70,14.0,+27,"3,716",0,7,1/531,28,1.0
2026-03-23,月,はい,"+2,066","8,140",0,20,1/407,30,8.0,"-2,423","7,980",0,19,1/420,55,4.0,"-1,874","4,504",0,13,1/346,65,7.0,"+17,105","7,938",0,16,1/496,0,-,"-2,166","6,962",0,17,1/410,51,3.0,"+4,633","6,937",0,16,1/434,20,10.0,"+2,826","7,623",0,16,1/476,5,4.0,"+4,667","7,940",0,13,1/611,1,1.0,"+6,075","6,899",0,16,1/431,0,-,-573,"7,814",0,19,1/411,22,2.0,"-2,465","8,599",0,22,1/391,58,3.0,"+7,097","5,284",0,6,1/881,0,-,-467,"7,125",0,13,1/548,38,8.0,"-2,328","4,442",0,12,1/370,41,3.0,"-3,978","7,922",0,16,1/495,48,4.0,"-3,204","4,154",0,7,1/593,44,3.0,"+1,455","9,811",0,24,1/409,10,5.0
2026-03-22,日,いいえ,"-4,545","5,189",0,10,1/519,54,7.0,"-2,611","4,246",0,10,1/425,59,5.0,"-1,547","3,052",0,8,1/382,45,2.0,"-3,079","4,908",0,9,1/545,60,1.0,"-1,717","4,368",0,7,1/624,60,1.0,"-2,747","5,445",0,10,1/545,67,3.0,+44,"1,175",0,2,1/588,39,13.0,"-2,845","2,993",0,3,1/998,63,3.0,-791,"3,676",0,7,1/525,13,4.0,-132,"4,849",0,9,1/539,26,8.0,"-1,323","5,831",0,15,1/389,64,1.0,-211,"7,553",0,18,1/420,18,5.0,"-2,484","2,955",0,6,1/493,43,4.0,"+2,272","7,491",0,17,1/441,9,-,"-1,850","4,410",0,8,1/551,47,2.0,"+4,377","8,166",0,10,1/817,18,5.0,"-2,344","5,281",0,11,1/480,54,7.0
2026-03-21,土,いいえ,"-2,230","7,297",0,20,1/365,31,1.0,-759,920,0,3,1/307,30,8.0,"+1,519","8,069",0,16,1/504,22,5.0,-829,"1,595",0,3,1/532,59,5.0,"-2,994","2,893",0,4,1/723,61,2.0,"-2,375","2,848",0,4,1/712,47,3.0,"-1,010","5,665",0,12,1/472,40,8.0,"-2,415","4,588",0,12,1/382,54,7.0,"+7,316","7,788",0,13,1/599,0,-,"-1,019","1,196",0,1,1/1196,14,2.0,"-3,116","4,174",0,10,1/417,78,7.0,"-1,884","6,890",0,10,1/689,12,12.0,"+1,543","5,420",0,12,1/452,17,3.0,"-2,957","3,255",0,6,1/543,43,3.0,"-1,373","5,500",0,11,1/500,32,1.0,"-2,996","4,181",0,8,1/523,71,10.0,"-4,931","7,219",0,13,1/555,44,1.0
2026-03-20,金,いいえ,"+1,527","6,836",0,7,1/977,19,13.0,"+10,867","6,238",0,9,1/693,6,3.0,"-1,190","3,854",0,7,1/551,55,7.0,"-5,146","7,372",0,12,1/614,48,13.0,+944,"5,022",0,12,1/419,26,3.0,"+2,653","6,287",0,14,1/449,23,4.0,-134,"4,376",0,9,1/486,30,4.0,-979,"5,449",0,14,1/389,35,3.0,"-2,556","2,906",0,4,1/727,63,8.0,"+9,255","7,871",0,21,1/375,0,-,"-1,372","1,682",0,2,1/841,68,5.0,"+5,733","7,789",0,15,1/519,0,-,"+3,538","3,430",0,4,1/858,23,4.0,"+1,560","9,150",0,15,1/610,3,3.0,+734,"5,169",0,9,1/574,19,13.0,"-1,144","2,574",0,4,1/644,72,4.0,"-2,376","7,493",0,20,1/375,32,2.0
2026-03-19,木,いいえ,"-1,812","3,745",0,6,1/624,52,1.0,-744,"5,272",0,14,1/377,45,2.0,+481,"1,503",0,1,1/1503,43,5.0,"-1,458","4,485",0,9,1/498,59,7.0,-772,"3,139",0,8,1/392,51,3.0,"-1,637","2,238",0,4,1/560,81,21.0,+426,"3,100",0,8,1/388,20,-,-501,"3,020",0,6,1/503,36,2.0,-734,"3,164",0,10,1/316,48,1.0,"-1,777","3,700",0,9,1/411,51,3.0,"-2,160","1,560",0,2,1/780,38,2.0,+601,"3,935",0,8,1/492,47,2.0,-980,"1,772",0,4,1/443,30,9.0,+483,"4,005",0,8,1/501,30,9.0,"-1,480","2,939",0,8,1/367,34,4.0,-158,"2,446",0,7,1/349,60,1.0,+532,"3,926",0,7,1/561,21,1.0
2026-03-18,水,いいえ,"-1,709","7,326",0,20,1/366,44,1.0,-498,"1,643",0,3,1/548,44,1.0,-442,"4,981",0,12,1/415,41,11.0,"-2,350","5,508",0,13,1/424,61,3.0,-205,"2,312",0,4,1/578,58,7.0,"-2,136","2,505",0,5,1/501,81,14.0,"+5,444","4,556",0,12,1/380,8,-,"+1,060","4,328",0,10,1/433,30,14.0,"-3,080","5,666",0,12,1/472,43,2.0,-127,494,0,1,1/494,41,11.0,"+9,901","5,785",0,10,1/579,13,4.0,"-1,351","1,476",0,2,1/738,67,6.0,"+4,769","5,081",0,11,1/462,9,1.0,-775,"5,040",0,12,1/420,44,1.0,"+1,560","4,927",0,11,1/448,16,2.0,"-2,607","2,064",0,2,1/1032,51,7.0,-471,"2,989",0,6,1/498,14,1.0
2026-03-17,火,いいえ,"-1,710","3,245",0,5,1/649,47,5.0,-609,"3,074",0,5,1/615,20,1.0,"+1,316","5,262",0,13,1/405,42,6.0,"-1,439","1,633",0,3,1/544,68,4.0,"-1,685","1,412",0,2,1/706,61,1.0,"-2,842","3,126",0,5,1/625,64,3.0,+637,"9,031",0,24,1/376,7,7.0,-339,"1,534",0,3,1/511,36,3.0,+957,"3,630",0,8,1/454,17,10.0,"-1,086","2,265",0,4,1/566,18,1.0,+101,"3,477",0,8,1/435,31,1.0,"-2,674","3,080",0,5,1/616,60,6.0,-277,"4,909",0,15,1/327,33,2.0,"-1,604","3,717",0,7,1/531,54,7.0,"-1,870","2,667",0,7,1/381,19,1.0,"+4,985","4,726",0,15,1/315,30,10.0,"+5,371","8,851",0,25,1/354,0,-
2026-03-16,月,はい,"-2,466","6,817",0,12,1/568,21,2.0,"+12,195","8,832",0,22,1/401,0,-,"-2,511","5,571",0,10,1/557,64,2.0,"-3,821","3,212",0,4,1/803,55,1.0,-702,"5,636",0,13,1/434,54,2.0,-866,"6,649",0,16,1/416,26,3.0,"+3,299","3,644",0,5,1/729,13,13.0,+921,"9,692",0,30,1/323,27,1.0,-254,"6,470",0,13,1/498,19,2.0,"+5,979","9,597",0,22,1/436,0,-,"+4,881","4,082",0,6,1/680,23,2.0,"-5,144","4,859",0,8,1/607,54,2.0,"+1,342","8,426",0,24,1/351,17,4.0,"-1,280","3,127",0,3,1/1042,42,15.0,"+4,209","8,504",0,17,1/500,0,-,"-4,234","7,837",0,16,1/490,62,7.0,"-1,216","5,662",0,12,1/472,52,10.0
2026-03-15,日,いいえ,"+2,120","6,302",0,15,1/420,0,-,-68,"7,048",0,16,1/441,34,1.0,"-1,107","7,537",0,18,1/419,45,11.0,"-1,524","5,985",0,13,1/460,16,2.0,"-3,614","6,889",0,17,1/405,51,1.0,"+5,701","6,977",0,13,1/537,12,2.0,"-3,203","5,979",0,13,1/460,48,3.0,"-2,743","6,352",0,14,1/454,51,1.0,"+1,436","5,326",0,11,1/484,10,10.0,+871,"5,498",0,12,1/458,29,13.0,-718,"4,096",0,10,1/410,67,8.0,"-4,156","4,903",0,10,1/490,56,5.0,"+1,077","3,414",0,8,1/427,33,2.0,"-2,461","4,941",0,8,1/618,31,2.0,-223,"2,878",0,4,1/720,14,2.0,-771,"5,256",0,13,1/404,59,3.0,"-1,332","5,658",0,12,1/472,50,2.0
2026-03-14,土,いいえ,"+4,942","6,162",0,11,1/560,0,-,"-1,774","4,138",0,9,1/460,55,1.0,-163,338,0,1,1/338,52,1.0,"+2,450","9,892",0,23,1/430,0,-,"-1,297","1,377",0,2,1/689,54,2.0,+230,"3,648",0,7,1/521,49,1.0,"-1,126","2,204",0,4,1/551,32,16.0,"-3,140","4,246",0,9,1/472,56,1.0,"-1,904","4,195",0,10,1/420,15,15.0,"-1,597","3,317",0,9,1/369,43,8.0,"-1,261","2,395",0,5,1/479,73,17.0,"-1,296","2,912",0,5,1/582,51,2.0,-967,"2,172",0,3,1/724,35,3.0,"+2,416","3,864",0,10,1/386,16,1.0,"+7,909","5,854",0,6,1/976,0,-,"-1,614","4,775",0,11,1/434,54,2.0,"-1,761","4,930",0,10,1/493,48,5.0
2026-03-13,金,はい,-346,"8,297",0,20,1/415,28,9.0,"-2,227","8,293",0,17,1/488,36,1.0,-208,"6,671",0,19,1/351,37,1.0,"-1,405","8,117",0,20,1/406,19,12.0,-82,"2,742",0,6,1/457,56,6.0,"-1,878","6,895",0,18,1/383,57,1.0,"+1,885","9,624",0,20,1/481,0,-,-966,"5,970",0,15,1/398,50,6.0,"+5,562","6,289",0,8,1/786,0,-,-134,"7,492",0,21,1/357,36,1.0,"-1,212","7,837",0,21,1/373,64,4.0,"-2,469","2,549",0,4,1/637,35,7.0,"+2,472","9,925",0,24,1/414,7,7.0,"-1,367","2,240",0,5,1/448,40,2.0,"-2,698","4,621",0,8,1/578,60,3.0,+825,"9,106",0,29,1/314,38,1.0,"-1,715","4,980",0,11,1/453,44,4.0
2026-03-12,木,いいえ,"-1,849","2,970",0,5,1/594,48,17.0,+201,"5,284",0,13,1/406,21,12.0,+433,"2,670",0,6,1/445,53,1.0,"+2,068","4,302",0,10,1/430,9,4.0,+121,406,0,1,1/406,58,4.0,"-1,299","3,116",0,6,1/519,58,4.0,+278,991,0,2,1/496,31,8.0,"-1,356","5,928",0,13,1/456,50,2.0,+203,"5,713",0,15,1/381,31,8.0,"-2,134","1,737",0,2,1/869,63,5.0,"-1,387","1,200",0,2,1/600,81,7.0,"+3,621","3,805",0,5,1/761,5,-,"+1,138","1,569",0,2,1/785,51,1.0,+444,"3,890",0,11,1/354,23,2.0,-23,"1,544",0,2,1/772,54,1.0,"-1,156","3,009",0,4,1/752,74,11.0,"-1,270","3,516",0,7,1/502,52,1.0
2026-03-11,水,いいえ,"-2,867","4,852",0,11,1/441,19,7.0,+455,"5,307",0,11,1/482,24,3.0,"-1,139","3,236",0,7,1/462,43,1.0,-6,"2,294",0,4,1/574,21,2.0,"-3,086","4,945",0,10,1/495,56,4.0,"-1,781","5,257",0,10,1/526,40,16.0,+323,"1,204",0,2,1/602,11,3.0,"-2,605","5,003",0,9,1/556,48,5.0,"-1,085","1,809",0,4,1/452,49,1.0,"-1,674","5,464",0,11,1/497,52,3.0,"-2,584","5,890",0,13,1/453,70,2.0,+678,"1,755",0,4,1/439,8,-,"-1,038","4,033",0,8,1/504,68,12.0,-252,300,0,1,1/300,12,1.0,"-1,712","4,159",0,9,1/462,56,4.0,"-1,566","1,626",0,3,1/542,73,3.0,"-1,830","2,909",0,5,1/582,42,2.0
2026-03-10,火,いいえ,"+3,061","8,946",0,24,1/373,0,-,-931,"6,540",0,11,1/595,22,4.0,"+3,468","6,795",0,11,1/618,18,5.0,+431,"6,807",0,12,1/567,0,-,-222,"3,681",0,8,1/460,56,4.0,"+2,863","7,441",0,15,1/496,13,13.0,"+5,409","7,004",0,11,1/637,0,-,-134,"5,441",0,12,1/453,31,9.0,"-3,109","4,769",0,11,1/434,33,2.0,"-2,814","3,949",0,10,1/395,52,4.0,"-2,231","5,340",0,11,1/485,68,12.0,"+8,224","7,509",0,9,1/834,0,-,"-1,374","1,894",0,3,1/631,47,14.0,"+5,523","8,144",0,18,1/452,0,-,"-1,408","4,675",0,8,1/584,48,1.0,"-2,561","8,499",0,20,1/425,56,4.0,"-3,234","4,828",0,10,1/483,13,13.0
2026-03-09,月,いいえ,"+12,441","4,785",0,8,1/598,0,-,"+1,156","6,458",0,13,1/497,13,7.0,"-3,378","4,666",0,11,1/424,57,3.0,"+3,274","9,619",0,20,1/481,0,-,"-1,208","1,259",0,1,1/1259,72,11.0,-632,"4,427",0,10,1/443,44,2.0,+42,983,0,2,1/492,42,10.0,"-1,509","4,324",0,9,1/480,52,8.0,"+4,201","6,106",0,13,1/470,6,6.0,-791,"2,693",0,7,1/385,18,5.0,"-1,281","5,350",0,13,1/412,60,3.0,-417,"2,357",0,5,1/471,32,1.0,"+4,275","4,308",0,9,1/479,31,13.0,"-1,175","2,028",0,3,1/676,61,1.0,"-1,003","3,502",0,6,1/584,54,2.0,"-1,039",799,0,1,1/799,79,7.0,"+10,329","4,808",0,6,1/801,0,-
2026-03-08,日,いいえ,-821,"6,570",0,14,1/469,0,-,"-1,305","5,716",0,14,1/408,13,13.0,"+3,267","7,251",0,20,1/363,27,1.0,-361,"2,168",0,4,1/542,29,2.0,"-2,084","6,573",0,17,1/387,55,2.0,-384,"2,961",0,6,1/494,26,1.0,"-1,974","1,765",0,4,1/441,20,7.0,"-1,569","4,417",0,8,1/552,39,1.0,"-2,984","3,733",0,7,1/533,38,9.0,"+5,274","6,705",0,14,1/479,0,-,-973,"1,934",0,3,1/645,39,1.0,+0,"5,979",0,14,1/427,25,5.0,"-2,187","6,777",0,17,1/399,60,4.0,"-1,494","2,553",0,4,1/638,53,3.0,"-1,654","3,294",0,6,1/549,50,11.0,"-2,391","2,967",0,4,1/742,56,1.0,"+9,517","7,702",0,17,1/453,0,-
2026-03-07,土,いいえ,"+2,783","7,792",0,14,1/557,0,-,"+1,766","8,397",0,19,1/442,0,-,"-4,265","5,298",0,11,1/482,64,12.0,-421,"4,488",0,12,1/374,10,3.0,"-1,474","6,103",0,13,1/469,35,11.0,"+12,113","8,700",0,17,1/512,0,-,"+8,711","8,724",0,22,1/397,0,-,"-4,792","5,632",0,9,1/626,7,7.0,"+1,403","5,963",0,14,1/426,0,-,"-1,568","3,421",0,8,1/428,52,5.0,"+2,481","8,655",0,22,1/393,14,1.0,"-2,164","3,606",0,6,1/601,13,3.0,"-4,969","5,517",0,7,1/788,66,2.0,"-3,346","5,262",0,9,1/585,24,4.0,"-1,074","6,165",0,12,1/514,47,12.0,+398,"6,223",0,14,1/445,19,5.0,"-1,125","5,871",0,14,1/419,20,1.0
2026-03-06,金,はい,"+3,030","8,459",0,15,1/564,0,-,+548,"8,576",0,17,1/504,2,2.0,"-1,596","6,271",0,12,1/523,39,2.0,"+6,073","9,774",0,24,1/407,0,-,"+1,328","6,963",0,22,1/317,5,3.0,"+1,242","7,743",0,21,1/369,5,3.0,"-3,081","6,605",0,14,1/472,51,12.0,"+10,385","9,382",0,22,1/426,0,-,"+5,789","8,549",0,19,1/450,0,-,-647,"9,324",0,21,1/444,37,8.0,"-3,323","4,119",0,8,1/515,29,19.0,"+7,575","5,781",0,10,1/578,0,-,"-3,520","7,122",0,14,1/509,58,7.0,"+4,385","10,552",0,23,1/459,0,-,"-2,912","5,948",0,12,1/496,39,2.0,"+1,977","8,715",0,22,1/396,10,2.0,"+1,488","8,931",0,18,1/496,8,3.0
