日付,曜日,特定日,862番台,,,,,,863番台,,,,,,865番台,,,,,,866番台,,,,,
2025-05-04,日,いいえ,"-1,075","3,664",9,10,1/193,2.76,-391,"1,332",3,4,1/190,3.24,"-1,023","1,705",4,1,1/341,2.33,+662,"3,169",15,7,1/144,3.16
2025-05-03,土,はい,-380,"2,487",8,5,1/191,2.74,-594,"2,636",7,8,1/176,3.16,+68,"5,019",19,16,1/143,3.62,"+1,075","6,991",32,21,1/132,3.94
2025-05-02,金,いいえ,-68,978,4,1,1/196,3.03,"+1,489","6,784",31,20,1/133,3.84,+271,"2,504",12,7,1/132,3.61,-211,"1,327",4,5,1/147,3.61
2025-05-01,木,いいえ,+436,"5,441",24,14,1/143,3.23,"-1,346","1,864",3,3,1/311,2.49,-376,"1,083",3,1,1/271,2.81,+147,"4,123",17,8,1/165,2.60
2025-04-30,水,いいえ,-680,"1,402",4,1,1/280,2.58,-756,"1,770",4,4,1/221,2.87,-707,744,0,2,1/372,3.11,-128,"2,570",11,5,1/161,2.94
2025-04-29,火,いいえ,+850,"3,210",14,11,1/128,3.96,+523,"4,103",20,8,1/147,2.88,"+1,023","7,268",30,21,1/143,3.45,-323,847,2,3,1/169,3.46
2025-04-28,月,いいえ,-447,"2,259",6,6,1/188,3.00,-586,"2,037",7,3,1/204,2.66,+767,981,7,2,1/109,3.63,+474,"5,795",25,12,1/157,2.55
2025-04-27,日,いいえ,-729,"2,746",7,7,1/196,2.83,-865,"2,216",5,7,1/185,3.18,+83,"4,603",20,7,1/170,2.25,"+1,195","2,584",14,7,1/123,3.75
2025-04-26,土,はい,-474,"7,351",25,23,1/153,3.33,-564,"3,058",11,5,1/191,2.47,-549,"5,322",19,14,1/161,2.89,+45,"3,930",17,7,1/164,2.57
2025-04-25,金,いいえ,"-1,008","4,140",12,11,1/180,2.78,"+1,286","4,894",20,21,1/119,4.72,-586,"2,235",7,5,1/186,2.90,"+1,669","4,849",21,22,1/113,4.94
2025-04-24,木,いいえ,+132,"1,941",8,5,1/149,3.33,+53,951,5,1,1/159,3.17,"-1,045","3,694",11,12,1/161,3.33,-387,"1,330",4,2,1/222,2.88
2025-04-23,水,はい,-188,"1,426",5,3,1/178,3.11,"+1,301","7,557",30,31,1/124,4.82,-226,"2,044",6,7,1/157,3.47,-398,304,0,0,-,3.13
2025-04-22,火,いいえ,+98,"7,425",26,27,1/140,4.07,-252,725,2,1,1/242,3.10,-549,"1,884",7,2,1/209,2.60,+226,"4,308",19,8,1/160,2.59
