日付,曜日,特定日,1076番台,,,,,1077番台,,,,,1078番台,,,,,1080番台,,,,,1081番台,,,,,1082番台,,,,,1083番台,,,,,1085番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-06-02,火,いいえ,-722,"1,770",5,5,1/177,"-2,108","4,328",12,7,1/228,"-3,615","3,667",5,7,1/306,-440,283,0,0,-,+261,657,3,3,1/110,"+1,332","2,357",11,13,1/98,"+2,829","5,746",33,18,1/113,-375,239,0,0,-
2026-06-01,月,いいえ,"-1,651","2,581",5,7,1/215,-705,640,1,1,1/320,"+2,546","6,060",32,21,1/114,"+1,785","1,485",12,5,1/87,+830,"4,605",23,12,1/132,+0,"3,434",14,10,1/143,"-3,379","3,267",3,7,1/327,"-1,642","7,103",25,16,1/173
2026-05-31,日,いいえ,"-2,921","5,097",13,11,1/212,-485,325,0,0,-,+489,910,5,3,1/114,+691,"3,285",16,11,1/122,"-1,456","3,212",10,6,1/201,"-2,933","4,305",10,8,1/239,-503,314,0,0,-,"-1,970","6,701",20,20,1/168
2026-05-30,土,いいえ,"-1,462","5,685",18,20,1/150,"+4,488","8,138",49,21,1/116,+990,826,6,3,1/92,"-2,675","6,505",19,15,1/191,"+1,999","4,483",23,18,1/109,"-2,496","5,488",16,10,1/211,"+1,612",991,8,6,1/71,"-2,658","3,251",6,5,1/296
2026-05-29,金,いいえ,-838,"4,560",16,11,1/169,-233,138,0,0,-,"-1,674","2,744",7,4,1/249,"-1,599","2,937",7,7,1/210,-49,"1,426",6,4,1/143,+504,"2,910",13,8,1/139,"+1,801","2,268",14,9,1/99,+905,"4,569",21,14,1/131
2026-05-28,木,いいえ,+250,"2,328",12,2,1/166,-527,"1,491",4,4,1/186,"+4,808","4,282",30,19,1/87,"+1,844","2,248",14,10,1/94,-790,"2,288",8,3,1/208,"-1,229","5,613",22,9,1/181,"-1,226","1,941",4,5,1/216,-620,405,0,0,-
2026-05-27,水,いいえ,-85,"1,771",7,6,1/136,"-2,131","4,559",10,16,1/175,-684,414,0,0,-,-811,"2,376",6,8,1/170,+922,499,5,1,1/83,+79,"1,632",7,3,1/163,-279,"1,462",6,3,1/162,+773,375,4,1,1/75
2026-05-26,火,はい,"-4,337","5,832",13,12,1/233,"-1,354","2,588",6,8,1/185,"+1,413","2,957",13,18,1/95,-109,"1,487",5,5,1/149,"-3,597","7,562",21,17,1/199,+0,"2,503",10,7,1/147,"+1,378","3,229",15,15,1/108,"+3,743","8,330",48,19,1/124
2026-05-25,月,いいえ,"-1,704","3,566",11,6,1/210,-352,936,5,1,1/156,+566,"4,620",24,7,1/149,"-1,068","2,167",5,6,1/197,-675,"3,443",12,11,1/150,-361,653,3,1,1/163,-596,"8,923",34,27,1/146,-109,"3,861",14,15,1/133
2026-05-24,日,いいえ,"-3,498","6,171",17,9,1/237,"-1,088",827,1,0,1/827,+991,"8,986",43,19,1/145,"-2,091","4,024",10,11,1/192,"-3,555","5,233",13,5,1/291,"+5,068","3,412",29,16,1/76,"-3,609","6,630",19,12,1/214,"+8,069","6,546",53,20,1/90
