日付,曜日,特定日,587番台,,,,,588番台,,,,,600番台,,,,,601番台,,,,,602番台,,,,,603番台,,,,,605番台,,,,,606番台,,,,,607番台,,,,,608番台,,,,,682番台,,,,,683番台,,,,,687番台,,,,,688番台,,,,,700番台,,,,,701番台,,,,,702番台,,,,,703番台,,,,,1178番台,,,,,1180番台,,,,,1181番台,,,,,1182番台,,,,,1183番台,,,,,1185番台,,,,,1186番台,,,,,1187番台,,,,,1188番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-20,水,いいえ,"+1,766","4,401",0,9,1/489,-792,"1,668",0,5,1/334,+30,"1,945",0,7,1/278,"+2,920","3,120",0,9,1/347,-392,633,0,1,1/633,-981,"1,550",0,4,1/388,+75,"2,192",0,5,1/438,"-1,795","1,873",0,3,1/624,+0,482,0,2,1/241,"+4,947","4,364",0,9,1/485,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-19,火,いいえ,"+1,886","3,792",0,8,1/474,"-1,087","2,180",0,5,1/436,-637,594,0,2,1/297,+0,"2,342",0,4,1/586,"+3,480","2,737",0,4,1/684,"-2,180","3,248",0,9,1/361,"-1,017","1,806",0,5,1/361,-756,"2,295",0,6,1/383,"-1,772","1,671",0,2,1/836,"-1,762","3,196",0,9,1/355,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-18,月,いいえ,-26,"1,937",0,4,1/484,"-1,530","1,453",0,2,1/727,-442,406,0,2,1/203,-275,397,0,1,1/397,-568,491,0,1,1/491,+161,"1,515",0,3,1/505,"+1,330","2,030",0,2,1/1015,-292,515,0,2,1/258,-66,483,0,2,1/242,-716,610,0,1,1/610,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-17,日,いいえ,"-2,442","6,282",0,13,1/483,"-1,830","2,277",0,4,1/569,-921,"1,695",0,4,1/424,-752,"3,340",0,7,1/477,"+3,564","2,077",0,5,1/415,-875,"2,210",0,4,1/553,"-3,143","3,629",0,7,1/518,-898,872,0,2,1/436,-441,"2,205",0,7,1/315,-915,"2,829",0,8,1/354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-16,土,はい,"+6,884","8,447",0,13,1/650,"+3,501","3,929",0,7,1/561,"+3,685","8,195",0,17,1/482,"-1,052","3,356",0,10,1/336,"+4,097","7,473",0,13,1/575,"+1,032","5,893",0,19,1/310,-627,"5,096",0,12,1/425,"-3,022","4,820",0,9,1/536,"-1,163","2,376",0,5,1/475,"-1,370","4,244",0,10,1/424,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-15,金,いいえ,"+1,255","6,428",0,18,1/357,+143,609,0,2,1/305,+389,"8,034",0,18,1/446,"+2,095","2,790",0,7,1/399,-321,474,0,1,1/474,-125,"2,839",0,8,1/355,"-1,038",678,0,1,1/678,"+5,399","5,451",0,11,1/496,"-1,731","4,891",0,13,1/376,"-1,406","2,456",0,7,1/351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-14,木,いいえ,-272,"1,858",0,5,1/372,"+1,954","1,532",0,2,1/766,-512,388,0,1,1/388,-879,687,0,2,1/344,"-2,114","2,903",0,6,1/484,-735,"1,441",0,3,1/480,-986,"1,318",0,2,1/659,-759,"1,576",0,3,1/525,+215,899,0,2,1/450,"+3,561","8,765",0,23,1/381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-13,水,はい,"-1,548","3,561",0,9,1/396,"-2,352","3,073",0,8,1/384,+228,"2,072",0,6,1/345,-45,"4,271",0,7,1/610,-631,"1,952",0,6,1/325,-452,"2,363",0,5,1/473,-38,"3,718",0,13,1/286,"-1,335","1,379",0,3,1/460,+284,"1,890",0,5,1/378,"-1,563","1,494",0,4,1/374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-12,火,いいえ,+848,"5,501",0,14,1/393,-644,"4,815",0,12,1/401,"-1,735","3,186",0,5,1/637,"+1,522","6,193",0,13,1/476,-681,"6,066",0,15,1/404,-911,"3,015",0,8,1/377,"-2,043","3,005",0,8,1/376,-502,"3,546",0,9,1/394,"+1,183","3,057",0,8,1/382,-302,"7,601",0,24,1/317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-10,日,いいえ,-806,585,0,1,1/585,-932,"2,376",0,6,1/396,"+6,551","7,682",0,13,1/591,-717,"1,525",0,4,1/381,"-1,334","1,267",0,3,1/422,"-1,179",951,0,3,1/317,+762,"3,850",0,7,1/550,"+2,642","2,729",0,4,1/682,-979,"4,243",0,15,1/283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-09,土,いいえ,-320,"2,164",0,8,1/271,"-1,461","1,573",0,3,1/524,"+4,522","3,247",0,3,1/1082,"-1,199","1,349",0,4,1/337,"-1,712","3,580",0,7,1/511,-218,233,0,1,1/233,-701,"2,649",0,9,1/294,-826,"3,131",0,5,1/626,+226,"1,830",0,3,1/610,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
