日付,曜日,特定日,1066番台,,,,,1067番台,,,,,1068番台,,,,,1070番台,,,,,1071番台,,,,,1072番台,,,,,1073番台,,,,,1075番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-06-01,月,いいえ,"+2,313","3,174",19,14,1/96,+710,"6,755",32,17,1/138,+863,"1,420",10,2,1/118,"-1,990","1,734",1,3,1/434,-749,"2,617",10,5,1/174,+511,591,5,0,1/118,-274,"4,666",18,14,1/146,+689,468,4,1,1/94
2026-05-31,日,いいえ,-184,"2,947",12,5,1/173,-734,699,1,2,1/233,"-6,486","7,867",15,13,1/281,-303,"8,902",37,20,1/156,"-2,415","4,737",13,12,1/189,-211,"2,200",9,3,1/183,"-4,334","5,159",10,10,1/258,+725,"2,524",13,6,1/133
2026-05-30,土,いいえ,+418,"5,727",24,18,1/136,+535,"2,558",14,4,1/142,-208,"3,682",14,11,1/147,-966,905,2,1,1/302,"+2,975","1,698",15,10,1/68,-68,"1,515",6,4,1/152,+228,"1,598",7,5,1/133,+852,"3,376",17,10,1/125
2026-05-29,金,いいえ,"+3,355","4,948",30,18,1/103,-196,136,0,0,-,-986,"2,677",9,4,1/206,"+1,133","1,552",11,2,1/119,-308,200,0,0,-,"-1,579","1,122",0,2,1/561,"+2,572","2,683",16,15,1/87,+770,"2,387",13,5,1/133
2026-05-28,木,いいえ,+654,"4,498",20,14,1/132,+727,624,4,4,1/78,+728,"1,508",10,1,1/137,"+2,777","1,781",15,9,1/74,"+1,543",955,10,1,1/87,"+4,801","3,598",30,13,1/84,-179,122,0,0,-,+663,"3,386",14,14,1/121
2026-05-27,水,いいえ,-952,"2,304",6,7,1/177,-185,838,4,4,1/105,-592,"2,294",8,5,1/176,+414,478,3,2,1/96,"-1,425","3,189",8,7,1/213,"-2,696","4,333",12,5,1/255,"+1,398","1,060",9,2,1/96,-195,123,0,0,-
2026-05-26,火,はい,-473,"1,657",7,0,1/237,"-5,183","6,261",8,15,1/272,"+1,095","2,858",15,9,1/119,"+1,881","2,570",15,11,1/99,"-1,673","2,154",4,5,1/239,-736,"3,889",14,10,1/162,"+1,887","6,760",34,19,1/128,"+1,925","3,482",22,7,1/120
2026-05-25,月,いいえ,+509,"4,076",19,9,1/146,"+1,099","1,065",6,8,1/76,+451,"2,322",9,11,1/116,-356,232,0,0,-,+231,"2,278",11,4,1/152,"-2,908","2,917",3,7,1/292,"-3,583","7,491",24,11,1/214,"+6,644","2,499",31,11,1/60
2026-05-24,日,いいえ,"+1,666","4,187",25,9,1/123,"-1,119","4,054",13,12,1/162,+527,"5,601",23,18,1/137,-81,"4,388",17,16,1/133,+712,"3,343",18,5,1/145,"-2,768","7,629",23,17,1/191,-860,"3,358",11,9,1/168,-955,"5,996",24,12,1/167
2026-05-23,土,はい,"+2,763","3,511",25,6,1/113,-929,"3,773",13,9,1/172,+726,"3,645",18,9,1/135,+339,"3,403",14,10,1/142,+93,"2,569",11,7,1/143,"+1,136","1,912",12,2,1/137,+568,566,4,2,1/94,"+2,653","5,086",31,10,1/124
