日付,曜日,特定日,1178番台,,,,,1180番台,,,,,1181番台,,,,,1182番台,,,,,1183番台,,,,,1185番台,,,,,1186番台,,,,,1187番台,,,,,1188番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-26,火,はい,"-6,114","9,336",7,0,1/1334,"-4,748","7,312",0,0,-,"-4,374","8,009",0,0,-,"+6,520","9,566",0,0,-,"-2,344","7,607",0,0,-,"-3,440","7,196",0,0,-,"-2,203","8,784",3,0,1/2928,"-2,417","6,240",2,0,1/3120,+669,"9,117",14,0,1/651
2026-05-25,月,いいえ,"-5,714","7,874",0,0,-,"-2,846","6,709",0,0,-,-68,"6,366",12,0,1/531,"-2,398","5,454",0,0,-,"-3,228","6,612",0,0,-,-578,"6,996",15,0,1/466,"+4,524","5,809",2,0,1/2905,"-5,103","7,163",0,0,-,"-4,443","7,406",0,0,-
2026-05-24,日,いいえ,"-4,372","6,687",7,0,1/955,"+2,569","4,191",0,0,-,"-4,120","9,902",0,0,-,"+1,064","6,460",0,0,-,"-2,349","3,733",0,0,-,-838,"5,287",4,0,1/1322,"-5,064","6,021",4,0,1/1505,"-4,615","7,595",0,0,-,"-2,907","7,004",7,0,1/1001
2026-05-23,土,はい,"-4,487","9,396",0,0,-,"+5,746","6,068",8,0,1/759,"+2,638","8,606",0,0,-,"+9,066","7,439",3,0,1/2480,"+3,572","7,966",8,0,1/996,+851,"8,948",0,0,-,"-1,687","8,895",13,0,1/684,"-2,164","8,512",0,0,-,"-5,556","7,891",0,0,-
2026-05-22,金,いいえ,"-3,549","7,057",0,0,-,"-3,643","6,529",0,0,-,"+2,758","5,678",0,0,-,+363,"5,733",0,0,-,-139,"4,254",7,0,1/608,"-2,416","4,278",10,0,1/428,"+1,395","6,907",5,0,1/1381,+926,"3,081",6,0,1/514,-258,"5,546",0,0,-
2026-05-21,木,いいえ,"+1,299","8,152",4,0,1/2038,+473,"6,906",0,0,-,"-4,227","4,846",0,0,-,"+3,425","5,852",0,0,-,"-2,968","8,366",17,0,1/492,"-3,612","6,978",2,0,1/3489,+127,"6,022",2,0,1/3011,"+11,830","8,175",3,0,1/2725,"+4,519","5,734",2,0,1/2867
2026-05-20,水,いいえ,"-3,234","6,503",0,0,-,"-4,403","6,973",0,0,-,"+1,361","6,698",2,0,1/3349,-798,"4,497",9,0,1/500,"+3,670","6,152",0,0,-,"-2,819","5,853",10,0,1/585,"+4,243","4,773",0,0,-,"-4,016","7,279",0,0,-,+972,"8,182",7,0,1/1169
2026-05-19,火,いいえ,-755,"8,699",0,0,-,"-2,996","5,368",2,0,1/2684,"+4,242","7,104",5,0,1/1421,"+6,638","7,374",14,0,1/527,"+1,747","6,398",0,0,-,"+3,777","6,199",0,0,-,"-4,602","7,414",0,0,-,"-1,102","7,072",0,0,-,"-6,770","8,488",0,0,-
2026-05-18,月,いいえ,-991,"7,480",4,0,1/1870,"-1,168","6,423",0,0,-,-453,"3,892",2,0,1/1946,"-3,432","6,430",3,0,1/2143,"+4,251","7,729",12,0,1/644,"+1,476","5,191",5,0,1/1038,"-1,490","7,596",0,0,-,-599,"5,211",5,0,1/1042,"-3,378","6,288",0,0,-
2026-05-17,日,いいえ,"-5,590","7,175",0,0,-,"-3,198","8,759",4,0,1/2190,"+2,582","8,854",2,0,1/4427,"+2,867","8,276",3,0,1/2759,+873,"5,748",5,0,1/1150,"-3,862","6,999",5,0,1/1400,"-6,255","6,552",0,0,-,"+1,915","8,287",0,0,-,"-1,741","7,828",4,0,1/1957
2026-05-16,土,はい,+301,"8,812",2,0,1/4406,"+4,314","9,546",3,0,1/3182,"-4,864","7,211",0,0,-,+328,"7,055",0,0,-,"+11,174","9,754",15,0,1/650,"-3,670","8,713",0,0,-,"+1,442","8,378",7,0,1/1197,"+7,203","9,233",15,0,1/616,"-6,487","9,090",0,0,-
2026-05-15,金,いいえ,+36,"7,954",0,0,-,"-2,429","7,508",3,0,1/2503,-630,"8,444",0,0,-,+182,"6,436",3,0,1/2145,"+7,739","7,397",0,0,-,"+2,872","9,427",0,0,-,"-4,477","8,382",0,0,-,"-5,692","6,942",0,0,-,"+2,858","8,070",14,0,1/576
2026-05-14,木,いいえ,"-5,061","5,873",0,0,-,"-2,117","4,255",0,0,-,"-2,466","4,273",0,0,-,"-2,115","2,623",2,0,1/1312,"+4,382","2,553",0,0,-,"+2,592","4,515",2,0,1/2258,"+3,891","6,724",21,0,1/320,+33,"6,590",0,0,-,"-1,143","3,660",3,0,1/1220
2026-05-13,水,はい,"+7,578","10,162",4,0,1/2541,-348,"8,017",2,0,1/4009,-29,"8,029",0,0,-,"-1,109","9,826",0,0,-,"-3,497","7,377",0,0,-,"-3,377","9,068",0,0,-,+239,"7,805",0,0,-,+40,"10,055",0,0,-,"+3,922","9,506",3,0,1/3169
2026-05-12,火,いいえ,+334,"8,939",4,0,1/2235,"+1,308","7,639",14,0,1/546,"-6,717","8,040",5,0,1/1608,"-5,389","8,036",3,0,1/2679,+587,"8,770",0,0,-,-466,"7,130",0,0,-,"-6,535","8,015",0,0,-,"+13,241","8,292",7,0,1/1185,"-3,963","8,979",0,0,-
2026-05-10,日,いいえ,"-5,969","8,538",6,0,1/1423,"-7,776","9,621",0,0,-,"-1,156","9,495",8,0,1/1187,"-5,590","8,945",10,0,1/895,"-5,634","8,621",4,0,1/2155,"-4,051","7,145",0,0,-,"-6,564","9,508",0,0,-,"+2,168","7,798",0,0,-,"-3,202","9,840",0,0,-
2026-05-09,土,いいえ,"-4,828","8,523",7,0,1/1218,"+1,802","8,554",13,0,1/658,"+5,241","7,364",2,0,1/3682,"+1,986","7,958",0,0,-,"-4,410","8,135",0,0,-,"+2,481","9,178",8,0,1/1147,"-4,790","9,157",0,0,-,+291,"7,948",0,0,-,-879,"9,044",4,0,1/2261
2026-05-08,金,いいえ,"-1,407","9,574",0,0,-,-702,"5,166",8,0,1/646,"-3,940","7,545",4,0,1/1886,"-3,987","5,427",0,0,-,-114,"6,880",0,0,-,"-5,265","7,779",0,0,-,"+1,829","4,723",4,0,1/1181,"-3,464","5,476",0,0,-,"+3,320","8,533",4,0,1/2133
2026-05-07,木,いいえ,+881,"10,229",4,0,1/2557,"-5,471","8,991",0,0,-,"-3,556","5,074",10,0,1/507,"+3,142","9,312",3,0,1/3104,+619,"7,031",3,0,1/2344,-811,"10,025",0,0,-,"-3,808","8,823",0,0,-,-627,"7,680",0,0,-,"-2,016","7,487",0,0,-
2026-05-06,水,はい,+648,"9,874",0,0,-,-875,"9,823",16,0,1/614,"-3,791","8,104",0,0,-,-180,"8,963",3,0,1/2988,"-2,379","8,407",18,0,1/467,"-6,502","8,212",0,0,-,"-5,921","9,366",3,0,1/3122,"+5,007","9,495",5,0,1/1899,"-6,023","9,634",9,0,1/1070
2026-05-05,火,いいえ,"-3,352","9,350",12,0,1/779,"+11,290","9,129",0,0,-,+578,"8,871",18,0,1/493,"-1,443","9,034",0,0,-,"-5,216","8,973",0,0,-,"+6,166","9,894",14,0,1/707,"-4,581","8,634",7,0,1/1233,"-2,155","9,578",16,0,1/599,"-8,646","10,011",0,0,-
2026-05-04,月,いいえ,"+2,007","8,940",0,0,-,"-3,904","7,964",14,0,1/569,"-1,318","8,656",2,0,1/4328,"-1,675","8,763",2,0,1/4382,"-7,402","9,169",11,0,1/834,"-2,856","10,051",0,0,-,"+7,732","9,014",2,0,1/4507,"-4,899","8,204",8,0,1/1026,"+1,874","9,431",0,0,-
2026-05-03,日,はい,"-4,657","8,956",0,0,-,"-3,437","8,462",0,0,-,"+12,857","10,325",10,0,1/1033,"-7,198","9,185",0,0,-,"+5,478","9,819",6,0,1/1637,"+5,932","9,723",0,0,-,"+1,913","9,636",3,0,1/3212,"-2,612","8,568",0,0,-,"-2,955","8,212",0,0,-
2026-05-01,金,いいえ,"-5,064","7,407",0,0,-,"+2,010","8,764",21,0,1/417,+77,"9,848",11,0,1/895,-878,"8,524",0,0,-,"+7,098","9,921",13,0,1/763,"-1,478","9,673",0,0,-,"-1,829","9,455",7,0,1/1351,"-3,175","8,914",0,0,-,"-4,401","9,632",0,0,-
2026-04-30,木,いいえ,+673,"9,653",22,0,1/439,"-5,055","9,580",10,0,1/958,"-1,583","8,685",6,0,1/1448,"-1,305","9,506",0,0,-,"+2,596","7,732",0,0,-,"+2,184","9,335",24,0,1/389,"-2,015","9,331",0,0,-,"+2,121","8,905",0,0,-,"-4,816","8,552",0,0,-
2026-04-29,水,いいえ,"-2,763","8,451",10,0,1/845,+711,"9,825",0,0,-,"-1,146","9,297",4,0,1/2324,-86,"9,088",11,0,1/826,"+7,155","9,485",6,0,1/1581,"-6,063","9,000",0,0,-,"-3,634","9,237",4,0,1/2309,"-6,237","9,388",0,0,-,"+6,363","8,792",3,0,1/2931
2026-04-28,火,いいえ,"-2,817","9,665",11,0,1/879,"-5,919","8,076",2,0,1/4038,"-1,573","9,030",0,0,-,+534,"8,295",13,0,1/638,"-5,034","9,075",0,0,-,-104,"9,228",0,0,-,"+3,047","9,719",16,0,1/607,"-2,962","8,976",7,0,1/1282,"-3,231","8,432",0,0,-
2026-04-27,月,いいえ,"-3,583","9,552",0,0,-,"-7,995","8,638",7,0,1/1234,"-1,175","8,485",0,0,-,"-2,342","9,514",5,0,1/1903,"-6,959","9,492",0,0,-,"-4,085","9,053",5,0,1/1811,"+3,296","9,493",8,0,1/1187,"-3,289","8,995",13,0,1/692,"-2,108","8,960",0,0,-
2026-04-26,日,はい,"-1,080","9,831",0,0,-,"-6,160","8,944",2,0,1/4472,+300,"8,875",0,0,-,+456,"8,592",9,0,1/955,+0,"8,780",10,0,1/878,"+4,476","9,021",35,0,1/258,"-3,997","9,085",0,0,-,"+5,852","9,645",5,0,1/1929,"-3,701","9,694",0,0,-
2026-04-25,土,いいえ,"-4,474","9,101",0,0,-,"+10,865","9,188",0,0,-,"-1,144","9,549",0,0,-,"-2,440","9,972",0,0,-,-958,"9,131",12,0,1/761,"-8,058","9,588",4,0,1/2397,"+2,679","9,980",0,0,-,-439,"10,171",8,0,1/1271,"+1,666","9,619",8,0,1/1202
2026-04-24,金,いいえ,"-1,085","9,489",23,0,1/413,-541,"9,998",11,0,1/909,"-5,348","9,468",11,0,1/861,"-2,791","9,262",0,0,-,"+11,615","9,104",3,0,1/3035,"-5,801","8,645",0,0,-,"-1,232","9,994",10,0,1/999,"-5,393","10,000",6,0,1/1667,"-5,828","8,884",0,0,-
2026-04-23,木,はい,"-4,704","10,212",4,0,1/2553,"-5,919","9,351",0,0,-,"+5,984","9,374",13,0,1/721,"-2,770","9,638",0,0,-,"+8,065","10,111",14,0,1/722,"+2,216","9,944",2,0,1/4972,"+5,370","9,923",5,0,1/1985,"-1,656","9,684",0,0,-,"+8,550","9,801",0,0,-
2026-04-22,水,いいえ,"-3,115","9,545",0,0,-,"-2,366","10,056",7,0,1/1437,"+8,063","8,786",0,0,-,"-3,167","8,819",6,0,1/1470,"+3,151","9,399",9,0,1/1044,"+2,639","9,423",11,0,1/857,"+6,354","8,938",0,0,-,"-5,061","8,932",4,0,1/2233,"+1,820","9,360",22,0,1/425
2026-04-21,火,いいえ,-669,"9,890",0,0,-,+760,"10,016",6,0,1/1669,"-7,617","9,332",0,0,-,"+2,474","10,371",6,0,1/1729,"-5,513","8,214",0,0,-,"+5,092","9,715",2,0,1/4858,"-3,755","9,485",0,0,-,"-2,560","9,169",0,0,-,"-6,981","9,622",2,0,1/4811
