日付,曜日,特定日,319番台,,,,,,320番台,,,,,,321番台,,,,,,322番台,,,,,,323番台,,,,,,324番台,,,,,,325番台,,,,,,326番台,,,,,,465番台,,,,,,466番台,,,,,,467番台,,,,,,468番台,,,,,,469番台,,,,,,470番台,,,,,,471番台,,,,,,472番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-03-09,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-394,"1,992",7,4,1/181,2.90,-670,"2,242",6,7,1/172,3.33,-278,924,3,1,1/231,2.94,-583,"1,111",2,3,1/222,3.19,-416,"2,906",9,7,1/182,2.87,-103,598,2,1,1/199,3.23,+655,"4,967",19,21,1/124,4.77,-478,"3,483",9,14,1/151,3.99
2026-03-08,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+798,"8,257",31,27,1/142,3.89,-488,"1,521",4,5,1/169,3.44,"+1,436","7,671",36,26,1/124,4.57,"+4,202","9,470",49,33,1/115,5.13,+303,"5,948",24,18,1/142,3.59,"-1,051","3,740",10,11,1/178,3.09,+728,"7,233",30,22,1/139,3.70,-346,"3,944",13,12,1/158,3.35
2026-03-07,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,411","7,129",20,19,1/183,2.59,"+1,909","5,669",30,15,1/126,3.63,"+3,478","8,219",44,26,1/117,4.69,-276,"5,647",21,17,1/149,3.44,"+1,815","7,432",36,17,1/140,2.79,"+2,527","8,915",38,32,1/127,4.70,-181,"5,697",21,15,1/158,2.94,"+1,657","8,156",34,30,1/127,4.71
2026-03-01,日,いいえ,-751,"1,089",2,2,1/272,2.95,+972,"5,841",27,15,1/139,3.20,-325,572,1,1,1/286,3.17,+68,"3,631",14,8,1/165,2.77,+171,889,4,3,1/127,3.65,+460,"3,081",14,6,1/154,2.81,-133,524,2,0,1/262,3.04,-337,"2,038",7,3,1/204,2.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-28,土,はい,+226,"5,310",22,14,1/148,3.13,-617,"1,690",4,4,1/211,2.98,+439,"3,883",18,8,1/149,2.80,"+2,767","7,284",32,33,1/112,5.45,+182,"6,364",27,14,1/155,2.54,"+1,015","5,721",28,14,1/136,3.15,-70,"1,336",7,1,1/167,2.82,-519,"4,897",17,12,1/169,2.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-27,金,いいえ,-881,"3,280",8,11,1/173,3.40,"+1,256","2,874",17,7,1/120,3.57,+55,"3,102",14,4,1/172,2.37,-128,"2,127",8,5,1/164,3.09,-340,933,3,1,1/233,2.93,-520,"3,169",10,9,1/167,3.17,-432,"1,113",3,2,1/223,3.00,+398,936,5,2,1/134,3.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-26,木,いいえ,+302,"4,400",18,12,1/147,3.26,-45,209,1,0,1/209,3.33,+561,"2,466",11,8,1/130,3.78,+51,"1,356",6,2,1/170,2.98,-99,277,1,0,1/277,3.24,-74,646,2,2,1/162,3.46,+766,"5,460",25,16,1/133,3.70,-398,897,2,2,1/224,3.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-25,水,はい,"+1,401","7,279",32,20,1/140,3.34,+656,"6,453",27,21,1/134,4.01,-437,"3,200",11,5,1/200,2.34,-863,"2,126",6,2,1/266,2.30,+520,"7,980",30,23,1/151,3.24,-857,"2,162",6,2,1/270,2.27,-864,"4,297",16,5,1/205,1.93,"+1,681","8,316",39,20,1/141,2.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-24,火,いいえ,-112,"2,546",11,3,1/182,2.44,-462,770,1,2,1/257,3.22,-560,963,2,3,1/193,3.36,-76,"2,290",8,7,1/153,3.44,+956,"1,842",11,3,1/132,3.12,+581,"2,387",12,5,1/140,3.13,-79,70,0,0,-,3.41,"+2,806","8,081",41,20,1/132,3.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-23,月,いいえ,"+2,242","7,171",36,25,1/118,4.83,-708,571,0,0,-,2.82,-464,848,2,1,1/283,2.95,-639,756,0,2,1/378,3.15,+108,"3,844",15,13,1/137,3.87,+332,"2,050",10,5,1/137,3.35,-202,594,2,0,1/297,2.96,"+1,130","4,608",23,11,1/136,3.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-22,日,いいえ,-926,"2,351",6,7,1/181,3.21,-499,"1,168",2,5,1/167,3.68,+16,"2,823",12,6,1/157,2.93,"-1,374","1,942",2,3,1/388,2.41,-123,"4,180",16,14,1/139,3.83,-336,949,3,1,1/237,2.92,-901,"2,847",9,2,1/259,2.00,-995,"3,580",8,14,1/163,3.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-21,土,いいえ,-772,892,1,2,1/297,3.08,"+1,272","4,500",22,12,1/132,3.47,-967,"1,311",1,4,1/262,3.15,+360,"4,243",17,13,1/141,3.60,-391,"2,255",8,6,1/161,3.22,-579,"1,055",2,4,1/176,3.53,-221,652,2,1,1/217,3.17,+461,"2,793",12,9,1/133,3.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-20,金,いいえ,-222,"2,312",9,3,1/193,2.51,-221,"2,043",7,4,1/186,2.85,"+1,342","3,382",19,11,1/113,4.26,-620,"5,540",17,20,1/150,3.92,-228,163,0,0,-,3.29,+643,"3,158",14,8,1/144,3.24,-186,721,3,0,1/240,2.90,-169,"1,011",3,2,1/202,3.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-19,木,いいえ,+511,"2,226",11,5,1/139,3.23,-385,852,2,1,1/284,2.94,-255,"1,362",5,0,1/272,2.43,+88,"1,015",3,5,1/127,3.96,-27,"2,395",8,9,1/141,3.86,-698,"2,861",9,7,1/179,2.92,+84,"3,013",11,12,1/131,4.19,-298,904,3,1,1/226,2.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-18,水,はい,-76,"5,838",23,10,1/177,2.06,-799,"2,364",5,8,1/182,3.37,-115,"2,766",10,8,1/154,3.34,-438,"2,338",7,6,1/180,3.05,+236,"2,621",13,6,1/138,3.22,"+1,491","5,926",24,22,1/129,4.49,-382,863,2,2,1/216,3.20,-667,"2,273",7,6,1/175,3.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-17,火,いいえ,-673,"3,376",9,11,1/169,3.38,"+2,526","5,206",27,21,1/108,5.13,-464,637,1,1,1/319,3.10,-446,"3,097",10,8,1/172,3.00,-489,"1,373",4,3,1/196,3.06,+916,"2,210",13,5,1/123,3.44,+310,"1,684",8,3,1/153,3.05,+516,"6,393",27,18,1/142,3.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-16,月,いいえ,-396,888,2,3,1/178,3.45,-607,"1,102",2,1,1/367,2.69,+568,"3,954",18,12,1/132,3.75,-180,547,2,0,1/274,3.01,-520,749,1,1,1/375,2.97,-416,878,2,2,1/220,3.18,-680,"2,257",5,8,1/174,3.49,+478,"2,197",12,3,1/146,2.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-15,日,はい,"+1,130","7,645",36,21,1/134,3.51,-228,"3,695",15,6,1/176,2.37,"+3,797","7,726",45,21,1/117,4.19,+549,"3,844",18,7,1/154,2.61,+496,"6,972",26,21,1/148,3.44,-796,"3,837",11,11,1/174,3.07,"+3,221","7,513",39,27,1/114,5.07,-135,"5,211",20,13,1/158,2.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-14,土,いいえ,-811,"2,902",10,4,1/207,2.31,-455,982,2,1,1/327,2.81,+20,977,4,3,1/140,3.53,-334,912,3,0,1/304,2.70,"+1,012","3,225",16,10,1/124,3.89,-528,864,2,1,1/288,2.93,+698,"4,823",21,13,1/142,3.30,-208,"1,231",6,1,1/176,2.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-13,金,いいえ,"-1,040","2,414",5,7,1/201,3.07,-639,"1,177",2,2,1/294,2.86,"+2,240","6,972",33,25,1/120,4.78,-96,"2,397",9,8,1/141,3.68,-580,765,1,1,1/383,2.96,-948,"1,111",2,0,1/556,2.46,-996,"1,701",4,2,1/284,2.51,-638,"1,105",2,2,1/276,2.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-12,木,いいえ,+203,"2,241",10,6,1/140,3.40,-367,"1,999",7,5,1/167,3.15,-325,459,1,0,1/459,3.03,+998,"1,725",10,6,1/108,4.05,"+1,226","4,741",22,14,1/132,3.73,-292,631,1,2,1/210,3.39,-134,"2,997",9,10,1/158,3.53,-300,706,1,3,1/177,3.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-11,水,いいえ,-472,"2,934",9,9,1/163,3.34,-638,"1,170",2,3,1/234,3.12,+27,"3,235",12,11,1/141,3.78,-14,782,3,2,1/156,3.39,-533,815,1,2,1/272,3.17,-766,"1,348",3,2,1/270,2.76,+521,"3,914",19,8,1/145,2.84,-409,496,0,1,1/496,3.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-10,火,いいえ,+332,"2,683",13,6,1/141,3.15,-33,"1,036",4,2,1/173,3.17,-67,"2,293",9,5,1/164,2.99,+532,"3,323",15,8,1/144,3.14,+467,600,4,2,1/100,3.73,-606,"7,956",28,23,1/156,3.14,+98,"3,157",13,9,1/144,3.42,+661,"1,474",8,4,1/123,3.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-09,月,いいえ,-513,"1,222",3,2,1/244,2.89,+831,"3,233",17,8,1/129,3.42,+217,"4,038",18,9,1/150,2.89,"+1,295","5,710",28,17,1/127,3.93,-241,549,1,2,1/183,3.49,-591,"1,533",5,2,1/219,2.72,-409,827,2,1,1/276,2.97,-222,"2,931",12,6,1/163,2.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-08,日,はい,-493,"5,356",18,17,1/153,3.50,-736,"3,166",9,9,1/176,3.10,-227,"6,100",19,20,1/156,3.55,+854,"7,460",31,21,1/143,3.33,-560,"1,816",5,5,1/182,3.19,-537,"1,769",4,4,1/221,2.90,"+1,739","7,336",36,19,1/133,3.34,"+3,621","8,344",46,23,1/121,4.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-07,土,いいえ,-332,"1,889",7,2,1/210,2.53,"+1,259","3,471",18,8,1/134,3.23,+819,"2,653",14,7,1/126,3.56,-726,"1,354",3,3,1/226,3.00,"+1,349","4,371",24,11,1/125,3.53,-374,"2,749",9,7,1/172,3.03,-328,"1,408",4,5,1/156,3.57,"-1,286","4,732",13,12,1/189,2.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-06,金,いいえ,+961,"5,653",27,10,1/153,2.31,-158,"1,914",7,5,1/160,3.25,-255,364,1,0,1/364,3.14,+209,"1,451",6,5,1/132,3.71,+880,"3,261",17,6,1/142,2.85,-305,794,2,1,1/265,3.00,-343,356,0,1,1/356,3.34,-250,"2,284",8,6,1/163,3.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-05,木,はい,"+1,704","7,004",31,24,1/127,4.42,"-1,269","3,928",11,11,1/179,2.98,-728,"2,986",10,6,1/187,2.64,-321,"3,452",13,6,1/182,2.44,"-1,314","2,194",5,3,1/274,2.38,+779,"6,518",28,20,1/136,3.80,-211,"7,507",24,25,1/153,3.68,-957,"6,197",20,17,1/167,2.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-03,火,いいえ,-137,"5,062",23,7,1/169,2.04,-603,"1,302",2,5,1/186,3.52,+0,"2,637",9,9,1/147,3.67,-159,"2,100",8,6,1/150,3.39,+357,"3,205",14,7,1/153,2.94,+80,"3,591",14,7,1/171,2.59,-304,"1,412",5,2,1/202,2.84,+200,"4,296",17,12,1/148,3.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-02,月,いいえ,-386,"1,140",3,2,1/228,2.97,-308,"2,500",9,4,1/192,2.56,-184,"1,419",5,3,1/177,3.09,-312,921,3,2,1/184,3.22,+302,"2,315",11,6,1/136,3.41,-202,423,1,0,1/423,3.07,+148,"1,121",4,5,1/125,3.93,"+1,063","6,539",29,21,1/131,4.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-01,日,いいえ,-944,"3,265",9,9,1/181,3.00,-335,"1,201",4,1,1/240,2.73,-139,"1,905",7,5,1/159,3.26,+174,"3,240",15,6,1/154,2.73,-658,"2,805",8,5,1/216,2.47,+249,"4,301",19,9,1/154,2.71,-910,"1,474",2,4,1/246,3.06,"-1,672","1,601",1,1,1/801,2.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-31,土,いいえ,+798,"4,681",22,12,1/138,3.27,-175,"1,784",6,5,1/162,3.31,-346,"2,904",10,8,1/161,3.19,-484,"2,233",7,5,1/186,2.91,-508,"2,905",8,8,1/182,3.04,"+1,272","3,788",18,11,1/131,3.67,-242,"3,362",13,7,1/168,2.72,-340,"1,677",7,1,1/210,2.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-30,金,いいえ,-662,824,1,2,1/275,3.16,-669,"1,313",3,3,1/219,3.05,-263,"1,263",3,6,1/140,3.93,-162,148,0,0,-,3.31,+851,"3,456",17,11,1/123,3.98,-300,346,0,1,1/346,3.36,"+1,504","2,987",19,7,1/115,3.63,-308,404,1,0,1/404,3.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-29,木,いいえ,-206,"1,248",4,3,1/178,3.20,"+1,043","3,534",19,9,1/126,3.52,+263,"1,591",7,4,1/145,3.35,+792,"3,006",14,9,1/131,3.69,+981,"3,778",19,10,1/130,3.50,-65,776,3,1,1/194,3.11,-332,891,3,1,1/223,2.98,-15,"4,395",16,14,1/147,3.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-28,水,はい,"+1,819","3,697",21,10,1/119,3.79,"-1,071","1,477",2,3,1/295,2.81,+257,"4,151",17,12,1/143,3.44,-720,"1,051",2,1,1/350,2.74,"-1,015","1,369",2,2,1/342,2.67,+231,"1,958",10,3,1/151,2.91,-214,"3,146",11,6,1/185,2.57,"+2,378","8,402",40,25,1/129,3.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-27,火,いいえ,"-1,069","2,051",5,2,1/293,2.30,-184,506,1,1,1/253,3.25,"-1,108","5,904",17,19,1/164,3.38,+221,633,4,0,1/158,3.09,-170,392,1,0,1/392,3.10,-193,"2,191",8,5,1/169,3.02,-375,583,1,0,1/583,2.89,"+4,801","6,448",44,21,1/99,5.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-26,月,いいえ,-46,"3,722",12,13,1/149,3.75,-406,406,0,1,1/406,3.28,+339,"5,624",21,23,1/128,4.70,-348,"1,503",5,4,1/167,3.27,+290,"2,345",11,6,1/138,3.37,+437,"1,299",7,3,1/130,3.42,-394,"1,153",3,3,1/192,3.23,-304,"1,157",4,1,1/231,2.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-25,日,はい,-301,"4,923",18,13,1/159,2.99,-30,"5,123",18,15,1/155,3.26,-455,"3,319",12,8,1/166,2.92,-449,"6,818",25,18,1/159,2.87,+626,"6,161",27,14,1/150,2.69,"+1,820","8,151",38,22,1/136,3.39,"-2,134","3,162",4,6,1/316,2.22,"-1,563","3,885",11,7,1/216,2.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-24,土,いいえ,+457,"3,762",17,10,1/139,3.35,+985,"2,641",13,9,1/120,4.04,"-1,296","2,795",7,7,1/200,2.84,+238,"1,065",5,3,1/133,3.52,+695,"6,898",28,25,1/130,4.48,-245,"1,086",3,3,1/181,3.31,+15,"1,698",8,2,1/170,2.77,-886,"1,749",4,4,1/219,2.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-23,金,いいえ,-856,"1,994",5,4,1/222,2.76,+111,"3,468",14,9,1/151,3.17,-288,328,0,1,1/328,3.38,+325,"2,470",11,6,1/145,3.23,-19,"2,876",13,6,1/151,2.95,-328,"2,418",8,5,1/186,2.80,+778,"4,096",20,10,1/137,3.23,"-1,208","2,950",7,6,1/227,2.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-22,木,いいえ,-607,"1,529",4,2,1/255,2.66,+500,"3,558",15,9,1/148,3.15,+707,"2,359",12,7,1/124,3.73,-369,"6,466",23,18,1/158,3.04,-8,503,2,1,1/168,3.35,-284,"1,791",5,5,1/179,3.22,-238,"2,597",11,2,1/200,2.22,-216,"1,074",4,0,1/269,2.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-21,水,いいえ,"-1,280","4,345",12,9,1/207,2.32,+21,"1,502",7,2,1/167,2.90,-634,718,0,2,1/359,3.19,"+1,926","3,560",21,9,1/119,3.68,-18,"1,097",4,3,1/157,3.38,"+1,581","3,938",23,8,1/127,3.12,-561,684,1,0,1/684,2.78,-140,"1,087",4,1,1/217,2.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-20,火,いいえ,+596,"3,685",16,13,1/127,4.13,-487,"1,118",3,0,1/373,2.51,"-1,252","2,902",8,6,1/207,2.59,-185,535,2,0,1/268,3.02,"+2,951","7,599",42,21,1/121,4.06,+570,"1,533",7,7,1/110,4.26,+62,"1,705",8,4,1/142,3.30,-493,982,3,0,1/327,2.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-19,月,いいえ,-446,588,1,0,1/588,2.88,+441,"3,788",18,7,1/152,2.66,"-1,974","2,052",2,1,1/684,2.02,"+1,887","5,601",29,18,1/119,4.38,-67,288,1,0,1/288,3.23,-732,803,1,0,1/803,2.67,-688,"2,080",5,7,1/173,3.43,-446,"2,743",7,11,1/152,3.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-18,日,はい,"+1,936","8,060",34,29,1/128,4.62,+121,"4,256",19,9,1/152,2.75,-194,"1,851",7,2,1/206,2.56,+80,"4,970",19,11,1/166,2.58,-456,"6,465",24,18,1/154,3.11,+44,"2,722",10,7,1/160,3.13,+857,"5,221",27,9,1/145,2.43,-254,"4,716",16,14,1/157,3.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-17,土,いいえ,"+1,669","6,744",33,17,1/135,3.23,-218,151,0,0,-,3.31,-397,"2,255",7,5,1/188,2.88,-157,693,2,1,1/231,3.12,"+2,222","6,066",32,18,1/121,4.14,-503,"1,343",2,5,1/192,3.47,+346,"2,540",14,1,1/169,2.22,-599,"1,269",4,0,1/317,2.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-16,金,いいえ,+433,"2,868",13,7,1/143,3.21,+20,"1,931",7,4,1/176,2.96,+943,"2,402",11,9,1/120,4.13,+610,"2,642",12,9,1/126,3.94,-164,355,1,0,1/355,3.15,-135,"1,491",6,4,1/149,3.38,-316,387,1,0,1/387,3.11,-285,937,3,1,1/234,2.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-15,木,はい,-243,"6,393",23,19,1/152,3.33,+267,"7,340",30,17,1/156,2.55,+587,"6,893",31,13,1/157,2.21,-402,"3,933",14,10,1/164,2.95,-901,"4,006",12,6,1/223,2.06,+731,"7,633",31,22,1/144,3.39,"-1,970","3,915",8,8,1/245,2.26,-584,"5,935",23,14,1/160,2.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-14,水,いいえ,+195,"1,319",7,1,1/165,2.84,"-1,140","1,205",0,5,1/241,3.45,-122,852,3,1,1/213,3.02,-425,"3,028",11,5,1/189,2.46,-379,387,0,0,-,3.02,-739,"2,476",6,9,1/165,3.59,-418,"1,016",3,1,1/254,2.85,+759,"4,100",19,12,1/132,3.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-13,火,いいえ,+648,"4,697",21,15,1/130,3.94,-450,516,0,1,1/516,3.15,"+1,774","2,923",17,11,1/104,4.59,-241,209,0,0,-,3.23,+13,"3,824",15,11,1/147,3.38,-743,"1,053",1,2,1/351,2.91,-20,"1,091",4,2,1/182,3.11,"+2,994","7,194",36,27,1/114,5.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
