日付,曜日,特定日,319番台,,,,,,320番台,,,,,,321番台,,,,,,322番台,,,,,,323番台,,,,,,324番台,,,,,,325番台,,,,,,326番台,,,,,,465番台,,,,,,466番台,,,,,,467番台,,,,,,468番台,,,,,,469番台,,,,,,470番台,,,,,,471番台,,,,,,472番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-05-19,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-204,"4,368",15,16,1/141,4.03,-368,252,0,0,-,3.18,+78,"7,218",29,22,1/142,3.64,+495,"4,362",19,11,1/145,3.12,-284,335,0,1,1/335,3.37,"+2,357","5,389",29,20,1/110,4.97,+13,"3,465",14,7,1/165,2.69,-538,"1,773",6,3,1/197,2.80
2026-05-18,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-415,"3,753",12,12,1/156,3.47,"+1,787","7,537",35,25,1/126,4.43,-127,"1,232",5,3,1/154,3.31,+797,"7,371",29,26,1/134,4.33,+125,"2,400",10,8,1/133,3.77,-154,"3,456",12,11,1/150,3.53,-140,"4,064",15,12,1/151,3.38,-77,"3,074",11,12,1/134,4.12
2026-05-17,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+936,"8,399",35,29,1/131,4.42,-345,"1,133",3,3,1/189,3.25,-256,"1,970",6,5,1/179,3.10,"-1,335","1,736",3,1,1/434,2.24,"+2,269","4,838",30,8,1/127,2.72,-784,"2,511",7,7,1/179,3.12,-986,"4,427",12,15,1/164,3.51,-498,"3,962",14,12,1/152,3.40
2026-05-16,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-164,"2,741",9,9,1/152,3.55,+377,"6,270",24,16,1/157,2.84,-144,"2,755",10,7,1/162,3.10,-14,"1,791",9,1,1/179,2.52,-209,"2,053",8,2,1/205,2.45,+102,"3,343",14,6,1/167,2.58,+475,"1,898",9,5,1/136,3.44,-498,"2,245",6,5,1/204,2.82
2026-05-15,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+182,"8,806",32,30,1/142,4.06,-270,"3,611",12,10,1/164,3.12,+637,"7,224",32,13,1/161,2.08,"-1,773","6,545",17,19,1/182,2.86,"+1,473","7,340",36,16,1/141,2.66,-491,"4,302",14,13,1/159,3.30,-739,"1,945",4,5,1/216,2.97,"+2,151","8,081",41,18,1/137,2.76
2026-05-13,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,533","3,422",8,9,1/201,2.80,"+1,280","4,570",23,11,1/134,3.22,+49,"2,673",10,7,1/157,3.18,+482,"3,012",14,4,1/167,2.44,"+1,012","3,585",19,6,1/143,2.68,-664,"1,318",2,3,1/264,2.96,-587,"1,374",5,0,1/275,2.42,"+1,276","8,064",34,27,1/132,4.26
2026-05-12,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+289,"5,193",17,23,1/130,4.77,+680,"4,050",19,14,1/123,4.24,-786,"1,230",2,3,1/246,3.06,-649,"1,413",3,3,1/236,2.94,-550,"1,008",3,1,1/252,2.85,"+2,261","4,391",27,8,1/125,2.95,"+1,191","2,654",16,6,1/121,3.46,-358,"3,125",12,8,1/156,3.12
2026-05-11,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-170,"3,726",14,11,1/149,3.40,-46,"7,253",25,26,1/142,4.15,+748,"2,939",16,3,1/155,2.41,+808,715,6,2,1/89,3.78,+392,"5,384",23,13,1/150,2.89,-256,709,2,1,1/236,3.10,"+2,360","4,926",27,18,1/109,4.88,"+1,576","4,894",26,9,1/140,2.63
2026-05-10,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+107,"5,047",20,11,1/163,2.58,+133,"1,694",8,4,1/141,3.31,-693,"1,376",4,1,1/275,2.57,-900,"2,039",5,4,1/227,2.72,-425,"1,221",3,3,1/204,3.15,-40,"3,429",13,7,1/171,2.66,-363,652,2,0,1/326,2.89,"+1,743","6,050",26,26,1/116,5.14
2026-05-09,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-963,"2,130",6,2,1/266,2.29,+233,"4,776",21,9,1/159,2.45,-499,"2,202",6,7,1/169,3.37,-583,"1,450",2,4,1/242,3.08,-97,"1,285",6,1,1/184,2.79,+272,"4,337",18,9,1/161,2.62,-728,630,0,1,1/630,3.02,+487,"4,149",20,10,1/138,3.17
2026-05-08,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,956","3,247",5,10,1/216,2.99,-799,"1,832",4,5,1/204,3.09,-398,"1,854",7,3,1/185,2.79,+146,"4,223",15,13,1/151,3.46,+606,"6,365",26,19,1/141,3.56,-138,462,1,2,1/154,3.60,"+1,402","4,848",23,15,1/128,3.95,-516,"2,181",6,7,1/168,3.40
2026-05-07,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,900","6,627",40,13,1/125,2.88,-326,469,1,0,1/469,3.01,+290,"3,035",15,5,1/152,2.69,-676,689,0,2,1/345,3.23,-551,"1,877",4,6,1/188,3.30,-593,602,0,1,1/602,3.05,-531,"1,013",2,3,1/203,3.30,-432,"2,187",8,2,1/219,2.35
2026-05-06,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+198,"6,713",24,23,1/143,3.97,-303,"2,565",10,6,1/160,3.04,-632,"1,176",3,1,1/294,2.69,-678,"1,978",5,5,1/198,3.02,+190,"3,511",16,6,1/160,2.56,+289,"2,365",11,7,1/131,3.63,+100,"1,653",8,2,1/165,2.82,+148,"4,566",20,11,1/147,2.99
2026-05-05,火,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,582","5,920",16,15,1/191,2.51,+288,"6,483",26,19,1/144,3.45,"+1,042","6,357",31,14,1/141,2.76,+869,"7,455",32,19,1/146,2.96,-258,"7,403",27,16,1/172,2.23,"+2,443","8,359",40,27,1/125,4.44,"+3,125","8,437",43,27,1/121,4.60,+814,"7,633",32,24,1/136,3.90
2026-05-04,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+729,"3,772",17,11,1/135,3.60,-264,"1,171",4,3,1/167,3.29,-239,"1,103",4,2,1/184,3.10,+229,"2,688",11,8,1/141,3.52,-358,380,0,1,1/380,3.31,+190,"1,620",6,7,1/125,4.06,+354,"2,564",11,5,1/160,2.87,-132,581,2,1,1/194,3.25
2026-05-03,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+240,"3,302",15,7,1/150,2.91,"-1,018","3,440",11,3,1/246,1.91,"+1,043","3,091",16,11,1/114,4.31,-638,"1,101",2,2,1/275,2.94,-84,"4,559",16,15,1/147,3.68,-414,494,1,0,1/494,2.99,+274,"4,280",14,16,1/143,4.04,-277,"4,273",16,12,1/153,3.24
2026-05-01,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+603,"4,399",20,9,1/152,2.69,-301,"1,680",5,4,1/187,3.07,+75,"3,559",15,8,1/155,2.90,-266,"1,574",4,5,1/175,3.38,-417,370,0,0,-,3.04,+871,"4,191",21,8,1/145,2.71,-386,"1,178",3,3,1/196,3.20,-100,"1,106",4,2,1/184,3.09
