日付,曜日,特定日,394番台,,,,,,395番台,,,,,,396番台,,,,,,397番台,,,,,,398番台,,,,,,399番台,,,,,,400番台,,,,,,401番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-05-11,月,いいえ,-488,"3,283",10,10,1/164,3.06,+277,"3,652",16,7,1/159,2.55,+216,"2,390",11,5,1/149,2.99,-327,526,1,0,1/526,2.97,+253,"1,760",8,4,1/147,3.19,-279,879,2,2,1/220,3.14,+204,678,4,0,1/170,3.09,+835,"6,288",26,23,1/128,4.07
2026-05-10,日,いいえ,"+1,448","7,181",29,27,1/128,4.20,-332,"1,288",4,3,1/184,3.10,+645,"6,126",24,21,1/136,3.68,-266,"2,760",10,9,1/145,3.40,-831,"1,874",3,7,1/187,3.27,+480,"2,778",15,4,1/146,2.71,-842,"2,522",6,8,1/180,3.06,-250,"2,143",8,5,1/165,2.98
2026-05-09,土,いいえ,-229,"1,053",3,4,1/150,3.51,"+2,147","4,317",23,20,1/100,4.98,+119,"1,704",6,9,1/114,4.17,-444,"2,995",11,7,1/166,2.79,+208,508,4,0,1/127,3.30,"+1,844","9,138",39,35,1/123,4.55,-269,858,1,4,1/172,3.53,-63,"2,004",8,4,1/167,2.91
2026-05-08,金,はい,-652,"1,561",5,2,1/223,2.67,-426,"2,545",8,8,1/159,3.22,-733,"1,394",3,3,1/232,2.89,"+2,500","5,123",28,22,1/102,5.01,+65,386,2,0,1/193,3.24,+801,"5,599",24,20,1/127,4.01,-68,775,3,1,1/194,3.12,-357,"1,674",7,3,1/167,2.95
2026-05-07,木,いいえ,+215,"1,053",6,2,1/132,3.34,-243,785,1,5,1/131,3.84,-317,"2,670",7,12,1/141,3.86,+891,"4,191",17,18,1/120,4.37,-420,"1,736",6,2,1/217,2.58,-596,"1,961",4,8,1/163,3.49,+759,"4,365",19,11,1/146,2.93,-57,262,1,1,1/131,3.53
2026-05-06,水,いいえ,"+4,986","9,559",45,48,1/103,5.53,+367,"1,677",8,5,1/129,3.53,-423,691,1,2,1/230,3.26,+346,"7,407",25,33,1/128,4.55,-479,"3,503",12,6,1/195,2.23,"-1,208","5,711",14,21,1/163,3.24,+261,"2,735",12,8,1/137,3.40,-525,"3,894",13,9,1/177,2.50
2026-05-05,火,はい,"-2,887","4,444",9,9,1/247,1.94,"+1,879","8,252",39,24,1/131,3.45,+750,"8,479",32,35,1/127,4.53,"-2,249","4,881",10,13,1/212,2.25,+704,"7,394",27,30,1/130,4.32,"-1,058","5,048",15,16,1/163,2.96,"+3,301","7,771",42,28,1/111,4.87,"+1,838","8,873",42,28,1/127,3.91
2026-05-04,月,いいえ,-464,594,1,1,1/297,3.13,+883,"7,503",28,34,1/121,4.77,"+1,325","2,365",15,7,1/108,3.93,-346,324,0,1,1/324,3.35,-489,"1,201",3,3,1/200,3.10,-561,689,0,2,1/345,3.16,-557,"3,962",14,8,1/180,2.34,-326,570,1,2,1/190,3.40
2026-05-03,日,いいえ,-300,"3,871",14,11,1/155,3.01,-623,"1,321",3,3,1/220,2.97,-997,"4,723",14,13,1/175,2.61,"+1,439","3,893",22,11,1/118,3.78,+838,"6,154",25,18,1/143,3.11,-290,961,3,1,1/240,2.91,+645,"7,731",27,35,1/125,4.68,+194,"3,496",15,11,1/134,3.52
2026-05-01,金,いいえ,-900,"2,034",5,3,1/254,2.43,-128,964,4,1,1/193,3.00,+241,"1,355",7,1,1/169,2.84,-256,"4,322",15,14,1/149,3.28,-339,782,2,2,1/196,3.25,-280,"2,070",7,7,1/148,3.43,-416,"1,839",7,3,1/184,2.77,-656,"2,545",7,7,1/182,2.91
2026-04-30,木,いいえ,-704,"3,917",14,9,1/170,2.55,-593,701,1,0,1/701,2.78,-135,"1,787",9,3,1/149,3.01,-630,"4,780",14,19,1/145,3.74,+44,"1,762",6,6,1/147,3.46,-335,"1,072",3,2,1/214,3.01,+219,"3,297",13,10,1/143,3.32,"+1,150","7,711",32,28,1/129,4.14
2026-04-29,水,いいえ,-21,"5,955",22,19,1/145,3.26,-517,"1,652",4,4,1/207,2.93,-590,456,0,0,-,2.96,+552,"4,260",20,11,1/137,3.14,-473,604,1,1,1/302,3.12,+466,"1,581",9,2,1/144,3.01,-473,"6,340",23,18,1/155,2.77,"+1,186","2,787",15,9,1/116,3.88
2026-04-28,火,はい,"+1,011","5,831",26,19,1/130,3.76,-780,666,0,0,-,2.73,-378,"1,467",5,2,1/210,2.77,-109,"1,884",6,7,1/145,3.55,-305,524,1,0,1/524,2.97,-38,"2,633",11,7,1/146,3.18,-614,"1,412",2,5,1/202,3.23,-8,"3,369",12,15,1/125,4.19
2026-04-27,月,いいえ,"-1,315","4,015",10,11,1/191,2.57,-472,"2,752",8,10,1/153,3.44,+241,"2,195",9,9,1/122,3.94,+0,228,1,0,1/228,3.33,"+3,743","6,868",38,32,1/98,5.42,-120,111,0,0,-,3.36,+407,910,5,1,1/152,3.16,+765,"3,917",19,14,1/119,4.10
