日付,曜日,特定日,566番台,,,,,,,567番台,,,,,,,568番台,,,,,,,570番台,,,,,,,571番台,,,,,,,603番台,,,,,,,605番台,,,,,,,606番台,,,,,,,607番台,,,,,,,608番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-03,水,いいえ,-430,512,1,0,1/512,1/6.66,2.94,+170,"1,940",8,5,1/149,1/6.01,3.22,-190,"1,197",2,4,1/200,1/4.90,3.50,-220,129,0,0,-,1/9.66,3.34,-410,"1,525",4,5,1/169,1/6.22,3.53,-190,"1,626",6,3,1/181,1/6.12,2.86,-140,106,0,0,-,1/6.60,3.37,-320,"1,605",6,1,1/229,1/6.01,2.33,-100,"1,730",6,6,1/144,1/6.32,3.70,-840,617,0,0,-,1/6.83,2.78
2026-06-02,火,いいえ,"+2,460","4,266",25,14,1/109,1/6.08,4.06,-40,40,0,0,-,1/5.22,3.45,+210,286,2,1,1/95,1/6.87,3.58,-50,328,1,1,1/164,1/6.07,3.49,-210,227,0,1,1/227,1/6.76,3.57,-620,696,1,0,1/696,1/6.25,2.74,+40,"1,241",6,2,1/155,1/6.72,2.96,+220,"1,968",9,5,1/141,1/6.42,3.23,"-1,020","1,041",0,4,1/260,1/6.76,3.60,-110,342,1,1,1/171,1/6.71,3.47
2026-06-01,月,いいえ,-360,664,2,0,1/332,1/6.50,2.81,-870,"1,702",3,5,1/213,1/6.18,3.29,+150,"2,406",9,6,1/160,1/5.67,3.06,-90,"1,765",7,5,1/147,1/6.62,3.38,-270,"2,850",11,9,1/143,1/6.90,3.58,+40,366,2,0,1/183,1/6.33,3.14,-140,103,0,0,-,1/6.81,3.37,-250,170,0,0,-,1/7.53,3.29,+540,"4,017",17,11,1/143,1/5.99,3.17,-250,"1,532",6,2,1/192,1/6.37,2.66
2026-05-31,日,いいえ,-470,"2,920",9,8,1/172,1/6.01,3.13,-170,568,2,0,1/284,1/5.95,2.91,-210,329,1,0,1/329,1/7.09,3.15,"-1,830","2,914",4,8,1/243,1/6.18,2.95,-640,602,0,1,1/602,1/6.11,3.12,-490,605,1,0,1/605,1/6.12,2.83,+70,954,5,0,1/191,1/6.23,2.62,+610,"2,073",11,2,1/159,1/5.73,2.34,-140,81,0,0,-,1/9.93,3.40,+40,"4,776",21,8,1/165,1/6.30,2.00
2026-05-30,土,いいえ,-300,"1,667",5,5,1/167,1/6.12,3.41,-290,285,0,1,1/285,1/6.79,3.50,"+4,150","6,185",35,26,1/101,1/5.84,5.09,-220,246,0,1,1/246,1/6.41,3.54,-520,"1,003",2,3,1/201,1/6.54,3.40,-270,372,1,0,1/372,1/7.09,3.10,-250,"1,021",3,3,1/170,1/6.33,3.42,+90,"1,850",9,3,1/154,1/6.68,2.74,-140,144,0,0,-,1/5.12,3.33,"+2,220","6,449",30,25,1/117,1/6.02,4.76
2026-05-29,金,いいえ,-790,"1,936",5,3,1/242,1/6.04,2.52,+10,521,3,0,1/174,1/7.28,3.00,-850,"4,067",9,18,1/151,1/5.97,4.63,-190,746,2,2,1/187,1/5.95,3.37,-120,"1,212",3,4,1/173,1/5.36,3.53,-560,"1,451",4,4,1/181,1/6.75,3.29,-150,684,2,0,1/342,1/5.08,2.79,-50,264,1,0,1/264,1/5.76,3.22,-270,588,2,0,1/294,1/6.58,2.89,+160,"1,912",10,3,1/147,1/6.99,2.71
2026-05-28,木,いいえ,-390,433,0,1,1/433,1/5.67,3.32,-150,634,2,1,1/211,1/5.93,3.16,-250,170,0,0,-,1/7.53,3.29,-90,194,0,1,1/194,1/5.08,3.61,-70,230,0,2,1/115,1/5.75,3.89,+610,404,4,1,1/81,1/6.13,3.52,-10,70,0,1,1/70,1/7.90,3.75,-120,232,0,1,1/232,1/5.00,3.56,-10,"1,928",7,7,1/138,1/6.34,3.83,"+1,100","1,698",10,6,1/106,1/5.91,3.89
2026-05-27,水,いいえ,-40,423,2,0,1/212,1/6.42,3.08,-270,225,0,0,-,1/6.00,3.23,+30,"3,570",13,14,1/132,1/6.43,4.31,-90,304,1,1,1/152,1/7.34,3.52,+40,"2,180",10,3,1/168,1/6.34,2.46,-100,596,2,1,1/199,1/5.89,3.21,-140,259,1,0,1/259,1/7.86,3.23,-30,13,0,0,-,1/35.39,3.48,-640,648,0,3,1/216,1/7.28,3.73,+40,"1,044",4,3,1/149,1/6.02,3.43
2026-05-26,火,いいえ,+160,480,3,0,1/160,1/6.21,3.05,+100,238,1,1,1/119,1/5.37,3.60,-90,76,0,0,-,1/5.93,3.41,-190,267,1,0,1/267,1/9.13,3.22,+440,"1,434",7,3,1/143,1/5.69,3.11,-190,274,0,1,1/274,1/5.37,3.51,-20,258,1,0,1/258,1/5.41,3.23,-40,35,0,0,-,1/5.75,3.46,-430,"1,925",5,8,1/148,1/6.38,4.05,+770,"1,993",9,8,1/117,1/5.74,4.12
2026-05-25,月,いいえ,-420,"1,274",3,3,1/212,1/5.79,3.13,-550,492,0,0,-,1/5.65,2.92,+90,148,1,0,1/148,1/5.57,3.36,"+1,260","2,849",16,6,1/130,1/5.90,2.86,-120,313,1,1,1/157,1/7.73,3.51,-470,430,0,1,1/430,1/6.58,3.32,+110,863,4,1,1/173,1/5.80,2.98,-310,261,0,0,-,1/5.94,3.19,+490,"2,774",12,6,1/154,1/5.67,2.79,-290,"1,987",6,7,1/153,1/6.22,3.72
