日付,曜日,特定日,566番台,,,,,,,567番台,,,,,,,568番台,,,,,,,570番台,,,,,,,571番台,,,,,,,603番台,,,,,,,605番台,,,,,,,606番台,,,,,,,607番台,,,,,,,608番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-03-23,月,いいえ,-210,373,1,0,1/373,1/6.18,3.09,-380,989,2,3,1/198,1/5.94,3.42,-160,216,0,1,1/216,1/5.94,3.58,-350,"1,660",4,7,1/151,1/6.11,4.00,+640,"1,738",8,5,1/134,1/5.47,3.45,+30,326,1,2,1/109,1/6.35,3.82,-360,305,0,1,1/305,1/7.71,3.47,+210,882,4,3,1/126,1/6.16,3.62,-240,183,0,0,-,1/6.55,3.28,-350,473,1,0,1/473,1/6.35,2.98
2026-03-22,日,いいえ,+50,"1,922",7,5,1/160,1/5.76,3.20,-710,"1,665",4,3,1/238,1/6.03,2.75,-290,845,1,3,1/211,1/5.16,3.54,-770,"2,915",8,8,1/182,1/6.10,3.09,-340,236,0,0,-,1/7.32,3.21,-610,"1,054",2,2,1/264,1/6.19,3.01,+470,"3,807",14,15,1/131,1/5.93,4.36,-440,827,2,3,1/165,1/7.68,3.61,-520,"1,231",3,1,1/308,1/5.64,2.57,-950,"3,256",9,7,1/204,1/5.98,2.53
2026-03-21,土,いいえ,-310,"7,193",30,12,1/171,1/6.27,1.67,-180,404,1,1,1/202,1/6.53,3.40,-90,373,1,1,1/187,1/5.89,3.43,-220,"2,281",7,7,1/163,1/5.85,3.43,-360,"2,521",9,7,1/158,1/6.55,3.25,"+1,600","3,916",20,15,1/112,1/6.23,4.45,-390,"1,736",4,7,1/158,1/5.97,3.92,-820,"4,644",15,15,1/155,1/6.50,3.61,"+1,780","5,712",26,20,1/124,1/5.89,4.25,+540,"3,414",16,8,1/142,1/6.24,2.88
2026-03-20,金,いいえ,+610,"2,187",12,4,1/137,1/6.40,2.80,-780,"1,133",1,4,1/227,1/6.24,3.54,-270,444,1,0,1/444,1/5.90,3.01,-80,"3,234",10,13,1/141,1/5.97,4.27,-40,"1,449",5,4,1/161,1/5.84,3.33,+540,"1,900",8,8,1/119,1/5.93,4.18,+700,"1,333",8,2,1/133,1/5.72,2.94,"+1,280","4,970",23,16,1/127,1/6.09,3.85,-480,"1,943",6,5,1/177,1/6.36,3.14,-410,"3,310",10,13,1/144,1/6.31,4.20
2026-03-19,木,いいえ,+120,"3,560",14,9,1/155,1/6.01,2.95,-340,197,0,0,-,1/9.90,3.26,+90,"2,153",8,7,1/144,1/6.04,3.62,-210,129,0,0,-,1/8.83,3.34,-520,756,1,0,1/756,1/5.29,2.67,-150,396,1,1,1/198,1/6.28,3.41,-110,591,2,0,1/296,1/5.36,2.89,-160,"1,148",4,2,1/191,1/5.94,2.99,-520,"1,522",3,6,1/169,1/6.09,3.81,-80,292,1,0,1/292,1/5.73,3.19
2026-03-18,水,いいえ,"+2,080","3,183",20,9,1/110,1/6.02,3.57,+710,"4,637",18,18,1/129,1/6.00,4.46,"+1,700","2,900",15,16,1/94,1/6.24,5.09,-390,"3,149",11,10,1/150,1/6.55,3.56,+110,"5,128",17,16,1/155,1/5.64,3.48,"+2,740","4,198",26,13,1/108,1/6.04,3.89,+860,"3,582",13,19,1/112,1/5.94,5.09,+900,"4,228",15,22,1/114,1/5.93,5.15,"+2,040","5,374",23,27,1/107,1/5.93,5.26,"+1,720","6,980",28,28,1/125,1/5.79,4.85
2026-03-17,火,いいえ,+690,"1,520",9,2,1/138,1/5.86,2.78,-220,176,0,0,-,1/6.23,3.29,-280,855,2,2,1/214,1/5.75,3.24,-80,60,0,0,-,1/6.66,3.43,+110,"1,656",8,3,1/151,1/6.64,2.90,+590,"3,269",13,11,1/136,1/5.77,3.81,-190,199,0,0,-,1/5.07,3.26,-80,54,0,0,-,1/7.60,3.43,-320,432,1,0,1/432,1/6.62,3.03,-250,362,1,0,1/362,1/6.98,3.11
2026-03-16,月,いいえ,-720,"1,786",2,9,1/162,1/5.87,4.34,-90,81,0,0,-,1/5.62,3.40,"+1,240","2,998",16,8,1/125,1/5.96,3.31,+450,922,5,4,1/102,1/6.48,3.94,-380,"2,338",7,7,1/167,1/6.03,3.37,-50,650,2,2,1/163,1/5.78,3.48,-510,"1,050",2,3,1/210,1/6.19,3.35,-240,500,1,1,1/250,1/5.90,3.28,-300,686,1,2,1/229,1/5.53,3.40,-580,"3,315",10,10,1/166,1/6.12,3.35
2026-03-15,日,いいえ,-170,"1,483",6,2,1/185,1/6.31,2.71,+180,"1,602",6,4,1/160,1/5.48,3.20,+490,"2,792",10,11,1/133,1/5.61,4.18,-160,813,2,3,1/163,1/5.88,3.62,-410,"1,334",3,4,1/191,1/5.84,3.39,-180,"2,198",7,8,1/147,1/6.17,3.83,-770,"1,419",3,2,1/284,1/6.05,2.67,"-1,460","2,493",4,6,1/249,1/6.10,2.79,-320,249,0,0,-,1/6.41,3.20,+910,"4,223",19,10,1/146,1/5.78,2.76
2026-03-14,土,はい,+160,"4,778",18,18,1/133,1/6.38,4.34,-380,"1,926",6,6,1/161,1/6.40,3.48,-50,"2,062",7,6,1/159,1/5.83,3.36,-480,902,2,2,1/226,1/6.52,3.19,-680,"5,724",22,10,1/179,1/6.27,1.86,-230,888,3,1,1/222,1/6.09,2.92,-120,"2,388",7,8,1/159,1/5.63,3.63,+230,"6,157",21,23,1/140,1/5.93,4.39,-160,621,2,1,1/207,1/6.12,3.18,+580,"3,954",17,12,1/136,1/6.14,3.53
2026-03-13,金,いいえ,+240,496,3,1,1/124,1/6.17,3.37,-160,165,0,0,-,1/5.12,3.30,-100,280,1,0,1/280,1/6.27,3.20,"+1,140","2,270",13,7,1/114,1/6.19,3.68,-90,67,0,0,-,1/6.72,3.42,+370,732,5,0,1/146,1/6.08,2.85,-90,46,0,0,-,1/13.86,3.44,+510,823,5,2,1/118,1/5.77,3.40,-90,54,0,0,-,1/9.23,3.43,+90,"1,372",5,5,1/137,1/6.02,3.75
2026-03-12,木,いいえ,-190,"1,827",7,6,1/141,1/6.98,3.63,-110,139,0,0,-,1/4.59,3.33,+0,0,0,0,-,-,-,-40,38,0,0,-,1/5.40,3.45,-20,19,0,0,-,1/5.40,3.48,-20,448,2,0,1/224,1/5.87,3.05,-180,208,0,1,1/208,1/6.64,3.59,-230,186,0,0,-,1/6.17,3.27,+70,347,2,0,1/174,1/6.25,3.17,-310,438,1,0,1/438,1/6.40,3.02
2026-03-11,水,いいえ,-490,692,0,4,1/173,1/6.31,4.00,-420,853,2,0,1/427,1/5.52,2.61,-100,598,2,1,1/199,1/5.88,3.21,-240,327,0,1,1/327,1/5.32,3.45,-90,66,0,0,-,1/6.84,3.42,-270,210,0,0,-,1/6.41,3.25,-240,203,0,0,-,1/5.92,3.25,-300,502,1,1,1/251,1/6.45,3.28,-150,339,1,0,1/339,1/5.94,3.13,-550,738,1,2,1/246,1/6.75,3.34
2026-03-10,火,いいえ,-180,175,0,1,1/175,1/8.39,3.63,+160,"5,039",21,13,1/148,1/6.33,2.88,-310,491,0,3,1/164,1/6.09,3.91,+540,"3,606",14,14,1/129,1/6.02,4.31,-180,487,2,0,1/244,1/7.10,3.00,+620,"1,203",7,4,1/109,1/6.35,3.70,-150,"1,656",7,1,1/207,1/6.07,2.32,-300,564,1,1,1/282,1/5.78,3.21,"+1,440","2,273",12,10,1/103,1/5.67,4.46,-150,752,3,1,1/188,1/6.67,3.07
2026-03-09,月,いいえ,-500,485,0,2,1/243,1/7.24,3.60,+380,"4,925",20,17,1/133,1/6.38,4.04,-180,224,0,0,-,1/4.62,3.23,-280,247,0,0,-,1/5.71,3.20,-300,425,1,0,1/425,1/6.48,3.03,-380,385,0,1,1/385,1/6.17,3.38,-20,487,2,2,1/122,1/7.55,3.68,+740,944,7,3,1/94,1/7.02,3.67,-80,325,1,0,1/325,1/5.29,3.15,+120,624,3,1,1/156,1/5.89,3.22
2026-03-08,日,いいえ,+540,"2,068",9,9,1/115,1/6.27,4.31,"+1,120","4,593",21,17,1/121,1/6.32,4.37,-190,873,3,2,1/175,1/6.52,3.26,+180,"3,254",13,9,1/148,1/6.09,3.22,-610,559,0,1,1/559,1/6.30,3.17,-230,745,2,2,1/186,1/6.21,3.37,-80,765,3,2,1/153,1/6.74,3.39,+510,"2,710",14,7,1/129,1/6.85,3.23,+40,931,4,1,1/186,1/5.76,2.91,-410,"3,433",11,12,1/149,1/6.31,3.85
2026-03-07,土,いいえ,-70,"3,831",15,11,1/147,1/6.40,3.29,-180,"1,649",5,6,1/150,1/6.11,3.75,"+1,160","2,207",12,10,1/100,1/6.40,4.52,-310,"1,569",4,4,1/196,1/5.53,3.16,-780,"1,237",3,2,1/247,1/7.05,2.85,-410,"1,262",4,2,1/210,1/6.37,2.86,+30,"1,011",5,1,1/169,1/6.56,2.86,-10,"2,274",10,3,1/175,1/6.19,2.39,-100,"1,802",7,4,1/164,1/6.23,3.02,+180,"2,073",9,4,1/159,1/5.98,2.81
2026-03-06,金,いいえ,-220,233,0,0,-,1/5.03,3.22,-20,761,3,2,1/152,1/6.36,3.39,+160,956,5,1,1/159,1/6.25,2.92,-70,53,0,0,-,1/6.60,3.44,+960,"2,739",15,7,1/125,1/6.37,3.24,-300,258,0,0,-,1/5.84,3.19,-480,325,0,0,-,1/7.57,3.11,+430,"2,424",11,5,1/152,1/5.85,2.82,-540,"1,592",3,6,1/177,1/5.90,3.73,-740,"1,047",2,1,1/349,1/6.39,2.71
2026-03-05,木,いいえ,-350,"1,562",5,2,1/223,1/5.81,2.60,+50,"1,101",4,2,1/184,1/5.38,3.04,+50,"1,948",9,4,1/150,1/6.70,2.94,-380,"1,041",3,1,1/260,1/5.93,2.75,+230,"2,311",9,7,1/144,1/5.89,3.48,-520,454,0,1,1/454,1/6.80,3.30,-180,"1,047",4,0,1/262,1/5.73,2.50,-310,"1,667",5,5,1/167,1/6.15,3.41,-120,"1,197",4,4,1/150,1/6.31,3.58,-410,569,1,1,1/285,1/6.67,3.20
2026-03-04,水,はい,-940,"1,860",3,6,1/207,1/6.11,3.43,-430,367,0,0,-,1/5.87,3.06,-580,558,0,2,1/279,1/6.97,3.51,"+2,150","6,791",29,29,1/117,1/5.88,5.06,+160,647,3,3,1/108,1/6.88,3.86,+540,"5,372",21,20,1/131,1/6.21,4.38,-670,"1,269",3,3,1/212,1/6.78,3.13,-370,308,0,0,-,1/6.00,3.13,+500,"3,649",19,7,1/140,1/6.83,2.49,-690,514,0,0,-,1/6.72,2.89
2026-03-03,火,いいえ,-970,"1,804",2,9,1/164,1/6.48,4.33,+110,821,4,0,1/205,1/5.56,2.72,-310,254,0,0,-,1/6.09,3.19,+30,779,3,2,1/156,1/5.91,3.37,-540,598,0,2,1/299,1/6.12,3.46,"-1,390","1,677",1,4,1/335,1/6.04,2.93,"+1,030","2,596",15,7,1/118,1/6.60,3.40,-210,619,2,0,1/310,1/5.80,2.86,-80,371,1,1,1/186,1/5.81,3.44,"+1,820","3,021",17,13,1/101,1/6.15,4.64
2026-03-02,月,いいえ,"+1,020","2,896",15,7,1/132,1/5.95,3.07,-290,290,0,0,-,1/5.22,3.15,+280,"2,121",9,7,1/133,1/6.27,3.69,-140,"2,003",7,7,1/143,1/6.43,3.74,-310,"1,158",3,4,1/165,1/6.25,3.59,-470,539,1,0,1/539,1/6.71,2.91,-280,"1,873",6,7,1/144,1/6.58,3.85,-250,"2,311",8,6,1/165,1/6.15,3.13,-380,"1,096",3,3,1/183,1/6.49,3.33,-500,915,3,0,1/305,1/6.90,2.59
2026-03-01,日,いいえ,-350,"1,755",6,2,1/219,1/5.88,2.45,-340,548,1,0,1/548,1/5.51,2.90,+120,"2,650",11,8,1/139,1/6.45,3.49,-720,612,0,1,1/612,1/6.67,3.11,-410,637,1,0,1/637,1/5.36,2.80,-290,"2,454",7,9,1/153,1/5.96,3.86,-380,623,1,0,1/623,1/5.27,2.81,+380,"2,116",10,5,1/141,1/6.19,3.10,-320,635,1,2,1/212,1/6.02,3.46,"+1,190","5,166",23,19,1/123,1/6.22,4.39
2026-02-28,土,いいえ,-20,"1,676",5,6,1/152,1/5.62,3.72,+520,"1,402",8,3,1/127,1/6.36,3.18,-770,755,0,2,1/378,1/6.36,3.28,+960,"4,072",19,7,1/157,1/5.61,2.18,"+2,930","8,299",45,20,1/128,1/6.22,2.62,-30,"1,642",6,5,1/149,1/6.16,3.48,-640,"1,087",1,4,1/217,1/5.89,3.59,"+2,160","5,968",28,28,1/107,1/6.36,5.23,+540,"1,456",8,3,1/132,1/6.07,3.12,"+1,000","2,698",14,6,1/135,1/5.80,2.94
2026-02-27,金,いいえ,-420,393,0,0,-,1/5.46,3.03,+100,"2,326",9,6,1/155,1/5.92,3.15,-110,87,0,0,-,1/6.30,3.39,+390,"2,023",9,5,1/145,1/5.86,3.17,-80,979,4,2,1/163,1/6.54,3.18,-100,678,2,2,1/170,1/5.89,3.45,-240,528,1,1,1/264,1/5.64,3.25,-920,"2,832",5,14,1/149,1/6.22,4.66,-30,"1,511",5,6,1/137,1/6.17,3.90,-170,726,2,2,1/182,1/5.98,3.39
2026-02-26,木,いいえ,-520,"1,130",2,3,1/226,1/5.84,3.25,-210,472,1,1,1/236,1/5.93,3.32,"-1,210","2,289",5,3,1/286,1/6.03,2.24,+580,"3,944",17,13,1/131,1/6.27,3.83,-50,170,0,1,1/170,1/4.78,3.64,"+1,420","2,490",16,5,1/119,1/6.21,2.93,-110,114,0,0,-,1/5.10,3.36,+320,"1,047",5,3,1/131,1/5.89,3.47,+80,"1,757",6,6,1/146,1/5.76,3.67,+110,314,2,0,1/157,1/6.27,3.20
2026-02-25,水,いいえ,-440,400,0,1,1/400,1/6.71,3.36,-440,"2,501",7,10,1/147,1/6.32,4.09,-640,"5,160",19,12,1/166,1/6.37,2.48,-120,128,0,0,-,1/5.01,3.34,-170,"1,507",5,5,1/151,1/6.33,3.59,+20,352,2,0,1/176,1/6.92,3.16,-440,346,0,0,-,1/6.34,3.09,-270,690,2,2,1/173,1/7.07,3.44,-230,166,0,0,-,1/6.97,3.30,+20,"1,743",7,3,1/174,1/5.86,2.77
2026-02-24,火,はい,-490,"2,117",3,13,1/132,1/5.92,4.89,-380,957,2,3,1/191,1/6.12,3.45,+540,"1,618",8,5,1/124,1/6.05,3.59,+720,"4,076",14,17,1/131,1/5.55,4.57,+120,724,4,0,1/181,1/6.13,2.82,-340,252,0,0,-,1/6.75,3.20,"+4,640","7,594",41,34,1/101,1/5.93,5.32,-160,237,0,1,1/237,1/5.51,3.56,-40,228,1,0,1/228,1/6.39,3.27,"+2,550","7,532",34,29,1/120,1/5.88,4.81
2026-02-23,月,いいえ,"+1,260","5,450",27,13,1/136,1/6.23,2.71,-630,"1,078",2,3,1/216,1/6.60,3.31,+720,"2,615",12,5,1/154,1/5.46,2.67,"-1,070","2,291",4,8,1/191,1/6.20,3.62,-300,501,1,0,1/501,1/5.59,2.95,+120,619,3,2,1/124,1/6.71,3.56,+190,"1,918",8,5,1/148,1/6.02,3.24,-250,283,0,1,1/283,1/6.11,3.50,+750,"4,203",19,11,1/140,1/6.07,3.06,+310,"1,473",7,4,1/134,1/6.24,3.39
2026-02-22,日,いいえ,+320,"2,532",11,5,1/158,1/5.83,2.71,-480,"2,541",9,6,1/169,1/6.54,2.92,-370,723,2,0,1/362,1/6.04,2.74,-190,"3,545",12,14,1/136,1/6.43,4.30,-340,449,1,0,1/449,1/6.59,3.01,-880,"1,442",2,5,1/206,1/6.46,3.55,-430,"1,344",3,4,1/192,1/5.87,3.37,-390,339,0,0,-,1/5.78,3.09,+470,"1,147",6,4,1/115,1/6.22,3.72,-550,"5,714",17,24,1/139,1/6.24,4.76
2026-02-21,土,いいえ,+930,"6,849",27,29,1/122,1/6.32,5.01,-670,561,0,1,1/561,1/6.85,3.17,-560,478,0,1,1/478,1/6.89,3.27,-80,"1,808",8,3,1/164,1/6.60,2.74,-540,"2,021",6,4,1/202,1/6.03,2.75,-420,"1,246",4,1,1/249,1/6.11,2.58,"-1,090","1,936",2,5,1/277,1/5.48,3.00,-510,553,0,1,1/553,1/5.57,3.18,-490,"2,294",7,7,1/164,1/6.37,3.42,-160,"3,652",14,9,1/159,1/6.23,2.86
2026-02-20,金,いいえ,"+1,660","6,618",27,29,1/118,1/6.01,5.10,-140,119,0,0,-,1/5.89,3.36,"+1,170","2,741",16,5,1/131,1/6.10,2.68,+280,"1,664",6,6,1/139,1/5.54,3.77,-210,351,1,0,1/351,1/6.58,3.12,-80,495,2,1,1/165,1/6.91,3.33,-220,"4,322",16,9,1/173,1/5.94,2.35,-380,"2,286",6,8,1/163,1/5.85,3.70,+630,"2,632",13,6,1/139,1/6.12,2.97,-280,856,3,0,1/285,1/6.05,2.64
2026-02-19,木,いいえ,-440,655,1,0,1/655,1/5.42,2.78,+140,"1,508",7,3,1/151,1/6.34,3.02,-560,993,2,2,1/248,1/6.31,3.08,+220,"1,398",6,5,1/127,1/6.33,3.76,-620,"1,117",2,3,1/223,1/6.31,3.27,-250,980,3,3,1/163,1/6.61,3.47,+380,"1,783",9,5,1/127,1/6.66,3.44,-150,142,0,0,-,1/5.42,3.33,-710,"6,277",19,23,1/149,1/6.14,4.24,-70,462,2,0,1/231,1/6.21,3.03
2026-02-18,水,いいえ,+90,"1,743",5,7,1/145,1/5.42,3.95,-270,380,1,0,1/380,1/6.90,3.09,-570,957,1,4,1/191,1/6.29,3.74,"+2,720","5,802",31,22,1/109,1/6.21,4.70,-310,312,0,1,1/312,1/6.50,3.47,-350,284,0,0,-,1/6.15,3.16,-250,619,1,2,1/206,1/5.67,3.48,-300,"1,177",3,3,1/196,1/5.76,3.24,+40,787,3,2,1/157,1/5.81,3.36,-140,824,3,1,1/206,1/6.03,2.99
2026-02-17,火,いいえ,"+1,920","7,382",32,31,1/117,1/6.18,5.07,-280,261,0,1,1/261,1/7.33,3.53,+30,"1,189",5,2,1/170,1/5.99,2.98,-140,103,0,0,-,1/6.81,3.37,+350,"2,774",11,11,1/126,1/6.27,4.23,-550,"1,151",3,1,1/288,1/6.09,2.64,+300,885,5,2,1/126,1/6.51,3.33,-20,"1,879",7,6,1/145,1/6.28,3.57,+890,"2,171",12,5,1/128,1/6.03,3.12,-350,"1,791",5,3,1/224,1/5.43,2.66
2026-02-16,月,いいえ,-270,"1,352",4,3,1/193,1/5.83,3.08,-370,281,0,0,-,1/6.57,3.16,+160,"1,509",8,2,1/151,1/6.82,2.75,+410,"1,977",10,4,1/141,1/6.30,2.94,-390,598,1,2,1/199,1/7.04,3.50,"+1,330","5,197",24,15,1/133,1/5.94,3.38,-50,426,1,1,1/213,1/5.01,3.37,-180,211,0,0,-,1/4.76,3.24,+980,"3,604",18,8,1/139,1/6.01,2.76,-320,"2,750",8,11,1/145,1/6.17,4.15
2026-02-15,日,いいえ,-100,"6,709",22,24,1/146,1/5.94,4.20,-110,778,3,2,1/156,1/6.83,3.37,-280,"3,305",11,13,1/138,1/6.51,4.24,-700,785,1,0,1/785,1/6.06,2.65,-440,"4,385",15,12,1/162,1/6.13,3.02,-120,"2,169",9,4,1/167,1/6.39,2.71,"-1,170","1,264",1,2,1/421,1/6.37,2.75,-320,610,1,1,1/305,1/5.57,3.15,+640,"4,160",16,16,1/130,1/5.94,4.35,"-1,020","3,465",9,11,1/173,1/6.26,3.45
2026-02-14,土,はい,-700,"3,909",11,11,1/178,1/5.83,3.07,+380,"5,492",21,17,1/145,1/5.97,3.54,-540,914,1,1,1/457,1/5.12,2.81,+870,"5,383",21,21,1/128,1/5.99,4.57,+980,"2,001",12,4,1/125,1/6.08,2.99,-740,"2,514",7,5,1/210,1/5.95,2.60,"-1,090","3,266",8,11,1/172,1/6.36,3.62,-620,"1,097",3,0,1/366,1/6.26,2.42,-380,"4,367",13,18,1/141,1/6.16,4.52,-90,"3,338",12,9,1/159,1/5.97,3.10
2026-02-13,金,いいえ,+10,"3,258",13,11,1/136,1/6.64,3.82,-560,494,0,1,1/494,1/6.64,3.25,-170,844,3,0,1/281,1/5.58,2.66,-370,"1,508",5,2,1/215,1/6.05,2.65,-30,802,4,0,1/201,1/6.47,2.73,"+3,220","5,340",31,22,1/101,1/6.28,4.96,+40,235,1,1,1/118,1/6.56,3.60,-300,"1,200",5,0,1/240,1/6.50,2.39,-210,"2,188",8,5,1/168,1/6.18,2.95,+450,688,5,0,1/138,1/5.91,2.89
2026-02-12,木,いいえ,+10,452,2,1,1/151,1/6.53,3.38,-160,123,0,0,-,1/6.49,3.35,-10,"1,996",6,10,1/125,1/6.22,4.51,-220,"1,193",4,3,1/170,1/6.35,3.26,-120,897,3,2,1/179,1/5.97,3.23,-90,"3,000",10,10,1/150,1/5.97,3.68,-140,131,0,0,-,1/5.46,3.34,-40,22,0,0,-,1/11.18,3.47,-30,"2,668",11,9,1/133,1/6.92,3.78,+70,"1,061",5,2,1/152,1/6.51,3.12
2026-02-11,水,いいえ,+740,"1,499",9,2,1/136,1/5.78,2.80,-380,"1,350",4,3,1/193,1/6.20,3.08,-790,"1,492",3,4,1/213,1/6.46,3.21,"-1,050","3,432",8,14,1/156,1/6.42,4.27,-320,860,2,2,1/215,1/5.92,3.23,"-1,000","1,246",1,4,1/249,1/6.56,3.41,+430,"2,896",13,10,1/126,1/6.58,3.91,-80,"1,643",7,1,1/205,1/5.92,2.33,+30,645,3,0,1/215,1/5.69,2.87,-290,"2,682",9,10,1/141,1/6.56,3.98
2026-02-10,火,いいえ,-940,"4,494",12,14,1/173,1/5.92,3.37,-140,127,0,0,-,1/5.59,3.35,-70,79,0,0,-,1/4.86,3.40,-20,595,3,0,1/198,1/6.52,2.92,-140,"3,399",11,11,1/155,1/5.87,3.60,-20,439,2,0,1/220,1/5.98,3.06,+50,342,2,0,1/171,1/6.65,3.17,-180,331,1,0,1/331,1/6.52,3.14,+10,"1,805",8,2,1/181,1/6.09,2.47,-280,593,2,0,1/297,1/6.61,2.88
