日付,曜日,特定日,676番台,,,,,,,677番台,,,,,,,678番台,,,,,,,679番台,,,,,,,680番台,,,,,,,681番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-17,日,はい,"-1,142","2,705",8,4,1/225,1/6.55,2.23,-87,"4,672",19,9,1/167,1/6.14,2.19,+439,"7,697",28,27,1/140,1/5.99,4.22,"-1,138","3,862",11,8,1/203,1/6.06,2.34,-350,"6,331",24,16,1/158,1/6.26,2.63,+862,"3,499",17,6,1/152,1/5.76,2.32
2026-05-16,土,いいえ,"-1,409","3,472",9,7,1/217,1/6.26,2.36,+398,"6,514",22,26,1/136,1/5.89,4.70,-273,"4,620",20,3,1/201,1/6.06,1.50,-15,"5,574",17,24,1/136,1/5.94,4.84,"-1,266","4,319",13,8,1/206,1/6.14,2.09,-938,"6,128",20,16,1/170,1/6.13,2.67
2026-05-15,金,いいえ,+147,"4,820",17,18,1/138,1/6.09,4.28,-74,"3,606",12,13,1/144,1/6.03,3.99,"+2,924","6,563",31,33,1/103,1/6.15,5.37,+745,"4,469",19,14,1/135,1/6.04,3.65,+266,"6,709",23,25,1/140,1/5.93,4.43,+681,"7,101",27,27,1/132,1/6.14,4.62
2026-05-14,木,いいえ,+142,"1,667",8,2,1/167,1/6.19,2.60,"-1,282","2,372",5,4,1/264,1/6.16,2.41,-15,"3,434",10,14,1/143,1/5.71,4.33,-611,"5,178",17,12,1/179,1/5.87,2.41,-194,772,2,2,1/193,1/5.80,3.34,-899,"2,891",9,2,1/263,1/5.84,1.81
2026-05-13,水,いいえ,-398,"3,642",12,12,1/152,1/6.27,3.67,+312,"3,336",14,11,1/133,1/6.40,3.77,+769,"2,929",13,9,1/133,1/5.80,3.57,+320,"3,585",15,9,1/149,1/6.04,2.96,+163,"3,294",13,10,1/143,1/6.18,3.48,"+1,437","3,410",17,10,1/126,1/5.66,3.51
2026-05-12,火,いいえ,-346,"4,154",14,10,1/173,1/5.85,2.67,+86,"1,530",6,4,1/153,1/5.93,3.28,-641,"4,778",15,15,1/159,1/6.13,3.48,-528,962,2,2,1/241,1/6.35,3.12,+239,"3,983",17,9,1/153,1/6.16,2.65,-733,"1,137",1,4,1/227,1/6.02,3.53
2026-05-11,月,いいえ,-573,"4,002",16,2,1/222,1/6.00,1.53,-719,"5,626",20,13,1/170,1/6.22,2.38,-269,"3,659",11,12,1/159,1/5.77,3.62,+654,"4,349",21,9,1/145,1/6.32,2.47,"+1,381","3,597",19,11,1/120,1/6.20,3.69,-984,"5,291",15,18,1/160,1/6.13,3.79
2026-05-10,日,いいえ,-429,"5,987",23,15,1/158,1/6.40,2.64,-29,"4,203",15,10,1/168,1/5.73,2.65,-295,"4,214",14,16,1/140,1/6.35,4.25,"-1,085","6,472",22,12,1/190,1/6.02,1.82,-344,"5,447",18,13,1/176,1/5.69,2.46,"-1,958","4,088",7,13,1/204,1/6.08,3.32
2026-05-09,土,いいえ,+178,"3,476",15,6,1/166,1/6.02,2.29,+875,"6,957",30,20,1/139,1/6.18,3.26,+411,"5,279",21,15,1/147,1/6.00,3.20,-84,"4,677",17,12,1/161,1/5.92,2.82,+72,"5,485",22,12,1/161,1/6.05,2.32,"-1,408","3,071",8,7,1/205,1/6.68,2.66
2026-05-08,金,いいえ,"-1,001","3,544",9,10,1/187,1/5.98,3.07,-705,"3,911",12,10,1/178,1/6.00,2.82,+608,"2,921",15,3,1/162,1/5.94,2.06,+993,"6,356",28,18,1/138,1/6.13,3.23,"-1,808","4,997",11,17,1/178,1/6.21,3.67,-79,"6,061",21,23,1/138,1/6.25,4.46
