日付,曜日,特定日,157番台,,,,,,,,,158番台,,,,,,,,,160番台,,,,,,,,,161番台,,,,,,,,,162番台,,,,,,,,,163番台,,,,,,,,,165番台,,,,,,,,,166番台,,,,,,,,,167番台,,,,,,,,,168番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-25,月,いいえ,-390,688,1,2,1/229,-,3.40,38,2.0,"-1,132","2,735",6,7,1/210,-,2.91,34,15.0,-428,432,0,1,1/432,-,3.32,40,2.0,-539,444,0,0,-,-,2.97,69,9.0,"-1,099","4,076",8,19,1/151,-,4.77,60,13.0,-270,302,0,1,1/302,-,3.48,4,-,+803,"8,808",28,46,1/119,-,5.42,9,5.0,-344,967,1,6,1/138,-,4.31,47,7.0,-630,678,0,2,1/339,-,3.37,36,2.0,"+1,599","1,464",13,1,1/105,-,2.68,19,10.0
2026-05-24,日,いいえ,-70,58,0,0,-,-,3.43,34,6.0,-80,66,0,0,-,-,3.42,23,5.0,+548,697,4,4,1/87,-,4.14,42,4.0,-103,85,0,0,-,-,3.40,55,7.0,-478,394,0,0,-,-,3.03,48,6.0,+17,194,1,0,1/194,-,3.31,3,-,-556,458,0,0,-,-,2.96,18,15.0,-132,109,0,0,-,-,3.37,37,3.0,-241,"2,734",8,11,1/144,-,4.16,28,5.0,-217,258,0,1,1/258,-,3.53,38,1.0
2026-05-23,土,はい,-371,385,0,1,1/385,-,3.38,30,3.0,-586,"1,057",2,2,1/264,-,3.01,20,4.0,-402,"1,718",4,7,1/156,-,3.94,73,21.0,-487,401,0,0,-,-,3.02,52,5.0,+423,562,4,1,1/112,-,3.33,47,4.0,+832,"4,087",18,13,1/132,-,3.72,3,-,+360,"3,297",15,6,1/157,-,2.42,16,13.0,+59,"3,209",13,7,1/160,-,2.69,43,13.0,-427,847,2,1,1/282,-,2.92,26,6.0,"-1,135","2,945",7,7,1/210,-,2.74,27,1.0
2026-05-22,金,いいえ,+19,"1,677",7,3,1/168,-,2.84,33,13.0,+451,"3,540",15,10,1/142,-,3.30,18,2.0,-249,859,2,3,1/172,-,3.57,44,11.0,-405,492,0,2,1/246,-,3.59,45,1.0,-503,"1,117",3,1,1/279,-,2.68,75,13.0,+19,"1,549",6,4,1/155,-,3.26,8,-,-373,"1,248",3,4,1/178,-,3.49,20,2.0,-333,274,0,0,-,-,3.17,62,17.0,+364,"5,663",18,28,1/123,-,5.20,16,1.0,-420,346,0,0,-,-,3.09,15,7.0
2026-05-21,木,いいえ,-192,158,0,0,-,-,3.31,20,3.0,"+2,723","3,826",25,11,1/106,-,3.67,17,1.0,-154,127,0,0,-,-,3.35,47,6.0,-487,688,1,1,1/344,-,3.06,41,21.0,-384,524,1,0,1/524,-,2.92,74,15.0,+717,"3,033",14,9,1/132,-,3.50,13,1.0,-712,"1,032",1,3,1/258,-,3.33,12,1.0,-336,277,0,0,-,-,3.17,59,12.0,+815,"1,993",9,10,1/105,-,4.60,16,3.0,-178,"1,583",5,5,1/158,-,3.51,11,-
2026-05-20,水,いいえ,+617,"2,541",12,7,1/134,-,3.34,19,7.0,-37,733,3,1,1/183,-,3.09,56,1.0,-395,741,2,0,1/371,-,2.73,41,12.0,-597,"1,274",3,2,1/255,-,2.81,21,2.0,-456,376,0,0,-,-,3.05,73,17.0,"+1,552","4,167",22,11,1/126,-,3.20,12,6.0,+598,"2,270",11,6,1/134,-,3.29,5,-,-247,283,0,1,1/283,-,3.50,55,14.0,-412,706,1,2,1/235,-,3.37,29,8.0,+632,"1,301",8,2,1/130,-,2.97,6,1.0
2026-05-19,火,いいえ,-606,"1,104",1,5,1/184,-,3.89,32,6.0,-216,881,3,1,1/220,-,2.92,41,4.0,-370,800,2,1,1/267,-,2.98,37,5.0,+231,"1,790",8,4,1/149,-,3.07,17,6.0,-188,937,3,2,1/187,-,3.19,73,18.0,-380,"1,511",5,2,1/216,-,2.65,21,4.0,"+1,487","1,983",12,9,1/94,-,4.48,8,-,-272,432,1,0,1/432,-,3.03,55,14.0,-4,"2,509",9,8,1/148,-,3.57,26,5.0,-47,"1,029",4,2,1/172,-,3.12,11,3.0
2026-05-18,月,いいえ,-167,425,1,1,1/213,-,3.37,28,4.0,-46,38,0,0,-,-,3.45,24,2.0,-624,"1,534",3,5,1/192,-,3.48,33,5.0,+218,444,3,0,1/148,-,3.09,17,1.0,-297,"1,968",6,6,1/164,-,3.43,73,19.0,-163,629,2,1,1/210,-,3.17,16,6.0,-300,"1,109",3,3,1/185,-,3.32,22,5.0,+207,532,3,1,1/133,-,3.33,54,21.0,-262,295,0,1,1/295,-,3.49,22,5.0,+534,342,3,2,1/68,-,3.89,10,-
2026-05-17,日,いいえ,-118,"1,197",3,6,1/133,-,4.16,16,2.0,-236,610,2,0,1/305,-,2.87,21,2.0,-372,"1,217",4,1,1/243,-,2.61,29,2.0,-25,516,2,1,1/172,-,3.30,27,6.0,-327,"1,339",4,3,1/191,-,3.09,73,1.0,+857,"1,255",6,9,1/84,-,4.85,14,1.0,-146,536,2,0,1/268,-,2.95,19,3.0,-835,"1,946",3,8,1/177,-,3.95,72,43.0,-127,471,1,2,1/157,-,3.65,13,-,"+1,374","3,225",16,13,1/111,-,4.46,13,-
2026-05-16,土,はい,-647,"2,861",7,11,1/159,-,4.01,13,1.0,-376,389,0,1,1/389,-,3.37,16,3.0,"+2,906","7,023",35,27,1/113,-,4.83,21,4.0,-65,677,3,0,1/226,-,2.83,24,3.0,-795,"4,566",15,10,1/183,-,2.37,75,19.0,-509,"1,122",3,1,1/281,-,2.67,33,9.0,+117,"4,419",16,15,1/143,-,3.87,17,1.0,-716,"2,026",5,5,1/203,-,3.01,56,18.0,+328,"1,294",6,4,1/129,-,3.55,12,-,+176,"3,271",13,9,1/149,-,3.21,38,5.0
2026-05-15,金,いいえ,"+1,738","5,223",24,21,1/116,-,4.74,10,1.0,+404,"1,727",8,5,1/133,-,3.46,10,1.0,"-1,162","4,978",14,14,1/178,-,2.97,76,10.0,-581,"1,053",2,2,1/263,-,3.01,9,-,-219,"1,616",5,5,1/162,-,3.47,66,13.0,-57,"5,167",17,20,1/140,-,4.43,26,3.0,+730,"8,925",34,31,1/137,-,4.26,23,13.0,-266,"1,704",6,3,1/189,-,2.78,53,27.0,+679,"4,678",21,11,1/146,-,2.68,23,13.0,-17,"1,163",4,4,1/145,-,3.62,23,13.0
2026-05-14,木,いいえ,-166,503,1,2,1/168,-,3.62,19,2.0,-508,736,0,4,1/184,-,3.95,17,1.0,-4,419,2,0,1/210,-,3.08,66,20.0,+664,"1,849",10,4,1/132,-,3.08,7,-,-33,314,1,1,1/157,-,3.50,66,20.0,+251,"4,071",16,12,1/145,-,3.37,35,11.0,+649,"1,317",7,5,1/110,-,3.89,43,8.0,-500,491,0,1,1/491,-,3.25,46,3.0,+903,"1,811",10,6,1/113,-,3.76,24,5.0,+6,203,1,0,1/203,-,3.30,16,9.0
2026-05-13,水,いいえ,+76,353,2,0,1/177,-,3.16,12,4.0,+424,"1,631",8,4,1/136,-,3.25,15,3.0,-145,327,1,0,1/327,-,3.15,66,19.0,-388,478,0,2,1/239,-,3.60,8,-,-213,750,2,2,1/188,-,3.36,66,19.0,"+1,458","4,641",22,16,1/122,-,4.12,33,3.0,-196,736,2,2,1/184,-,3.38,67,1.0,-457,535,0,2,1/268,-,3.54,30,3.0,-477,918,1,4,1/184,-,3.79,47,14.0,-188,155,0,0,-,-,3.31,27,12.0
2026-05-12,火,いいえ,-157,209,0,1,1/209,-,3.59,13,2.0,"+1,359","2,138",13,7,1/107,-,3.83,11,9.0,-293,400,0,2,1/200,-,3.70,66,1.0,+200,"1,528",7,3,1/153,-,3.00,2,-,-379,887,2,2,1/222,-,3.20,66,1.0,-630,"4,094",13,11,1/171,-,2.96,44,25.0,-333,769,2,1,1/256,-,3.01,65,21.0,-418,424,0,1,1/424,-,3.33,16,3.0,-922,"1,572",2,5,1/225,-,3.40,44,25.0,-274,721,2,1,1/240,-,3.06,19,3.0
2026-05-11,月,いいえ,"+2,739","4,754",28,15,1/111,-,3.96,6,-,-32,26,0,0,-,-,3.47,17,4.0,-285,"2,612",8,9,1/154,-,3.73,60,24.0,+139,301,2,0,1/151,-,3.22,7,1.0,-94,860,3,2,1/172,-,3.28,66,6.0,-509,"1,965",4,9,1/151,-,4.24,35,18.0,-253,"1,565",5,4,1/174,-,3.20,35,18.0,+368,"2,648",10,11,1/126,-,4.31,13,3.0,+224,"1,301",6,3,1/145,-,3.22,36,1.0,-254,209,0,0,-,-,3.25,10,3.0
2026-05-10,日,いいえ,-150,490,1,2,1/163,-,3.63,17,1.0,-180,564,2,0,1/282,-,2.92,9,1.0,-80,482,2,0,1/241,-,3.01,58,10.0,-21,928,4,1,1/186,-,2.91,14,5.0,-348,366,0,1,1/366,-,3.40,48,5.0,-338,981,3,1,1/245,-,2.82,32,15.0,-102,"1,569",6,3,1/174,-,2.92,32,15.0,+196,670,4,0,1/168,-,2.88,16,2.0,-301,248,0,0,-,-,3.20,43,11.0,-514,839,2,0,1/420,-,2.63,8,-
2026-05-09,土,はい,-286,394,0,2,1/197,-,3.70,13,5.0,+0,"5,872",21,19,1/147,-,3.71,8,3.0,-463,461,0,1,1/461,-,3.29,33,4.0,"+3,317","8,665",43,31,1/117,-,4.65,5,2.0,-208,"1,033",3,3,1/172,-,3.41,46,6.0,-505,"1,327",4,1,1/265,-,2.51,29,1.0,"-1,066","5,107",15,14,1/176,-,2.89,24,11.0,-392,"1,234",4,1,1/247,-,2.60,28,4.0,-581,558,0,1,1/558,-,3.17,40,7.0,"+1,076","7,491",30,27,1/131,-,4.43,3,-
