日付,曜日,特定日,157番台,,,,,,,,,158番台,,,,,,,,,160番台,,,,,,,,,161番台,,,,,,,,,162番台,,,,,,,,,163番台,,,,,,,,,165番台,,,,,,,,,166番台,,,,,,,,,167番台,,,,,,,,,168番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-03-20,金,いいえ,-470,"1,669",5,3,1/209,-,2.78,54,15.0,-250,654,1,3,1/164,-,3.77,35,7.0,-638,"4,096",11,16,1/152,-,4.25,55,1.0,+8,778,3,2,1/156,-,3.37,24,7.0,-606,"1,284",3,2,1/257,-,2.80,39,4.0,-435,"1,848",6,3,1/205,-,2.64,67,12.0,-174,143,0,0,-,-,3.33,39,4.0,+391,"3,905",13,19,1/122,-,4.96,17,7.0,+72,"1,014",4,3,1/145,-,3.47,10,-,-721,754,0,2,1/377,-,3.28,28,4.0
2026-03-19,木,いいえ,-569,757,1,1,1/379,-,2.98,37,3.0,-55,334,1,1,1/167,-,3.48,33,1.0,+461,"7,355",26,29,1/134,-,4.75,53,12.0,-205,169,0,0,-,-,3.30,41,1.0,+640,"3,092",12,14,1/119,-,4.65,25,-,-669,"2,041",6,3,1/227,-,2.46,40,3.0,-984,"1,387",2,2,1/347,-,2.66,32,7.0,-538,"2,253",6,7,1/173,-,3.43,34,1.0,-320,552,1,1,1/276,-,3.22,25,-,+657,"1,397",7,6,1/107,-,4.10,25,-
2026-03-18,水,いいえ,-52,43,0,0,-,-,3.45,41,3.0,-137,"1,186",4,3,1/169,-,3.27,29,1.0,-300,327,0,1,1/327,-,3.45,74,26.0,-39,737,3,1,1/184,-,3.09,28,6.0,-334,723,1,3,1/181,-,3.69,48,7.0,-44,"1,815",7,4,1/165,-,3.00,31,1.0,-279,"1,432",5,2,1/205,-,2.72,22,12.0,-464,382,0,0,-,-,3.04,30,1.0,-231,190,0,0,-,-,3.27,10,-,-327,269,0,0,-,-,3.18,38,7.0
2026-03-17,火,いいえ,-508,915,2,1,1/305,-,2.85,39,1.0,-259,502,1,1,1/251,-,3.28,25,5.0,-641,608,0,1,1/608,-,3.11,61,10.0,-176,"2,132",8,4,1/178,-,2.71,25,5.0,-369,384,0,1,1/384,-,3.38,51,12.0,-150,"1,068",3,4,1/153,-,3.69,30,3.0,"-1,743","7,250",21,18,1/186,-,2.33,20,10.0,-389,609,1,1,1/305,-,3.15,27,2.0,+256,911,5,1,1/152,-,2.97,10,-,-317,"1,383",5,1,1/231,-,2.49,38,8.0
2026-03-16,月,いいえ,+797,802,7,0,1/115,-,2.85,30,11.0,+792,"3,609",17,9,1/139,-,3.00,17,1.0,-890,"1,310",2,2,1/328,-,2.74,59,18.0,-166,"2,474",7,11,1/137,-,4.37,19,2.0,+244,633,4,0,1/158,-,2.92,41,4.0,+39,"4,021",16,9,1/161,-,2.59,37,7.0,+61,"2,624",9,10,1/138,-,4.04,11,-,-205,169,0,0,-,-,3.30,17,1.0,+31,"2,826",11,7,1/157,-,3.00,16,5.0,-427,720,1,2,1/240,-,3.36,37,7.0
2026-03-15,日,いいえ,-214,176,0,0,-,-,3.29,55,1.0,+104,"7,552",24,33,1/132,-,5.08,34,12.0,-344,283,0,0,-,-,3.16,54,2.0,+720,"6,982",26,27,1/132,-,4.67,18,5.0,-50,955,4,1,1/191,-,2.88,58,3.0,"-1,377","2,656",5,6,1/241,-,2.67,52,18.0,"+2,791","8,048",37,33,1/115,-,5.08,10,-,-356,373,0,1,1/373,-,3.39,13,3.0,+22,975,4,2,1/163,-,3.18,22,3.0,+565,"6,151",26,15,1/150,-,2.59,19,1.0
2026-03-14,土,はい,-413,420,0,1,1/420,-,3.34,39,6.0,-57,"1,457",6,2,1/182,-,2.73,63,4.0,-424,429,0,1,1/429,-,3.32,43,4.0,-234,193,0,0,-,-,3.27,24,6.0,-659,"3,971",13,9,1/181,-,2.54,59,16.0,-363,796,2,1,1/265,-,2.98,33,1.0,-341,281,0,0,-,-,3.16,18,8.0,"+3,351","7,604",39,28,1/113,-,4.73,10,-,+111,534,3,0,1/178,-,2.99,32,5.0,-141,116,0,0,-,-,3.36,27,3.0
2026-03-13,金,いいえ,+94,"1,124",5,2,1/161,-,3.05,38,4.0,-496,"1,034",3,0,1/345,-,2.48,60,13.0,-593,648,0,2,1/324,-,3.40,47,8.0,-174,640,2,1,1/213,-,3.16,14,2.0,-85,70,0,0,-,-,3.41,39,1.0,"+1,557","6,807",30,23,1/128,-,4.14,32,13.0,+76,"1,268",6,1,1/181,-,2.63,19,5.0,+382,519,4,0,1/130,-,3.05,12,-,-304,907,2,3,1/181,-,3.51,39,1.0,-621,"2,689",7,9,1/168,-,3.60,34,2.0
2026-03-12,木,いいえ,-925,"1,210",1,3,1/303,-,3.12,60,5.0,-205,377,1,0,1/377,-,3.09,55,9.0,+37,675,3,1,1/169,-,3.16,45,4.0,"+1,750","3,539",17,18,1/101,-,5.07,5,-,-477,681,1,1,1/341,-,3.07,41,4.0,-618,797,1,1,1/399,-,2.94,67,7.0,-3,"1,124",5,1,1/187,-,2.74,46,1.0,-164,215,0,1,1/215,-,3.58,23,5.0,+495,"4,351",19,10,1/150,-,2.65,37,14.0,+341,"1,258",7,1,1/157,-,2.67,18,13.0
2026-03-11,水,いいえ,-85,"1,095",3,5,1/137,-,3.98,52,19.0,-52,"4,030",13,16,1/139,-,4.37,57,5.0,+20,609,3,0,1/203,-,2.90,58,1.0,-203,664,2,1,1/221,-,3.13,21,2.0,-801,"1,476",2,5,1/211,-,3.51,22,1.0,-314,884,3,0,1/295,-,2.62,59,1.0,-114,"1,007",4,1,1/201,-,2.83,33,8.0,-254,"1,571",5,4,1/175,-,3.19,19,-,-42,"1,108",4,3,1/158,-,3.36,58,1.0,-459,378,0,0,-,-,3.05,25,3.0
2026-03-10,火,いいえ,-243,617,2,0,1/309,-,2.86,49,30.0,+123,347,1,3,1/87,-,4.11,56,7.0,-481,"6,964",25,17,1/166,-,2.41,81,20.0,-704,"1,636",2,8,1/164,-,4.23,17,1.0,+178,"2,257",10,4,1/161,-,2.66,16,5.0,-663,"1,203",2,3,1/241,-,3.17,61,4.0,-62,"3,094",10,12,1/141,-,4.15,17,1.0,+1,"1,121",5,1,1/187,-,2.74,19,2.0,-514,"1,448",3,5,1/181,-,3.58,57,1.0,-355,581,1,1,1/291,-,3.19,11,-
2026-03-09,月,いいえ,-293,530,1,1,1/265,-,3.25,48,6.0,-407,"1,280",3,4,1/183,-,3.45,80,1.0,-281,"3,931",12,15,1/146,-,4.19,79,31.0,-65,630,2,2,1/158,-,3.51,13,1.0,+19,"1,474",6,3,1/164,-,3.02,25,12.0,-273,"5,143",19,12,1/166,-,2.49,42,1.0,+944,"4,349",20,12,1/136,-,3.23,12,2.0,-224,553,1,2,1/184,-,3.56,28,3.0,-59,"1,250",5,2,1/179,-,2.91,41,13.0,+282,473,3,1,1/118,-,3.40,10,-
2026-03-08,日,いいえ,+111,325,2,0,1/163,-,3.19,43,2.0,"-1,038","1,432",2,2,1/358,-,2.62,83,9.0,-102,84,0,0,-,-,3.40,74,31.0,+448,"2,674",10,12,1/122,-,4.51,11,-,-556,746,1,1,1/373,-,3.00,34,10.0,-209,"1,405",4,5,1/156,-,3.67,41,7.0,+26,"2,830",11,7,1/157,-,2.99,13,2.0,-234,849,2,3,1/170,-,3.58,24,4.0,-347,494,1,0,1/494,-,2.96,41,7.0,+221,"2,541",10,8,1/141,-,3.58,20,7.0
2026-03-07,土,はい,-404,"3,553",12,9,1/169,-,2.88,74,18.0,-503,"1,776",5,4,1/197,-,2.97,75,1.0,"-1,396","3,713",10,6,1/232,-,2.03,56,22.0,+313,"2,257",9,8,1/133,-,3.85,12,-,+204,"8,126",26,36,1/131,-,5.15,27,5.0,-516,"2,474",6,10,1/155,-,4.08,21,9.0,"-1,267","2,357",4,6,1/236,-,2.93,34,7.0,"+2,551","3,921",22,18,1/98,-,4.99,21,9.0,-163,"4,667",16,15,1/151,-,3.62,22,1.0,-686,"2,663",7,8,1/178,-,3.33,22,1.0
2026-03-06,金,いいえ,-138,690,2,2,1/173,-,3.44,40,4.0,-642,529,0,0,-,-,2.88,75,24.0,-242,279,0,1,1/279,-,3.50,36,14.0,"+2,259","3,297",19,15,1/97,-,4.85,10,1.0,-302,249,0,0,-,-,3.20,22,9.0,+513,"3,582",15,11,1/138,-,3.55,12,2.0,-891,"2,287",4,9,1/176,-,3.92,9,3.0,-454,454,0,1,1/454,-,3.30,51,11.0,-274,"1,667",5,5,1/167,-,3.41,13,1.0,+8,"1,098",3,6,1/122,-,4.26,6,-
2026-03-05,木,いいえ,-515,"1,626",5,2,1/232,-,2.54,35,6.0,-576,"1,308",4,0,1/327,-,2.27,75,26.0,-695,"2,094",5,6,1/190,-,3.25,44,9.0,-282,441,1,0,1/441,-,3.02,29,5.0,+384,"5,161",19,19,1/136,-,4.28,21,9.0,-215,"1,716",7,1,1/215,-,2.27,24,3.0,+202,"5,790",19,25,1/132,-,4.90,6,-,-338,775,2,1,1/258,-,3.00,49,5.0,+357,"2,221",9,8,1/131,-,3.88,12,5.0,+89,"3,435",13,10,1/149,-,3.33,7,1.0
2026-03-04,水,いいえ,-147,201,0,1,1/201,-,3.60,24,5.0,-287,316,0,1,1/316,-,3.46,66,21.0,-163,"2,458",10,3,1/189,-,2.24,30,6.0,-83,645,2,2,1/161,-,3.49,19,1.0,-251,"2,225",7,7,1/159,-,3.50,45,9.0,-738,976,1,2,1/325,-,3.06,9,-,+510,"4,929",18,20,1/130,-,4.63,18,6.0,-196,241,0,1,1/241,-,3.55,36,6.0,-54,"2,736",11,5,1/171,-,2.53,19,1.0,+134,834,3,4,1/119,-,3.96,12,3.0
2026-03-03,火,いいえ,-539,444,0,0,-,-,2.97,23,1.0,-322,474,1,0,1/474,-,2.98,67,35.0,-555,537,0,1,1/537,-,3.20,26,3.0,-188,523,1,2,1/174,-,3.59,10,3.0,-114,511,2,0,1/256,-,2.98,32,6.0,+243,"2,523",10,8,1/140,-,3.59,7,-,+392,"3,522",15,9,1/147,-,3.02,22,9.0,-182,886,2,4,1/148,-,3.86,26,3.0,+129,"4,732",19,11,1/158,-,2.58,13,3.0,-342,570,1,1,1/285,-,3.20,22,9.0
2026-03-02,月,いいえ,-129,971,3,3,1/162,-,3.48,17,1.0,-148,619,2,1,1/206,-,3.18,66,35.0,+18,"1,444",7,0,1/206,-,2.25,16,1.0,-103,85,0,0,-,-,3.40,6,-,-307,701,1,3,1/175,-,3.71,31,7.0,-405,"2,928",9,9,1/163,-,3.42,13,7.0,+685,"3,986",18,10,1/142,-,2.95,16,1.0,-23,"1,141",5,1,1/190,-,2.72,24,5.0,-520,"1,710",5,3,1/214,-,2.74,15,2.0,-181,149,0,0,-,-,3.32,19,2.0
2026-03-01,日,いいえ,-247,"2,798",9,9,1/155,-,3.56,8,1.0,-59,257,1,0,1/257,-,3.23,60,38.0,"+1,056","1,982",11,7,1/110,-,3.92,20,3.0,+97,625,3,1,1/156,-,3.22,5,-,-132,"1,439",6,1,1/206,-,2.47,17,2.0,+188,"4,604",19,10,1/159,-,2.44,13,5.0,-946,"2,044",3,8,1/186,-,3.85,22,2.0,-181,"3,129",12,6,1/174,-,2.47,15,1.0,+634,"1,673",9,4,1/129,-,3.24,7,2.0,+289,"1,509",8,1,1/168,-,2.47,14,1.0
2026-02-28,土,はい,"+2,812","7,874",42,18,1/131,-,2.43,2,-,-465,"1,408",3,5,1/176,-,3.63,58,3.0,-96,"1,441",5,4,1/160,-,3.34,55,34.0,+618,"2,888",14,6,1/144,-,2.75,6,4.0,"+1,291","5,008",23,16,1/128,-,3.81,14,6.0,+693,"3,833",15,16,1/124,-,4.58,21,7.0,+217,"1,520",7,3,1/152,-,3.01,6,4.0,+560,"1,366",8,2,1/137,-,2.90,8,2.0,+725,"7,603",29,27,1/136,-,4.32,6,4.0,+780,"1,087",6,6,1/91,-,4.37,14,6.0
2026-02-27,金,いいえ,+52,"1,079",5,1,1/180,-,2.79,16,1.0,-146,"1,433",4,6,1/143,-,3.95,55,24.0,-800,"1,107",1,3,1/277,-,3.24,31,5.0,+571,"2,638",13,5,1/147,-,2.68,6,-,"-1,031","3,586",7,16,1/156,-,4.55,21,5.0,-210,"1,375",5,2,1/196,-,2.78,24,3.0,-967,"1,422",3,0,1/474,-,2.16,15,3.0,-358,583,1,1,1/292,-,3.18,16,1.0,-47,"2,345",8,8,1/147,-,3.71,12,6.0,+95,"1,523",5,7,1/127,-,4.18,26,2.0
2026-02-26,木,いいえ,+410,784,5,1,1/131,-,3.11,17,6.0,-345,"5,505",17,21,1/145,-,4.37,51,14.0,-188,155,0,0,-,-,3.31,26,6.0,"+1,313","2,923",15,11,1/112,-,4.22,8,1.0,-208,171,0,0,-,-,3.29,11,1.0,"+3,140","5,694",29,28,1/100,-,5.30,20,3.0,-850,"2,093",4,7,1/190,-,3.53,7,-,+289,"2,902",12,8,1/145,-,3.26,10,1.0,-753,"1,277",2,3,1/255,-,3.09,9,1.0,-364,508,1,0,1/508,-,2.94,37,11.0
2026-02-25,水,いいえ,-659,"1,199",2,3,1/240,-,3.17,28,4.0,-58,"1,041",4,2,1/174,-,3.11,41,13.0,-152,"1,070",3,4,1/153,-,3.69,22,2.0,"+1,242","8,348",35,26,1/137,-,3.68,18,8.0,+207,743,4,1,1/149,-,3.12,10,4.0,-598,"2,431",7,6,1/187,-,2.96,41,13.0,+187,"3,722",14,12,1/143,-,3.66,5,-,+0,785,3,2,1/157,-,3.36,20,2.0,+994,"8,212",28,40,1/121,-,5.35,6,1.0,-195,161,0,0,-,-,3.30,24,2.0
2026-02-24,火,いいえ,-533,"2,506",8,5,1/193,-,2.64,22,1.0,-275,723,2,1,1/241,-,3.06,28,6.0,+207,"1,031",5,2,1/147,-,3.16,15,7.0,"+1,390","8,306",35,27,1/134,-,3.94,19,3.0,-351,"1,234",3,4,1/176,-,3.50,16,1.0,-55,"4,241",14,16,1/141,-,4.22,35,7.0,"+1,077","6,591",24,31,1/120,-,5.22,3,-,-327,686,2,0,1/343,-,2.78,21,2.0,+173,"8,968",28,41,1/130,-,5.26,8,5.0,-747,"3,738",10,13,1/163,-,3.78,21,2.0
2026-02-23,月,いいえ,-,-,-,-,-,-,-,-,-,+115,114,1,0,1/114,-,3.40,30,14.0,-19,16,0,0,-,-,3.48,31,1.0,+50,376,2,0,1/188,-,3.13,45,13.0,+830,"2,137",12,4,1/134,-,2.85,16,-,-637,"2,366",5,10,1/158,-,4.15,32,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-22,日,いいえ,-,-,-,-,-,-,-,-,-,-7,"2,281",9,5,1/163,-,2.89,48,21.0,-191,366,1,0,1/366,-,3.10,27,2.0,"-1,076","7,420",21,27,1/155,-,4.23,50,2.0,-120,307,1,0,1/307,-,3.17,22,-,-716,590,0,0,-,-,2.81,25,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-21,土,はい,-,-,-,-,-,-,-,-,-,-470,"2,117",6,6,1/176,-,3.26,47,8.0,"+1,393","6,556",27,26,1/124,-,4.79,29,9.0,-391,899,2,2,1/225,-,3.19,39,10.0,"+1,113","4,210",20,12,1/132,-,3.38,20,10.0,"+3,043","7,729",38,29,1/115,-,4.79,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-20,金,いいえ,-,-,-,-,-,-,-,-,-,-615,"1,003",2,1,1/334,-,2.76,15,-,-714,588,0,0,-,-,2.81,41,14.0,-396,406,0,1,1/406,-,3.35,27,2.0,"+1,203","3,191",17,8,1/128,-,3.14,20,5.0,-160,"2,487",9,6,1/166,-,2.98,25,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-19,木,いいえ,-,-,-,-,-,-,-,-,-,+187,"1,079",4,5,1/120,-,4.03,11,-,-449,"1,186",2,5,1/169,-,3.84,23,1.0,-723,"1,749",4,4,1/219,-,2.96,21,10.0,-352,498,1,0,1/498,-,2.95,43,20.0,-556,"2,268",6,7,1/174,-,3.41,22,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-18,水,いいえ,-,-,-,-,-,-,-,-,-,+138,"1,119",4,5,1/124,-,3.99,22,5.0,+233,642,4,0,1/161,-,2.91,23,1.0,+859,"3,874",17,13,1/129,-,3.90,17,5.0,-350,"1,313",3,5,1/164,-,3.73,43,20.0,-290,"1,024",3,2,1/205,-,3.09,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-17,火,いいえ,-,-,-,-,-,-,-,-,-,-385,317,0,0,-,-,3.12,31,9.0,-905,"2,941",9,4,1/226,-,2.10,33,2.0,-457,585,1,0,1/585,-,2.85,22,18.0,-266,636,2,0,1/318,-,2.84,37,4.0,-546,"1,683",4,5,1/187,-,3.35,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-16,月,いいえ,-,-,-,-,-,-,-,-,-,-291,448,1,0,1/448,-,3.01,23,2.0,-12,90,0,1,1/90,-,3.73,21,19.0,+834,"2,533",12,9,1/121,-,3.96,23,2.0,-81,147,0,1,1/147,-,3.66,38,15.0,+507,"1,201",7,2,1/133,-,3.04,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-15,日,いいえ,-,-,-,-,-,-,-,-,-,-255,498,1,1,1/249,-,3.28,13,8.0,-825,"1,576",2,6,1/197,-,3.71,13,8.0,-464,"2,977",9,9,1/165,-,3.37,17,4.0,-124,"6,462",24,17,1/158,-,2.76,35,18.0,"+1,908","3,506",19,14,1/106,-,4.53,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-14,土,はい,-,-,-,-,-,-,-,-,-,"+3,309","8,903",42,36,1/114,-,5.11,10,1.0,"+1,009","3,830",17,14,1/124,-,4.20,8,3.0,+19,"3,763",12,16,1/134,-,4.55,9,1.0,"+1,493","8,409",29,45,1/114,-,5.43,31,21.0,"+2,644","6,102",29,28,1/107,-,5.21,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-13,金,いいえ,-,-,-,-,-,-,-,-,-,-262,216,0,0,-,-,3.24,47,17.0,+244,"4,092",16,12,1/146,-,3.35,30,7.0,-229,189,0,0,-,-,3.27,15,-,-518,635,1,0,1/635,-,2.80,75,28.0,-538,"1,068",3,0,1/356,-,2.44,23,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-12,木,いいえ,-,-,-,-,-,-,-,-,-,-847,"1,354",2,3,1/271,-,3.00,44,4.0,-575,"1,627",4,4,1/203,-,3.09,40,25.0,-488,"1,524",5,1,1/254,-,2.37,12,-,-769,"2,891",7,10,1/170,-,3.69,68,24.0,+555,"2,874",11,13,1/120,-,4.59,15,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-11,水,いいえ,-,-,-,-,-,-,-,-,-,+220,"1,885",8,5,1/145,-,3.28,27,13.0,+317,444,3,1,1/111,-,3.43,30,3.0,+28,970,4,2,1/162,-,3.19,5,-,-237,195,0,0,-,-,3.26,53,23.0,"+4,330","4,828",33,19,1/93,-,4.86,14,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-10,火,いいえ,-,-,-,-,-,-,-,-,-,-261,583,1,2,1/194,-,3.52,33,25.0,-474,967,2,2,1/242,-,3.11,33,25.0,-586,691,1,0,1/691,-,2.74,8,-,-569,"1,125",2,3,1/225,-,3.26,43,2.0,-444,"1,488",5,1,1/248,-,2.40,41,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-09,月,いいえ,-,-,-,-,-,-,-,-,-,+191,996,4,4,1/125,-,3.82,24,20.0,+0,0,0,0,-,-,-,24,20.0,"+1,277","5,099",23,17,1/127,-,3.98,4,-,-130,107,0,0,-,-,3.37,31,1.0,-556,875,2,0,1/438,-,2.59,30,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-08,日,いいえ,-,-,-,-,-,-,-,-,-,-189,652,2,1,1/217,-,3.14,36,3.0,-330,272,0,0,-,-,3.17,33,13.0,+586,"3,970",16,14,1/132,-,4.04,6,-,-237,772,2,2,1/193,-,3.34,20,2.0,+644,"1,168",7,3,1/117,-,3.41,18,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-07,土,はい,-,-,-,-,-,-,-,-,-,-797,"7,541",20,34,1/140,-,5.11,24,5.0,-241,"4,332",16,10,1/167,-,2.58,25,1.0,+64,"2,462",9,8,1/145,-,3.62,19,4.0,-530,"3,736",12,10,1/170,-,2.99,15,-,"-1,474","4,545",11,13,1/189,-,3.01,29,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-06,金,いいえ,-,-,-,-,-,-,-,-,-,-83,277,1,0,1/277,-,3.21,20,11.0,-304,"1,661",6,2,1/208,-,2.54,21,1.0,-463,"1,038",2,3,1/208,-,3.36,20,11.0,+300,"1,243",6,3,1/138,-,3.28,9,-,-370,"1,170",3,3,1/195,-,3.25,20,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
