日付,曜日,特定日,186番台,,,,,,,187番台,,,,,,,188番台,,,,,,,189番台,,,,,,,190番台,,,,,,,191番台,,,,,,,192番台,,,,,,,193番台,,,,,,,194番台,,,,,,,195番台,,,,,,,196番台,,,,,,,197番台,,,,,,,198番台,,,,,,,199番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-04-14,火,いいえ,+699,"4,148",17,17,1/122,1/6.29,4.60,-900,"1,834",4,4,1/229,1/6.24,2.87,"+1,225","5,778",27,16,1/134,1/6.16,3.20,-404,"2,517",10,1,1/229,1/6.01,1.85,-179,"1,648",6,5,1/150,1/6.59,3.47,-558,"3,905",13,8,1/186,1/5.91,2.36,+252,"3,255",12,13,1/130,1/6.17,4.31,"-1,085","1,753",4,3,1/250,1/6.82,2.66,+380,"5,027",22,8,1/168,1/5.92,1.89,"-1,279","1,374",1,2,1/458,1/6.26,2.64,+425,"2,485",11,10,1/118,1/6.67,4.24,"-1,031","3,557",12,4,1/222,1/6.23,1.83,+41,"5,326",19,16,1/152,1/5.92,3.36,"-1,036","2,563",7,6,1/197,1/6.59,2.83
2026-04-13,月,いいえ,-374,"2,436",8,5,1/187,1/5.91,2.70,-117,"2,576",10,4,1/184,1/5.89,2.38,"-1,052","3,738",10,8,1/208,1/5.84,2.41,+926,"5,431",23,18,1/132,1/6.08,3.93,+291,"4,022",16,10,1/155,1/5.87,2.85,-291,"3,018",10,10,1/151,1/6.24,3.67,+855,"5,316",26,6,1/166,1/5.92,1.62,"+1,433","5,206",27,8,1/149,1/5.92,1.90,"-1,687","3,897",7,14,1/186,1/6.15,3.79,"-1,795","4,550",11,14,1/182,1/6.49,3.28,"-1,494","2,397",5,4,1/266,1/6.54,2.38,+219,"2,726",12,4,1/170,1/5.88,2.32,+398,"4,947",19,17,1/137,1/6.09,3.99,-756,"6,624",20,21,1/162,1/5.92,3.49
2026-04-12,日,いいえ,"+1,663","7,067",32,21,1/133,1/5.97,3.49,-787,"2,075",7,2,1/231,1/6.61,2.23,-841,"4,602",13,15,1/164,1/6.04,3.58,"-1,158","3,329",10,4,1/238,1/6.10,1.91,+151,"5,471",22,16,1/144,1/6.33,3.32,+593,"5,998",23,22,1/133,1/6.10,4.37,+519,"8,511",32,33,1/131,1/6.29,4.80,"-1,322","5,444",15,14,1/188,1/5.94,2.61,"-1,177","2,262",6,4,1/226,1/6.82,2.53,-809,"3,641",11,11,1/166,1/6.36,3.34,+77,"4,745",19,11,1/158,1/6.08,2.57,+128,"5,400",17,21,1/142,1/5.76,4.45,-778,"1,066",2,1,1/355,1/6.45,2.69,"+3,002","7,442",31,39,1/106,1/5.80,5.43
2026-04-11,土,いいえ,"-1,124","5,927",20,13,1/180,1/6.25,2.19,-528,"4,048",14,8,1/184,1/5.97,2.28,+324,"6,668",26,23,1/136,1/6.32,4.13,-731,"3,848",13,8,1/183,1/6.20,2.40,"+1,033","4,978",24,13,1/135,1/6.29,3.04,"+2,731","5,069",30,10,1/127,1/5.76,2.40,"+2,614","8,454",40,29,1/123,1/6.07,4.38,+45,"4,812",19,12,1/155,1/6.13,2.76,"+1,096","7,356",30,28,1/127,1/6.22,4.69,-528,"2,129",7,1,1/266,1/5.67,2.00,-440,"6,574",24,14,1/173,1/5.97,2.08,-849,"4,888",14,14,1/175,1/5.88,3.06,+708,"5,549",21,17,1/146,1/5.67,3.48,"-1,622","7,356",22,17,1/189,1/5.99,2.12
2026-04-10,金,いいえ,-96,"6,276",23,16,1/161,1/5.94,2.64,-857,"3,137",10,5,1/209,1/6.15,2.19,-25,"6,121",20,24,1/139,1/6.03,4.58,-225,"3,069",13,3,1/192,1/6.17,1.93,"+1,487","7,380",33,23,1/132,1/6.12,3.74,"+1,084","7,166",29,25,1/133,1/6.03,4.25,-122,"4,496",19,7,1/173,1/6.20,1.95,"+1,841","7,378",36,18,1/137,1/6.08,2.62,-948,"3,379",10,7,1/199,1/6.13,2.45,-136,"4,282",12,20,1/134,1/5.95,4.88,-715,"6,589",23,16,1/169,1/6.11,2.41,-965,"4,208",12,12,1/175,1/6.11,3.09,"-1,620","5,407",17,8,1/216,1/6.16,1.68,"+1,241","8,647",32,37,1/125,1/6.01,5.15
2026-04-09,木,いいえ,-820,"5,118",14,14,1/183,1/5.64,2.85,-594,"1,950",7,2,1/217,1/6.54,2.32,-759,"2,547",6,7,1/196,1/5.81,3.11,+414,"3,956",17,10,1/147,1/6.11,2.95,+155,"3,342",12,11,1/145,1/5.90,3.69,"+1,031","4,490",18,19,1/121,1/5.96,4.74,-309,"5,566",19,16,1/159,1/5.97,3.13,-128,"3,133",10,11,1/149,1/5.93,3.84,-449,"2,844",10,5,1/190,1/6.07,2.41,+551,"3,965",19,7,1/153,1/6.19,2.26,"-1,461","3,734",8,11,1/197,1/6.07,3.14,+472,"3,693",16,9,1/148,1/6.00,2.89,+502,"4,207",19,12,1/136,1/6.46,3.34,+462,"3,699",16,8,1/154,1/5.89,2.61
2026-04-08,水,いいえ,-205,"3,779",16,3,1/199,1/6.00,1.68,"+1,625","3,805",20,10,1/127,1/5.79,3.21,"+1,642","3,571",22,5,1/132,1/6.14,2.19,-8,"4,504",18,12,1/150,1/6.32,3.01,+660,"1,651",10,1,1/150,1/5.94,2.41,-627,"4,186",11,18,1/144,1/6.13,4.60,"-1,075","3,124",8,4,1/260,1/5.64,1.97,-199,"8,735",26,35,1/143,1/5.83,4.83,"-1,141","1,140",1,0,1/1140,1/6.10,2.32,+730,"8,121",28,33,1/133,1/5.88,4.91,-710,907,1,2,1/302,1/6.35,3.14,+109,"5,263",20,19,1/135,1/6.41,4.22,-536,"1,293",3,2,1/259,1/5.78,2.79,-264,"7,441",24,25,1/152,1/5.88,3.87
2026-04-07,火,いいえ,"+2,120","7,703",32,41,1/106,1/6.42,5.44,"+1,292","2,371",15,3,1/132,1/5.88,2.45,-391,"3,551",13,8,1/169,1/6.24,2.65,+419,"3,866",17,10,1/143,1/6.24,3.04,+783,"4,613",20,13,1/140,1/5.98,3.26,-243,"5,616",20,16,1/156,1/6.08,3.11,+627,"5,374",22,18,1/134,1/6.18,3.95,-651,"3,604",12,8,1/180,1/6.16,2.57,+531,"2,041",11,1,1/170,1/5.77,2.14,"-2,041","3,041",3,10,1/234,1/6.17,3.38,"+3,127","7,394",33,38,1/104,1/6.00,5.42,+277,"4,838",18,17,1/138,1/6.09,4.06,-911,"1,653",3,4,1/236,1/6.20,3.03,-351,"4,675",17,10,1/173,1/6.00,2.34
2026-04-06,月,はい,-615,"6,609",21,23,1/150,1/6.14,4.03,"-1,319","5,276",15,14,1/182,1/6.11,2.74,-757,"3,983",14,6,1/199,1/6.10,1.96,"+1,012","6,330",28,13,1/154,1/5.80,2.12,"-1,408","3,045",7,5,1/254,1/6.00,2.18,+781,"4,688",20,13,1/142,1/5.90,3.18,"+1,399","6,936",33,18,1/136,1/6.23,2.88,"-1,525","4,037",10,10,1/202,1/6.19,2.65,"-1,017","5,971",18,15,1/181,1/5.88,2.51,"-1,265","4,247",12,7,1/224,1/5.87,1.95,"-1,721","2,426",4,2,1/404,1/6.02,1.94,+429,"7,863",28,27,1/143,1/5.89,4.09,-115,"3,498",11,12,1/152,1/5.81,3.78,-651,"7,501",24,31,1/136,1/6.45,4.90
2026-04-05,日,いいえ,-819,"4,593",14,14,1/164,1/6.19,3.34,-668,"1,112",1,4,1/222,1/5.89,3.56,"+2,804","5,258",29,20,1/107,1/6.12,4.67,-665,"3,223",10,6,1/201,1/5.86,2.34,"-1,618","2,925",5,6,1/266,1/5.92,2.44,"-1,190","2,429",6,2,1/304,1/5.97,1.98,-571,"5,864",20,16,1/163,1/6.10,2.89,+483,"6,364",27,18,1/141,1/6.32,3.19,+64,"5,044",20,14,1/148,1/6.26,3.11,-773,"2,495",7,5,1/208,1/6.05,2.61,+234,"6,059",22,19,1/148,1/5.91,3.56,+455,"3,931",17,8,1/157,1/5.88,2.45,"+1,420","7,259",34,21,1/132,1/6.31,3.38,-140,"2,732",11,4,1/182,1/6.04,2.29
2026-04-04,土,いいえ,-319,"2,022",7,4,1/184,1/6.10,2.79,"+3,304","7,889",42,23,1/121,1/6.03,3.58,"+1,486","7,030",33,15,1/146,1/5.91,2.18,"-2,158","5,653",10,21,1/182,1/5.94,4.04,"-1,002","7,020",21,23,1/160,1/6.06,3.67,-809,"4,155",11,15,1/160,1/6.05,3.95,"-1,957","4,273",8,14,1/194,1/6.21,3.45,-263,"6,060",23,15,1/159,1/6.19,2.58,-750,"4,630",15,11,1/178,1/6.04,2.55,+51,"3,578",15,5,1/179,1/5.91,2.03,-450,"4,354",18,4,1/198,1/6.16,1.63,"+1,209","6,353",30,18,1/132,1/6.36,3.30,"-1,021","4,213",11,12,1/183,1/5.89,3.05,"+1,114","9,431",36,34,1/135,1/5.97,4.50
2026-04-03,金,いいえ,+96,"1,655",8,3,1/150,1/6.69,2.90,-337,"3,263",11,4,1/218,1/5.47,1.96,-931,"3,336",8,14,1/152,1/6.43,4.35,+146,"5,093",20,10,1/170,1/5.79,2.14,+523,"5,304",22,15,1/143,1/6.09,3.21,-678,"1,759",6,2,1/220,1/6.80,2.45,+134,"4,653",17,13,1/155,1/5.84,3.11,-206,"3,302",10,10,1/165,1/5.65,3.36,+83,"2,232",8,6,1/159,1/5.69,3.21,+568,"4,924",22,11,1/149,1/6.13,2.51,-240,"1,595",5,3,1/199,1/5.67,2.85,+95,"5,156",20,14,1/152,1/6.10,3.01,+666,"3,394",16,8,1/141,1/6.10,2.89,"+2,076","5,090",29,12,1/124,1/6.27,2.83
2026-04-02,木,いいえ,"+2,332","6,372",32,21,1/120,1/6.09,4.11,+113,"3,091",12,8,1/155,1/5.97,3.06,+362,"3,142",14,6,1/157,1/5.97,2.52,+16,"4,867",20,10,1/162,1/6.15,2.28,+594,"3,617",17,9,1/139,1/6.29,3.00,"+1,578","3,828",21,11,1/120,1/6.23,3.52,-826,"3,883",11,11,1/177,1/6.00,3.09,"-1,458","4,017",11,7,1/223,1/6.10,2.05,"+1,206","3,600",18,11,1/124,1/6.10,3.65,-343,"1,299",5,1,1/217,1/6.54,2.57,"+1,592","4,937",23,18,1/120,1/6.02,4.36,-751,"3,312",10,6,1/207,1/5.84,2.28,"-2,045","5,560",13,14,1/206,1/6.00,2.47,-286,617,2,0,1/309,1/6.39,2.86
2026-04-01,水,いいえ,"+1,470","2,628",17,5,1/119,1/6.27,2.83,-427,"3,269",12,4,1/204,1/5.89,1.97,+477,"2,913",13,8,1/139,1/6.13,3.28,+142,"2,971",11,8,1/156,1/5.77,3.15,"-1,198","3,377",11,6,1/199,1/6.75,2.26,+305,"3,957",14,13,1/147,1/5.71,3.71,-253,"2,991",12,5,1/176,1/6.28,2.35,"-1,269","1,394",1,2,1/465,1/6.14,2.62,"-1,512","6,046",19,15,1/178,1/6.40,2.48,-268,451,1,1,1/226,1/6.86,3.34,-839,"1,954",5,3,1/244,1/6.11,2.51,+430,"4,323",16,18,1/127,1/6.17,4.63,-229,553,2,0,1/277,1/6.63,2.93,"+1,241","4,848",25,9,1/143,1/6.11,2.22
2026-03-31,火,いいえ,-913,"1,224",1,3,1/306,1/5.95,3.11,+372,"3,750",15,8,1/163,1/5.64,2.54,-604,"1,062",2,1,1/354,1/5.72,2.70,"-2,273","4,179",9,7,1/261,1/6.23,1.93,"-1,354","3,492",9,7,1/218,1/6.15,2.34,-10,"5,589",22,15,1/151,1/6.25,2.94,"+4,170","8,664",43,39,1/106,1/6.02,5.36,+813,"7,616",30,26,1/136,1/6.07,4.13,"+1,331","5,568",26,15,1/136,1/6.00,3.09,-430,"1,639",6,2,1/205,1/6.51,2.56,"-1,498","6,074",16,20,1/169,1/6.13,3.61,-478,"4,125",13,13,1/159,1/6.07,3.50,-451,"4,018",12,16,1/144,1/6.23,4.35,-280,"5,433",21,11,1/170,1/6.10,2.14
2026-03-30,月,いいえ,-264,"3,754",13,11,1/156,1/6.12,3.30,"+1,683","6,500",31,18,1/133,1/6.05,3.19,"+2,663","4,903",25,23,1/102,1/5.98,5.14,-210,"2,469",11,3,1/176,1/6.63,2.26,+368,"4,995",21,9,1/167,1/5.83,2.04,-253,"2,614",6,11,1/154,1/5.51,4.21,+927,"5,282",27,8,1/151,1/6.29,1.86,+297,"4,586",20,9,1/158,1/6.12,2.27,-18,"2,659",10,8,1/148,1/6.21,3.45,"+1,034","6,285",27,21,1/131,1/6.19,4.03,-532,"1,782",5,3,1/223,1/5.86,2.67,+555,"2,846",12,10,1/129,1/6.03,3.92,+641,"3,286",17,3,1/164,1/5.99,1.90,-54,"4,512",18,10,1/161,1/6.15,2.49
2026-03-29,日,いいえ,"-1,354","4,226",10,11,1/201,1/5.86,2.74,+150,"7,294",23,34,1/128,1/6.11,5.21,-403,"4,252",14,13,1/157,1/6.09,3.40,-168,"3,164",10,11,1/151,1/5.94,3.80,-558,"5,272",19,10,1/182,1/5.99,2.02,"+1,085","5,495",24,18,1/131,1/6.09,3.90,"-1,511","3,668",9,8,1/216,1/6.19,2.43,+804,"4,840",22,15,1/131,1/6.38,3.67,"-1,122","2,780",8,3,1/253,1/6.16,1.99,"+2,551","7,178",31,34,1/110,1/5.96,5.31,-433,"2,802",8,10,1/156,1/6.09,3.82,+377,"5,563",25,12,1/150,1/6.36,2.34,+161,"6,415",22,29,1/126,1/6.37,5.10,+296,"4,608",19,15,1/136,1/6.43,3.79
2026-03-28,土,いいえ,"-1,180","4,239",11,13,1/177,1/6.13,3.31,"-1,510","2,493",5,3,1/312,1/6.13,2.10,"-1,304","1,796",3,3,1/299,1/6.53,2.59,"-1,654","5,413",13,17,1/180,1/6.06,3.34,-646,"4,767",14,16,1/159,1/6.00,3.73,-649,"2,256",7,4,1/205,1/6.19,2.56,-598,"8,182",28,27,1/149,1/6.26,3.83,"-3,468","5,305",7,9,1/332,1/5.78,1.71,"-1,142","1,405",2,3,1/281,1/6.92,2.95,"+1,112","5,152",24,12,1/143,1/5.93,2.62,-799,"2,039",5,5,1/204,1/6.22,3.00,+125,"4,042",17,9,1/155,1/6.21,2.60,-841,"2,136",6,5,1/194,1/6.64,2.93,+442,"6,026",26,13,1/155,1/6.11,2.26
2026-03-27,金,いいえ,"-1,179","2,285",5,3,1/286,1/5.98,2.24,"-1,172","2,548",7,1,1/319,1/5.96,1.79,-203,"4,200",14,15,1/145,1/6.15,4.01,"+1,178","6,207",29,15,1/141,1/6.10,2.63,"+1,308","5,493",27,12,1/141,1/6.06,2.44,"-2,249","7,769",18,29,1/165,1/6.16,4.28,"-2,064","1,892",1,1,1/946,1/6.36,2.01,-644,"3,433",11,9,1/172,1/6.23,2.97,"+1,727","5,813",25,22,1/124,1/5.80,4.56,-866,"1,073",1,2,1/358,1/6.10,2.95,-937,"3,014",8,6,1/215,1/5.88,2.45,-533,"1,609",5,3,1/201,1/6.46,2.84,+98,"6,804",25,22,1/145,1/6.11,3.74,"+1,633","3,713",22,7,1/128,1/6.17,2.53
2026-03-26,木,はい,+488,"5,196",23,10,1/157,1/6.04,2.14,+678,"7,633",29,26,1/139,1/5.99,4.09,+208,"5,116",23,10,1/155,1/6.40,2.19,-862,"7,637",22,25,1/162,1/5.80,3.64,"-1,639","2,550",3,6,1/283,1/5.85,2.71,+856,"8,135",31,29,1/136,1/6.00,4.37,-809,"5,112",18,9,1/189,1/6.08,1.93,-221,"5,667",21,14,1/162,1/6.06,2.60,-971,"8,498",23,40,1/135,1/6.24,5.26,"-1,389","5,265",13,18,1/170,1/6.07,3.75,-570,"6,573",20,24,1/149,1/6.03,4.25,+489,"3,323",14,13,1/123,1/6.45,4.32,"-1,190","4,133",12,8,1/207,1/6.03,2.18,+465,"4,899",21,10,1/158,1/5.93,2.29
2026-03-25,水,いいえ,+502,"2,460",12,5,1/145,1/6.11,2.82,-521,"1,054",3,0,1/351,1/6.06,2.46,-418,"5,676",19,19,1/149,1/6.19,3.82,-710,"1,274",2,4,1/212,1/6.26,3.41,"-1,810","4,350",9,13,1/198,1/6.12,3.13,-77,"1,627",7,3,1/163,1/6.55,2.89,-156,"5,556",21,12,1/168,1/5.96,2.25,-291,"1,842",6,3,1/205,1/5.73,2.64,-451,"7,324",23,28,1/144,1/6.10,4.54,-716,"1,112",2,2,1/278,1/6.34,2.95,+570,"5,785",23,17,1/145,1/5.95,3.33,+716,"1,589",9,4,1/122,1/6.10,3.33,"+1,241","7,019",28,27,1/128,1/6.00,4.69,"+1,244","5,360",26,14,1/134,1/6.21,3.02
2026-03-24,火,いいえ,+954,"2,215",10,10,1/111,1/5.76,4.45,-823,"5,108",18,13,1/165,1/6.47,2.73,-443,801,2,1,1/267,1/6.51,2.97,-500,"1,562",4,3,1/223,1/5.79,2.85,-916,"1,976",5,3,1/247,1/6.23,2.49,-653,"1,070",2,2,1/268,1/6.29,3.00,"-1,403","2,576",6,3,1/286,1/6.21,2.07,+559,"5,696",23,18,1/139,1/6.12,3.68,-959,"2,193",3,8,1/199,1/5.72,3.69,-215,"1,262",5,0,1/252,1/5.87,2.34,"-1,208","1,876",3,5,1/235,1/6.51,3.10,-151,"2,868",9,8,1/169,1/5.63,3.18,"-1,173","3,896",11,8,1/205,1/6.05,2.32,-260,"6,253",19,28,1/133,1/6.19,5.02
2026-03-23,月,いいえ,-383,"2,175",7,4,1/198,1/5.85,2.64,-463,"1,019",3,2,1/204,1/6.98,3.09,"+1,221","6,794",30,23,1/128,1/6.29,4.15,-572,"3,451",11,9,1/173,1/6.10,2.95,+533,"1,778",9,5,1/127,1/6.23,3.44,"+1,137","4,323",21,7,1/154,1/5.66,2.08,"-1,022","4,629",14,11,1/185,1/6.06,2.52,+853,"8,797",32,37,1/127,1/6.12,5.10,-580,"3,120",9,10,1/164,1/6.10,3.52,-952,"4,475",15,9,1/186,1/6.25,2.22,-649,"1,754",4,4,1/219,1/5.85,2.96,"-1,089","4,321",14,8,1/196,1/6.23,2.11,-5,"1,553",7,2,1/173,1/6.31,2.67,"-1,499","3,830",10,10,1/192,1/6.50,2.83
2026-03-22,日,いいえ,+730,"4,843",21,11,1/151,1/5.84,2.55,"-1,020","3,185",5,15,1/159,1/5.87,4.59,-274,"9,539",30,36,1/145,1/5.94,4.61,+578,"4,878",20,12,1/152,1/5.80,2.73,+127,"6,082",23,15,1/160,1/5.87,2.56,"+1,837","7,367",36,22,1/127,1/6.34,3.60,+550,"7,342",28,23,1/144,1/5.95,3.61,-594,"4,791",17,8,1/192,1/5.91,1.92,-548,"2,117",5,8,1/163,1/6.09,3.85,-245,"8,227",30,28,1/142,1/6.37,4.07,-20,"1,652",8,1,1/184,1/6.45,2.35,-716,"5,764",18,18,1/160,1/6.06,3.44,-350,"4,637",16,14,1/155,1/6.17,3.37,"+1,329","4,021",21,8,1/139,1/5.91,2.49
2026-03-21,土,いいえ,+310,"8,128",32,23,1/148,1/6.13,3.06,"-1,006","6,920",22,19,1/169,1/6.06,2.80,"+1,080","6,414",28,18,1/139,1/6.02,3.17,-207,"5,696",21,15,1/158,1/6.09,2.82,+220,"7,092",29,18,1/151,1/6.21,2.64,"-1,287","4,889",13,13,1/188,1/5.96,2.76,"-2,908","6,147",13,15,1/220,1/6.20,2.28,"+1,632","8,498",34,31,1/131,1/5.86,4.55,"-1,213","8,244",25,30,1/150,1/6.30,4.32,-548,"6,487",21,23,1/147,1/6.20,4.13,"+2,571","7,532",38,21,1/128,1/6.00,3.27,-415,"4,568",16,10,1/176,1/5.94,2.39,+173,"8,159",27,34,1/134,1/6.07,4.99,-726,"5,395",16,17,1/163,1/5.94,3.46
2026-03-20,金,いいえ,-673,"3,883",14,6,1/194,1/6.15,2.01,"-2,229","6,977",16,26,1/166,1/6.27,4.23,"+1,862","5,991",30,14,1/136,1/5.90,2.60,-720,"5,505",19,16,1/157,1/6.39,3.18,"+1,273","5,520",25,18,1/128,1/6.12,3.91,-536,"4,627",16,15,1/149,1/6.49,3.66,+990,"6,309",29,16,1/140,1/6.22,2.79,"-1,246","5,749",15,19,1/169,1/5.97,3.62,+264,"7,620",29,24,1/144,1/6.13,3.64,-948,"3,243",9,10,1/171,1/6.43,3.39,-825,"6,052",21,14,1/173,1/6.16,2.32,+906,"6,138",27,19,1/133,1/6.29,3.66,-370,"2,345",8,3,1/213,1/5.75,2.28,+572,"6,085",25,18,1/142,1/6.13,3.38
2026-03-19,木,いいえ,"-1,473","2,867",5,7,1/239,1/5.95,2.75,-664,813,1,1,1/407,1/6.21,2.92,"+1,254","5,023",21,19,1/126,1/5.87,4.45,-4,931,4,2,1/155,1/6.46,3.23,"-1,287","2,772",6,5,1/252,1/5.93,2.35,"-1,299","6,108",14,28,1/145,1/6.15,5.00,"-1,758","2,952",7,5,1/246,1/6.80,2.25,-631,"5,963",16,22,1/157,1/5.73,4.19,-27,"4,893",17,19,1/136,1/6.27,4.44,-218,"2,360",9,4,1/182,1/6.08,2.53,"+1,392","8,590",39,29,1/126,1/6.54,4.25,-246,565,2,0,1/283,1/6.64,2.91,"-1,038","4,322",12,12,1/180,1/6.04,2.98,+201,"5,080",17,21,1/134,1/6.02,4.67
2026-03-18,水,いいえ,-327,"5,051",17,12,1/174,1/5.75,2.50,"+1,648","5,216",28,15,1/121,1/6.57,3.51,-916,"2,307",7,3,1/231,1/6.43,2.28,-643,"1,649",4,4,1/206,1/6.17,3.07,"-1,354","3,741",9,13,1/170,1/6.51,3.75,-103,"1,338",5,2,1/191,1/5.84,2.82,-823,"5,924",18,20,1/156,1/6.14,3.81,-773,"3,852",13,7,1/193,1/6.13,2.19,-493,931,2,0,1/466,1/5.47,2.54,-950,"1,509",2,3,1/302,1/5.81,2.84,-225,"2,239",8,5,1/172,1/6.08,2.90,-902,"1,812",5,3,1/227,1/6.78,2.64,+210,"2,734",12,4,1/171,1/5.88,2.31,-761,"2,475",8,3,1/225,1/6.19,2.18
2026-03-17,火,いいえ,-503,"3,274",10,13,1/142,1/6.52,4.23,-952,"2,113",4,5,1/235,1/5.81,2.88,-520,"3,973",13,13,1/153,1/6.34,3.65,-911,"1,586",3,3,1/264,1/6.16,2.79,-69,"1,451",6,2,1/181,1/6.11,2.74,+290,"4,542",19,6,1/182,1/5.66,1.79,+51,"3,657",14,9,1/159,1/5.95,2.85,+125,"4,193",15,14,1/145,1/5.98,3.78,"+4,171","7,295",40,34,1/99,1/6.29,5.36,+222,"2,134",9,5,1/152,1/5.94,3.04,"+1,513","4,799",25,11,1/133,1/6.09,2.70,-232,"2,378",8,8,1/149,1/6.34,3.68,+416,"4,640",18,13,1/150,1/5.82,3.16,-426,"1,392",5,0,1/278,1/6.06,2.24
2026-03-16,月,はい,-422,"4,396",15,9,1/183,1/5.80,2.28,-690,"2,924",10,4,1/209,1/6.14,2.13,"+1,718","8,268",35,29,1/129,1/5.99,4.38,+80,"5,668",25,10,1/162,1/6.33,1.93,-948,"2,720",7,7,1/194,1/6.22,2.96,+158,"6,965",27,20,1/148,1/6.15,3.16,"-2,061","5,054",12,12,1/211,1/6.17,2.37,-555,"5,733",20,13,1/174,1/5.98,2.31,"-1,067","5,077",14,14,1/181,1/5.88,2.88,+196,"7,752",28,31,1/131,1/6.34,4.85,"-1,196","3,201",8,7,1/213,1/6.07,2.54,-645,"2,743",8,7,1/183,1/6.08,2.97,"+1,592","7,376",32,25,1/129,1/6.02,4.17,-415,"4,591",13,21,1/135,1/6.21,4.87
2026-03-15,日,いいえ,"-1,016","2,854",9,5,1/204,1/6.60,2.37,"-1,054","3,742",10,8,1/208,1/5.83,2.40,+175,"3,857",16,6,1/175,1/5.79,2.06,"+2,943","6,715",39,17,1/120,1/6.34,3.01,"+1,361","5,041",25,12,1/136,1/6.05,2.75,-539,"2,207",6,6,1/184,1/5.97,3.16,"+1,296","5,742",25,20,1/128,1/6.04,4.20,"-2,043","2,488",2,6,1/311,1/6.27,2.73,-173,"3,848",14,9,1/167,1/5.95,2.68,-592,"4,081",11,16,1/151,1/6.01,4.27,-739,"1,778",4,3,1/254,1/5.77,2.64,"-1,093","4,726",14,8,1/215,1/5.75,1.90,-69,"4,270",15,13,1/153,1/5.98,3.42,-160,"4,821",21,7,1/172,1/6.35,1.83
2026-03-14,土,いいえ,-697,"3,106",9,10,1/163,1/6.31,3.53,"+3,181","6,494",31,35,1/98,1/6.16,5.43,"+1,031","3,434",19,5,1/143,1/6.17,2.21,-486,"2,359",8,4,1/197,1/6.12,2.50,-612,"2,477",8,5,1/191,1/6.27,2.66,-821,"5,327",16,18,1/157,1/6.17,3.79,"-1,020","4,763",15,9,1/198,1/5.96,2.05,"+1,543","6,280",28,21,1/128,1/6.01,4.06,+854,"6,349",26,23,1/130,1/6.22,4.38,+86,"2,920",14,3,1/172,1/6.38,2.04,"+1,351","5,687",24,20,1/129,1/5.85,4.22,+602,"5,681",26,13,1/146,1/6.33,2.50,-113,"4,583",15,13,1/164,1/5.68,3.11,"-1,955","3,340",8,5,1/257,1/6.67,2.02
2026-03-13,金,いいえ,+0,"2,443",9,6,1/163,1/5.85,3.02,+657,"6,392",31,11,1/152,1/6.42,1.85,-764,"2,669",6,10,1/167,1/6.07,3.88,+32,"3,050",11,7,1/169,1/5.66,2.77,-672,"1,237",3,2,1/247,1/6.55,2.85,"-1,085","3,564",9,10,1/188,1/6.06,3.05,"-1,585","3,715",8,9,1/219,1/6.02,2.61,+504,"5,925",21,24,1/132,1/6.00,4.72,-311,"3,384",13,6,1/178,1/6.15,2.30,"-2,249","3,774",7,8,1/252,1/6.32,2.30,"-1,250","1,848",3,2,1/370,1/5.96,2.29,-552,"2,983",11,4,1/199,1/6.21,2.12,-493,"3,999",14,6,1/200,1/5.79,1.95,-500,"4,666",17,9,1/179,1/6.06,2.15
2026-03-12,木,いいえ,+691,"5,366",19,22,1/131,1/5.82,4.70,-265,"5,000",16,15,1/161,1/5.78,3.29,+781,"3,145",16,7,1/137,1/6.24,2.85,-998,"1,593",3,3,1/266,1/6.40,2.78,-195,"1,571",5,5,1/157,1/6.16,3.52,-375,"3,228",11,6,1/190,1/5.81,2.37,"-1,194","2,573",7,2,1/286,1/6.12,1.92,-497,"2,892",10,6,1/181,1/6.21,2.62,-564,959,2,2,1/240,1/6.57,3.12,-878,"4,278",13,12,1/171,1/6.20,3.06,-955,"1,388",2,2,1/347,1/5.96,2.66,-598,"1,214",3,2,1/243,1/6.36,2.88,"-1,020","2,912",7,7,1/208,1/5.95,2.77,+637,"4,196",19,9,1/150,1/5.99,2.53
