日付,曜日,特定日,186番台,,,,,,,187番台,,,,,,,188番台,,,,,,,189番台,,,,,,,190番台,,,,,,,191番台,,,,,,,192番台,,,,,,,193番台,,,,,,,194番台,,,,,,,195番台,,,,,,,196番台,,,,,,,197番台,,,,,,,198番台,,,,,,,199番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-28,木,いいえ,+109,"4,309",17,11,1/154,1/6.08,2.89,"-1,247","2,692",6,4,1/269,1/5.86,2.19,-650,"2,507",9,3,1/209,1/6.39,2.18,-90,"2,408",9,3,1/201,1/5.58,2.25,+975,"4,288",19,16,1/123,1/6.24,4.34,-861,"3,197",10,5,1/213,1/6.04,2.15,"-1,109","4,298",12,10,1/195,1/5.94,2.49,+324,"4,293",18,9,1/159,1/5.93,2.43,+486,"7,269",28,18,1/158,1/5.76,2.48,"+2,310","6,245",36,7,1/145,1/5.97,1.56,+122,"4,106",17,9,1/158,1/6.12,2.55,-2,"4,817",18,16,1/142,1/6.30,3.82,-767,"2,332",6,6,1/194,1/6.12,3.03,-926,"4,245",14,7,1/202,1/6.04,1.98
2026-05-27,水,いいえ,+131,"2,918",12,6,1/162,1/5.96,2.66,-738,"3,880",13,9,1/176,1/6.28,2.62,+707,"2,834",13,8,1/135,1/5.91,3.37,-69,"4,663",17,15,1/146,1/6.21,3.66,-109,"4,053",14,14,1/145,1/6.14,3.89,-803,"3,919",14,8,1/178,1/6.50,2.38,"-1,339","6,357",16,23,1/163,1/5.97,4.08,+380,"4,553",21,9,1/152,1/6.34,2.32,-99,"4,257",15,13,1/152,1/6.03,3.43,+992,"4,425",22,12,1/130,1/6.45,3.23,-277,"5,410",19,12,1/175,1/5.79,2.30,+378,"6,687",25,22,1/142,1/6.02,3.85,-469,"3,918",13,10,1/170,1/6.01,2.85,"+2,077","6,973",30,28,1/120,1/5.89,4.89
2026-05-26,火,はい,-527,"3,423",11,10,1/163,1/6.22,3.27,"-1,021","2,616",5,7,1/218,1/5.70,3.00,"+1,843","5,257",27,14,1/128,1/6.01,3.15,"+2,358","6,756",34,21,1/123,1/6.09,3.83,"+1,907","3,484",19,13,1/109,1/5.95,4.33,-598,"5,730",18,18,1/159,1/6.00,3.47,+804,"5,891",26,12,1/155,1/5.88,2.16,"+3,803","6,990",36,32,1/103,1/5.99,5.30,+803,"5,856",24,20,1/133,1/6.12,4.07,-758,"4,042",12,12,1/168,1/6.10,3.26,-360,"6,148",24,10,1/181,1/6.00,1.73,-720,"2,801",9,3,1/233,1/5.87,2.00,+750,"6,461",26,17,1/150,1/5.80,2.82,-528,"6,464",21,19,1/162,1/5.93,3.16
2026-05-25,月,いいえ,-650,"4,956",18,9,1/184,1/6.11,2.01,"-1,599","3,267",7,7,1/233,1/6.17,2.46,+196,"4,731",19,11,1/158,1/5.98,2.58,-840,"4,663",14,14,1/167,1/6.12,3.28,-674,"1,680",4,4,1/210,1/6.15,3.04,"+1,643","6,559",30,21,1/129,1/6.05,3.88,-274,"5,327",17,20,1/144,1/6.08,4.30,+319,"5,250",25,7,1/164,1/6.33,1.73,-487,"4,715",17,8,1/189,1/5.90,1.96,-874,"2,900",8,4,1/242,1/5.70,2.10,"-1,794","2,946",5,4,1/327,1/5.86,2.01,-562,"3,412",12,8,1/171,1/6.38,2.74,+355,"3,768",17,9,1/145,1/6.36,2.85,+128,"4,716",18,11,1/163,1/5.83,2.56
2026-05-24,日,いいえ,-791,"6,631",18,31,1/135,1/6.26,5.14,"+1,346","5,720",30,10,1/143,1/6.27,2.00,-661,"1,429",3,1,1/357,1/5.43,2.39,+507,"5,194",22,10,1/162,1/5.81,2.12,+769,"5,959",25,17,1/142,1/6.02,3.23,-337,"2,588",8,8,1/162,1/6.04,3.45,-842,"4,413",15,9,1/184,1/6.21,2.26,"-1,084","7,172",22,23,1/159,1/6.16,3.56,"-1,301","1,853",3,4,1/265,1/6.59,2.82,-627,"3,174",9,11,1/159,1/6.22,3.76,-98,"6,869",23,20,1/160,1/5.74,3.12,"+1,591","4,223",21,18,1/108,1/6.43,4.81,"+1,842","5,582",30,11,1/136,1/6.08,2.25,+434,"4,959",22,9,1/160,1/6.03,2.08
2026-05-23,土,いいえ,-552,"4,289",14,12,1/165,1/6.10,3.08,-572,"4,139",13,14,1/153,1/6.27,3.77,+238,"8,033",30,27,1/141,1/6.17,4.01,+37,"4,363",14,13,1/162,1/5.54,3.29,"-1,091","3,380",10,6,1/211,1/6.19,2.23,"+1,678","6,514",30,23,1/123,1/6.21,4.37,+728,"7,438",30,20,1/149,1/5.91,2.85,-563,"4,970",15,16,1/160,1/5.93,3.56,+514,"4,763",21,10,1/154,1/6.03,2.38,"-1,103","2,200",3,6,1/244,1/5.61,3.06,"-2,157","3,346",4,10,1/239,1/6.16,3.10,"-1,263","3,906",11,8,1/206,1/6.15,2.31,"-1,900","3,286",6,8,1/235,1/6.35,2.67,+619,"6,702",23,31,1/124,1/6.09,5.18
2026-05-22,金,いいえ,+57,"2,415",10,6,1/151,1/6.29,3.09,"-1,437","6,388",18,20,1/168,1/6.17,3.38,"-1,813","2,982",4,6,1/298,1/5.74,2.37,"+2,849","8,271",41,21,1/133,1/5.79,2.75,-920,"2,257",4,6,1/226,1/5.62,3.03,-807,"3,062",11,4,1/204,1/6.47,2.07,"-1,231","6,465",20,16,1/180,1/6.04,2.43,"+1,137","6,160",28,16,1/140,1/6.06,2.89,+337,"4,542",18,16,1/134,1/6.31,4.08,-312,"3,305",10,11,1/157,1/5.90,3.66,-206,"2,371",9,4,1/182,1/6.03,2.52,"+2,667","4,672",25,16,1/114,1/5.62,4.19,+785,"3,790",19,6,1/152,1/6.05,2.17,"-1,491","7,161",23,19,1/171,1/6.36,2.64
2026-05-21,木,いいえ,+875,"2,820",15,4,1/148,1/5.86,2.33,-829,"1,756",5,0,1/351,1/5.96,1.99,+208,"2,852",13,4,1/168,1/6.06,2.25,"-1,142","3,320",8,10,1/184,1/6.20,3.27,-456,"1,137",3,0,1/379,1/5.46,2.38,"+1,509","6,168",30,16,1/134,1/6.15,2.94,-548,"4,719",17,9,1/182,1/6.04,2.12,-571,"3,087",11,7,1/172,1/6.50,2.74,"+1,416","7,017",29,25,1/130,1/5.93,4.36,+234,"2,088",10,3,1/161,1/6.16,2.54,"+1,307","4,050",19,13,1/127,1/5.87,3.79,+672,"2,036",11,4,1/136,1/6.11,2.92,"-1,243","1,418",1,2,1/473,1/5.96,2.60,-558,"6,104",21,18,1/157,1/6.20,3.22
2026-05-20,水,いいえ,-819,"3,225",10,5,1/215,1/5.94,2.13,"-1,023","4,855",13,16,1/167,1/6.02,3.61,-433,"1,387",5,2,1/198,1/6.83,2.77,+798,"4,895",20,17,1/132,1/6.01,4.07,+244,"3,874",17,8,1/155,1/6.20,2.49,-474,"3,150",10,8,1/175,1/5.98,2.93,-386,"6,175",20,18,1/163,1/5.83,3.13,+621,"4,606",18,13,1/149,1/5.67,3.19,"+3,959","7,330",43,20,1/116,1/6.01,3.36,-496,"1,316",3,4,1/188,1/6.21,3.41,-720,"3,149",9,8,1/185,1/5.98,2.89,-175,"2,094",8,3,1/190,1/5.94,2.48,-122,"6,737",25,14,1/173,1/5.80,2.02,-384,"3,897",14,9,1/169,1/6.13,2.63
2026-05-19,火,いいえ,+55,"2,771",11,7,1/154,1/6.12,3.05,+55,"3,210",11,11,1/146,1/5.90,3.79,"+1,399","4,803",23,15,1/126,1/6.08,3.74,-489,"2,900",11,1,1/242,1/5.82,1.71,"+1,060","3,474",17,8,1/139,1/5.79,2.85,+285,"4,919",18,16,1/145,1/5.91,3.72,"-1,371","2,612",6,4,1/261,1/6.25,2.25,+0,"5,667",23,12,1/162,1/6.13,2.23,-677,"1,287",3,2,1/257,1/6.30,2.80,-586,"1,844",6,3,1/205,1/6.47,2.64,+31,"5,590",21,19,1/140,1/6.33,3.97,-859,"1,501",3,4,1/214,1/6.67,3.20,-311,"2,334",8,6,1/167,1/6.21,3.10,-979,"3,341",8,9,1/197,1/5.81,2.95
