日付,曜日,特定日,856番台,,,,,,,,857番台,,,,,,,,858番台,,,,,,,,860番台,,,,,,,,861番台,,,,,,,,862番台,,,,,,,,863番台,,,,,,,,865番台,,,,,,,,866番台,,,,,,,,867番台,,,,,,,,868番台,,,,,,,,870番台,,,,,,,
,,,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差
2026-03-10,火,いいえ,-170,"1,161",5,2,1/166,3.11,61,4.0,"+1,457","6,105",25,25,1/122,4.47,30,-,-147,208,0,1,1/208,3.49,52,6.0,-479,"1,733",6,3,1/193,2.80,55,3.0,-551,"3,495",12,3,1/233,1.84,46,16.0,-32,"3,398",14,7,1/162,2.64,52,6.0,+62,"4,097",16,13,1/141,3.39,52,6.0,-243,801,3,1,1/200,3.09,57,2.0,-564,891,1,2,1/297,3.03,66,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-09,月,いいえ,-193,493,1,1,1/247,3.25,61,4.0,-375,"1,283",3,3,1/214,3.01,55,2.0,-155,520,2,0,1/260,3.08,11,-,+132,610,3,0,1/203,3.07,53,11.0,-25,"5,733",21,18,1/147,3.19,42,31.0,-29,36,0,0,-,3.46,55,2.0,-315,"1,071",2,6,1/134,3.84,57,1.0,+14,"1,364",6,2,1/171,2.97,56,1.0,-669,"1,522",3,6,1/169,3.43,62,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-08,日,いいえ,-573,480,0,0,-,2.93,60,2.0,-343,839,3,1,1/210,3.04,51,1.0,"+1,792","5,058",25,21,1/110,4.73,0,-,-359,421,1,0,1/421,3.09,52,1.0,-159,"3,973",11,18,1/137,4.07,50,13.0,-356,275,0,0,-,3.16,37,37.0,-187,"3,062",11,8,1/161,2.94,58,3.0,-534,932,1,3,1/233,3.21,63,3.0,-515,"2,619",8,5,1/201,2.51,55,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-07,土,いいえ,+866,"2,942",15,7,1/134,3.22,52,7.0,+72,"1,370",6,2,1/171,2.96,45,5.0,+583,"2,535",14,5,1/133,3.12,45,5.0,+398,"3,382",16,9,1/135,3.28,40,24.0,-375,"2,133",8,5,1/164,3.00,61,1.0,"+1,863","6,172",29,20,1/126,3.89,16,-,-272,205,0,0,-,3.25,57,4.0,"-1,251","4,538",14,11,1/182,2.40,60,3.0,-316,"1,990",5,8,1/153,3.55,53,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-06,金,はい,-548,"1,364",4,2,1/227,2.79,63,2.0,-270,"3,997",15,11,1/154,2.97,39,4.0,"-1,199","2,245",4,7,1/204,2.96,59,2.0,-435,"4,396",16,12,1/157,2.86,35,-,+132,"1,739",9,3,1/145,3.07,56,12.0,+357,"4,331",17,16,1/131,3.87,39,4.0,-135,"1,780",7,3,1/178,2.83,57,1.0,-750,"2,661",9,3,1/222,2.19,61,2.0,-611,"1,638",4,5,1/182,3.17,44,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-05,木,いいえ,-32,782,3,3,1/130,3.60,58,3.0,-371,"2,126",6,7,1/164,3.27,13,-,+14,947,4,4,1/118,3.74,48,2.0,+773,"4,365",17,17,1/128,4.03,46,12.0,-66,697,3,1,1/174,3.21,52,4.0,-199,"2,217",9,3,1/185,2.56,60,2.0,-137,251,1,0,1/251,3.30,58,3.0,-371,976,2,4,1/163,3.50,55,3.0,+663,"6,023",23,20,1/140,3.49,34,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-04,水,いいえ,+189,375,2,1,1/125,3.50,46,2.0,"+1,629","4,816",22,22,1/109,4.81,0,-,-148,325,1,1,1/163,3.45,8,8.0,"-1,034","1,387",1,4,1/277,2.94,61,1.0,+573,"4,842",20,17,1/131,3.83,42,27.0,-409,"1,554",4,5,1/173,3.26,60,2.0,-415,"2,076",7,5,1/173,2.97,15,7.0,-108,"2,299",8,4,1/192,2.61,44,2.0,"-1,323","4,133",8,15,1/180,3.08,58,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-03,火,はい,-8,"6,782",23,28,1/133,4.22,36,1.0,-407,654,1,1,1/327,3.06,38,2.0,"+1,774","7,592",31,36,1/113,5.05,0,-,-461,"1,973",6,5,1/179,2.99,36,1.0,-668,"3,645",13,6,1/192,2.19,58,20.0,"-1,368","4,091",11,10,1/195,2.39,59,1.0,"+1,262","6,454",25,36,1/106,5.25,0,-,"+1,077","4,997",27,6,1/151,2.01,35,35.0,"-1,052","1,884",4,1,1/377,2.15,59,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-01,日,いいえ,+938,"3,036",17,7,1/127,3.32,45,3.0,"+1,333","8,538",37,29,1/129,3.98,19,1.0,-102,269,1,0,1/269,3.28,55,2.0,"+1,633","7,497",39,15,1/139,2.33,18,-,-711,796,0,2,1/398,3.04,46,1.0,-520,"1,022",2,2,1/256,2.98,57,2.0,-451,877,2,1,1/292,2.91,57,2.0,-123,"1,328",5,3,1/166,3.15,53,7.0,+41,"3,563",15,7,1/162,2.56,42,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-28,土,いいえ,-511,"1,314",2,6,1/164,3.57,59,2.0,-774,"1,480",4,4,1/185,3.11,57,2.0,-394,901,3,0,1/300,2.74,43,3.0,-77,279,1,0,1/279,3.26,55,4.0,"+2,009","8,062",37,28,1/124,4.24,21,-,-187,160,0,0,-,3.30,55,4.0,+263,"4,948",18,19,1/134,3.93,45,2.0,-378,"1,788",6,5,1/163,3.19,40,19.0,-273,"2,393",7,10,1/141,3.74,51,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-27,金,いいえ,-100,"1,722",8,0,1/215,2.35,56,1.0,-57,"1,355",7,0,1/194,2.62,47,29.0,"+1,029","4,132",19,15,1/122,4.07,18,3.0,-333,"1,648",5,4,1/183,3.02,55,5.0,-744,"2,404",5,9,1/172,3.32,63,7.0,-191,848,3,0,1/283,2.80,55,5.0,-172,"1,766",5,8,1/136,3.80,65,2.0,"+1,869","6,129",29,21,1/123,4.13,15,-,-151,210,0,1,1/210,3.49,50,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-26,木,はい,-292,"1,822",4,9,1/140,3.85,12,6.0,"+1,770","2,519",18,7,1/101,4.07,46,9.0,"+2,216","7,119",35,25,1/119,4.43,14,2.0,-199,802,2,2,1/201,3.23,50,3.0,-297,"2,040",8,4,1/170,2.87,57,7.0,-527,"2,428",8,7,1/162,3.13,47,1.0,"-1,199","1,756",4,2,1/293,2.41,72,15.0,-186,"6,121",24,17,1/149,2.85,37,23.0,-253,"3,271",10,10,1/164,3.07,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-25,水,いいえ,"+2,096","6,918",31,28,1/117,4.69,0,-,-503,861,2,1,1/287,2.92,55,2.0,-630,"1,592",4,3,1/227,2.77,57,2.0,+27,380,2,0,1/190,3.25,25,25.0,-137,"3,300",11,8,1/174,2.70,58,1.0,-162,"4,082",13,15,1/146,3.56,44,19.0,-127,"2,000",6,8,1/143,3.64,61,3.0,-179,354,1,0,1/354,3.17,53,9.0,"+1,538","5,691",28,22,1/114,4.61,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-24,火,いいえ,-232,185,0,0,-,3.27,65,8.0,-121,"5,011",18,15,1/152,3.04,44,3.0,-126,148,0,1,1/148,3.56,52,6.0,"+2,898","8,094",41,27,1/119,4.39,4,-,+0,0,0,0,-,-,54,2.0,+34,"3,084",13,6,1/162,2.66,46,2.0,-397,937,2,3,1/187,3.31,57,3.0,+74,"1,380",5,5,1/138,3.57,41,37.0,-174,175,0,0,-,3.28,52,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-23,月,はい,-849,"2,604",7,6,1/200,2.64,67,7.0,-560,893,2,0,1/447,2.67,60,2.0,+373,"2,541",11,5,1/159,2.83,49,6.0,-360,"1,736",6,4,1/174,3.02,55,3.0,+910,"4,653",21,15,1/129,3.70,49,6.0,-497,"1,268",2,5,1/181,3.39,58,3.0,-163,"3,541",13,10,1/154,3.05,52,3.0,+409,542,4,1,1/108,3.51,23,-,+370,"3,477",14,13,1/129,3.88,43,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-22,日,いいえ,-155,680,2,1,1/227,3.13,54,1.0,-504,"4,936",18,11,1/170,2.34,53,2.0,-378,"2,889",9,9,1/161,3.16,51,48.0,-428,"1,317",2,8,1/132,3.99,51,48.0,-723,945,1,1,1/473,2.74,67,8.0,-586,"2,225",8,3,1/202,2.48,53,2.0,-180,555,2,0,1/278,3.04,59,4.0,"+2,889","6,010",35,19,1/111,4.44,3,-,-162,649,2,0,1/325,2.93,55,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-21,土,いいえ,+628,"3,691",16,11,1/137,3.39,45,11.0,"-1,285","1,606",2,2,1/402,2.40,66,7.0,-599,"1,980",5,5,1/198,2.89,59,4.0,-41,"3,046",12,8,1/152,3.05,48,3.0,-417,"1,103",2,4,1/184,3.35,53,1.0,-704,"2,032",5,3,1/254,2.43,52,3.0,-422,472,0,2,1/236,3.41,49,1.0,+556,"6,554",24,23,1/139,3.64,34,-,-551,986,1,3,1/247,3.15,55,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-20,金,いいえ,+371,"3,646",15,12,1/135,3.57,53,1.0,-454,863,2,0,1/432,2.70,55,2.0,-195,983,4,1,1/197,2.98,55,2.0,-207,"1,100",4,1,1/220,2.85,52,5.0,-110,"6,682",24,26,1/134,4.07,45,9.0,-26,376,2,0,1/188,3.25,9,-,"+1,735","5,266",25,19,1/120,4.25,26,17.0,+390,"1,354",7,2,1/150,3.08,47,2.0,+171,"2,909",13,9,1/132,3.53,36,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-19,木,いいえ,-147,246,1,0,1/246,3.30,58,7.0,-169,"1,874",6,8,1/134,3.78,42,2.0,-291,"1,236",4,3,1/177,3.16,51,1.0,+440,"1,227",6,2,1/153,3.13,50,5.0,-183,529,1,2,1/176,3.45,61,3.0,+603,"8,419",30,41,1/119,4.98,0,-,"+1,294",664,7,4,1/60,4.38,45,3.0,-46,285,1,0,1/285,3.26,40,40.0,-29,"5,932",21,18,1/152,3.00,42,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-18,水,いいえ,+938,965,8,1,1/107,3.42,56,1.0,+442,"4,228",18,11,1/146,2.99,37,9.0,-168,"2,829",9,9,1/157,3.23,51,5.0,-210,190,0,0,-,3.27,55,3.0,-355,718,1,2,1/239,3.22,59,3.0,-927,"1,831",4,4,1/229,2.74,61,2.0,-21,294,1,0,1/294,3.25,46,9.0,"+2,174","5,108",28,16,1/116,4.12,28,-,-250,199,0,0,-,3.26,52,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-17,火,いいえ,+173,"1,855",7,6,1/143,3.45,59,4.0,+214,"3,004",13,7,1/150,2.96,40,14.0,-278,"1,287",3,5,1/161,3.47,62,3.0,-29,735,3,1,1/184,3.17,48,3.0,-513,"2,573",7,6,1/198,2.67,49,1.0,-292,316,0,1,1/316,3.36,52,3.0,+800,"6,356",25,25,1/127,4.27,26,-,-4,726,3,1,1/182,3.18,55,3.0,+307,"2,117",11,4,1/141,3.07,45,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-16,月,はい,-620,"1,280",3,2,1/256,2.79,59,7.0,-439,"4,155",14,12,1/160,2.93,42,3.0,-868,"2,141",5,6,1/195,2.94,64,5.0,+128,"4,745",21,11,1/148,2.71,37,-,-119,"6,624",23,25,1/138,3.87,39,1.0,+413,"3,387",15,11,1/130,3.64,38,1.0,-157,"1,895",7,6,1/146,3.40,51,2.0,-655,"2,417",8,5,1/186,2.70,49,7.0,-339,"4,041",16,6,1/184,2.08,52,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-15,日,いいえ,-310,"3,674",12,14,1/141,3.69,56,3.0,-417,"2,542",8,8,1/159,3.23,51,5.0,-645,"1,717",5,2,1/245,2.52,57,1.0,+330,"2,612",13,3,1/163,2.49,46,4.0,-418,333,0,0,-,3.10,53,2.0,-808,"4,647",15,12,1/172,2.55,57,1.0,+133,"1,033",4,4,1/129,3.64,29,-,-264,"5,313",17,20,1/144,3.67,42,13.0,-678,"1,040",2,2,1/260,2.96,61,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-14,土,いいえ,-302,313,0,1,1/313,3.36,44,1.0,-500,"3,310",10,12,1/150,3.46,54,6.0,-256,"1,176",5,1,1/196,2.85,48,4.0,+252,"3,082",13,6,1/162,2.66,43,1.0,-312,"4,229",18,7,1/169,2.21,42,42.0,-305,472,1,1,1/236,3.28,55,1.0,"+1,489","6,867",33,21,1/127,3.74,0,-,-485,989,3,1,1/247,2.87,55,1.0,-378,"1,496",3,5,1/187,3.23,55,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-13,金,はい,"+1,156","7,943",35,26,1/130,3.82,27,17.0,-499,363,0,0,-,3.06,55,5.0,"+1,631","4,821",28,10,1/127,3.04,39,12.0,+57,"2,210",10,3,1/170,2.65,50,8.0,+320,"3,159",15,4,1/166,2.34,10,10.0,-497,479,0,1,1/479,3.17,55,5.0,"+4,065","5,905",40,19,1/100,4.97,0,-,-429,"2,016",7,5,1/168,3.03,61,6.0,-132,"2,474",10,5,1/165,2.81,42,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-12,木,いいえ,-238,"1,987",6,6,1/166,3.20,61,5.0,-286,390,1,0,1/390,3.13,51,5.0,-145,942,3,3,1/157,3.40,52,1.0,+64,133,1,0,1/133,3.44,46,4.0,+962,"8,342",31,39,1/119,4.92,0,-,+130,433,2,1,1/144,3.43,42,3.0,-390,"1,008",1,7,1/126,4.02,56,4.0,-350,"1,738",5,5,1/174,3.15,61,5.0,+291,"3,868",16,9,1/155,2.75,39,39.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-11,水,いいえ,-735,"1,100",2,1,1/367,2.67,59,1.0,+52,"4,297",16,13,1/148,3.18,46,3.0,+467,"2,354",13,5,1/131,3.23,42,5.0,+927,"4,381",17,18,1/125,4.20,43,1.0,-166,153,0,0,-,3.31,58,10.0,+181,"5,863",22,19,1/143,3.36,37,-,+557,"1,224",8,1,1/136,3.09,42,5.0,-97,"1,531",6,3,1/170,3.02,58,10.0,-31,"3,332",14,8,1/151,2.92,48,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-10,火,いいえ,-15,"3,430",11,13,1/143,3.64,54,1.0,-281,534,1,2,1/178,3.44,59,5.0,+133,"3,653",14,12,1/141,3.47,42,15.0,+221,"1,154",6,1,1/165,2.97,53,2.0,+328,"2,507",10,8,1/139,3.46,46,4.0,-145,232,0,1,1/232,3.46,53,2.0,-115,"8,795",29,31,1/147,3.46,27,-,+214,"2,108",8,7,1/141,3.49,59,5.0,-14,965,3,2,1/193,3.14,51,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-09,月,いいえ,+0,"1,036",4,3,1/148,3.40,57,2.0,-722,"1,198",2,3,1/240,3.01,53,1.0,-720,"2,815",7,11,1/156,3.50,61,4.0,-475,777,1,1,1/389,2.92,62,1.0,+522,"4,484",20,14,1/132,3.57,48,-,-159,295,1,0,1/295,3.24,53,1.0,+169,"1,318",6,2,1/165,3.02,55,2.0,-451,493,0,1,1/493,3.15,52,1.0,-69,"1,574",7,2,1/175,2.83,51,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-08,日,いいえ,-303,670,2,1,1/223,3.14,53,2.0,+665,"3,016",15,6,1/144,2.90,45,9.0,-352,"1,061",4,0,1/265,2.66,49,2.0,-897,"1,130",1,2,1/377,2.77,59,6.0,"-1,055","2,207",3,7,1/221,2.92,69,10.0,-690,"1,273",3,1,1/318,2.58,36,-,-485,"1,796",6,3,1/200,2.73,51,2.0,+640,"5,546",23,14,1/150,2.72,47,2.0,-510,782,1,2,1/261,3.15,45,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-07,土,いいえ,-203,"3,893",13,13,1/150,3.33,51,8.0,-11,789,4,2,1/132,3.45,43,3.0,-370,"3,874",15,9,1/161,2.67,38,24.0,-536,682,0,2,1/341,3.17,40,2.0,-313,445,1,0,1/445,3.07,61,10.0,"+2,033","8,851",39,31,1/126,4.20,6,4.0,+833,"3,493",16,9,1/140,3.16,14,8.0,-284,255,0,0,-,3.19,63,2.0,+956,"4,490",20,14,1/132,3.57,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-06,金,はい,-277,229,0,0,-,3.22,20,11.0,-64,"6,069",21,24,1/135,4.03,35,10.0,+167,"5,048",18,16,1/148,3.21,37,2.0,"+1,736","8,717",42,27,1/126,3.87,25,5.0,+142,"1,365",6,2,1/171,2.97,46,9.0,-473,"1,507",5,2,1/215,2.72,49,3.0,+622,"2,988",11,18,1/103,4.84,9,9.0,-490,"2,594",8,8,1/162,3.17,62,13.0,"+1,290","8,886",31,42,1/122,4.89,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-05,木,いいえ,"+2,355","4,720",23,22,1/105,4.94,0,-,-478,378,0,0,-,3.04,50,5.0,+335,"2,410",10,6,1/151,3.11,53,1.0,"-1,050","3,739",11,9,1/187,2.50,57,4.0,+323,"3,448",16,7,1/150,2.75,45,43.0,-109,827,3,1,1/207,3.06,2,2.0,-438,"2,799",9,9,1/156,3.26,66,9.0,-560,"3,449",11,10,1/164,2.97,68,2.0,-76,"1,605",7,3,1/161,3.03,52,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-04,水,いいえ,"-1,604","2,304",4,4,1/288,2.32,68,2.0,-277,603,2,0,1/302,2.98,9,9.0,-500,"1,372",3,4,1/196,3.14,57,6.0,-484,"4,773",16,16,1/149,3.32,44,35.0,+403,"1,225",7,1,1/153,2.99,51,5.0,"+3,327","6,624",33,32,1/102,5.30,0,-,-465,"1,193",3,4,1/170,3.35,71,3.0,-572,"1,720",4,5,1/191,3.08,66,9.0,+618,"2,043",12,3,1/136,3.01,46,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-03,火,はい,-268,"1,246",4,1,1/249,2.69,58,3.0,"+1,772","8,608",32,44,1/113,5.17,0,-,-312,"2,275",8,7,1/152,3.30,55,4.0,-492,"4,667",15,14,1/161,2.93,51,39.0,-734,"1,815",5,2,1/259,2.43,12,12.0,"-1,212","3,544",8,12,1/177,3.04,59,1.0,-737,"1,974",5,5,1/197,2.90,69,4.0,"-1,422","3,261",9,4,1/251,1.96,65,6.0,-475,"2,224",6,6,1/185,2.94,51,39.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-01,日,いいえ,-315,772,2,1,1/257,3.02,24,24.0,-9,"4,131",15,12,1/153,3.04,48,2.0,+27,"1,499",7,4,1/136,3.40,53,5.0,-333,"1,669",6,3,1/185,2.86,64,3.0,"+2,655","7,122",37,25,1/115,4.59,0,-,-633,917,2,0,1/459,2.64,57,2.0,"-1,323","3,579",7,14,1/170,3.34,55,2.0,-93,"1,056",5,1,1/176,2.99,61,4.0,+384,"2,237",10,7,1/132,3.54,46,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-31,土,いいえ,"+2,005","2,745",18,11,1/95,4.62,0,-,-256,"1,359",5,2,1/194,2.88,55,9.0,-195,"1,121",5,0,1/224,2.69,55,9.0,"-1,074","3,865",12,7,1/203,2.14,65,10.0,-363,715,2,1,1/238,3.09,46,4.0,-56,"1,843",7,4,1/168,2.99,55,9.0,-233,"3,679",12,10,1/167,2.82,42,42.0,-700,722,1,0,1/722,2.76,67,2.0,-367,"2,113",6,7,1/163,3.29,55,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-30,金,いいえ,-46,62,0,0,-,3.42,61,3.0,-492,958,2,1,1/319,2.82,55,4.0,-386,"1,867",6,6,1/156,3.33,55,4.0,-347,"1,310",4,2,1/218,2.84,61,3.0,+642,"3,802",19,7,1/146,2.65,33,-,-302,913,2,3,1/183,3.34,51,5.0,-133,"4,459",18,11,1/154,2.75,46,13.0,-311,954,3,1,1/239,2.91,58,3.0,-301,822,2,2,1/206,3.20,55,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-29,木,いいえ,-214,217,0,0,-,3.23,54,3.0,+384,624,4,0,1/156,3.16,51,9.0,-304,"1,767",6,3,1/196,2.76,55,1.0,-225,223,0,0,-,3.23,58,2.0,-175,"4,555",14,20,1/134,4.13,42,1.0,+237,"4,368",18,13,1/141,3.28,41,27.0,-180,203,0,1,1/203,3.50,14,-,+475,"2,807",12,10,1/128,3.77,56,1.0,-534,"2,706",8,9,1/159,3.27,66,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-28,水,いいえ,"+1,589","5,141",26,16,1/122,3.88,36,36.0,-423,533,1,1,1/267,3.20,59,4.0,-305,694,1,1,1/347,3.02,55,7.0,+311,689,4,1,1/138,3.33,48,1.0,"-1,278","6,245",18,22,1/156,3.25,47,10.0,-72,258,1,0,1/258,3.29,37,1.0,"+2,682","5,217",26,25,1/102,5.11,0,-,-257,576,1,1,1/288,3.15,61,2.0,-631,"1,033",1,3,1/258,3.10,63,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-27,火,いいえ,-42,78,0,0,-,3.40,61,3.0,+210,"2,280",11,7,1/127,3.60,55,3.0,-155,271,1,0,1/271,3.27,44,3.0,+926,"5,867",23,24,1/125,4.36,41,25.0,+0,0,0,0,-,-,52,1.0,"+1,743","7,040",34,20,1/130,3.43,16,-,-196,221,0,1,1/221,3.47,55,3.0,-267,"1,087",3,2,1/217,3.00,58,3.0,-887,"2,311",7,3,1/231,2.33,51,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-26,月,はい,-92,507,1,2,1/169,3.48,50,2.0,-225,548,2,0,1/274,3.04,56,5.0,+698,"6,481",27,23,1/130,3.98,33,-,-349,"2,094",6,8,1/150,3.53,61,5.0,+112,"1,882",8,5,1/145,3.28,33,-,-195,"3,837",14,10,1/160,2.83,46,4.0,-3,"2,264",10,5,1/151,3.04,51,1.0,"+1,086","2,677",14,10,1/112,4.12,48,2.0,+520,"4,127",18,15,1/125,3.98,42,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-25,日,いいえ,"+1,347","7,170",30,25,1/130,3.95,29,4.0,-267,306,0,0,-,3.13,36,7.0,-824,"1,668",4,2,1/278,2.49,64,12.0,-362,"1,411",4,2,1/235,2.74,65,1.0,"+1,873","6,620",31,23,1/123,4.20,25,-,-181,"1,554",6,2,1/194,2.76,44,8.0,-292,"3,369",13,7,1/168,2.59,52,8.0,-782,"2,337",7,5,1/195,2.70,68,3.0,-617,"2,505",7,8,1/167,3.17,65,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-24,土,いいえ,-272,"1,212",4,3,1/173,3.19,61,4.0,"+2,504","5,949",32,17,1/121,3.79,14,-,-534,495,0,1,1/495,3.15,57,2.0,-724,"1,762",4,2,1/294,2.41,53,5.0,-359,288,0,0,-,3.15,55,2.0,+691,"5,290",21,18,1/136,3.65,37,23.0,-122,615,3,0,1/205,3.07,48,11.0,-691,"3,246",11,8,1/171,2.75,63,2.0,-273,"1,018",3,0,1/339,2.62,66,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-23,金,はい,-44,420,2,0,1/210,3.20,54,8.0,"+1,439","3,691",22,11,1/112,4.02,30,-,-146,188,0,0,-,3.27,55,1.0,+354,"5,471",25,13,1/144,2.74,46,13.0,-416,"1,062",4,1,1/212,2.89,55,1.0,-629,"1,062",2,3,1/212,3.16,64,4.0,"+1,085","4,985",21,21,1/119,4.48,33,3.0,-524,"2,049",5,7,1/171,3.26,70,6.0,"-1,759","4,506",8,20,1/161,3.69,60,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-22,木,いいえ,"+1,069","5,375",20,23,1/125,4.38,39,-,"+1,437","2,803",17,7,1/117,3.61,52,4.0,-103,470,1,3,1/118,3.76,42,3.0,-670,"2,033",5,8,1/156,3.50,63,2.0,-131,295,1,0,1/295,3.24,48,6.0,-675,"1,222",2,2,1/306,2.76,61,7.0,-37,"1,780",7,2,1/198,2.62,48,6.0,-701,825,1,1,1/413,2.87,67,4.0,-583,"1,591",5,4,1/177,3.09,54,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-21,水,いいえ,-428,941,2,2,1/235,3.07,61,2.0,-53,294,1,0,1/294,3.25,61,2.0,"+1,442","6,840",30,26,1/122,4.41,30,-,-10,"1,071",3,6,1/119,3.94,61,2.0,+254,"2,243",12,3,1/150,2.79,34,4.0,-475,530,0,2,1/265,3.34,55,21.0,+220,"2,711",12,9,1/129,3.66,56,1.0,-387,788,2,1,1/263,3.01,61,2.0,+585,"1,306",7,6,1/100,4.09,59,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
