日付,曜日,特定日,856番台,,,,,,,,857番台,,,,,,,,858番台,,,,,,,,860番台,,,,,,,,861番台,,,,,,,,862番台,,,,,,,,863番台,,,,,,,,865番台,,,,,,,,866番台,,,,,,,,867番台,,,,,,,,868番台,,,,,,,,870番台,,,,,,,
,,,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差
2026-05-20,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-486,"1,359",4,1,1/272,2.58,61,3.0,+836,"3,092",17,6,1/134,3.01,47,29.0,-208,452,1,1,1/226,3.30,52,5.0,-371,"1,660",6,3,1/184,2.87,54,2.0,-244,"1,694",6,4,1/169,3.07,57,3.0,-432,"1,422",3,5,1/178,3.32,64,1.0,-303,"3,093",11,5,1/193,2.31,18,-,-510,"1,686",3,6,1/187,3.25,63,2.0,-574,"4,272",11,19,1/142,3.97,58,1.0,-382,"1,970",5,8,1/152,3.57,68,4.0
2026-05-19,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-98,393,1,2,1/131,3.61,57,2.0,-299,884,3,2,1/177,3.23,58,1.0,+355,"3,545",16,9,1/142,3.10,39,26.0,+477,"2,355",10,7,1/139,3.41,48,9.0,-340,229,0,0,-,3.22,58,1.0,-391,775,1,4,1/155,3.63,55,1.0,+333,"3,115",11,17,1/111,4.63,13,-,-257,"1,251",4,3,1/179,3.14,54,6.0,-268,472,1,1,1/236,3.28,60,1.0,-666,"3,014",10,7,1/177,2.69,59,1.0
2026-05-18,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-655,"1,387",3,2,1/277,2.68,46,4.0,-658,676,0,2,1/338,3.17,61,3.0,-135,"2,556",9,6,1/170,2.85,53,6.0,+767,"3,676",18,13,1/119,4.05,47,1.0,-312,387,1,1,1/194,3.38,14,-,"-1,005","4,338",14,12,1/167,2.76,42,8.0,-486,456,0,1,1/456,3.19,57,4.0,"+1,275","3,070",15,13,1/110,4.39,34,20.0,+362,496,4,0,1/124,3.32,58,1.0,"-1,037","3,325",9,10,1/175,2.93,62,1.0
2026-05-17,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+724,"6,312",27,20,1/134,3.55,31,14.0,-569,"1,954",6,3,1/217,2.57,43,4.0,"-1,146","2,140",4,5,1/238,2.65,49,6.0,-290,484,1,0,1/484,3.02,52,1.0,"+2,334","6,924",32,31,1/110,5.05,0,-,+968,"8,504",36,25,1/139,3.14,17,17.0,+45,706,3,2,1/141,3.45,51,2.0,+601,"3,874",15,14,1/134,3.76,39,8.0,-437,"4,390",15,12,1/163,2.79,65,11.0,-304,"4,251",15,11,1/164,2.72,54,2.0
2026-05-16,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-477,"5,234",18,15,1/159,2.82,20,20.0,+462,"5,073",22,11,1/154,2.49,29,5.0,+135,"7,243",26,27,1/137,3.90,24,4.0,+887,"5,217",24,15,1/134,3.37,37,8.0,-842,"4,406",14,11,1/176,2.51,59,2.0,+453,"5,323",21,18,1/136,3.62,0,-,-605,"3,776",12,15,1/140,3.78,51,10.0,-420,"6,790",21,27,1/141,3.90,41,4.0,"-1,640","3,384",7,8,1/226,2.36,73,14.0,"-1,267","5,068",16,13,1/175,2.45,57,6.0
2026-05-15,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-769,"5,020",10,28,1/132,4.57,11,11.0,-246,"2,495",10,3,1/192,2.38,41,24.0,-387,924,3,2,1/185,3.18,55,3.0,-452,"4,246",14,14,1/152,3.27,52,2.0,-452,"2,658",7,12,1/140,3.87,59,4.0,"+2,595","3,203",20,19,1/82,5.32,0,-,-702,"2,618",6,9,1/175,3.18,17,6.0,-386,"1,949",7,4,1/177,2.88,59,4.0,-521,738,1,1,1/369,2.97,61,2.0,"-1,031","5,544",18,17,1/158,2.93,50,9.0
2026-05-14,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-331,"1,786",7,2,1/198,2.61,61,7.0,-110,"3,157",12,8,1/158,2.93,0,-,-748,"2,107",4,7,1/192,3.11,44,44.0,-596,"2,573",7,7,1/184,2.88,53,5.0,-253,987,2,2,1/247,3.01,54,1.0,+41,418,2,1,1/139,3.45,54,1.0,"+1,743","9,095",33,48,1/112,5.25,0,-,-169,133,0,0,-,3.34,44,44.0,"-1,015","4,529",12,16,1/162,3.22,48,2.0,-420,612,1,0,1/612,2.88,46,2.0
2026-05-13,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+264,"1,840",9,4,1/142,3.19,53,5.0,"+3,862","8,491",45,29,1/115,4.69,0,-,+272,"5,093",22,13,1/146,2.87,0,-,-352,"3,522",10,13,1/153,3.45,48,8.0,+296,"1,819",9,4,1/140,3.22,32,3.0,+44,"2,246",11,2,1/173,2.48,40,8.0,"-1,020","1,155",2,0,1/578,2.42,72,19.0,"+1,467","8,727",38,32,1/125,4.38,17,17.0,+381,"5,766",24,20,1/131,3.84,29,12.0,"+1,432","5,378",27,14,1/131,3.25,0,-
2026-05-12,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,038","3,305",9,9,1/184,2.74,54,1.0,-649,"2,346",8,4,1/196,2.56,53,9.0,+213,"6,255",20,29,1/128,4.52,0,-,-170,"2,940",10,10,1/147,3.43,44,19.0,"+1,868","7,235",32,25,1/127,4.06,19,19.0,"+1,117","8,902",34,36,1/127,4.49,25,1.0,-203,"2,338",9,6,1/156,3.09,57,1.0,+533,"2,260",11,6,1/133,3.38,56,2.0,"+2,026","6,860",32,24,1/123,4.24,24,5.0,"+1,841","8,097",35,34,1/117,4.85,0,-
2026-05-10,日,いいえ,-820,"4,382",13,14,1/162,3.04,50,1.0,-264,837,3,3,1/140,3.53,51,1.0,+474,"4,312",18,11,1/149,2.90,52,1.0,+219,"2,967",14,3,1/175,2.26,49,1.0,-642,554,0,0,-,2.85,48,9.0,"+1,604","5,145",28,13,1/125,3.39,39,-,+184,"1,058",6,2,1/132,3.34,51,1.0,-98,"1,574",7,3,1/157,3.06,57,1.0,-521,"3,024",9,10,1/159,3.24,56,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
