日付,曜日,特定日,1401番台,,,,,1402番台,,,,,1403番台,,,,,1404番台,,,,,1405番台,,,,,1406番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2025-09-26,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-101,541,1,3,1/135,"+1,315","2,218",12,9,1/106,-497,871,2,1,1/290
2025-09-25,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-297,665,2,0,1/333,-594,"1,191",2,3,1/238,+112,"1,728",7,3,1/173
2025-09-24,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-193,"1,002",2,3,1/200,+109,"1,383",7,0,1/198,+513,"1,763",9,2,1/160
2025-09-23,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"2,597",8,10,1/144,+202,"1,418",7,1,1/177,-301,"2,627",10,4,1/188
2025-09-22,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-300,537,1,1,1/269,"+1,313","3,274",16,11,1/121,-592,"1,330",3,2,1/266
2025-09-21,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"2,158",8,6,1/154,+405,433,4,0,1/108,"+3,915","6,373",39,19,1/110
2025-09-20,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-296,"1,288",4,1,1/258,-796,"1,070",1,2,1/357,+514,"4,714",23,8,1/152
2025-09-19,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-97,"3,239",14,5,1/170,+201,"1,570",7,4,1/143,-498,414,0,0,-
2025-09-18,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,612","2,650",18,4,1/120,-98,210,0,0,-,+507,"2,044",9,5,1/146
2025-09-17,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-705,"1,343",2,5,1/192,"+1,207","4,291",22,12,1/126,-902,689,0,0,-
2025-09-16,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+113,786,4,0,1/197,-191,"1,186",3,4,1/169,-594,773,1,1,1/387
2025-09-15,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-192,"3,707",14,7,1/177,-500,"1,311",2,4,1/219,-593,"1,581",3,4,1/226
2025-09-14,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-793,"2,028",5,5,1/203,-596,"2,225",8,3,1/202,+408,"5,001",21,10,1/161
2025-09-13,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+511,"4,731",20,12,1/148,-299,784,3,0,1/261,+607,"4,827",22,13,1/138
2025-09-12,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+307,785,5,0,1/157,-393,"3,091",12,5,1/182,-102,"3,160",15,2,1/186
2025-09-11,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+511,"4,619",17,15,1/144,-399,"2,059",7,3,1/206,-394,"1,892",7,0,1/270
2025-09-10,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-302,812,2,2,1/203,+401,732,5,1,1/122,+0,"2,200",9,6,1/147
2025-09-09,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-98,"1,694",6,3,1/188,+0,"1,411",6,2,1/176,-298,"2,187",7,7,1/156
2025-09-07,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,196","2,736",6,6,1/228,-393,"1,040",3,1,1/260,+110,"1,303",6,2,1/163
2025-09-06,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,190",961,0,0,-,-701,"1,428",2,2,1/357,-697,"1,257",3,2,1/251
2025-09-05,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-199,"2,102",7,5,1/175,+910,"2,371",14,3,1/139,-198,"1,725",5,6,1/157
2025-09-04,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+802,"3,669",16,12,1/131,"-2,705","3,751",3,10,1/289,-399,"2,745",9,9,1/153
2025-09-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-303,380,0,1,1/380,+405,763,4,3,1/109,-398,"1,770",4,7,1/161
2025-09-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,945,4,2,1/158,-96,"1,451",5,5,1/145,-505,"1,579",5,2,1/226
2025-09-01,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+510,"1,722",8,3,1/157,+110,839,3,2,1/168,+907,"4,761",22,14,1/132
2025-08-31,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-390,"2,948",9,11,1/147,-190,616,2,0,1/308,-399,"1,737",5,4,1/193
2025-08-30,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-96,"1,421",5,3,1/178,-193,"3,902",16,8,1/163,-792,"1,777",4,2,1/296
2025-08-29,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+715,"1,389",8,2,1/139,-397,368,0,0,-,-194,"1,739",6,3,1/193
2025-08-28,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-997,"2,457",5,7,1/205,+0,"2,675",9,9,1/149,-700,"1,237",3,2,1/247
2025-08-27,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+408,"1,621",9,3,1/135,+602,"1,814",10,4,1/130,"+1,209","3,038",16,8,1/127
2025-08-26,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+408,"2,811",12,7,1/148,-301,"1,044",3,1,1/261,-501,"1,217",2,3,1/243
2025-08-25,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+311,"1,632",8,3,1/148,-105,937,4,2,1/156,-197,"1,154",3,3,1/192
2025-08-24,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-896,"1,620",3,1,1/405,+108,"2,732",12,6,1/152,"+2,406","7,853",36,34,1/112
2025-08-23,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-394,896,1,1,1/448,-102,"3,809",15,10,1/152,-797,"2,487",7,6,1/191
2025-08-22,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-501,"1,006",3,2,1/201,-392,"1,676",6,2,1/210,-190,935,2,3,1/187
2025-08-21,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+308,"3,431",12,11,1/149,+116,"4,673",19,12,1/151,+609,"3,444",15,8,1/150
2025-08-20,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-101,"1,730",7,3,1/173,+113,817,5,0,1/163,+0,"1,574",7,1,1/197
2025-08-19,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-299,940,2,4,1/157,+510,"1,705",9,3,1/142,+314,"1,264",7,1,1/158
2025-08-18,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-195,"3,497",13,11,1/146,-502,"1,390",3,4,1/199,-705,"1,186",2,0,1/593
2025-08-17,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,861,3,2,1/172,-188,"4,531",18,9,1/168,-392,"1,932",7,3,1/193
2025-08-16,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-496,"1,443",4,2,1/241,-301,"2,732",10,5,1/182,-699,"1,758",4,3,1/251
2025-08-15,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-500,"1,301",3,1,1/325,-103,"3,326",13,8,1/158,+403,"2,224",12,2,1/159
2025-08-14,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-96,"1,304",4,4,1/163,"+1,402","2,979",18,6,1/124,-198,"2,951",12,6,1/164
2025-08-13,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,090","1,704",1,5,1/284,-194,"1,193",4,2,1/199,"-1,305","2,307",5,4,1/256
2025-08-12,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,012","5,754",26,16,1/137,+313,"1,424",6,4,1/142,-396,"1,090",3,2,1/218
2025-08-11,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-592,"1,893",5,5,1/189,-97,"1,091",3,2,1/218,+904,"4,451",23,9,1/139
2025-08-10,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-390,"1,300",4,3,1/186,"+2,216","3,581",20,15,1/102,"-1,686","2,558",5,6,1/233
2025-08-09,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-497,830,1,1,1/415,-902,"1,865",3,4,1/266,+109,"2,686",10,8,1/149
2025-08-08,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,678,3,1,1/170,+0,"2,212",8,9,1/130,-196,569,2,0,1/285
2025-08-07,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-190,808,2,2,1/202,-196,725,2,1,1/242,+802,"3,202",18,4,1/146
2025-08-05,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"2,544",11,4,1/170,-304,"1,060",3,0,1/353,"+1,309","3,068",15,10,1/123
2025-08-04,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+795,"2,220",12,4,1/139,-505,"1,323",3,5,1/165,"+1,697","5,998",31,11,1/143
2025-08-03,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,013","5,856",30,8,1/154,-590,646,0,2,1/323,-390,"2,657",8,6,1/190
2025-08-02,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-392,"2,040",8,2,1/204,-198,902,3,2,1/180,+901,"3,023",16,6,1/137
2025-08-01,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+606,"2,367",12,5,1/139,-296,721,1,2,1/240,+307,"2,212",9,4,1/170
2025-07-31,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-97,714,2,1,1/238,"+1,315","6,204",31,12,1/144,-591,"1,423",4,3,1/203
2025-07-30,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-394,"1,059",2,4,1/177,-797,"1,172",0,3,1/391,-395,305,0,0,-
2025-07-29,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+209,"1,420",6,4,1/142,-703,"1,680",3,3,1/280,+401,"1,403",7,2,1/156
2025-07-28,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-302,"1,838",5,7,1/153,+0,648,2,2,1/162,+0,"2,510",10,6,1/157
2025-07-27,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-296,"2,136",7,5,1/178,-591,"1,322",3,1,1/331,-995,"2,404",5,5,1/240
2025-07-26,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"1,494",7,2,1/166,-699,805,0,2,1/403,"+1,909","6,338",33,13,1/138
2025-07-25,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-397,"1,960",6,5,1/178,+109,788,3,2,1/158,+401,"1,555",8,2,1/156
2025-07-24,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-705,"1,568",4,2,1/261,-192,"2,402",10,4,1/172,+109,"2,670",11,6,1/157
2025-07-23,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-199,625,1,2,1/208,-198,"2,038",7,2,1/226,+606,"2,701",13,7,1/135
2025-07-22,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-503,896,1,3,1/224,"+1,015","2,649",12,10,1/120,-99,171,0,0,-
2025-07-21,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-105,"1,089",5,0,1/218,+107,"1,298",6,2,1/162,+0,"4,153",16,10,1/160
2025-07-20,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+312,"3,166",14,8,1/144,-399,"1,136",3,3,1/189,"-1,087","1,861",3,1,1/465
2025-07-19,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-595,"8,280",32,15,1/176,+606,"1,086",7,0,1/155,-297,"1,330",5,0,1/266
2025-07-18,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,092","2,362",5,4,1/262,+202,"1,708",7,6,1/131,"+2,104","4,565",25,14,1/117
2025-07-17,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,489,2,1,1/163,-394,669,1,2,1/223,+107,704,4,0,1/176
2025-07-16,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+799,"6,404",27,15,1/152,-499,"1,873",6,4,1/187,-398,918,2,1,1/306
2025-07-15,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+109,"1,125",5,1,1/188,-305,222,0,0,-,+903,"4,523",19,17,1/126
2025-07-14,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,612","4,245",23,10,1/129,-199,"1,076",4,1,1/215,-302,788,2,0,1/394
2025-07-13,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+498,"3,145",13,11,1/131,-596,"1,407",5,0,1/281,-300,"5,065",17,18,1/145
2025-07-12,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-101,"1,047",3,3,1/175,-504,"1,200",3,1,1/300,+709,"2,430",13,3,1/152
2025-07-11,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,510","6,465",30,19,1/132,+0,"3,173",12,11,1/138,+901,"5,978",27,15,1/142
2025-07-10,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,099","2,542",12,11,1/111,-304,780,2,2,1/195,-396,"1,629",5,3,1/204
2025-07-09,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,927,4,0,1/232,-190,"1,088",4,1,1/218,+0,"2,843",12,5,1/167
2025-07-08,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+209,"3,682",16,9,1/147,-991,"3,526",8,10,1/196,-484,"3,552",12,10,1/161
2025-07-06,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-190,435,1,1,1/218,-398,"3,509",12,7,1/185,-302,"1,390",4,1,1/278
2025-07-05,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+801,"1,950",12,4,1/122,-705,"4,079",14,7,1/194,+511,"3,611",15,12,1/134
2025-07-04,金,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"1,548",7,2,1/172,-302,"3,538",10,11,1/168,-303,939,3,1,1/235
