日付,曜日,特定日,1401番台,,,,,1402番台,,,,,1403番台,,,,,1404番台,,,,,1405番台,,,,,1406番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-23,土,いいえ,+415,"5,630",24,12,1/156,"+2,714","8,027",38,31,1/116,"-1,196","2,620",5,6,1/238,"+2,219","7,743",33,30,1/123,"+2,401","7,923",42,18,1/132,-590,"5,446",14,23,1/147
2026-05-22,金,いいえ,-298,"1,884",6,3,1/209,-504,"2,171",5,6,1/197,-302,"3,375",12,6,1/188,-305,"4,385",14,14,1/157,-899,"1,219",2,1,1/406,-398,"2,482",8,1,1/276
2026-05-21,木,はい,-391,"2,955",10,8,1/164,-395,"1,152",3,3,1/192,+0,"2,956",11,9,1/148,+901,"6,059",26,15,1/148,+407,"3,351",13,10,1/146,"+1,399","6,008",25,19,1/137
2026-05-20,水,いいえ,"+1,309","5,064",22,20,1/121,-505,"3,300",10,9,1/174,-197,"2,091",7,7,1/149,+0,"2,015",7,6,1/155,-191,"2,348",8,4,1/196,-390,"4,071",16,8,1/170
2026-05-19,火,いいえ,+608,"2,281",12,3,1/152,+607,"2,844",14,5,1/150,+0,"1,263",5,2,1/180,+114,"1,364",7,0,1/195,-397,"4,720",17,9,1/182,+206,"1,395",6,4,1/140
2026-05-18,月,いいえ,-697,"1,239",2,1,1/413,-99,485,2,0,1/243,"+3,503","3,215",27,7,1/95,+314,"1,243",6,2,1/155,"-1,091","3,618",8,11,1/190,-502,462,0,1,1/462
2026-05-17,日,はい,"-1,492","3,708",9,9,1/206,-700,572,1,0,1/572,-305,751,2,0,1/376,-905,"3,762",10,12,1/171,+113,"1,732",6,5,1/157,"+2,314","4,440",27,9,1/123
2026-05-16,土,いいえ,-195,"5,490",21,16,1/148,+116,"2,905",11,11,1/132,-796,"1,031",1,1,1/516,"-1,387","2,033",3,5,1/254,"+2,495","8,003",36,30,1/121,-999,"2,164",6,3,1/240
2026-05-15,金,いいえ,"+2,007","5,350",27,16,1/124,-194,921,3,1,1/230,+210,"2,644",12,5,1/156,-395,"2,495",8,8,1/156,-499,"2,453",8,6,1/175,-100,"3,168",13,8,1/151
2026-05-14,木,はい,"-1,303","4,192",12,7,1/221,+609,"3,258",15,8,1/142,-391,"1,289",3,3,1/215,"-1,088","2,432",5,4,1/270,-497,"1,267",4,1,1/253,-792,"3,524",12,7,1/185
2026-05-12,火,いいえ,"+1,303","4,916",21,15,1/137,+913,"3,568",17,11,1/127,-98,"1,893",6,6,1/158,+903,"3,424",18,7,1/137,-190,"2,955",11,5,1/185,-395,"3,601",9,15,1/150
2026-05-11,月,はい,-894,"3,054",10,5,1/204,-703,"1,916",5,4,1/213,+107,"3,808",16,9,1/152,-497,"1,325",3,2,1/265,-791,915,1,1,1/458,"+1,009","5,063",19,20,1/130
2026-05-10,日,いいえ,-504,"1,659",5,2,1/237,+415,"3,972",17,10,1/147,-305,532,1,0,1/532,+202,"3,281",10,13,1/143,+116,"1,589",8,1,1/177,+709,"5,616",22,20,1/134
2026-05-09,土,いいえ,-194,731,3,0,1/244,"+2,216","6,765",33,18,1/133,"+1,695","3,886",23,8,1/125,+714,"3,100",14,9,1/135,+0,"3,677",15,8,1/160,+0,"3,978",15,11,1/153
2026-05-08,金,いいえ,+604,"2,549",11,9,1/127,"+2,094","7,795",38,24,1/126,-191,"1,229",4,2,1/205,-296,"4,754",16,13,1/164,+309,"3,160",13,9,1/144,-100,841,4,0,1/210
2026-05-07,木,はい,+0,"3,015",13,6,1/159,+112,"1,125",5,1,1/188,-701,"1,716",4,4,1/215,-399,"1,450",4,3,1/207,"+1,204","2,010",13,5,1/112,-599,"3,832",15,7,1/174
2026-05-06,水,いいえ,-102,"4,062",17,5,1/185,-998,"1,008",1,1,1/504,"-1,492","2,512",4,6,1/251,-498,"1,705",6,2,1/213,"+1,312","3,091",18,7,1/124,"-1,492","3,129",7,7,1/224
2026-05-05,火,いいえ,+407,"4,325",19,8,1/160,-591,"3,939",13,9,1/179,"-1,084","2,652",6,7,1/204,-296,"2,684",12,4,1/168,-796,"2,988",9,8,1/176,-193,"5,614",22,12,1/165
