日付,曜日,特定日,1401番台,,,,,,,1402番台,,,,,,,1403番台,,,,,,,1427番台,,,,,,,1428番台,,,,,,,1429番台,,,,,,,1430番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-01-12,月,いいえ,+312,"2,003",10,3,1/154,1/5.97,2.87,+801,"2,748",13,10,1/119,1/6.01,3.94,-702,"4,878",12,21,1/148,1/5.80,3.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-11,日,はい,"+1,096","7,260",28,31,1/123,1/5.97,4.61,-998,"2,468",7,5,1/206,1/6.41,2.57,-596,"2,578",9,3,1/215,1/5.94,2.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-10,土,いいえ,+413,"3,570",14,14,1/128,1/6.04,3.98,-697,"1,237",2,4,1/206,1/6.32,3.20,+707,"6,621",28,16,1/150,1/5.77,2.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-09,金,いいえ,-696,"3,366",11,9,1/168,1/6.26,2.84,-502,"1,134",3,2,1/227,1/6.25,2.94,-496,667,1,1,1/334,1/6.25,3.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-08,木,いいえ,-996,"1,795",2,5,1/256,1/5.56,2.82,-505,993,2,2,1/248,1/5.96,3.01,-500,"2,324",7,6,1/179,1/5.97,2.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-06,火,いいえ,-393,"4,199",14,14,1/150,1/6.10,3.31,-497,"2,350",6,7,1/181,1/5.65,3.03,-99,"1,764",6,5,1/160,1/5.79,3.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-05,月,いいえ,-303,"2,318",9,5,1/166,1/6.37,2.89,-700,"1,188",2,3,1/238,1/6.19,3.02,-196,"1,545",6,2,1/193,1/5.95,2.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-04,日,はい,"+1,397","3,522",18,12,1/117,1/5.85,4.01,"-1,303","3,081",6,9,1/205,1/5.90,2.72,-705,"5,097",17,14,1/164,1/6.04,2.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-03,土,いいえ,-193,"3,270",12,6,1/182,1/5.67,2.41,-999,"3,401",9,10,1/179,1/6.08,2.85,-501,"2,103",6,4,1/210,1/5.63,2.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-02,金,いいえ,-793,"1,806",4,4,1/226,1/5.95,2.77,-392,"1,281",3,4,1/183,1/5.89,3.24,+408,"3,102",14,9,1/135,1/6.17,3.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-01,木,はい,+604,"3,585",17,6,1/156,1/5.73,2.49,-298,"1,024",3,1,1/256,1/5.56,2.84,-394,819,2,1,1/273,1/5.96,2.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-31,水,はい,+902,"3,380",18,6,1/141,1/5.95,2.78,"-1,088","3,419",10,9,1/180,1/6.38,2.71,-594,"1,320",3,3,1/220,1/6.09,2.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-30,火,いいえ,+402,"3,965",15,17,1/124,1/6.12,4.24,-499,688,1,0,1/688,1/5.50,2.79,-196,"3,124",11,9,1/156,1/5.96,3.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-29,月,いいえ,"+2,403","7,378",37,19,1/132,1/5.71,3.11,"+1,009","2,838",16,8,1/118,1/6.36,3.70,-701,"1,274",1,5,1/212,1/5.67,3.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-28,日,いいえ,-699,"2,668",8,6,1/191,1/6.02,2.66,"-1,198","3,076",6,10,1/192,1/5.89,2.93,-696,"1,589",4,3,1/227,1/6.14,2.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-27,土,いいえ,+512,"2,062",11,1,1/172,1/5.52,2.45,-797,"4,464",12,18,1/149,1/6.08,3.69,"+1,910","4,487",23,16,1/115,1/5.80,4.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-26,金,いいえ,"-1,198","4,096",11,9,1/205,1/5.80,2.23,-593,"1,127",2,2,1/282,1/5.69,2.86,-103,147,0,0,-,1/4.38,3.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-25,木,いいえ,"-1,693","2,423",2,9,1/220,1/6.28,3.04,-590,790,1,0,1/790,1/5.41,2.69,-504,765,1,2,1/255,1/6.14,3.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-24,水,はい,-105,"8,035",26,37,1/128,1/6.18,4.64,"-1,385","1,807",2,1,1/602,1/5.54,2.09,"+2,407","5,546",29,24,1/105,1/6.21,5.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-22,月,いいえ,+407,"3,269",12,12,1/136,1/5.65,3.70,+111,"1,188",5,2,1/170,1/5.52,3.08,-503,"1,076",3,2,1/215,1/6.60,3.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-21,日,はい,-698,"6,266",22,13,1/179,1/5.82,1.98,"+1,404","4,004",19,16,1/114,1/5.91,4.38,-394,592,1,1,1/296,1/6.18,3.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-20,土,いいえ,-103,"2,531",10,6,1/158,1/6.11,2.97,+0,"1,078",5,2,1/154,1/6.48,3.21,-190,499,1,2,1/166,1/6.25,3.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-19,金,いいえ,+0,"4,400",15,14,1/152,1/5.70,3.19,+801,"1,303",8,3,1/118,1/5.53,3.50,+204,"1,732",8,3,1/157,1/5.84,2.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-18,木,いいえ,+116,"1,088",5,1,1/181,1/5.55,2.95,+0,544,2,1,1/181,1/5.45,3.29,+0,"1,553",6,4,1/155,1/5.92,3.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-17,水,いいえ,-305,"2,469",8,6,1/176,1/5.75,2.86,+805,"2,870",15,6,1/137,1/5.92,3.07,-299,723,2,2,1/181,1/6.76,3.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-16,火,いいえ,-97,"1,147",4,1,1/229,1/5.26,2.79,-301,478,1,0,1/478,1/5.73,3.03,-390,"1,206",3,2,1/241,1/5.53,2.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-15,月,いいえ,+401,"1,214",7,2,1/135,1/6.09,3.25,-398,321,0,0,-,1/6.21,3.11,"+1,609","5,358",25,24,1/109,1/6.27,4.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-14,日,はい,+111,"6,471",26,20,1/141,1/6.24,3.29,-392,776,2,0,1/388,1/5.70,2.79,-391,"1,554",5,3,1/194,1/6.07,2.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-13,土,いいえ,+0,"4,418",17,10,1/164,1/5.77,2.52,-298,"1,580",4,6,1/158,1/5.86,3.46,-501,476,0,0,-,1/5.42,2.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-12,金,いいえ,+401,"1,786",10,2,1/149,1/6.16,2.88,+606,"4,659",20,14,1/137,1/5.98,3.38,-190,625,1,2,1/208,1/5.22,3.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-11,木,はい,-599,943,2,0,1/472,1/5.78,2.62,-301,"1,344",4,3,1/192,1/5.82,3.04,-303,"1,664",5,4,1/185,1/5.74,3.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-10,水,いいえ,"+1,210","2,767",15,9,1/115,1/5.93,3.91,+314,"3,012",12,12,1/126,1/6.20,3.97,+0,367,1,0,1/367,1/4.27,3.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-09,火,いいえ,-793,"4,030",12,13,1/161,1/6.13,3.10,-798,"1,147",1,5,1/191,1/6.65,3.43,-392,676,1,2,1/225,1/6.12,3.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-07,日,いいえ,-199,"1,489",5,4,1/165,1/6.02,3.20,-399,"2,139",7,6,1/165,1/6.22,3.12,+810,"2,308",12,5,1/136,1/5.63,3.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-06,土,いいえ,-399,"1,557",5,1,1/260,1/5.56,2.47,+0,600,2,2,1/150,1/5.69,3.47,+0,"2,447",11,4,1/163,1/6.20,2.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-05,金,いいえ,-96,"1,860",6,5,1/169,1/5.54,3.11,"+1,821","3,323",19,12,1/107,1/5.91,4.33,+0,"1,060",4,3,1/151,1/5.93,3.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-04,木,はい,+407,"5,651",23,17,1/141,1/6.00,3.24,-297,488,1,0,1/488,1/5.60,3.02,-193,"2,673",8,11,1/141,1/5.97,3.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-03,水,いいえ,-195,"1,741",5,5,1/174,1/5.52,3.15,-193,160,0,0,-,1/6.05,3.30,-96,139,0,0,-,1/4.35,3.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-02,火,いいえ,-195,"4,819",15,17,1/151,1/5.71,3.39,-593,"2,328",8,3,1/212,1/6.04,2.39,-298,252,0,0,-,1/5.94,3.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-01,月,はい,-791,"1,753",4,5,1/195,1/6.38,3.04,-194,399,1,0,1/399,1/5.55,3.12,"+4,695","8,009",45,36,1/99,1/6.01,5.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-30,日,いいえ,+713,"5,754",24,19,1/134,1/6.01,3.65,+207,"1,754",9,3,1/146,1/6.41,3.05,-300,631,1,2,1/210,1/5.85,3.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-29,土,いいえ,-500,"1,892",4,7,1/172,1/5.71,3.34,"+1,015","5,418",27,11,1/143,1/6.05,2.54,+308,878,4,2,1/146,1/5.11,3.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-28,金,いいえ,-303,596,1,1,1/298,1/5.50,3.13,-105,"1,278",5,1,1/213,1/5.59,2.74,-298,563,1,2,1/188,1/6.50,3.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-27,木,いいえ,-99,"3,963",13,16,1/137,1/6.03,3.88,-101,404,0,2,1/202,1/4.44,3.49,-390,"1,216",3,3,1/203,1/5.81,3.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-26,水,いいえ,-697,"1,004",2,1,1/335,1/6.35,2.77,+610,"1,623",9,5,1/116,1/6.28,3.70,+207,"1,896",9,4,1/146,1/6.18,3.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-25,火,いいえ,+608,"1,077",7,1,1/135,1/5.55,3.17,-195,968,2,3,1/194,1/5.22,3.27,+802,"1,741",10,3,1/134,1/5.54,3.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-24,月,はい,-797,"1,461",3,2,1/292,1/5.89,2.61,-501,"1,435",4,2,1/239,1/5.82,2.71,-396,"1,075",2,3,1/215,1/5.54,3.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-23,日,いいえ,+508,"1,644",10,1,1/149,1/6.07,2.80,-394,656,1,1,1/328,1/5.65,3.06,-103,"5,162",20,15,1/147,1/6.17,3.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-22,土,いいえ,+0,"1,294",5,3,1/162,1/5.81,3.19,-304,"2,679",10,7,1/158,1/6.32,3.04,-301,"1,178",3,3,1/196,1/5.65,3.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-21,金,はい,-98,"1,182",5,2,1/169,1/6.32,3.08,"+2,218","6,049",34,12,1/132,1/5.91,2.70,-105,824,3,1,1/206,1/5.68,3.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-20,木,いいえ,"-1,191","2,857",7,5,1/238,1/5.91,2.25,-397,"1,116",3,2,1/223,1/5.91,2.96,-395,725,1,1,1/363,1/5.26,2.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-19,水,いいえ,-395,292,0,1,1/292,1/9.46,3.39,+203,"4,103",16,12,1/147,1/5.89,3.16,+0,"3,018",10,11,1/144,1/5.79,3.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-18,火,いいえ,+901,"4,099",19,11,1/137,1/5.81,3.22,-99,140,0,0,-,1/4.39,3.33,+603,"5,585",25,13,1/147,1/5.99,2.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-17,月,いいえ,-498,701,1,1,1/351,1/5.98,3.01,-192,"3,200",12,9,1/152,1/6.17,3.10,-98,524,1,2,1/175,1/5.28,3.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-16,日,いいえ,+308,"1,384",8,1,1/154,1/6.19,2.90,-396,"1,048",2,5,1/150,1/6.49,3.64,-397,"2,006",6,6,1/167,1/6.04,3.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-15,土,いいえ,-196,"1,248",3,4,1/178,1/5.39,3.28,+203,"1,960",8,6,1/140,1/5.90,3.43,-391,372,0,1,1/372,1/6.57,3.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-14,金,はい,-401,"3,586",12,11,1/156,1/6.07,3.13,-496,363,0,0,-,1/6.88,3.06,+800,"2,517",12,9,1/120,1/5.90,3.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-13,木,いいえ,-398,"1,838",6,6,1/153,1/6.60,3.37,-396,"1,048",2,3,1/210,1/5.65,3.18,-599,695,1,0,1/695,1/6.05,2.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-12,水,いいえ,-297,813,2,1,1/271,1/5.50,2.98,-304,463,1,0,1/463,1/5.91,3.04,+110,435,2,1,1/145,1/5.50,3.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-11,火,はい,+607,"4,349",19,12,1/140,1/5.92,3.17,+207,738,4,1,1/148,1/5.81,3.27,+309,"1,264",5,5,1/126,1/5.55,3.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-10,月,いいえ,+313,367,3,0,1/122,1/5.65,3.37,-397,889,1,5,1/148,1/6.30,3.73,+0,942,3,2,1/188,1/5.13,3.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-09,日,いいえ,"+2,795","7,923",38,36,1/107,1/6.20,5.24,+210,"1,165",5,4,1/129,1/5.94,3.59,-395,683,2,0,1/342,1/6.42,2.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-08,土,いいえ,+713,"3,782",16,14,1/126,1/5.96,3.95,+116,"1,036",5,2,1/148,1/6.18,3.26,-303,839,2,2,1/210,1/5.86,3.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-07,金,いいえ,-105,"2,381",8,8,1/149,1/5.91,3.41,"+2,311","3,322",21,10,1/107,1/5.66,4.12,+109,"1,002",4,1,1/200,1/5.06,2.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-06,木,いいえ,+799,"6,755",30,19,1/138,1/6.11,3.14,-299,429,0,2,1/215,1/5.79,3.46,-591,"2,956",9,8,1/174,1/5.99,2.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-04,火,はい,-498,"3,261",9,11,1/163,1/5.77,3.21,+0,"1,356",7,0,1/194,1/6.21,2.62,+108,718,4,0,1/180,1/5.97,3.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-03,月,いいえ,-697,"1,367",3,2,1/273,1/5.92,2.70,-505,"2,218",6,6,1/185,1/5.75,2.95,-497,"2,270",7,6,1/175,1/6.09,2.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-02,日,いいえ,-795,"1,318",3,1,1/330,1/6.13,2.54,-190,"2,157",7,7,1/154,1/5.94,3.33,+902,"2,515",11,11,1/114,1/5.66,4.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-01,土,はい,-298,"3,360",13,6,1/177,1/5.98,2.40,-899,"1,120",1,2,1/373,1/5.97,2.78,-191,"3,268",13,3,1/204,1/5.61,1.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-31,金,はい,"+1,402","4,402",18,20,1/116,1/5.61,4.57,+0,218,1,0,1/218,1/5.61,3.34,+404,"3,727",15,13,1/133,1/6.00,3.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-30,木,いいえ,"-1,191","3,461",10,6,1/216,1/6.05,2.15,-195,"1,405",4,4,1/176,1/5.59,3.20,-393,739,1,2,1/246,1/5.67,3.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-29,水,いいえ,-897,"2,308",4,9,1/178,1/5.94,3.33,+0,"3,999",15,11,1/154,1/5.87,2.96,+109,"1,143",6,0,1/191,1/5.87,2.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-28,火,いいえ,-194,914,3,1,1/229,1/5.62,2.96,+601,"1,816",9,4,1/140,1/5.49,3.22,-595,"4,155",13,16,1/143,1/6.34,3.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-27,月,いいえ,-399,"1,285",4,2,1/214,1/6.06,2.87,"-1,193","1,692",1,4,1/338,1/5.50,2.64,-499,629,0,2,1/315,1/5.60,3.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-26,日,いいえ,+115,"2,635",11,7,1/146,1/6.09,3.18,+515,"4,617",19,19,1/122,1/6.38,4.32,+207,"1,418",7,2,1/158,1/5.92,3.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-25,土,いいえ,-191,"1,689",7,2,1/188,1/6.13,2.71,"+1,003","5,365",24,16,1/134,1/5.91,3.43,-592,"1,918",6,3,1/213,1/6.07,2.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-24,金,はい,+716,"4,844",19,19,1/127,1/5.90,4.12,+512,"2,041",7,14,1/97,1/6.18,4.74,"-1,196",926,0,0,-,1/6.46,2.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-23,木,いいえ,-300,327,0,0,-,1/4.96,3.10,+0,"1,706",7,5,1/142,1/6.35,3.39,-396,918,1,3,1/230,1/5.26,3.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-22,水,いいえ,+913,"3,533",20,4,1/147,1/6.07,2.37,-96,"1,867",5,11,1/117,1/6.32,4.28,+803,"1,678",10,4,1/120,1/5.95,3.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-21,火,はい,+109,"2,407",11,4,1/160,1/6.08,2.75,"+1,099","2,231",13,5,1/124,1/5.69,3.39,-395,"1,802",4,5,1/200,1/5.30,2.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-20,月,いいえ,-195,619,1,2,1/206,1/5.28,3.34,+401,"5,446",22,16,1/143,1/5.93,3.15,-97,993,2,4,1/166,1/5.13,3.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-19,日,いいえ,"+1,008","5,326",23,19,1/127,1/5.99,4.00,-102,"2,530",6,12,1/141,1/5.47,3.91,-505,856,2,1,1/285,1/6.33,2.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-18,土,いいえ,-902,"3,806",12,8,1/190,1/6.01,2.33,-497,909,1,3,1/227,1/5.72,3.24,+805,"2,668",12,8,1/133,1/5.48,3.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-17,金,いいえ,-705,"1,376",2,5,1/197,1/6.08,3.27,-398,445,0,0,-,1/4.89,2.97,+498,"4,063",16,13,1/140,1/5.73,3.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-16,木,いいえ,-599,861,1,0,1/861,1/5.15,2.62,+0,211,1,0,1/211,1/5.76,3.35,-103,889,4,0,1/222,1/6.01,2.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-15,水,いいえ,-196,"1,035",3,4,1/148,1/6.30,3.53,-100,916,3,1,1/229,1/5.24,2.96,+113,922,4,1,1/184,1/5.32,3.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-14,火,はい,-198,"2,091",7,6,1/161,1/5.91,3.18,"+1,313","5,873",29,15,1/133,1/6.06,3.11,+0,753,2,4,1/126,1/5.80,3.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-13,月,いいえ,-705,"1,539",3,4,1/220,1/5.92,2.96,-794,"2,047",5,6,1/186,1/6.29,3.04,-305,906,2,3,1/181,1/5.96,3.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-12,日,いいえ,"+1,702","5,402",24,23,1/115,1/5.86,4.66,-97,327,1,0,1/327,1/5.34,3.21,-100,724,3,0,1/241,1/5.74,2.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-11,土,はい,"+2,004","7,770",40,22,1/125,1/6.27,3.65,-191,"2,794",9,10,1/147,1/5.97,3.49,+912,"3,772",18,12,1/126,1/6.08,3.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-10,金,いいえ,+0,"7,408",21,33,1/137,1/5.64,4.29,-196,135,0,0,-,1/7.43,3.33,-191,159,0,0,-,1/6.03,3.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-09,木,いいえ,-103,"5,194",21,12,1/157,1/6.09,2.50,+108,"1,481",7,3,1/148,1/6.30,3.17,-795,"1,175",2,2,1/294,1/6.25,2.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-08,水,いいえ,-395,"4,781",19,8,1/177,1/6.02,2.04,-502,"1,926",5,9,1/138,1/6.70,3.84,"+3,097","8,101",44,22,1/123,1/5.95,3.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-07,火,いいえ,"-1,392","2,918",6,5,1/265,1/5.74,2.16,-794,"1,460",4,1,1/292,1/6.35,2.48,-597,"4,976",14,20,1/146,1/5.95,3.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
