日付,曜日,特定日,1401番台,,,,,,,1402番台,,,,,,,1403番台,,,,,,,1427番台,,,,,,,1428番台,,,,,,,1429番台,,,,,,,1430番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-06-04,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+502,"3,043",15,6,1/145,1/6.07,2.87,+909,"4,322",20,12,1/135,1/5.89,3.30,-100,"8,404",26,33,1/142,1/5.74,3.90,"+1,003","3,974",20,10,1/132,1/6.02,3.23
2026-06-03,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"1,306",5,2,1/187,1/5.47,2.94,-304,285,0,0,-,1/5.47,3.15,-392,"2,839",9,7,1/177,1/5.75,2.78,-97,679,3,0,1/226,1/6.04,2.99
2026-06-02,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-195,828,3,1,1/207,1/6.13,3.06,-193,"2,195",9,4,1/169,1/6.25,2.79,-101,830,4,0,1/208,1/6.41,2.91,"-1,085","4,080",11,10,1/194,1/5.80,2.40
2026-06-01,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+416,"9,387",36,23,1/159,1/5.65,2.11,+605,"2,322",10,8,1/129,1/5.63,3.68,-396,"1,622",4,6,1/162,1/5.99,3.42,"-1,492","3,325",7,10,1/196,1/6.23,2.77
2026-05-31,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-591,"1,491",4,3,1/213,1/6.18,2.87,-399,"1,076",3,0,1/359,1/5.38,2.57,+209,"1,472",7,3,1/147,1/6.01,3.18,-197,"6,129",20,25,1/136,1/6.07,4.06
2026-05-30,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-397,"5,798",22,16,1/153,1/6.24,2.80,+115,485,3,0,1/162,1/6.26,3.22,+0,"4,039",15,10,1/162,1/5.72,2.71,-394,728,2,0,1/364,1/6.03,2.84
2026-05-29,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-398,341,0,0,-,1/5.87,3.09,-596,"1,336",2,4,1/223,1/5.58,3.09,"-1,193","1,753",2,5,1/250,1/6.16,2.87,+0,"2,099",8,5,1/161,1/5.78,3.03
2026-05-28,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+607,"1,917",11,3,1/137,1/6.08,3.06,+201,495,3,0,1/165,1/5.41,3.21,-105,571,2,1,1/190,1/6.00,3.26,-298,"1,037",3,2,1/207,1/5.88,3.05
2026-05-27,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-191,389,1,0,1/389,1/5.63,3.13,-199,"1,363",4,4,1/170,1/5.74,3.25,-103,97,0,0,-,1/5.45,3.38,+304,"5,886",24,17,1/144,1/6.05,3.09
2026-05-26,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+404,709,4,1,1/142,1/4.98,3.30,"+1,316","2,570",15,7,1/117,1/5.82,3.68,-97,990,3,3,1/165,1/5.67,3.35,-794,"1,147",1,4,1/229,1/6.20,3.20
