日付,曜日,特定日,1214番台,,,,,1215番台,,,,,1216番台,,,,,1217番台,,,,,1218番台,,,,,1219番台,,,,,1317番台,,,,,1318番台,,,,,1319番台,,,,,1422番台,,,,,1423番台,,,,,1424番台,,,,,1425番台,,,,,1426番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-02-14,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-304,"4,008",14,12,1/154,-593,"1,379",4,2,1/230,+404,"3,036",15,6,1/145,-901,"1,513",2,3,1/303,-398,"2,977",12,4,1/186
2026-02-13,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-298,598,2,0,1/299,+196,"6,406",23,26,1/131,-199,245,0,0,-,+114,549,2,0,1/275,-696,"4,356",9,23,1/136
2026-02-12,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-393,"1,071",3,1,1/268,-191,483,1,1,1/242,"+1,007","2,628",16,3,1/138,"+1,398","2,663",16,4,1/133,-992,"2,450",5,9,1/175
2026-02-11,水,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,407","5,449",27,23,1/109,+0,"5,257",19,18,1/142,-905,"1,933",2,8,1/193,+803,"5,158",24,14,1/136,-696,"3,832",12,7,1/202
2026-02-10,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+502,"3,433",16,10,1/132,-101,321,1,0,1/321,+805,"3,260",16,8,1/136,+714,"1,085",7,2,1/121,-304,855,1,3,1/214
2026-02-09,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-399,"1,173",3,1,1/293,+0,807,3,2,1/161,+606,"5,423",21,18,1/139,+407,"3,382",15,9,1/141,-302,811,2,1,1/270
2026-02-08,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,299","6,511",36,19,1/118,-305,364,0,1,1/364,+602,"4,378",18,10,1/156,-193,"3,514",11,13,1/146,-696,"1,678",4,5,1/186
2026-02-07,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,604","3,352",8,4,1/279,-999,"1,525",2,2,1/381,+0,"2,185",9,3,1/182,"+1,397","7,485",25,39,1/117,+113,"2,528",11,5,1/158
2026-02-06,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-103,"3,483",11,15,1/134,+199,"6,849",25,25,1/137,+0,"2,777",11,5,1/174,-703,"2,727",7,9,1/170,-96,"1,934",10,1,1/176
2026-02-05,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,908","5,705",26,24,1/114,"+1,314","4,008",19,12,1/129,-396,"5,498",17,21,1/145,-305,"2,097",6,6,1/175,"+1,011","6,699",27,24,1/131
2026-02-04,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-301,"5,277",19,12,1/170,"+1,202","5,433",26,14,1/136,+116,"7,496",24,29,1/141,-497,"4,488",14,11,1/180,+504,"4,103",19,10,1/141
2026-02-02,月,いいえ,-,-,-,-,-,-500,"1,121",2,2,1/280,+608,"6,564",27,14,1/160,"+1,097","4,502",21,11,1/141,"-1,792","2,672",3,4,1/382,-599,"2,720",9,4,1/209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-01,日,はい,-,-,-,-,-,+716,"5,894",25,15,1/147,+610,"6,678",26,23,1/136,-192,"5,463",19,16,1/156,"-1,084","4,830",13,15,1/173,-398,"5,423",18,14,1/169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-31,土,はい,-,-,-,-,-,"-1,090","5,513",14,19,1/167,-197,"2,877",11,7,1/160,-594,"1,758",4,4,1/220,-500,"2,856",8,8,1/179,-701,"3,111",9,7,1/194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-30,金,いいえ,-,-,-,-,-,-300,374,0,1,1/374,+509,"1,999",8,7,1/133,-792,"3,232",10,7,1/190,+204,742,4,0,1/186,-498,"1,023",3,1,1/256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-29,木,いいえ,-,-,-,-,-,+0,"1,667",8,3,1/152,-899,"1,968",5,3,1/246,+308,"1,860",8,5,1/143,-500,"3,146",10,11,1/150,-990,"1,881",3,5,1/235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-28,水,いいえ,-,-,-,-,-,-104,"2,674",11,5,1/167,+712,"4,280",19,12,1/138,-501,693,1,0,1/693,-195,917,3,2,1/183,+108,"4,479",18,10,1/160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-27,火,はい,-,-,-,-,-,-105,"1,063",4,2,1/177,-99,"1,754",5,8,1/135,-103,"1,577",5,4,1/175,-300,"1,951",7,4,1/177,-792,"1,430",3,3,1/238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-26,月,いいえ,-,-,-,-,-,-991,"1,748",2,6,1/219,+0,860,4,1,1/172,-96,"1,123",5,1,1/187,-303,482,1,0,1/482,-195,"1,071",4,1,1/214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-25,日,いいえ,-,-,-,-,-,+316,"4,235",18,11,1/146,+516,"4,897",20,17,1/132,"+1,004","5,612",22,25,1/119,"+2,008","5,115",25,22,1/109,"+1,014","5,975",28,14,1/142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-24,土,いいえ,-,-,-,-,-,+0,"4,671",14,19,1/142,+908,"5,949",22,24,1/129,+603,"4,356",20,12,1/136,"+1,611","6,976",30,26,1/125,+503,"4,907",19,12,1/158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-23,金,いいえ,-,-,-,-,-,+308,"1,339",7,1,1/167,-396,"1,023",2,3,1/205,-102,758,2,2,1/190,-101,620,1,3,1/155,-185,"6,012",22,18,1/150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-22,木,いいえ,-,-,-,-,-,-598,"1,841",5,6,1/167,-598,"1,840",5,1,1/307,+307,"3,485",13,14,1/129,+412,"4,330",18,13,1/140,-195,747,2,2,1/187,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-21,水,はい,-,-,-,-,-,-590,"1,803",4,6,1/180,"+1,103","4,698",23,12,1/134,"-1,305","1,455",1,1,1/728,-392,"4,674",15,14,1/161,+410,"6,614",24,28,1/127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-20,火,いいえ,-,-,-,-,-,-190,948,3,2,1/190,+0,"2,531",10,6,1/158,-591,"1,158",2,3,1/232,-193,259,0,0,-,+107,"4,114",14,14,1/147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-19,月,いいえ,-,-,-,-,-,+514,"1,277",7,3,1/128,-195,"2,261",7,8,1/151,"+1,310","3,740",20,11,1/121,+904,"2,620",15,4,1/138,-700,"1,152",2,3,1/230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-18,日,いいえ,-,-,-,-,-,+500,"5,835",24,16,1/146,+407,"4,213",18,9,1/156,-902,"1,564",4,2,1/261,-786,"2,794",8,7,1/186,"-1,797","4,075",9,8,1/240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-17,土,はい,-,-,-,-,-,"-1,195","3,391",8,7,1/226,-697,"1,050",2,1,1/350,-991,"2,378",6,6,1/198,+901,"2,471",14,6,1/124,"-1,093","3,563",5,15,1/178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-16,金,いいえ,-,-,-,-,-,-303,"2,586",6,13,1/136,-596,"1,592",4,3,1/227,-896,"2,320",5,7,1/193,-96,752,3,0,1/251,-696,954,1,3,1/239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-15,木,いいえ,-,-,-,-,-,-593,"2,033",6,7,1/156,+410,"1,013",5,4,1/113,-194,852,3,2,1/170,-303,793,2,1,1/264,-698,"3,182",10,8,1/177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-14,水,いいえ,-,-,-,-,-,+114,"1,640",6,4,1/164,+798,"6,918",29,25,1/128,"-1,689","2,325",3,3,1/388,+311,"2,123",10,4,1/152,"+1,207","5,808",26,22,1/121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-13,火,いいえ,-,-,-,-,-,-194,"3,151",11,11,1/143,-703,879,0,3,1/293,+316,"2,396",9,10,1/126,+509,"2,296",11,7,1/128,-297,825,2,3,1/165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-12,月,いいえ,-,-,-,-,-,-197,"2,327",6,10,1/145,-99,392,1,0,1/392,"+1,702","5,037",24,20,1/114,+108,"1,969",7,5,1/164,-195,"3,256",10,11,1/155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-11,日,はい,-,-,-,-,-,-397,"5,769",22,13,1/165,"+1,610","8,230",35,30,1/127,"-1,300","4,213",11,10,1/201,"+1,609","7,878",29,36,1/121,-788,"5,450",19,10,1/188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-10,土,いいえ,-,-,-,-,-,-391,"1,834",6,5,1/167,-97,"1,962",8,5,1/151,"+1,505","3,158",20,6,1/121,-198,"1,615",5,4,1/179,-699,"2,794",7,9,1/175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-09,金,いいえ,-,-,-,-,-,-303,334,0,1,1/334,+513,"3,341",14,11,1/134,-195,499,1,2,1/166,+0,905,2,5,1/129,-191,"4,429",14,16,1/148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-08,木,いいえ,-,-,-,-,-,"+3,508","7,187",37,25,1/116,-297,581,1,1,1/291,+207,"3,617",14,9,1/157,-396,"4,496",16,13,1/155,+715,"3,417",12,19,1/110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-06,火,いいえ,-,-,-,-,-,-304,"1,287",4,3,1/184,+0,"4,118",17,8,1/165,"-1,296","3,605",9,12,1/172,-797,"2,330",6,5,1/212,+306,"4,052",18,8,1/156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-05,月,いいえ,-,-,-,-,-,-595,"1,993",5,7,1/166,-303,"2,184",7,6,1/168,+713,"2,220",12,4,1/139,-299,409,1,0,1/409,"+1,314","2,152",13,6,1/113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-04,日,いいえ,-,-,-,-,-,-999,"3,177",9,7,1/199,-394,"3,427",10,13,1/149,-592,"2,893",10,4,1/207,"-1,084","2,122",5,2,1/303,+716,"5,633",26,15,1/137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-03,土,いいえ,-,-,-,-,-,+312,"1,781",9,1,1/178,-704,"3,119",10,8,1/173,-299,"2,647",11,3,1/189,-994,"1,162",1,2,1/387,+303,"4,779",23,7,1/159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-02,金,いいえ,-,-,-,-,-,-299,"2,534",8,8,1/158,-296,"1,116",4,2,1/186,+810,"3,313",16,10,1/127,"+1,208","2,415",16,3,1/127,"+1,610","4,233",22,9,1/137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-01,木,はい,-,-,-,-,-,-105,"3,077",12,6,1/171,-300,"1,114",4,0,1/279,"-1,092","1,969",4,3,1/281,-498,"1,019",2,3,1/204,-303,"5,063",18,14,1/158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-31,水,はい,-,-,-,-,-,-302,998,3,2,1/200,+310,"3,207",13,8,1/153,+107,"1,647",7,4,1/150,-499,"2,582",9,5,1/184,-193,"2,585",10,5,1/172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-30,火,いいえ,-,-,-,-,-,+109,"1,764",8,2,1/176,-304,"1,311",5,2,1/187,+804,"4,431",20,10,1/148,-398,525,1,0,1/525,+414,"6,690",28,21,1/137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-29,月,いいえ,-,-,-,-,-,-301,"1,781",5,6,1/162,-97,"1,651",6,3,1/183,+403,"2,551",13,4,1/150,-296,818,3,0,1/273,-199,"4,298",14,12,1/165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-28,日,いいえ,-,-,-,-,-,-105,"1,306",5,2,1/187,+905,"4,397",19,14,1/133,+0,"1,384",6,1,1/198,-505,"4,567",14,15,1/157,-903,"2,541",7,6,1/195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-27,土,はい,-,-,-,-,-,-305,"1,703",6,3,1/189,-992,"2,867",8,5,1/221,-702,"1,176",3,0,1/392,-597,"2,838",9,7,1/177,"+1,010","5,155",23,17,1/129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-26,金,いいえ,-,-,-,-,-,-199,751,2,2,1/188,-396,"5,395",15,23,1/142,-98,"1,078",4,1,1/216,-595,"3,120",10,8,1/173,-790,"1,193",2,2,1/298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-25,木,いいえ,-,-,-,-,-,-590,"1,006",2,1,1/335,+207,"4,754",17,18,1/136,+608,"2,338",9,8,1/138,-198,455,1,1,1/228,"+1,016","5,420",24,17,1/132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-24,水,いいえ,-,-,-,-,-,+0,"3,468",14,7,1/165,-795,"3,192",9,9,1/177,+609,"3,695",16,12,1/132,"+1,098","4,945",21,19,1/124,-193,"3,127",10,11,1/149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-22,月,いいえ,-,-,-,-,-,-101,876,4,0,1/219,-296,"2,601",7,9,1/163,-596,"1,345",2,2,1/336,-496,"1,823",6,4,1/182,+409,"2,536",12,6,1/141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-21,日,はい,-,-,-,-,-,"+1,204","5,653",25,17,1/135,-191,"3,054",12,7,1/161,+316,"1,610",6,7,1/124,+415,"3,640",16,9,1/146,+208,"4,472",14,17,1/144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-20,土,いいえ,-,-,-,-,-,-190,433,1,0,1/433,+206,864,4,2,1/144,+804,"6,192",25,23,1/129,-397,"1,805",5,5,1/181,+201,"2,822",11,9,1/141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-19,金,いいえ,-,-,-,-,-,-191,124,0,0,-,-697,"1,118",1,3,1/280,+605,"1,541",7,6,1/119,-305,"1,183",2,6,1/148,-994,"3,268",7,13,1/163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-18,木,いいえ,-,-,-,-,-,+210,695,4,0,1/174,-304,"3,033",9,12,1/144,-296,805,2,2,1/201,+116,421,2,0,1/211,+0,"1,341",5,4,1/149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-17,水,はい,-,-,-,-,-,+909,"2,165",13,5,1/120,+112,918,4,1,1/184,+115,"2,063",9,3,1/172,-705,764,0,2,1/382,+402,"4,238",19,12,1/137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-16,火,いいえ,-,-,-,-,-,+314,"2,565",12,6,1/143,-394,901,2,1,1/300,-905,"1,307",1,3,1/327,"+1,505","4,340",22,15,1/117,+0,"1,048",4,2,1/175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-15,月,いいえ,-,-,-,-,-,-192,"2,120",7,4,1/193,+308,"1,795",6,8,1/128,-502,785,2,1,1/262,-300,"1,768",6,3,1/196,-899,"1,344",1,4,1/269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-14,日,いいえ,-,-,-,-,-,-190,"3,520",14,6,1/176,-102,"4,928",20,12,1/154,-192,"3,018",11,6,1/178,-591,"3,587",12,8,1/179,+115,"6,043",21,19,1/151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-13,土,いいえ,-,-,-,-,-,+201,710,4,1,1/142,-390,"2,893",8,9,1/170,+0,813,3,1,1/203,+709,"2,230",10,12,1/101,-195,"2,675",10,2,1/223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-12,金,いいえ,-,-,-,-,-,-505,698,0,4,1/175,-396,"1,252",3,3,1/209,+110,"2,253",9,5,1/161,+0,933,5,0,1/187,-699,"1,384",3,1,1/346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-11,木,はい,-,-,-,-,-,-298,657,1,2,1/219,"+2,220","4,528",21,21,1/108,"+1,097","3,643",16,15,1/118,-698,"1,077",1,2,1/359,-590,"1,052",2,2,1/263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-10,水,いいえ,-,-,-,-,-,+0,612,2,1,1/204,-197,"1,421",4,3,1/203,-190,"1,086",3,2,1/217,+206,923,4,3,1/132,"+1,818","5,259",26,16,1/125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-09,火,いいえ,-,-,-,-,-,-487,"2,796",9,9,1/155,-198,"2,021",8,3,1/184,+602,"3,873",15,15,1/129,-501,"1,304",3,3,1/217,+516,"5,462",20,16,1/152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-07,日,はい,-,-,-,-,-,-193,"1,333",4,4,1/167,-296,"2,156",8,3,1/196,"+3,207","3,435",26,8,1/101,-392,"2,274",8,6,1/162,-998,"1,049",1,0,1/1049,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-06,土,いいえ,-,-,-,-,-,-393,629,0,3,1/210,+601,"1,656",8,5,1/127,-193,910,2,3,1/182,+307,"3,663",18,3,1/174,-595,946,1,2,1/315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-05,金,いいえ,-,-,-,-,-,+802,"2,127",11,7,1/118,+114,635,3,0,1/212,+409,"4,210",20,10,1/140,-501,"1,238",2,5,1/177,-103,524,2,0,1/262,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-04,木,いいえ,-,-,-,-,-,-193,166,0,0,-,-593,"1,639",4,3,1/234,-594,"2,420",8,5,1/186,+0,485,2,0,1/243,"+3,801","5,745",33,21,1/106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-03,水,いいえ,-,-,-,-,-,+408,689,5,1,1/115,+0,747,2,3,1/149,-300,"2,508",7,9,1/157,+312,"3,403",13,12,1/136,-101,421,1,0,1/421,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-02,火,いいえ,-,-,-,-,-,-304,416,0,1,1/416,-701,"1,022",2,1,1/341,+0,280,1,0,1/280,-995,"1,997",4,7,1/182,-390,341,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-01,月,はい,-,-,-,-,-,"+1,098","6,318",28,19,1/134,"-1,296","1,429",1,3,1/357,-699,"1,040",1,2,1/347,+114,"2,709",10,7,1/159,"+1,009","6,320",25,26,1/124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-30,日,いいえ,-,-,-,-,-,"+1,204","4,998",20,26,1/109,-198,"1,591",5,3,1/199,"+1,014","3,919",19,11,1/131,-193,495,1,1,1/248,-102,"6,154",23,21,1/140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-29,土,いいえ,-,-,-,-,-,-391,"2,608",9,4,1/201,+206,"3,069",12,6,1/171,-395,980,2,2,1/245,"+2,308","4,022",20,17,1/109,"-1,492","2,824",4,7,1/257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
