日付,曜日,特定日,1214番台,,,,,1215番台,,,,,1216番台,,,,,1217番台,,,,,1218番台,,,,,1219番台,,,,,1317番台,,,,,1318番台,,,,,1319番台,,,,,1422番台,,,,,1423番台,,,,,1424番台,,,,,1425番台,,,,,1426番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-14,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,206","8,028",32,31,1/127,+111,"2,032",9,4,1/156,-300,"4,019",12,11,1/175,-590,"1,874",5,4,1/208,+516,"2,669",10,13,1/116
2026-05-12,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+911,"3,784",17,11,1/135,-701,"2,929",9,6,1/195,-505,"1,226",3,4,1/175,+0,"2,304",10,3,1/177,-199,"5,131",19,13,1/160
2026-05-11,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,096","3,901",20,9,1/135,+408,"6,798",25,24,1/139,+514,"2,278",12,3,1/152,+403,"1,867",9,4,1/144,+904,"6,637",30,17,1/141
2026-05-10,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,807","8,204",39,30,1/119,"+1,099","2,321",13,9,1/106,+0,883,3,3,1/147,+795,"3,552",16,10,1/137,+114,"2,763",9,10,1/145
2026-05-09,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-303,"6,674",22,23,1/148,-198,486,1,0,1/486,-498,"1,972",6,4,1/197,"+1,907","5,471",27,17,1/124,-98,988,4,2,1/165
2026-05-08,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-305,"2,978",11,8,1/157,"+1,205","3,347",17,13,1/112,+601,"3,509",16,8,1/146,-499,602,0,1,1/602,+207,"3,597",14,9,1/156
2026-05-07,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,685","7,246",18,30,1/151,-901,"1,158",1,3,1/290,-396,"3,197",11,9,1/160,-100,"1,365",5,2,1/195,-298,"1,009",3,3,1/168
2026-05-06,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-901,"2,928",9,5,1/209,"-1,388","2,405",2,8,1/241,-498,"2,608",9,6,1/174,-190,"3,017",12,8,1/151,-396,"3,914",13,12,1/157
2026-05-05,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-496,"2,594",7,9,1/162,+609,"7,454",30,28,1/129,"-1,084","1,326",1,5,1/221,+115,"3,572",15,8,1/155,"+2,310","7,202",34,28,1/116
2026-05-04,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-103,"5,792",24,15,1/149,-599,835,1,0,1/835,"+1,505","7,080",30,26,1/126,-394,"2,255",8,3,1/205,"+1,813","5,767",32,13,1/128
