日付,曜日,特定日,337番台,,,,,,,,,338番台,,,,,,,,,350番台,,,,,,,,,351番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-03-11,水,いいえ,"+1,757","4,048",25,8,1/123,1/6.57,2.59,21,11.0,-563,899,2,0,1/450,1/5.95,2.57,28,7.0,-294,"1,624",5,3,1/203,1/5.73,2.82,32,4.0,+199,"1,100",5,2,1/157,1/5.75,3.08,10,-
2026-03-10,火,いいえ,-532,596,1,0,1/596,1/6.57,2.84,47,24.0,-458,"1,255",4,1,1/251,1/6.22,2.58,23,1.0,-534,"2,367",8,4,1/197,1/6.19,2.50,22,17.0,-681,"1,090",2,1,1/363,1/5.89,2.67,5,-
2026-03-09,月,いいえ,-27,"1,549",6,4,1/155,1/6.20,3.26,27,12.0,+388,"2,531",11,6,1/149,1/5.88,3.00,15,6.0,"+1,489","2,888",17,8,1/116,1/6.17,3.47,9,6.0,+21,"5,494",21,14,1/157,1/6.03,2.74,3,-
2026-03-08,日,いいえ,"-1,095","1,288",1,3,1/322,1/6.34,3.03,25,2.0,-258,"2,145",5,9,1/153,1/5.63,4.10,23,7.0,-563,"3,660",11,11,1/166,1/6.01,3.32,16,9.0,+30,"5,133",19,16,1/147,1/6.13,3.54,7,-
2026-03-07,土,いいえ,"+1,643","5,008",26,14,1/125,1/6.24,3.36,21,6.0,-176,"3,655",12,10,1/166,1/5.74,3.07,15,7.0,-744,"2,210",6,3,1/246,1/5.79,2.32,8,1.0,+439,"4,845",21,13,1/143,1/6.29,3.06,7,-
2026-03-06,金,いいえ,"-1,636","1,506",0,2,1/753,1/6.06,2.49,33,20.0,-187,"4,740",19,11,1/158,1/6.36,2.57,12,7.0,+355,"3,569",15,10,1/143,1/6.14,3.27,5,-,-451,"2,315",7,7,1/165,1/6.23,3.40,13,1.0
2026-03-05,木,いいえ,+230,"2,701",11,8,1/142,1/6.13,3.44,20,8.0,"+1,373","4,948",23,17,1/124,1/6.12,4.12,3,-,-251,"1,200",5,0,1/240,1/6.29,2.39,7,4.0,+138,485,3,0,1/162,1/6.37,3.04,12,5.0
2026-03-04,水,はい,-532,"3,810",13,8,1/181,1/6.01,2.43,25,5.0,-231,"3,086",10,10,1/154,1/6.02,3.59,8,4.0,"+1,375","4,955",22,16,1/130,1/5.80,3.82,4,-,"+3,152","7,155",34,29,1/114,1/5.78,4.99,20,12.0
2026-03-03,火,いいえ,"+1,332","2,149",13,6,1/113,1/5.89,3.50,7,3.0,+957,"4,305",19,12,1/139,1/5.83,3.24,7,3.0,+447,"1,043",5,5,1/104,1/6.20,4.11,4,-,-430,"1,648",4,6,1/165,1/6.11,3.71,48,41.0
2026-03-02,月,いいえ,-140,"3,201",12,7,1/168,1/6.00,2.67,24,13.0,+58,"3,497",14,9,1/152,1/6.20,3.01,2,-,+308,"2,890",13,4,1/170,1/5.83,2.23,11,9.0,-147,"1,517",6,0,1/253,1/5.56,2.17,45,21.0
2026-03-01,日,いいえ,-935,806,0,1,1/806,1/6.38,2.89,26,16.0,+728,"3,867",18,11,1/133,1/6.29,3.36,2,-,+350,"1,911",9,5,1/137,1/6.27,3.29,10,8.0,"+1,295","6,686",24,32,1/119,1/5.88,5.25,30,4.0
2026-02-28,土,いいえ,+220,"3,056",15,3,1/170,1/6.29,1.98,20,3.0,-445,"1,364",4,2,1/227,1/6.03,2.76,9,-,-177,"4,077",15,9,1/170,1/5.93,2.51,17,8.0,-290,"6,031",20,22,1/144,1/6.17,4.25,73,53.0
2026-02-27,金,いいえ,-728,717,1,0,1/717,1/6.86,2.71,20,6.0,+220,"2,363",9,5,1/169,1/5.47,2.81,3,-,+840,"5,336",23,19,1/127,1/6.35,4.25,14,11.0,-835,"1,784",5,2,1/255,1/6.40,2.40,73,53.0
2026-02-26,木,いいえ,+74,"1,830",7,5,1/153,1/5.95,3.30,17,10.0,+359,833,4,1,1/167,1/4.89,3.02,7,-,"+1,237","2,538",16,5,1/121,1/6.45,2.88,26,9.0,-343,575,1,1,1/288,1/6.01,3.19,54,28.0
2026-02-25,水,いいえ,"+1,577","2,899",18,7,1/116,1/6.26,3.18,22,8.0,-173,"3,858",15,7,1/175,1/6.00,2.23,14,-,-625,"1,545",3,6,1/172,1/6.33,3.79,42,6.0,"-1,081","3,975",13,5,1/221,1/6.08,1.80,36,14.0
2026-02-24,火,はい,-473,"1,809",4,5,1/201,1/5.53,3.21,48,21.0,"+3,772","6,117",31,34,1/94,1/5.99,5.45,14,-,-217,340,1,0,1/340,1/6.94,3.13,27,4.0,-498,863,1,2,1/288,1/5.55,3.19,23,9.0
2026-02-23,月,いいえ,-759,"1,394",4,0,1/349,1/6.33,2.21,50,23.0,+735,"4,586",20,15,1/131,1/6.26,3.85,24,-,+599,"5,666",21,22,1/132,1/6.02,4.56,25,1.0,+806,"3,287",16,8,1/137,1/6.08,3.00,27,2.0
2026-02-22,日,いいえ,-302,"1,519",5,1,1/253,1/5.55,2.37,28,3.0,-697,"1,389",3,3,1/232,1/6.26,3.00,25,-,-868,"3,009",10,4,1/215,1/6.26,2.08,45,17.0,"-1,133","2,461",7,3,1/246,1/6.47,2.17,28,3.0
2026-02-21,土,いいえ,"+1,257","5,622",24,22,1/122,1/6.14,4.66,24,12.0,"+1,542","2,604",15,11,1/100,1/6.33,4.50,11,-,-177,994,4,1,1/199,1/6.44,2.84,40,16.0,-246,"2,889",11,7,1/161,1/6.38,2.93,12,1.0
2026-02-20,金,いいえ,-816,"3,703",10,11,1/176,1/5.95,3.24,56,20.0,-705,"1,593",4,0,1/398,1/5.49,2.07,36,12.0,-156,"2,510",9,6,1/167,1/5.99,2.95,24,18.0,+79,"2,379",10,5,1/159,1/6.14,2.83,6,-
2026-02-19,木,いいえ,-182,"3,045",11,6,1/179,1/5.83,2.51,49,13.0,-231,"1,338",5,1,1/223,1/5.95,2.53,36,5.0,+329,"2,522",10,10,1/126,1/6.24,4.17,31,17.0,+769,"3,395",16,9,1/136,1/6.08,3.19,14,-
2026-02-18,水,いいえ,-418,"3,542",10,14,1/148,1/6.05,4.24,25,4.0,-423,826,2,0,1/413,1/5.67,2.64,21,-,-245,409,1,1,1/205,1/7.40,3.39,45,19.0,-422,"2,056",7,4,1/187,1/6.24,2.75,26,1.0
2026-02-17,火,いいえ,-576,"2,660",9,4,1/205,1/6.07,2.29,15,-,-226,"2,266",7,4,1/206,1/5.39,2.55,17,2.0,-220,"1,898",7,4,1/173,1/6.23,2.91,34,11.0,"-1,071","1,208",0,3,1/403,1/5.68,3.09,23,6.0
2026-02-16,月,いいえ,+544,"3,016",14,8,1/137,1/6.22,3.21,12,7.0,"+1,089","3,030",15,11,1/117,1/6.18,4.12,13,1.0,+293,"2,111",9,7,1/132,1/6.27,3.70,32,19.0,"+1,248","3,531",17,14,1/114,1/6.20,4.46,5,-
2026-02-15,日,いいえ,-59,"2,435",8,7,1/162,1/5.70,3.30,27,11.0,+535,"5,126",22,13,1/146,1/6.11,2.84,30,3.0,-948,"2,540",7,5,1/212,1/6.28,2.57,37,7.0,+228,"6,727",24,19,1/156,1/5.74,3.02,16,-
2026-02-14,土,はい,-347,"1,172",3,3,1/195,1/5.95,3.24,23,7.0,-185,"2,392",8,6,1/171,1/5.84,3.04,50,27.0,+396,"6,134",25,16,1/150,1/6.07,2.81,8,-,+692,"5,456",21,17,1/144,1/5.76,3.57,16,8.0
2026-02-13,金,いいえ,-22,"1,552",6,3,1/172,1/5.89,2.94,20,1.0,"-1,067","1,391",2,3,1/278,1/6.69,2.96,26,6.0,-959,"1,764",3,3,1/294,1/5.73,2.62,19,-,"-1,006",892,1,0,1/892,1/7.13,2.54,28,2.0
2026-02-12,木,いいえ,"+1,227","1,652",11,4,1/110,1/5.87,3.34,11,-,+411,"3,768",12,17,1/130,1/5.70,4.73,20,3.0,-16,"2,574",7,11,1/143,1/5.60,4.28,12,1.0,-228,264,0,0,-,1/4.79,3.18,17,5.0
2026-02-11,水,いいえ,"+2,157","5,093",25,16,1/124,1/5.65,3.80,11,2.0,-78,368,1,1,1/184,1/5.82,3.44,34,23.0,+134,"2,455",10,5,1/164,1/5.87,2.75,8,-,-561,574,0,1,1/574,1/5.76,3.15,9,1.0
2026-02-10,火,いいえ,-543,"2,378",4,12,1/149,1/5.74,4.58,32,6.0,-362,"2,624",10,3,1/202,1/6.05,2.13,26,18.0,-316,578,1,2,1/193,1/6.58,3.53,8,7.0,"+2,544","3,752",24,11,1/107,1/6.09,3.71,1,-
2026-02-09,月,いいえ,-440,"4,972",18,17,1/142,1/6.66,3.93,22,7.0,-228,188,0,0,-,1/6.06,3.27,15,1.0,+70,711,3,1,1/178,1/5.59,3.12,2,-,-253,602,2,0,1/301,1/6.28,2.87,14,12.0
2026-02-08,日,いいえ,-629,992,2,1,1/331,1/6.19,2.77,14,3.0,-125,952,4,1,1/190,1/6.45,2.88,7,5.0,"+2,032","6,107",33,14,1/130,1/6.24,2.60,2,-,+94,"2,736",11,6,1/161,1/5.96,2.80,11,4.0
2026-02-07,土,いいえ,-187,816,1,5,1/136,1/5.69,4.19,7,2.0,"+1,358","4,316",22,8,1/144,1/5.79,2.30,5,-,-236,910,2,3,1/182,1/5.71,3.51,24,12.0,+379,"2,860",12,8,1/143,1/5.98,3.30,12,5.0
2026-02-06,金,いいえ,+921,"5,230",24,13,1/141,1/6.10,2.81,8,-,-837,"2,058",5,6,1/187,1/6.49,3.29,21,1.0,-418,"2,305",7,6,1/177,1/5.99,3.09,20,12.0,-579,"2,315",7,5,1/193,1/6.10,2.79,22,1.0
