日付,曜日,特定日,31番台,,,,,,,32番台,,,,,,,33番台,,,,,,,35番台,,,,,,,36番台,,,,,,,37番台,,,,,,,38番台,,,,,,,50番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-12,火,いいえ,-300,254,0,0,-,1/5.92,3.19,-370,279,0,0,-,1/6.63,3.16,"+1,440","3,510",20,8,1/125,1/6.22,2.92,-300,234,0,0,-,1/6.39,3.22,-260,202,0,0,-,1/6.42,3.26,-130,"2,063",7,6,1/159,1/6.00,3.36,+320,"1,715",9,2,1/156,1/6.24,2.58,+160,940,4,2,1/157,1/5.61,3.22
2026-05-11,月,いいえ,+670,"3,573",16,10,1/137,1/6.06,3.30,-190,399,1,1,1/200,1/6.76,3.40,+320,871,5,1,1/145,1/5.96,3.01,-370,494,1,0,1/494,1/6.28,2.96,+410,"1,611",8,4,1/134,1/6.18,3.27,+790,797,6,3,1/89,1/6.34,3.80,-600,"1,499",4,1,1/300,1/5.73,2.36,-400,757,1,2,1/252,1/5.64,3.31
2026-05-10,日,いいえ,-810,"1,644",3,5,1/206,1/6.22,3.36,"-2,160","2,697",3,2,1/539,1/5.80,1.80,-780,"1,238",2,3,1/248,1/6.34,3.13,+150,"4,782",18,10,1/171,1/5.66,2.29,-910,925,0,2,1/463,1/5.96,3.08,-600,"5,983",19,18,1/162,1/5.96,3.27,-920,"1,306",2,1,1/435,1/5.85,2.47,"+1,540","4,235",21,10,1/137,1/5.64,2.82
2026-05-09,土,いいえ,"+2,560","7,361",32,33,1/113,1/5.92,5.23,+640,"5,012",15,27,1/119,1/5.77,5.27,-160,"4,094",16,7,1/178,1/5.96,2.10,+300,"5,443",21,16,1/147,1/6.01,3.31,"-1,240","3,956",11,8,1/208,1/6.05,2.27,"-1,520","3,398",6,11,1/200,1/6.02,3.41,-710,"2,645",7,6,1/203,1/5.80,2.75,"-1,340","5,872",16,16,1/184,1/5.90,2.76
2026-05-08,金,いいえ,+540,"1,669",9,3,1/139,1/6.05,2.92,-580,899,1,1,1/450,1/5.33,2.83,-840,"1,101",1,2,1/367,1/5.86,2.92,-230,812,3,0,1/271,1/6.07,2.69,+150,"5,145",20,14,1/151,1/6.06,3.02,-680,567,0,0,-,1/6.00,2.84,-750,"1,239",3,0,1/413,1/6.07,2.30,-460,"1,271",3,3,1/212,1/5.93,3.13
2026-05-07,木,いいえ,+720,"4,687",20,12,1/146,1/5.87,2.90,-530,"1,652",4,4,1/207,1/5.85,3.07,-500,"1,586",5,3,1/198,1/6.45,2.86,"+1,210","4,897",22,12,1/144,1/5.67,2.78,+50,"1,228",5,4,1/136,1/6.49,3.59,+200,"2,395",11,3,1/171,1/5.98,2.32,-130,273,0,1,1/273,1/4.69,3.51,"+1,370","7,152",29,25,1/132,1/5.86,4.26
2026-05-06,水,いいえ,+360,"2,125",9,6,1/142,1/5.87,3.37,-130,"1,544",5,5,1/154,1/6.06,3.55,+110,"2,526",10,6,1/158,1/5.93,2.97,-470,903,1,2,1/301,1/5.26,3.14,+290,"3,302",15,7,1/150,1/6.30,2.67,"-1,030","1,091",1,1,1/546,1/6.30,2.63,-720,"3,096",10,6,1/194,1/6.16,2.44,-600,"2,756",10,4,1/197,1/6.35,2.25
2026-05-05,火,いいえ,-720,"6,297",20,14,1/185,1/5.70,2.15,"-1,830","3,116",5,8,1/240,1/6.18,2.79,"-1,230","4,359",12,5,1/256,1/5.53,1.66,-810,"2,982",8,9,1/175,1/6.18,3.33,"-2,160","3,131",4,7,1/285,1/6.13,2.49,-370,"4,766",18,10,1/170,1/6.15,2.30,-470,"7,224",26,18,1/164,1/6.06,2.46,-440,"7,405",27,19,1/161,1/6.12,2.57
2026-05-04,月,はい,-890,"2,050",3,6,1/228,1/5.52,3.22,+870,"7,021",27,26,1/132,1/6.02,4.50,"+1,440","4,923",26,10,1/137,1/6.17,2.40,"+4,690","6,240",37,26,1/99,1/5.77,5.10,-520,811,1,1,1/406,1/5.47,2.92,"+1,210","7,132",29,22,1/140,1/5.80,3.58,"+2,060","5,587",29,16,1/124,1/6.08,3.45,-980,"3,722",12,6,1/207,1/6.15,2.06
2026-05-03,日,いいえ,-570,"1,483",3,3,1/247,1/5.54,2.90,"-1,100","5,136",17,12,1/177,1/6.36,2.44,-120,770,3,0,1/257,1/5.74,2.73,+770,"4,598",20,13,1/139,1/6.01,3.27,+630,"4,020",19,9,1/144,1/6.24,2.68,-130,"4,210",15,13,1/150,1/6.13,3.48,+40,"2,185",10,3,1/168,1/6.33,2.46,-270,"6,094",20,22,1/145,1/6.09,4.20
2026-05-02,土,いいえ,"+2,310","7,112",32,26,1/123,1/5.84,4.56,-640,"2,729",9,4,1/210,1/6.04,2.24,"+1,720","7,933",39,17,1/142,1/6.14,2.14,-260,"2,361",7,4,1/215,1/5.29,2.47,"+3,810","7,991",36,40,1/105,1/5.75,5.42,-510,"3,332",9,13,1/151,1/6.05,4.15,-710,"2,963",8,9,1/174,1/6.06,3.35,-680,"4,313",12,13,1/173,1/5.78,3.27
2026-05-01,金,いいえ,-440,"1,049",2,3,1/210,1/5.89,3.35,-230,"1,358",4,4,1/170,1/5.98,3.40,+270,"1,623",7,6,1/125,1/6.37,3.85,-150,"3,506",13,11,1/146,1/6.39,3.56,-320,432,0,1,1/432,1/5.10,3.32,+430,"1,513",7,4,1/138,1/5.73,3.34,-530,971,1,4,1/194,1/6.01,3.72,-470,473,0,1,1/473,1/5.99,3.27
2026-04-30,木,いいえ,-150,"2,695",8,11,1/142,1/5.99,4.20,-130,134,0,0,-,1/5.12,3.34,-340,415,0,1,1/415,1/5.40,3.34,-180,"1,386",5,1,1/231,1/5.62,2.49,+400,"1,308",6,4,1/131,1/5.77,3.54,+230,575,4,0,1/144,1/6.80,2.98,-260,392,1,0,1/392,1/6.52,3.07,-460,713,1,1,1/357,1/5.72,3.03
2026-04-29,水,いいえ,-180,"4,191",14,9,1/182,1/5.55,2.40,-340,"5,490",20,12,1/172,1/5.96,2.27,"-1,300","2,271",3,7,1/227,1/6.01,3.29,-720,"1,533",5,1,1/256,1/6.79,2.36,-40,"3,945",14,9,1/172,1/5.68,2.59,-820,"1,099",1,4,1/220,1/6.63,3.58,+720,"3,022",14,8,1/137,1/5.94,3.20,"+1,090","5,154",24,9,1/156,1/5.71,2.02
