日付,曜日,特定日,667番台,,,,,,668番台,,,,,,670番台,,,,,,671番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-04-26,日,いいえ,"+1,207","6,150",29,18,1/131,3.88,+242,"5,066",21,14,1/145,3.33,+833,"3,382",17,9,1/130,3.63,"-1,551","2,921",7,6,1/225,2.48
2026-04-25,土,いいえ,"-1,111","3,499",10,8,1/194,2.59,-487,"3,846",12,10,1/175,2.84,-234,"1,394",4,4,1/174,3.28,"+1,097","4,223",22,8,1/141,2.95
2026-04-24,金,いいえ,"-1,426","2,790",6,4,1/279,2.18,-686,"4,019",13,12,1/161,3.19,+907,"3,999",18,9,1/148,3.03,-175,"3,338",12,12,1/139,3.82
2026-04-23,木,いいえ,"-1,103","4,049",12,13,1/162,3.28,+169,"3,415",15,9,1/142,3.36,+730,"4,240",18,13,1/137,3.69,-302,"1,036",4,1,1/207,2.96
2026-04-22,水,いいえ,+653,"3,126",16,5,1/149,2.84,-209,"2,443",8,10,1/136,3.93,-924,"1,968",4,4,1/246,2.68,+0,"2,831",13,3,1/177,2.43
2026-04-20,月,はい,-629,"1,122",2,3,1/224,3.14,"-1,038","1,472",1,6,1/210,3.35,"+1,203","5,022",25,13,1/132,3.57,"+2,221","7,066",33,24,1/124,4.51
2026-04-19,日,いいえ,-105,"5,617",19,21,1/140,4.02,+992,"7,275",30,34,1/114,5.23,+214,"3,612",16,7,1/157,2.79,+256,"4,441",20,8,1/159,2.56
2026-04-18,土,いいえ,"+1,308","3,122",17,9,1/120,3.94,-532,521,0,1,1/521,3.12,-52,"1,206",4,5,1/134,3.75,+973,"3,353",16,14,1/112,4.60
2026-04-17,金,いいえ,+860,"4,206",21,11,1/131,3.60,"+1,733","3,958",21,16,1/107,4.83,"+4,280","7,218",47,21,1/106,5.12,+115,"1,074",4,3,1/153,3.41
2026-04-16,木,いいえ,-790,"4,193",13,11,1/175,2.81,-627,778,2,0,1/389,2.80,-497,"4,225",15,9,1/176,2.55,-323,790,2,2,1/198,3.28
2026-04-15,水,いいえ,"-1,633","3,043",5,9,1/217,2.79,-296,"3,719",16,4,1/186,2.14,-592,976,2,1,1/325,2.82,-266,"3,667",13,9,1/167,2.89
2026-04-14,火,いいえ,-253,"1,009",4,1,1/202,2.99,"+1,516","5,068",24,18,1/121,4.47,-759,947,1,2,1/316,2.99,"+1,542","6,640",26,34,1/111,5.30
2026-04-13,月,いいえ,+341,"4,194",18,10,1/150,3.05,-6,"1,025",5,0,1/205,2.84,-453,"1,969",5,7,1/164,3.45,-93,"1,162",4,3,1/166,3.31
2026-04-12,日,いいえ,-515,"3,923",14,12,1/151,3.39,-562,"1,353",3,4,1/193,3.22,"-1,108","2,180",6,2,1/273,2.28,-214,"1,347",6,2,1/168,3.06
