日付,曜日,特定日,763番台,,,,,,765番台,,,,,,766番台,,,,,,767番台,,,,,,768番台,,,,,,770番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-04-08,水,いいえ,"+1,986","4,760",28,9,1/129,2.89,-493,601,1,0,1/601,2.87,-811,"7,343",25,19,1/167,2.67,-407,"2,878",10,6,1/180,2.74,+602,"5,681",26,12,1/150,2.61,-332,"2,754",8,9,1/162,3.45
2026-04-06,月,いいえ,+813,"3,851",18,13,1/124,4.13,+345,"5,755",23,17,1/144,3.48,-674,"3,462",12,5,1/204,2.21,-53,"3,934",14,15,1/136,4.16,"+2,314","7,898",37,25,1/127,4.24,"+1,084","3,982",21,8,1/137,2.91
2026-04-05,日,いいえ,-525,"3,427",9,12,1/163,3.57,-658,"3,948",12,11,1/172,3.03,+469,"6,966",31,16,1/148,2.68,+673,"5,694",27,13,1/142,2.87,+495,"4,009",17,11,1/143,3.34,-53,"4,816",21,8,1/166,2.25
2026-04-04,土,いいえ,-646,"1,213",2,4,1/202,3.35,+215,"3,950",20,6,1/152,2.44,-427,"5,455",22,11,1/165,2.39,+677,"3,748",19,5,1/156,2.34,+833,"4,127",19,13,1/129,3.90,+473,"7,094",29,20,1/145,3.31
2026-04-03,金,いいえ,"-2,066","2,513",3,4,1/359,2.25,-498,"3,445",11,8,1/181,2.74,+230,"2,773",11,8,1/146,3.42,-580,"2,503",10,2,1/209,2.23,-221,"4,510",15,14,1/156,3.41,"-1,074","4,171",11,13,1/174,3.22
2026-04-02,木,いいえ,+191,"2,037",9,4,1/157,3.01,-37,"4,289",15,15,1/143,3.88,"+2,686","5,714",30,22,1/110,5.09,"+1,274","6,452",32,13,1/143,2.54,-559,"1,979",5,6,1/180,3.27,"-1,456","3,779",8,9,1/222,2.52
2026-04-01,水,いいえ,"+1,136","7,254",33,20,1/137,3.44,-98,"2,306",11,2,1/177,2.42,-385,"5,580",20,15,1/159,2.98,+710,"6,691",28,18,1/145,3.16,-546,"3,053",10,4,1/218,2.22,"-1,145","4,945",13,16,1/171,3.32
2026-03-31,火,いいえ,"+1,945","5,975",27,22,1/122,4.67,+962,"4,325",21,13,1/127,3.85,+608,"5,102",22,16,1/134,3.83,"-1,072","2,833",9,2,1/258,2.00,+685,"2,842",15,6,1/135,3.14,-931,"5,347",15,19,1/157,3.74
2026-03-30,月,はい,-823,"3,166",9,7,1/198,2.64,-469,"1,440",3,5,1/180,3.44,+750,"4,621",19,12,1/149,3.11,-591,"4,041",11,15,1/155,3.81,-510,"2,266",7,6,1/174,3.12,+235,"3,961",16,13,1/137,3.82
2026-03-29,日,いいえ,-556,"5,153",16,17,1/156,3.55,"+2,453","7,170",36,24,1/120,4.65,"-2,608","3,806",6,7,1/293,2.09,+266,"6,480",28,16,1/147,2.90,+29,"2,890",14,3,1/170,2.34,-192,"5,344",20,14,1/157,2.96
2026-03-28,土,いいえ,"-1,123","1,602",1,5,1/267,3.10,-458,"3,862",14,8,1/176,2.57,"-1,331","5,004",14,10,1/209,2.17,"-1,534","4,218",11,9,1/211,2.36,+725,"4,078",17,12,1/141,3.52,"-1,515","3,386",7,8,1/226,2.56
2026-03-27,金,いいえ,-817,"1,205",3,1,1/301,2.66,-731,"2,850",8,7,1/190,2.86,+355,"3,917",16,10,1/151,3.11,-477,"3,910",15,6,1/186,2.23,"+1,009","2,800",15,6,1/133,3.19,"+1,254","4,797",22,19,1/117,4.79
2026-03-26,木,いいえ,"-1,688","4,830",10,16,1/186,3.23,"-1,111","1,814",4,1,1/363,2.24,"-1,162","4,991",17,7,1/208,1.90,-361,"3,803",16,6,1/173,2.34,"+1,464","6,018",29,16,1/134,3.42,-225,"2,214",9,4,1/170,2.82
2026-03-25,水,いいえ,"+1,238","3,984",18,15,1/121,4.45,"+1,556","5,380",28,10,1/142,2.56,+626,"4,244",22,7,1/146,2.52,"+1,545","7,078",36,17,1/134,3.11,-492,"2,829",9,6,1/189,2.72,+464,"4,886",23,8,1/158,2.29
2026-03-24,火,いいえ,-519,"1,408",4,3,1/201,3.03,-583,"3,405",10,13,1/148,3.92,-684,"3,856",13,8,1/184,2.52,"+1,583","4,696",25,12,1/127,3.51,+87,"2,536",12,2,1/181,2.30,-759,"3,730",13,8,1/178,2.62
2026-03-23,月,いいえ,-67,"3,549",13,7,1/177,2.56,"+1,204","5,328",23,17,1/133,3.92,-381,"6,041",21,17,1/159,3.07,-770,"2,677",7,6,1/206,2.72,-225,"3,589",15,6,1/171,2.44,+574,"6,589",28,18,1/143,3.26
2026-03-22,日,いいえ,-670,"5,884",21,12,1/178,2.25,-238,"7,224",26,21,1/154,3.22,"+1,486","6,351",29,20,1/130,4.05,-156,"7,053",27,15,1/168,2.27,-437,"2,476",8,2,1/248,2.16,+350,"7,120",31,15,1/155,2.39
2026-03-21,土,いいえ,+227,"4,168",17,9,1/160,2.70,-858,"4,366",14,9,1/190,2.40,-122,"3,699",15,6,1/176,2.36,-602,"5,105",20,9,1/176,2.19,+779,"8,134",33,27,1/136,4.13,-374,"2,931",10,8,1/163,3.17
