日付,曜日,特定日,715番台,,,,,,716番台,,,,,,717番台,,,,,,718番台,,,,,,720番台,,,,,,721番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-05-26,火,いいえ,"-1,039","5,387",15,14,1/186,2.42,"+1,330","4,240",23,8,1/137,2.80,-203,"5,341",19,17,1/148,3.30,"+1,121","4,440",22,12,1/131,3.44,-915,"3,730",9,13,1/170,3.21,-20,"6,123",27,8,1/175,1.75
2026-05-25,月,いいえ,-157,"6,139",23,16,1/157,2.67,+903,"6,115",25,19,1/139,3.47,"-1,652","5,174",14,13,1/192,2.35,+164,"3,926",17,7,1/164,2.43,-795,565,0,0,-,2.83,+712,"5,024",22,13,1/144,3.02
2026-05-24,日,いいえ,-394,"3,861",12,14,1/149,3.56,-623,"2,185",7,3,1/219,2.46,-210,"6,353",23,21,1/144,3.47,+81,"1,808",7,7,1/129,3.79,"+2,497","7,392",36,26,1/119,4.59,-317,"1,364",4,2,1/227,2.79
2026-05-23,土,いいえ,-594,"2,610",7,8,1/174,3.10,"+1,095","3,720",16,14,1/124,4.12,+89,"2,466",9,7,1/154,3.22,+958,"5,045",22,15,1/136,3.45,-457,752,2,1,1/251,3.04,-272,"5,951",21,20,1/145,3.49
2026-05-22,金,いいえ,"+4,031","6,556",43,18,1/107,4.60,"+1,325","3,289",16,13,1/113,4.37,+65,"1,519",7,1,1/190,2.67,+938,"2,949",15,8,1/128,3.51,"+1,521","6,177",34,8,1/147,1.95,-170,656,3,0,1/219,3.01
2026-05-21,木,いいえ,+36,"7,205",26,21,1/153,2.91,-605,"1,205",2,3,1/241,3.01,-202,"4,164",14,18,1/130,4.26,-840,"2,793",8,7,1/186,2.78,-875,"3,968",12,11,1/173,2.81,"+1,130","8,028",34,29,1/127,4.35
2026-05-20,水,はい,"-1,301","3,446",7,10,1/203,2.72,+113,"3,148",13,7,1/157,2.84,"+1,862","5,612",28,18,1/122,4.11,-234,718,2,1,1/239,3.08,-398,"7,825",27,21,1/163,2.49,"-1,423","1,523",1,3,1/381,2.62
2026-05-18,月,いいえ,-417,"2,911",10,5,1/194,2.43,-398,"1,466",4,4,1/183,3.15,-704,"1,770",3,6,1/197,3.18,+287,"4,921",19,14,1/149,3.08,-879,"2,728",8,4,1/227,2.28,-216,"2,320",7,8,1/155,3.42
2026-05-17,日,いいえ,+330,"4,135",18,8,1/159,2.51,"+1,345","7,342",33,23,1/131,3.79,-903,"4,434",13,13,1/171,2.86,-603,"2,289",7,5,1/191,2.77,-308,"6,770",20,27,1/144,3.96,"+1,255","4,276",23,9,1/134,3.00
2026-05-16,土,いいえ,"+1,187","6,021",26,21,1/128,4.09,-442,"2,276",7,6,1/175,3.00,"+2,981","6,580",34,19,1/124,3.85,-66,"1,787",8,3,1/162,2.93,+103,"4,692",16,13,1/162,2.85,-246,"4,500",18,15,1/136,3.67
2026-05-15,金,いいえ,-381,"4,325",12,16,1/154,3.50,-562,"2,172",5,7,1/181,3.16,-468,"2,266",5,8,1/174,3.29,"+2,990","5,529",31,20,1/108,4.83,-546,"1,738",3,6,1/193,3.22,+167,"3,202",15,5,1/160,2.53
2026-05-14,木,いいえ,-669,"5,786",19,14,1/175,2.36,"-1,690","2,878",4,10,1/206,3.00,"-1,031","5,250",15,18,1/159,3.26,"-1,014","3,046",6,10,1/190,3.00,"-1,172","1,345",2,2,1/336,2.65,+757,"5,011",22,14,1/139,3.26
2026-05-13,水,いいえ,"-1,758","3,873",7,11,1/215,2.56,"+1,343","5,491",28,13,1/134,3.07,"-1,428","3,786",8,11,1/199,2.69,"+1,730","7,027",32,25,1/123,4.41,-286,"2,734",9,10,1/144,3.62,"-1,331","6,141",17,21,1/162,3.18
2026-05-12,火,いいえ,"-2,019","3,869",7,11,1/214,2.56,"+1,233","5,480",28,13,1/133,3.08,"-1,671","3,781",8,11,1/199,2.69,"+1,465","7,009",32,25,1/122,4.43,-233,"2,728",9,10,1/143,3.62,"-1,435","6,127",17,21,1/161,3.19
2026-05-11,月,いいえ,+821,"5,249",24,15,1/135,3.42,"-1,128","4,156",11,13,1/173,2.96,"+1,122","4,994",22,17,1/128,3.97,+968,"3,826",18,9,1/142,3.03,"+2,477","6,818",33,25,1/118,4.68,-779,"2,315",7,3,1/232,2.36
2026-05-10,日,はい,-265,"5,176",20,10,1/173,2.20,+848,"6,674",25,29,1/124,4.75,"+1,503","7,234",28,33,1/119,5.02,+784,"5,067",21,19,1/127,4.20,+30,"5,852",24,16,1/146,3.00,+713,"5,933",26,16,1/141,3.09
2026-05-09,土,いいえ,-345,"6,859",23,25,1/143,3.77,-526,"4,799",15,15,1/160,3.08,+443,"6,919",31,14,1/154,2.22,"-1,972","3,504",5,10,1/234,2.54,-441,"5,051",17,16,1/153,3.21,"+1,049","6,819",31,20,1/134,3.50
2026-05-08,金,いいえ,+760,"5,172",23,12,1/148,2.74,"+3,767","7,122",37,32,1/103,5.42,-91,"5,523",19,18,1/149,3.33,-442,"2,007",7,3,1/201,2.62,-623,"4,691",16,16,1/147,3.49,-572,"1,678",5,2,1/240,2.57
2026-05-07,木,いいえ,"-1,738","4,484",10,14,1/187,2.79,-654,"1,739",3,5,1/217,2.99,-486,"3,338",12,8,1/167,2.79,-781,766,0,2,1/383,3.08,+321,"5,745",23,19,1/137,3.68,-238,"1,039",2,3,1/208,3.20
2026-05-06,水,いいえ,-403,"5,648",20,17,1/153,3.08,"-1,181","2,070",4,5,1/230,2.74,"-1,340","2,376",5,3,1/297,2.21,+887,"4,839",20,20,1/121,4.52,"-1,898","4,438",11,9,1/222,2.10,"+2,095","3,922",23,13,1/109,4.40
2026-05-05,火,いいえ,+637,"8,120",33,24,1/142,3.20,-396,"2,790",10,7,1/164,2.95,+234,"7,931",27,26,1/150,3.28,"+1,556","8,438",35,27,1/136,3.67,+0,"5,923",23,17,1/148,3.06,-841,"5,600",19,15,1/165,2.66
2026-05-04,月,いいえ,"+1,520","6,072",25,22,1/129,4.15,-663,"6,127",16,28,1/139,4.36,-726,"5,115",19,8,1/189,1.93,"-1,670","3,599",6,13,1/189,3.09,"+1,280","8,021",34,27,1/131,4.00,"+1,136","5,103",25,17,1/122,4.15
2026-05-03,日,いいえ,-721,"4,230",14,9,1/184,2.36,+324,"5,488",24,12,1/152,2.53,"-1,180","5,324",14,20,1/157,3.50,"-1,003","3,743",10,12,1/170,3.07,-361,"6,000",17,23,1/150,3.69,-489,"5,040",16,17,1/153,3.34
2026-05-02,土,いいえ,"+1,067","6,581",29,18,1/140,3.12,+290,"3,921",15,14,1/135,3.79,+123,"2,826",12,5,1/166,2.65,+921,"7,184",31,26,1/126,4.35,"-1,019","2,692",4,12,1/168,3.62,+443,"6,615",26,23,1/135,3.89
2026-05-01,金,いいえ,+486,"3,908",18,7,1/156,2.51,"+4,281","6,924",44,16,1/115,3.79,+915,"4,374",25,6,1/141,2.40,+72,"5,269",20,16,1/146,3.25,-710,"4,257",11,13,1/177,2.87,+33,"5,225",15,21,1/145,3.88
2026-04-30,木,はい,+214,"6,296",26,17,1/146,2.94,-453,"5,210",17,19,1/145,3.68,"+2,362","5,453",26,21,1/116,4.64,+182,"4,633",18,20,1/122,4.53,-537,"6,466",19,23,1/154,3.42,+508,"2,763",11,11,1/126,4.02
2026-04-29,水,いいえ,+18,"6,027",22,18,1/151,3.08,+131,"8,182",26,35,1/134,4.51,-116,"3,326",13,5,1/185,2.30,+500,"5,241",21,17,1/138,3.59,"-1,620","3,750",9,8,1/221,2.27,-26,"2,638",10,5,1/176,2.67
2026-04-28,火,いいえ,-293,"4,411",16,11,1/163,2.71,"-1,128","2,975",8,5,1/229,2.27,-279,"6,351",20,26,1/138,4.17,-764,"1,555",3,4,1/222,2.96,+639,"7,456",27,32,1/126,4.71,+586,"3,449",16,8,1/144,3.02
2026-04-27,月,いいえ,-392,"5,405",21,12,1/164,2.41,"-1,005","1,665",3,3,1/278,2.63,-221,"3,556",10,17,1/132,4.30,"+1,156","8,692",37,28,1/134,3.79,-102,"1,380",5,2,1/197,2.87,-829,"3,603",11,9,1/180,2.67
2026-04-26,日,いいえ,+455,"6,572",27,22,1/134,3.82,-116,"5,883",20,19,1/151,3.26,-479,"6,626",21,23,1/151,3.43,-360,"8,541",29,30,1/145,3.64,"+1,371","5,697",28,16,1/129,3.55,+883,"2,692",16,3,1/142,2.68
2026-04-25,土,いいえ,+431,"6,595",24,24,1/137,3.92,-266,"5,457",19,19,1/144,3.61,-88,"4,157",17,8,1/166,2.43,"-1,334","2,639",5,6,1/240,2.51,-616,"4,682",13,16,1/161,3.23,"-1,905","4,904",11,14,1/196,2.53
2026-04-24,金,いいえ,-488,"2,609",9,2,1/237,2.10,"+1,222","5,198",26,15,1/127,3.69,"-1,423","2,355",5,3,1/294,2.22,+168,"4,269",14,17,1/138,3.96,+498,"3,388",15,13,1/121,4.17,"+1,150","3,782",20,9,1/130,3.28
2026-04-23,木,いいえ,"-1,408","2,703",7,4,1/246,2.25,+125,"4,750",18,15,1/144,3.39,"+1,544","5,538",30,11,1/135,2.73,+113,"2,059",10,4,1/147,3.06,"+2,380","7,991",40,24,1/125,3.99,+708,"4,280",19,13,1/134,3.56
2026-04-22,水,いいえ,+834,"6,496",26,21,1/138,3.59,+906,"5,110",22,17,1/131,3.84,-266,"1,810",7,4,1/165,3.05,"+2,476","8,638",37,36,1/118,5.03,-991,"1,915",4,3,1/274,2.49,+584,"6,363",22,28,1/127,4.63
2026-04-20,月,はい,+976,"6,471",26,28,1/120,4.83,+54,"2,303",9,7,1/144,3.41,"+1,486","6,194",23,27,1/124,4.69,-828,"2,474",6,8,1/177,3.15,"+1,223","5,660",26,15,1/138,3.16,-666,"2,568",7,7,1/183,2.92
2026-04-19,日,いいえ,"+1,542","7,589",29,31,1/126,4.62,+963,"5,147",24,18,1/123,4.21,-463,"2,918",9,7,1/182,2.74,-293,"5,241",14,23,1/142,4.15,-371,"7,405",30,14,1/168,1.92,+919,"3,453",15,15,1/115,4.49
2026-04-18,土,いいえ,"+1,259","4,473",24,10,1/132,3.11,"-1,441","1,939",2,3,1/388,2.35,-56,"3,356",10,15,1/134,4.12,+397,"5,962",22,21,1/139,3.78,"+3,329","9,041",42,38,1/113,5.25,-594,532,0,1,1/532,3.10
2026-04-17,金,いいえ,+343,"2,032",8,7,1/135,3.62,"+1,884","7,405",32,25,1/130,4.04,-308,"4,577",14,17,1/148,3.64,-846,"2,961",8,6,1/212,2.45,-394,"5,384",12,30,1/128,4.86,"+1,432","4,200",22,13,1/120,3.97
2026-04-16,木,いいえ,"+3,994","8,346",45,26,1/118,4.50,-834,"1,299",2,2,1/325,2.69,-639,"1,841",5,4,1/205,2.83,+781,"4,503",19,14,1/136,3.54,-709,"8,433",26,21,1/179,2.11,-113,"4,845",14,21,1/138,4.16
2026-04-15,水,いいえ,"-2,132","3,032",5,4,1/337,1.98,+413,"2,431",12,6,1/135,3.32,-949,928,0,2,1/464,2.90,-405,"5,565",21,13,1/164,2.46,-749,"2,911",9,5,1/208,2.37,+857,"6,160",23,27,1/123,4.72
2026-04-14,火,いいえ,-900,"2,569",6,10,1/161,3.50,+532,"8,645",33,28,1/142,3.49,+947,"4,735",19,18,1/128,4.16,+374,"1,492",8,3,1/136,3.28,"-2,631","4,500",5,14,1/237,2.49,+228,"4,566",17,13,1/152,3.05
2026-04-13,月,いいえ,"+1,839","4,184",22,14,1/116,4.22,-379,"2,741",8,10,1/152,3.51,-128,"3,805",12,15,1/141,3.84,"+1,263","5,584",23,20,1/130,4.06,"-1,745","5,287",15,12,1/196,2.19,+651,"2,082",11,6,1/122,3.64
2026-04-12,日,いいえ,-346,"3,527",13,7,1/176,2.49,-723,"5,321",16,20,1/148,3.68,-43,"1,753",8,2,1/175,2.74,-151,"1,230",4,2,1/205,2.94,"+1,455","8,765",37,29,1/133,3.92,+553,"8,770",31,33,1/137,4.12
2026-04-11,土,いいえ,+19,"6,078",23,17,1/152,2.91,-599,"3,196",10,10,1/160,3.20,"-1,005","1,715",3,5,1/214,3.01,+903,"6,157",29,17,1/134,3.36,-321,"2,477",9,3,1/206,2.36,-666,714,1,0,1/714,2.76
2026-04-10,金,はい,-661,"5,232",17,15,1/164,2.83,+621,"2,451",13,4,1/144,2.90,+407,"4,807",19,17,1/134,3.87,-333,"3,782",11,12,1/164,3.12,-210,"4,147",15,9,1/173,2.49,-563,"2,762",7,10,1/162,3.39
2026-04-09,木,いいえ,"-1,896","4,451",11,11,1/202,2.37,-159,"1,663",5,5,1/166,3.26,+712,"3,455",17,10,1/128,3.60,"-1,070","5,960",17,18,1/170,2.78,-253,"2,417",8,5,1/186,2.73,+275,"4,463",20,9,1/154,2.56
2026-04-08,水,いいえ,-410,"6,615",21,26,1/141,4.01,+403,"5,003",19,15,1/147,3.22,"+1,937","7,333",36,21,1/129,3.65,-896,"1,810",3,4,1/259,2.70,-330,"5,915",24,12,1/164,2.22,"-1,054","5,692",15,21,1/158,3.43
2026-04-06,月,いいえ,"+1,110","8,069",33,31,1/126,4.55,"-1,066","2,350",6,2,1/294,2.12,+851,"7,410",26,34,1/124,4.90,-590,"2,535",8,7,1/169,3.04,+695,"2,903",15,7,1/132,3.31,+267,"4,249",16,13,1/147,3.30
2026-04-05,日,いいえ,-196,"4,877",19,12,1/157,2.71,+848,"6,728",30,16,1/146,2.65,-799,871,1,1,1/436,2.82,"+1,719","5,139",24,21,1/114,4.75,-121,"6,848",24,22,1/149,3.27,-320,"1,026",2,3,1/205,3.22
2026-04-04,土,いいえ,"-2,373","4,271",7,12,1/225,2.44,-616,"1,130",3,2,1/226,2.95,"+2,402","8,721",38,36,1/118,5.04,"-1,071","3,236",9,7,1/202,2.47,-722,"4,621",15,10,1/185,2.31,-726,"2,056",5,5,1/206,2.84
2026-04-03,金,いいえ,-392,"1,481",4,3,1/212,2.90,"-1,176","3,523",8,12,1/176,3.12,-645,"2,277",6,6,1/190,2.91,+416,"3,798",14,16,1/127,4.25,"-1,090","2,482",5,8,1/191,3.06,"+1,377","4,096",19,16,1/117,4.42
2026-04-02,木,いいえ,-453,"2,759",8,9,1/162,3.26,-387,"4,602",15,17,1/144,3.71,-39,"1,764",9,1,1/176,2.59,-428,"2,014",5,8,1/155,3.57,-43,"2,373",8,8,1/148,3.46,-670,"4,134",13,10,1/180,2.55
2026-04-01,水,いいえ,+443,"3,812",17,10,1/141,3.18,-568,"2,029",6,3,1/225,2.53,-993,"1,751",3,5,1/219,2.98,"+1,254","5,049",23,18,1/123,4.22,-340,"4,665",16,12,1/167,2.68,"+1,236","4,701",23,11,1/138,3.00
2026-03-31,火,いいえ,+531,"7,419",26,30,1/132,4.39,+514,"3,352",14,8,1/152,2.94,+550,"1,869",9,5,1/134,3.43,+75,"3,611",16,10,1/139,3.31,-366,"2,994",9,11,1/150,3.55,+284,"5,720",24,15,1/147,2.92
2026-03-30,月,はい,+543,"5,968",24,20,1/136,3.75,"+2,500","7,328",32,32,1/115,5.10,"+2,272","8,113",38,32,1/116,5.00,"+2,709","8,050",38,25,1/128,3.94,-138,580,2,1,1/193,3.25,+104,"3,542",13,11,1/148,3.33
2026-03-29,日,いいえ,-631,"6,894",23,21,1/157,2.96,-135,"3,563",12,12,1/148,3.44,+427,"4,366",16,15,1/141,3.62,-358,678,2,0,1/339,2.89,"+3,186","8,132",39,28,1/121,4.52,"-1,317","3,975",9,13,1/181,2.98
2026-03-28,土,いいえ,"-1,919","3,062",3,9,1/255,2.59,"-1,126","1,829",4,1,1/366,2.21,-5,"2,522",11,5,1/158,2.87,-255,"2,065",7,3,1/207,2.57,-333,"1,904",8,1,1/212,2.39,+511,"4,617",22,8,1/154,2.38
2026-03-27,金,いいえ,+360,"3,075",11,12,1/134,3.89,-373,"4,508",15,15,1/150,3.37,-385,"2,022",7,4,1/184,2.82,-503,"1,283",3,3,1/214,3.02,-971,"1,306",2,1,1/435,2.49,-673,"3,233",9,10,1/170,3.07
2026-03-26,木,いいえ,+217,"4,681",18,14,1/146,3.24,+183,"2,702",10,10,1/135,3.76,+518,"4,606",18,18,1/128,4.19,+491,"1,990",11,3,1/142,2.99,+339,"6,256",23,22,1/139,3.77,"+1,311","2,027",13,6,1/107,3.94
2026-03-25,水,いいえ,-705,"5,540",18,15,1/168,2.64,+852,"3,187",15,10,1/127,3.71,-683,"3,780",12,9,1/180,2.59,+496,"8,065",30,28,1/139,3.79,"-1,215","2,040",4,3,1/291,2.39,-268,"5,325",17,16,1/161,2.94
2026-03-24,火,いいえ,+190,"1,281",6,1,1/183,2.83,"+1,512","8,453",38,26,1/132,3.72,+177,"1,919",8,5,1/148,3.27,-533,753,1,1,1/377,2.95,+534,"4,701",21,14,1/134,3.51,"-1,212","5,087",14,17,1/164,3.13
2026-03-23,月,いいえ,"+1,865","7,092",37,18,1/129,3.32,"+1,030","7,731",31,27,1/133,4.01,+532,"3,670",16,11,1/136,3.49,+674,"6,590",23,26,1/134,4.21,+888,"3,228",17,6,1/140,2.89,-104,"1,853",6,5,1/168,3.14
2026-03-22,日,いいえ,"-1,478","4,327",8,17,1/173,3.36,-546,"4,161",15,7,1/189,2.15,"-1,426","2,532",5,5,1/253,2.42,-363,"4,787",17,12,1/165,2.65,"-1,106","3,814",11,9,1/191,2.50,"-1,246","4,915",12,16,1/176,2.94
2026-03-21,土,いいえ,+816,"6,878",28,23,1/135,3.80,"-1,089","2,980",8,6,1/213,2.43,-79,"5,089",19,14,1/154,2.92,"-1,336","3,230",6,11,1/190,3.03,-743,"2,919",9,8,1/172,2.96,+456,"5,023",21,14,1/144,3.15
2026-03-20,金,はい,-732,"4,478",13,11,1/187,2.46,+878,"6,436",26,25,1/126,4.43,"+1,907","8,572",40,28,1/126,4.19,+228,"2,244",10,4,1/160,2.85,"+1,794","7,521",32,32,1/118,4.99,-820,"5,775",19,18,1/156,3.08
2026-03-19,木,いいえ,-739,"5,912",22,16,1/156,2.79,"-1,702","2,877",5,5,1/288,2.19,+666,"7,311",28,23,1/143,3.36,-468,"1,103",3,1,1/276,2.75,-796,"3,069",10,7,1/181,2.68,+103,"1,819",7,6,1/140,3.53
2026-03-18,水,いいえ,+376,"6,620",23,25,1/138,4.00,-108,"3,574",11,14,1/143,3.78,-449,"3,680",12,10,1/167,2.88,"+2,716","7,585",39,24,1/120,4.32,-99,"5,107",15,21,1/142,4.00,"+3,008","7,125",36,27,1/113,4.94
2026-03-17,火,いいえ,+625,"5,922",21,27,1/123,4.75,-642,"1,712",6,2,1/214,2.61,"-1,614","4,318",11,9,1/216,2.16,-168,"1,313",4,5,1/146,3.57,-408,"2,754",8,7,1/184,2.82,-673,"3,865",11,13,1/161,3.25
2026-03-16,月,いいえ,+339,"4,263",17,11,1/152,2.93,"+1,486","1,835",13,4,1/108,3.67,-549,830,2,0,1/415,2.73,"+1,084","5,471",21,26,1/116,4.93,-472,"1,006",2,2,1/252,3.00,+431,"5,853",23,22,1/130,4.18
2026-03-15,日,いいえ,-670,"3,437",12,6,1/191,2.33,+451,"3,432",16,6,1/156,2.60,+238,"3,701",15,9,1/154,2.89,-474,"1,973",6,2,1/247,2.39,+81,"4,035",17,10,1/149,2.94,-546,"4,077",15,10,1/163,2.74
2026-03-14,土,いいえ,"-1,250","3,298",7,6,1/254,2.17,-700,"4,346",13,15,1/155,3.36,"-1,155","3,322",9,7,1/208,2.41,-676,"3,576",10,11,1/170,3.03,"-1,141","3,464",10,5,1/231,2.06,+165,"5,307",16,20,1/147,3.69
2026-03-13,金,いいえ,"+4,029","5,644",39,16,1/103,4.76,"+1,788","6,019",28,18,1/131,3.64,+194,"3,599",14,10,1/150,3.13,"+1,399","7,096",29,26,1/129,4.26,"+1,896","8,367",33,39,1/116,5.21,-52,"3,728",14,8,1/169,2.58
2026-03-12,木,いいえ,+889,"4,771",23,14,1/129,3.64,-121,"1,766",7,3,1/177,2.86,"+1,309","6,147",25,23,1/128,4.26,-326,"1,000",3,2,1/200,3.10,-446,"3,051",11,6,1/179,2.57,-228,"2,628",8,8,1/164,3.17
2026-03-11,水,いいえ,-714,"3,043",9,6,1/203,2.45,-396,"4,599",18,11,1/159,2.69,"+2,080","5,321",29,17,1/116,4.32,-500,"1,016",2,2,1/254,2.99,-669,"2,617",7,6,1/201,2.67,-782,"2,266",6,5,1/206,2.71
2026-03-10,火,はい,+415,"2,352",12,4,1/147,2.92,"-1,420","2,532",6,5,1/230,2.48,-657,"2,187",6,5,1/199,2.79,-101,"5,261",17,19,1/146,3.62,-515,"1,821",5,4,1/202,2.85,-140,"4,938",16,22,1/130,4.42
2026-03-09,月,いいえ,-152,"1,798",7,6,1/138,3.55,-46,"4,022",13,16,1/139,3.92,-311,312,0,0,-,3.11,"+3,978","6,822",36,33,1/99,5.53,+304,"2,153",9,7,1/135,3.59,-334,"2,284",6,9,1/152,3.60
2026-03-08,日,いいえ,"+1,616","6,427",30,25,1/117,4.76,+79,"3,962",17,8,1/158,2.59,"+1,808","4,189",24,8,1/131,2.95,-366,"4,009",14,9,1/174,2.53,"-1,566","3,026",5,9,1/216,2.75,+276,"4,716",23,7,1/157,2.19
2026-03-07,土,いいえ,-649,"4,415",14,13,1/164,2.96,-651,"2,002",5,7,1/167,3.35,+145,"4,714",19,11,1/157,2.66,-267,"3,143",10,9,1/165,3.03,-623,"4,248",14,12,1/163,2.91,-208,"1,489",4,4,1/186,3.12
2026-03-06,金,いいえ,"-1,296","2,017",3,3,1/336,2.35,"+1,183","6,090",26,18,1/138,3.37,-698,"3,496",12,6,1/194,2.28,-915,"3,774",11,9,1/189,2.53,+114,"2,123",8,5,1/163,3.03,+618,"3,230",15,10,1/129,3.66
2026-03-05,木,いいえ,"+1,066","2,925",14,9,1/127,3.68,-904,"4,579",12,14,1/176,2.85,"-1,196","2,225",2,8,1/223,3.06,-79,"2,594",10,2,1/216,2.16,+205,"2,791",13,8,1/133,3.49,-602,"3,394",11,9,1/170,2.86
2026-03-04,水,いいえ,"+1,187","7,262",33,18,1/142,2.78,"-1,772","2,987",5,8,1/230,2.59,-88,"4,129",13,15,1/147,3.59,"-1,102","3,989",10,11,1/190,2.65,+311,"5,266",18,18,1/146,3.50,-721,"3,111",10,8,1/173,2.85
2026-03-02,月,いいえ,-721,"2,447",7,8,1/163,3.28,-251,"1,858",7,4,1/169,2.99,+280,"3,569",14,10,1/149,3.17,+763,"3,934",17,12,1/136,3.52,-522,"1,107",4,0,1/277,2.61,"+1,866","5,338",27,15,1/127,3.63
2026-03-01,日,いいえ,+709,"7,608",30,26,1/136,3.85,"+1,720","6,234",34,12,1/136,2.59,"-1,510","4,143",11,7,1/230,2.00,-598,"5,741",19,17,1/159,2.92,+319,"5,112",20,14,1/150,2.98,-986,"2,284",7,2,1/254,2.21
2026-02-28,土,いいえ,"-1,668","4,628",11,13,1/193,2.57,"+2,362","5,588",31,15,1/121,3.76,+289,"3,715",17,9,1/143,3.06,"+2,054","5,886",26,28,1/109,5.18,"+1,985","7,442",35,26,1/122,4.46,-397,"7,386",27,22,1/151,3.01
2026-02-27,金,いいえ,"-1,636","2,555",4,4,1/319,2.19,-639,"3,633",10,11,1/173,2.97,-819,"4,378",14,11,1/175,2.60,+690,"5,924",25,18,1/138,3.45,+579,"4,489",18,17,1/128,4.11,-338,"5,100",18,13,1/165,2.64
2026-02-26,木,いいえ,-79,"5,666",23,14,1/153,2.69,"+2,473","7,541",30,38,1/111,5.34,+39,"5,003",18,18,1/139,3.78,-93,"1,226",4,3,1/175,3.18,+857,"8,236",34,23,1/144,2.97,+708,"1,760",11,2,1/135,3.01
