日付,曜日,特定日,718番台,,,,,,,,,720番台,,,,,,,,,721番台,,,,,,,,,722番台,,,,,,,,,723番台,,,,,,,,,725番台,,,,,,,,,726番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-04-28,火,いいえ,"+4,210","7,794",35,41,1/103,-,5.65,9,-,+42,957,3,3,1/160,-,3.52,29,7.0,-67,"1,428",5,4,1/159,-,3.51,30,1.0,-168,"2,026",6,4,1/203,-,3.21,22,11.0,-175,"2,051",6,3,1/228,-,3.07,42,12.0,+661,"3,940",17,10,1/146,-,3.67,11,2.0,"+1,730","4,666",22,13,1/133,-,4.01,9,-
2026-04-27,月,いいえ,"+1,122","4,534",21,14,1/130,-,4.13,11,-,+252,"3,551",13,10,1/154,-,3.58,16,1.0,+874,"6,915",27,17,1/157,-,3.48,19,3.0,"-1,125","1,550",2,2,1/388,-,2.94,15,3.0,+205,"1,865",7,5,1/155,-,3.52,23,4.0,-558,"3,778",10,11,1/180,-,3.30,12,1.0,+64,"2,440",10,5,1/163,-,3.41,12,1.0
2026-04-26,日,はい,+874,"4,235",19,9,1/151,-,3.52,16,3.0,-511,"2,944",9,6,1/196,-,3.13,32,12.0,+501,"7,760",24,31,1/141,-,4.41,16,3.0,"+1,674","7,872",30,20,1/157,-,3.50,9,-,"-1,472","4,383",11,11,1/199,-,3.02,33,1.0,+267,"5,422",20,15,1/155,-,3.60,13,4.0,"-1,670","4,991",11,14,1/200,-,3.01,20,4.0
2026-04-25,土,はい,-785,"4,224",11,13,1/176,-,3.35,23,2.0,"-1,145","1,744",2,3,1/349,-,2.94,27,4.0,-150,"3,214",12,4,1/201,-,2.97,33,6.0,-844,"3,431",8,12,1/172,-,3.48,11,-,-850,"1,992",3,7,1/199,-,3.35,21,5.0,+636,"4,779",19,10,1/165,-,3.30,16,5.0,-27,"2,600",9,6,1/173,-,3.35,16,5.0
2026-04-24,金,いいえ,-74,"2,601",7,10,1/153,-,3.68,14,3.0,-242,"6,531",21,15,1/181,-,2.99,24,1.0,-418,"2,168",6,4,1/217,-,3.12,26,2.0,+375,"3,333",12,10,1/152,-,3.63,10,2.0,-891,"1,263",2,1,1/421,-,2.99,11,1.0,-217,"4,843",16,11,1/179,-,3.14,23,9.0,-227,"1,365",5,1,1/228,-,3.17,8,-
2026-04-23,木,いいえ,+680,"3,984",16,9,1/159,-,3.43,10,2.0,-493,"2,607",7,4,1/237,-,2.94,14,4.0,-869,"6,761",20,20,1/169,-,3.37,19,5.0,-806,"1,162",2,2,1/291,-,3.17,14,4.0,"+1,362","4,161",18,11,1/143,-,3.74,8,1.0,-712,"2,082",4,7,1/189,-,3.38,14,4.0,+460,"6,413",24,13,1/173,-,3.06,7,-
2026-04-22,水,いいえ,-51,"3,436",11,11,1/156,-,3.61,9,1.0,+116,"4,531",15,14,1/156,-,3.62,8,1.0,-584,"2,922",8,10,1/162,-,3.56,8,1.0,"+3,858","6,757",36,17,1/127,-,4.34,12,1.0,-700,"2,030",6,3,1/226,-,3.09,11,2.0,"+1,545","6,068",25,16,1/148,-,3.73,7,-,+407,"2,613",10,6,1/163,-,3.42,7,-
2026-04-20,月,はい,+689,"4,222",18,11,1/146,-,3.70,9,2.0,"+1,538","3,550",16,12,1/127,-,4.09,12,2.0,+439,"2,418",8,7,1/161,-,3.50,7,-,"+2,420","7,318",33,22,1/133,-,4.34,12,2.0,+572,"4,732",17,13,1/158,-,3.53,10,1.0,+446,"3,854",13,12,1/154,-,3.63,9,2.0,"+1,362","5,861",26,15,1/143,-,3.83,12,2.0
2026-04-19,日,はい,-575,"3,347",8,12,1/167,-,3.54,10,4.0,+496,"5,529",18,21,1/142,-,4.11,19,2.0,"+1,277","7,126",27,24,1/140,-,4.22,6,-,-17,"3,647",14,7,1/174,-,3.23,14,4.0,+461,"4,094",14,18,1/128,-,4.31,14,4.0,"-1,658","2,355",3,4,1/336,-,2.78,17,2.0,"+2,495","5,151",26,9,1/147,-,3.53,15,1.0
2026-04-18,土,はい,+851,"4,792",18,13,1/155,-,3.58,9,-,-662,"4,360",14,10,1/182,-,3.15,46,25.0,"+1,095","4,764",20,13,1/144,-,3.77,12,3.0,"+1,915","6,534",28,21,1/133,-,4.30,12,3.0,+328,"4,789",15,15,1/160,-,3.58,21,2.0,-190,"5,839",20,13,1/177,-,3.09,9,-,"-1,227","2,591",4,10,1/185,-,3.43,19,7.0
