日付,曜日,特定日,873番台,,,,,,,,875番台,,,,,,,,876番台,,,,,,,,877番台,,,,,,,,878番台,,,,,,,,880番台,,,,,,,,881番台,,,,,,,,882番台,,,,,,,,883番台,,,,,,,,885番台,,,,,,,,886番台,,,,,,,,887番台,,,,,,,,1078番台,,,,,,,,1080番台,,,,,,,,1081番台,,,,,,,,1082番台,,,,,,,,1083番台,,,,,,,,1085番台,,,,,,,,1086番台,,,,,,,,1087番台,,,,,,,,1088番台,,,,,,,,1100番台,,,,,,,,1101番台,,,,,,,,1102番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2025-11-22,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+2,171","4,524",0,8,1/566,-,14,8.0,"+2,182","6,197",0,14,1/443,-,6,-,"+4,031","5,600",0,11,1/509,-,19,5.0,+164,"4,844",0,15,1/323,-,32,1.0,+148,"5,577",0,12,1/465,-,56,12.0,-515,"6,264",0,15,1/418,-,31,7.0,-338,"1,985",0,5,1/397,-,41,8.0,"+2,386","4,862",0,13,1/374,-,42,1.0,"-3,023","4,824",0,10,1/482,-,82,26.0,"-1,102",938,0,3,1/313,-,44,2.0,"-2,700","3,778",0,11,1/343,-,33,1.0,"-1,997","3,852",0,9,1/428,-,24,5.0
2025-11-21,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,168","5,413",0,13,1/416,-,21,2.0,"+2,283","5,029",0,14,1/359,-,11,-,"-1,093",930,0,2,1/465,-,38,1.0,"+2,214","2,600",0,7,1/371,-,41,3.0,"-3,497","3,926",0,9,1/436,-,88,47.0,-450,"2,073",0,5,1/415,-,28,7.0,"-1,269","2,027",0,6,1/338,-,36,4.0,"-1,702","1,741",0,3,1/580,-,36,4.0,-265,"3,206",0,6,1/534,-,37,1.0,-653,775,0,2,1/388,-,32,4.0,+351,"1,858",0,4,1/465,-,19,5.0,"-1,126","3,223",0,6,1/537,-,14,3.0
2025-11-20,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+14,689","8,700",0,8,1/1088,-,14,8.0,+289,"3,012",0,4,1/753,-,17,3.0,"-1,126","3,756",0,10,1/376,-,32,8.0,"+1,820","5,292",0,13,1/407,-,59,11.0,"-1,516","2,798",0,7,1/400,-,48,16.0,"-2,233","2,473",0,4,1/618,-,24,5.0,"+2,198","6,426",0,12,1/536,-,19,2.0,"+2,677","7,159",0,18,1/398,-,32,8.0,"-1,248","2,200",0,4,1/550,-,32,8.0,"+5,982","5,888",0,11,1/535,-,32,8.0,"-4,164","4,930",0,8,1/616,-,32,8.0,"+3,390","7,129",0,16,1/446,-,6,-
2025-11-19,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,192",974,0,2,1/487,-,16,1.0,-756,"3,566",0,8,1/446,-,34,6.0,"+1,245","2,630",0,6,1/438,-,28,11.0,"-2,978","2,805",0,6,1/468,-,92,18.0,-622,519,0,1,1/519,-,40,6.0,+214,"2,297",0,3,1/766,-,17,1.0,-808,"5,769",0,16,1/361,-,41,1.0,-723,"1,439",0,3,1/480,-,74,22.0,+102,"1,626",0,4,1/407,-,15,4.0,"-1,282","1,666",0,3,1/555,-,52,11.0,"-1,209","2,440",0,8,1/305,-,11,5.0,+145,"3,880",0,10,1/388,-,6,-
2025-11-18,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+556,"6,511",0,13,1/501,-,15,1.0,-693,"1,820",0,4,1/455,-,15,1.0,"-1,993","2,535",0,5,1/507,-,31,10.0,-315,"5,565",0,13,1/428,-,74,29.0,-62,120,0,1,1/120,-,38,2.0,"-2,185","2,467",0,5,1/493,-,19,4.0,"+1,527","3,599",0,8,1/450,-,21,2.0,"-1,779","4,441",0,13,1/342,-,76,2.0,-504,873,0,3,1/291,-,36,5.0,-693,"4,898",0,15,1/327,-,45,7.0,+165,"3,601",0,9,1/400,-,9,-,"-1,304","3,056",0,7,1/437,-,14,5.0
2025-11-16,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,930","6,369",0,16,1/398,-,18,2.0,"+1,081","3,860",0,11,1/351,-,24,6.0,"+4,619","8,917",0,24,1/372,-,31,7.0,"-2,163","6,509",0,15,1/434,-,52,6.0,"-2,490","3,169",0,6,1/528,-,35,4.0,"+2,388","6,437",0,17,1/379,-,16,4.0,"-1,174","4,685",0,10,1/469,-,68,14.0,"-1,403","4,160",0,12,1/347,-,54,2.0,"-2,509","3,400",0,9,1/378,-,38,3.0,"-2,255","5,294",0,8,1/662,-,46,8.0,"+1,281","5,066",0,12,1/422,-,12,6.0,"+2,827","6,987",0,14,1/499,-,6,-
2025-11-15,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,598","3,113",0,5,1/623,-,55,6.0,"+1,256","5,075",0,13,1/390,-,49,4.0,-546,"1,654",0,4,1/414,-,91,36.0,"-1,126","2,042",0,4,1/511,-,45,8.0,"+2,337","4,098",0,13,1/315,-,16,1.0,"+2,362","7,765",0,13,1/597,-,26,4.0,"-1,774","1,981",0,5,1/396,-,22,6.0,"-3,231","3,848",0,8,1/481,-,37,11.0,+291,"2,683",0,4,1/671,-,15,3.0,-925,"2,863",0,6,1/477,-,37,11.0,"+2,798","6,379",0,7,1/911,-,12,1.0,"+6,076","4,093",0,3,1/1364,-,11,-
2025-11-14,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-785,"4,405",0,9,1/489,-,54,18.0,"-1,058",934,0,2,1/467,-,85,1.0,-370,"5,120",0,10,1/512,-,84,30.0,-343,525,0,2,1/263,-,18,2.0,-537,"3,332",0,10,1/333,-,32,1.0,-137,276,0,1,1/276,-,36,1.0,-539,"2,803",0,7,1/400,-,14,-,"+4,844","5,144",0,12,1/429,-,16,2.0,"+1,678","2,549",0,6,1/425,-,23,5.0,"+7,098","7,474",0,12,1/623,-,35,3.0,-67,"4,880",0,15,1/325,-,31,5.0,-552,585,0,1,1/585,-,26,3.0
2025-11-13,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+432,"2,269",0,4,1/567,-,36,6.0,-171,466,0,1,1/466,-,46,8.0,"-1,373","3,610",0,8,1/451,-,72,11.0,-650,990,0,4,1/248,-,10,-,"+2,865","4,301",0,7,1/614,-,30,5.0,"-1,211","3,050",0,8,1/381,-,25,3.0,+351,"1,852",0,5,1/370,-,15,5.0,-441,415,0,1,1/415,-,61,15.0,-583,"5,743",0,17,1/338,-,38,2.0,"-1,441","3,213",0,10,1/321,-,87,15.0,-63,"3,916",0,10,1/392,-,15,5.0,+915,"2,632",0,5,1/526,-,22,7.0
2025-11-12,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+920,"3,616",0,7,1/517,-,35,6.0,-54,605,0,3,1/202,-,22,8.0,-63,281,0,1,1/281,-,65,15.0,"+1,060","6,191",0,16,1/387,-,8,-,"-1,445","1,860",0,3,1/620,-,46,10.0,-199,"1,803",0,6,1/301,-,12,4.0,-456,"1,475",0,4,1/369,-,29,1.0,"-2,021","2,955",0,6,1/493,-,28,6.0,+592,"1,583",0,5,1/317,-,36,1.0,-842,837,0,2,1/419,-,86,21.0,"+2,384","3,809",0,6,1/635,-,14,2.0,+177,"6,063",0,15,1/404,-,50,4.0
2025-11-11,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-680,"3,325",0,9,1/369,-,37,1.0,+383,"4,571",0,7,1/653,-,22,8.0,+495,"5,285",0,16,1/330,-,64,26.0,+268,"1,308",0,3,1/436,-,14,5.0,"-1,023","4,343",0,8,1/543,-,38,1.0,+750,"5,683",0,15,1/379,-,9,-,+583,"1,614",0,7,1/231,-,26,4.0,"-1,005","2,570",0,3,1/857,-,22,8.0,"-1,072","2,337",0,8,1/292,-,68,4.0,"-1,884","2,399",0,5,1/480,-,83,15.0,-88,154,0,1,1/154,-,33,7.0,"-1,123","1,424",0,4,1/356,-,36,3.0
2025-11-10,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-509,572,0,3,1/191,-,26,5.0,"-2,861","5,056",0,14,1/361,-,44,2.0,"-3,027","5,539",0,14,1/396,-,58,14.0,+0,"5,221",0,14,1/373,-,20,2.0,-625,"2,833",0,7,1/405,-,21,1.0,"-2,351","4,627",0,12,1/386,-,28,2.0,-101,454,0,2,1/227,-,36,8.0,-70,"6,054",0,15,1/404,-,10,-,"-2,138","6,959",0,16,1/435,-,42,1.0,"-1,491","7,573",0,19,1/399,-,88,30.0,-842,"1,426",0,3,1/475,-,18,8.0,"+1,234","5,592",0,9,1/621,-,41,5.0
2025-11-09,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-898,"3,909",0,8,1/489,-,21,5.0,"-1,760","2,767",0,8,1/346,-,34,3.0,"-1,828","4,022",0,8,1/503,-,54,20.0,"-1,923","1,829",0,5,1/366,-,21,5.0,"+6,468","7,216",0,10,1/722,-,21,5.0,-42,"5,932",0,14,1/424,-,16,10.0,"+4,288","7,886",0,23,1/343,-,31,7.0,+849,"2,118",0,5,1/424,-,6,-,+777,"3,281",0,7,1/469,-,24,3.0,"-1,420","3,750",0,8,1/469,-,58,4.0,"+3,686","6,114",0,10,1/611,-,21,5.0,-791,"8,208",0,20,1/410,-,76,18.0
2025-11-08,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,320","4,739",0,10,1/474,-,16,7.0,-908,"3,069",0,4,1/767,-,31,12.0,"-1,974","2,170",0,4,1/543,-,50,1.0,"+3,237","7,451",0,18,1/414,-,19,3.0,"-1,777","1,876",0,4,1/469,-,45,2.0,"+3,181","5,107",0,11,1/464,-,16,7.0,-855,612,0,1,1/612,-,49,1.0,+574,"4,217",0,11,1/383,-,9,-,-700,"5,314",0,11,1/483,-,49,1.0,-462,"3,451",0,10,1/345,-,48,3.0,"-1,142","2,663",0,6,1/444,-,43,12.0,"-1,640","3,258",0,8,1/407,-,70,20.0
2025-11-07,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+781,"3,514",0,7,1/502,-,6,-,"+3,362","3,244",0,7,1/463,-,19,8.0,-628,"1,559",0,4,1/390,-,41,2.0,"+2,904","3,278",0,12,1/273,-,19,8.0,-780,"1,251",0,2,1/626,-,28,9.0,"+4,205","4,248",0,7,1/607,-,19,8.0,"-1,018","1,370",0,5,1/274,-,49,1.0,-702,"2,772",0,5,1/554,-,11,5.0,+189,855,0,2,1/428,-,48,2.0,-348,"5,951",0,14,1/425,-,46,5.0,"+3,707","3,126",0,4,1/782,-,39,11.0,-209,349,0,1,1/349,-,54,5.0
2025-11-06,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+854,"5,956",0,12,1/496,-,9,3.0,"+1,280","4,763",0,16,1/298,-,24,1.0,"-1,016","4,186",0,12,1/349,-,36,12.0,-171,"2,435",0,6,1/406,-,79,18.0,-890,"2,783",0,6,1/464,-,23,14.0,"+3,007","4,896",0,12,1/408,-,23,14.0,"-1,621","1,991",0,5,1/398,-,43,3.0,"+2,272","5,841",0,13,1/449,-,6,-,-569,715,0,2,1/358,-,55,7.0,"-1,421","1,825",0,3,1/608,-,48,5.0,-521,"3,231",0,6,1/539,-,40,4.0,"-2,068","2,456",0,5,1/491,-,61,6.0
2025-11-05,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+5,690","4,425",0,6,1/738,-,14,4.0,-87,"5,251",0,15,1/350,-,72,28.0,-357,505,0,1,1/505,-,15,1.0,"-1,279","1,922",0,6,1/320,-,39,4.0,"+1,554","3,504",0,7,1/501,-,21,1.0,"+1,184","8,153",0,19,1/429,-,30,9.0,-311,927,0,3,1/309,-,35,1.0,-334,566,0,2,1/283,-,10,-,"-1,651","5,053",0,11,1/459,-,20,5.0,"+2,166","6,045",0,16,1/378,-,44,5.0,-699,"3,621",0,8,1/453,-,34,2.0,"+2,667","3,417",0,3,1/1139,-,32,2.0
2025-11-03,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+892,"4,998",0,13,1/384,-,14,8.0,-263,"3,866",0,8,1/483,-,77,13.0,"+7,574","6,496",0,13,1/500,-,21,3.0,-845,"2,182",0,5,1/436,-,33,2.0,"+4,104","7,578",0,18,1/421,-,21,3.0,"-5,062","5,040",0,10,1/504,-,55,21.0,"-1,587","3,064",0,6,1/511,-,31,10.0,"+2,567","4,760",0,12,1/397,-,6,-,+750,"2,941",0,7,1/420,-,18,4.0,"-2,816","3,616",0,9,1/402,-,64,9.0,"+1,504","8,349",0,19,1/439,-,34,1.0,"-1,972","5,721",0,15,1/381,-,79,2.0
2025-11-02,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,878","6,210",0,14,1/444,-,21,2.0,-764,611,0,2,1/306,-,65,5.0,-509,"1,946",0,7,1/278,-,31,7.0,+204,"6,544",0,24,1/273,-,32,1.0,"-1,811","3,171",0,7,1/453,-,60,8.0,"+2,473","4,981",0,12,1/415,-,19,7.0,+975,"3,732",0,10,1/373,-,24,3.0,+925,"5,189",0,13,1/399,-,12,-,-419,"6,657",0,20,1/333,-,51,3.0,"+1,326","3,157",0,10,1/316,-,48,2.0,"-2,841","4,786",0,10,1/479,-,52,1.0,-193,"1,853",0,4,1/463,-,46,14.0
2025-11-01,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,208","5,165",0,11,1/470,-,23,11.0,"-2,933","5,617",0,14,1/401,-,38,8.0,"-1,441","2,026",0,4,1/507,-,29,6.0,"-1,901","2,637",0,6,1/440,-,43,2.0,"-1,619","2,639",0,8,1/330,-,51,3.0,"-1,285","1,202",0,2,1/601,-,30,1.0,"+3,504","7,328",0,23,1/319,-,29,6.0,-387,943,0,4,1/236,-,12,-,"-1,340","3,862",0,8,1/483,-,51,3.0,-943,"1,439",0,5,1/288,-,48,5.0,"-2,445","3,622",0,8,1/453,-,41,3.0,-724,790,0,2,1/395,-,51,3.0
2025-10-31,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+868,"2,931",0,8,1/366,-,24,1.0,+40,241,0,1,1/241,-,16,-,-679,772,0,2,1/386,-,23,1.0,+748,"2,709",0,4,1/677,-,19,1.0,+79,"7,234",0,21,1/344,-,23,1.0,-139,132,0,1,1/132,-,26,2.0,"-1,374","1,447",0,2,1/724,-,85,34.0,"+2,175","4,391",0,14,1/314,-,16,-,-559,772,0,2,1/386,-,22,3.0,-220,"2,356",0,4,1/589,-,46,20.0,-733,"2,429",0,7,1/347,-,18,2.0,"-1,197",871,0,2,1/436,-,51,5.0
2025-10-30,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,233","1,543",0,2,1/772,-,51,8.0,"+1,402","5,866",0,11,1/533,-,15,-,"+1,595","5,280",0,14,1/377,-,33,12.0,"-2,534","3,449",0,9,1/383,-,37,4.0,"-1,452","3,122",0,7,1/446,-,55,4.0,-728,661,0,1,1/661,-,18,2.0,-655,"2,984",0,9,1/332,-,51,8.0,"+3,496","7,152",0,14,1/511,-,16,1.0,+661,"5,476",0,13,1/421,-,18,2.0,"-2,508","5,132",0,12,1/428,-,43,6.0,"+4,743","6,966",0,18,1/387,-,16,1.0,"-1,581","3,138",0,9,1/349,-,21,3.0
2025-10-29,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-974,"1,359",0,3,1/453,-,24,2.0,-853,"1,954",0,3,1/651,-,29,5.0,"+1,263","5,067",0,10,1/507,-,33,4.0,"+3,269","3,575",0,6,1/596,-,16,5.0,-468,590,0,2,1/295,-,44,5.0,"+1,489","6,632",0,14,1/474,-,11,-,-430,630,0,1,1/630,-,49,5.0,-137,"3,506",0,9,1/390,-,22,6.0,"+1,589","3,449",0,10,1/345,-,16,5.0,-788,"1,677",0,4,1/419,-,36,3.0,-150,"4,595",0,17,1/270,-,39,3.0,"+1,837","4,170",0,10,1/417,-,16,5.0
2025-10-28,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+4,669","8,766",0,29,1/302,-,23,1.0,"-1,850","3,149",0,6,1/525,-,29,2.0,"-2,700","4,127",0,8,1/516,-,36,6.0,"-1,004","4,144",0,9,1/460,-,49,1.0,+708,"2,826",0,11,1/257,-,22,8.0,"-2,510","3,578",0,10,1/358,-,14,-,-145,"1,485",0,3,1/495,-,48,6.0,"+4,597","6,561",0,19,1/345,-,22,8.0,"-1,283","1,925",0,5,1/385,-,42,6.0,-971,"1,439",0,4,1/360,-,30,1.0,"-1,316","2,028",0,4,1/507,-,25,2.0,-138,"4,459",0,10,1/446,-,27,2.0
2025-10-27,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,203","2,658",0,5,1/532,-,49,4.0,-349,324,0,1,1/324,-,12,6.0,"+2,142","7,535",0,15,1/502,-,25,3.0,"-1,193","6,763",0,15,1/451,-,22,5.0,-312,260,0,1,1/260,-,56,7.0,"+2,104","3,906",0,6,1/651,-,6,-,-45,"6,470",0,21,1/308,-,45,10.0,"-1,550","1,446",0,2,1/723,-,45,10.0,"-1,437","2,075",0,4,1/519,-,35,10.0,+377,413,0,1,1/413,-,17,5.0,+27,"2,185",0,5,1/437,-,25,3.0,+303,"3,153",0,5,1/631,-,17,5.0
2025-10-26,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+156,"4,605",0,11,1/419,-,46,18.0,"+1,256","5,002",0,10,1/500,-,14,3.0,-623,"6,702",0,17,1/394,-,67,11.0,-21,"4,472",0,10,1/447,-,15,1.0,-583,839,0,2,1/420,-,53,7.0,+110,"5,170",0,13,1/398,-,11,-,-759,527,0,1,1/527,-,56,3.0,"+3,712","5,036",0,9,1/560,-,46,18.0,-705,"3,195",0,7,1/456,-,28,3.0,"+6,992","6,036",0,8,1/755,-,28,3.0,"-1,298","1,503",0,5,1/301,-,25,10.0,"-1,428","1,389",0,2,1/695,-,25,10.0
