日付,曜日,特定日,837番台,,,,,,,,838番台,,,,,,,,850番台,,,,,,,,851番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-04-28,火,いいえ,-720,"2,210",7,4,1/201,1/6.55,22,8.0,-526,"4,710",17,9,1/181,1/6.06,9,-,-563,"1,511",4,2,1/252,1/5.94,14,5.0,-704,"4,364",16,9,1/175,1/6.44,54,32.0
2026-04-27,月,いいえ,+437,"7,466",25,28,1/141,1/5.93,10,5.0,+568,"4,274",20,8,1/153,1/6.10,5,1.0,-267,"2,854",12,6,1/159,1/6.80,4,-,-81,"6,343",25,16,1/155,1/6.25,39,29.0
2026-04-26,日,はい,+603,"6,552",25,22,1/139,1/6.00,18,14.0,+60,"5,403",20,17,1/146,1/6.15,4,1.0,+601,"7,704",29,27,1/138,1/6.19,3,-,-696,"5,151",18,11,1/178,1/6.14,45,27.0
2026-04-25,土,はい,"-1,300","5,396",18,13,1/174,1/6.62,29,5.0,"+2,741","5,909",34,17,1/116,1/6.35,6,3.0,"+1,309","6,655",32,16,1/139,1/6.19,3,-,-453,"5,945",20,21,1/145,1/6.49,24,18.0
2026-04-24,金,いいえ,-731,971,2,1,1/324,1/7.04,24,11.0,-25,"5,045",19,16,1/144,1/6.31,38,14.0,-689,"1,928",5,6,1/175,1/6.65,5,-,"+2,948","9,061",45,31,1/119,1/6.35,13,8.0
2026-04-23,木,いいえ,-628,800,0,2,1/400,1/5.49,9,6.0,-150,"4,146",16,8,1/173,1/6.00,21,12.0,+566,"5,374",23,16,1/138,1/6.29,3,-,"-1,004","4,186",11,12,1/182,1/5.99,46,25.0
2026-04-22,水,いいえ,+581,"5,201",22,17,1/133,1/6.34,6,2.0,-222,"4,963",20,8,1/177,1/6.09,9,3.0,+111,"4,753",19,10,1/164,1/5.96,4,-,"-2,179","5,739",14,17,1/185,1/6.50,37,28.0
2026-04-20,月,はい,+822,"7,455",29,31,1/124,1/6.50,11,3.0,+940,"5,468",26,13,1/140,1/6.24,4,-,+484,"6,157",27,15,1/147,1/6.29,8,4.0,-325,"5,830",22,15,1/158,1/6.29,16,5.0
2026-04-19,日,はい,-560,"4,055",13,13,1/156,1/6.32,24,10.0,+626,"7,229",31,20,1/142,1/6.29,4,-,"-1,245","4,293",12,9,1/204,1/6.06,14,3.0,-837,"2,548",8,4,1/212,1/6.41,11,7.0
2026-04-18,土,はい,+333,"4,482",18,12,1/149,1/6.00,9,6.0,"-1,245","2,325",6,3,1/258,1/6.65,12,3.0,+890,"6,577",28,17,1/146,1/5.94,9,6.0,"+2,266","7,463",35,27,1/120,1/6.23,3,-
2026-04-17,金,いいえ,-886,"5,399",18,14,1/169,1/6.31,11,7.0,"-1,491","2,359",6,1,1/337,1/6.67,4,-,+884,"5,757",27,15,1/137,1/6.36,18,7.0,"+1,122","7,904",33,23,1/141,1/5.97,11,7.0
2026-04-16,木,いいえ,"+1,062","7,065",27,28,1/128,1/6.12,8,8.0,"+1,308","7,353",31,27,1/127,1/6.31,0,-,"+1,225","5,027",25,13,1/132,1/6.24,17,9.0,-717,"5,515",16,18,1/162,1/5.97,36,19.0
2026-04-15,水,いいえ,-434,"3,488",12,7,1/184,1/5.98,19,18.0,+392,"4,436",18,15,1/134,1/6.43,1,-,+377,"8,896",29,31,1/148,1/5.69,45,10.0,-352,"3,455",11,8,1/182,1/5.74,35,16.0
2026-04-14,火,いいえ,-291,"3,098",11,9,1/155,1/6.37,17,16.0,"+2,614","7,050",40,16,1/126,1/6.29,1,-,"-1,904","2,855",4,6,1/286,1/6.27,77,58.0,+358,"3,721",17,7,1/155,1/6.16,19,2.0
2026-04-13,月,いいえ,-96,"3,323",12,10,1/151,1/6.17,5,3.0,+0,"6,303",21,19,1/158,1/5.75,2,-,-369,"2,845",11,6,1/167,1/6.55,34,18.0,-681,"6,063",21,14,1/173,1/6.08,16,11.0
2026-04-12,日,はい,+657,"6,540",26,20,1/142,1/6.00,7,1.0,+782,"5,904",27,20,1/126,1/6.88,6,-,-360,"6,901",23,23,1/150,1/6.11,40,21.0,"+1,119","8,472",38,25,1/134,1/6.39,19,12.0
2026-04-11,土,はい,+714,"4,614",20,11,1/149,1/5.86,8,-,"+1,610","6,783",35,15,1/136,1/6.32,9,1.0,"-1,138","2,473",5,6,1/225,1/6.14,36,7.0,-509,"4,325",16,8,1/180,1/6.16,29,20.0
2026-04-10,金,はい,-666,"6,584",19,22,1/161,1/5.86,26,14.0,"+2,618","6,689",34,22,1/119,1/6.11,9,-,+340,"7,115",25,25,1/142,1/6.05,12,3.0,"-1,157","3,922",10,10,1/196,1/6.02,33,7.0
2026-04-09,木,いいえ,+308,"2,057",10,4,1/147,1/6.27,9,-,-872,"7,025",23,23,1/153,1/6.37,13,1.0,-534,"1,054",2,2,1/264,1/5.98,29,16.0,-971,"6,083",17,23,1/152,1/6.34,12,3.0
2026-04-08,水,いいえ,-771,"1,907",4,6,1/191,1/6.29,15,3.0,+275,"3,749",14,14,1/134,1/6.28,6,-,-551,"4,989",16,14,1/166,1/6.01,23,8.0,+66,"3,937",17,8,1/157,1/6.32,12,6.0
2026-04-07,火,いいえ,"+1,507","7,301",35,24,1/124,1/6.70,11,1.0,-984,"3,035",9,7,1/190,1/6.54,19,8.0,"+1,327","6,462",28,30,1/111,1/6.82,10,2.0,"+1,330","7,767",31,34,1/119,1/6.42,8,-
2026-04-05,日,はい,"-1,265","4,706",14,13,1/174,1/6.49,26,5.0,-486,"4,475",15,15,1/149,1/6.42,11,-,"-1,142","4,798",14,14,1/171,1/6.34,21,10.0,"-1,475","3,881",11,8,1/204,1/6.54,21,10.0
2026-04-04,土,はい,+63,"4,976",15,20,1/142,1/5.89,28,17.0,-133,"6,511",24,19,1/151,1/6.18,5,-,-423,"4,386",14,14,1/157,1/6.10,8,3.0,"+1,049","5,785",27,15,1/138,1/6.19,11,3.0
2026-04-03,金,いいえ,"-1,656","2,784",4,7,1/253,1/6.15,28,14.0,+699,"6,011",27,15,1/143,1/6.25,5,-,+762,"4,952",22,14,1/138,1/6.17,7,2.0,"-1,213","2,962",7,9,1/185,1/6.60,14,7.0
