日付,曜日,特定日,837番台,,,,,,,,838番台,,,,,,,,850番台,,,,,,,,851番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2025-10-23,木,いいえ,+264,"3,306",14,7,1/157,1/5.97,22,2.0,-221,"3,412",10,11,1/162,1/5.70,20,1.0,-787,"2,479",6,7,1/191,1/6.10,19,-,-221,"6,054",20,24,1/138,1/6.43,35,13.0
2025-10-22,水,いいえ,"+4,029","8,754",45,34,1/111,1/6.12,23,14.0,"+1,978","8,002",33,34,1/119,1/6.14,9,1.0,-911,"1,417",3,1,1/354,1/6.33,8,-,"-1,674","5,524",15,14,1/190,1/6.24,29,6.0
2025-10-21,火,いいえ,-384,"6,772",22,24,1/147,1/6.14,55,40.0,-949,"2,900",9,5,1/207,1/6.43,15,3.0,+615,"4,863",22,10,1/152,1/6.04,2,-,-969,"5,285",16,15,1/170,1/6.16,12,10.0
2025-10-20,月,はい,-351,"6,288",19,24,1/146,1/6.12,38,30.0,+990,"4,105",20,14,1/121,1/6.68,5,-,"+2,194","7,118",37,18,1/129,1/6.16,6,1.0,"+1,171","5,070",25,14,1/130,1/6.34,8,2.0
2025-10-19,日,はい,"-1,015","5,570",13,22,1/159,1/6.00,26,7.0,-405,"6,372",24,18,1/152,1/6.44,17,10.0,+709,"6,086",26,14,1/152,1/5.92,7,-,"+1,206","6,065",27,19,1/132,1/6.11,19,2.0
2025-10-18,土,はい,-889,"3,169",8,9,1/186,1/6.05,19,2.0,-83,"5,566",25,11,1/155,1/6.68,17,-,-357,"3,366",14,4,1/187,1/6.34,21,2.0,+755,"4,437",17,13,1/148,1/5.52,26,5.0
2025-10-17,金,いいえ,-449,"5,418",20,13,1/164,1/6.24,19,5.0,-826,"2,617",5,9,1/187,1/5.81,14,-,"-1,231","1,376",1,1,1/688,1/5.95,14,-,"-2,278","3,319",6,4,1/332,1/6.42,57,38.0
2025-10-16,木,いいえ,-522,"5,010",17,14,1/162,1/6.18,8,-,+525,"2,589",14,3,1/152,1/6.28,8,-,"+2,767","6,363",38,17,1/116,1/6.53,11,3.0,-147,"2,652",12,2,1/189,1/6.31,44,33.0
2025-10-15,水,いいえ,"+1,316","4,703",22,18,1/118,1/6.43,8,-,+453,"3,267",12,12,1/136,1/5.89,15,1.0,"+1,190","6,577",27,27,1/122,1/6.37,11,3.0,+977,"7,262",27,30,1/127,1/6.15,14,3.0
2025-10-14,火,いいえ,"+2,362","6,877",32,28,1/115,1/6.20,11,-,"+1,909","5,878",27,25,1/113,1/6.31,14,3.0,-998,"6,068",22,12,1/178,1/6.37,19,5.0,-429,"3,563",12,9,1/170,1/6.11,34,15.0
2025-10-13,月,いいえ,+683,"7,668",27,27,1/142,1/5.88,38,2.0,-645,"2,314",7,5,1/193,1/6.30,28,12.0,"+1,681","6,241",29,22,1/122,1/6.30,16,-,"-1,491","3,738",8,11,1/197,1/6.22,36,8.0
2025-10-12,日,はい,-784,"5,993",24,12,1/166,1/6.69,33,5.0,-686,"4,324",14,12,1/166,1/6.26,26,12.0,"-2,230","4,234",8,9,1/249,1/6.17,28,2.0,+498,"7,798",27,30,1/137,1/6.07,14,-
2025-10-11,土,はい,"-1,658","3,438",9,6,1/229,1/6.65,28,13.0,"-1,385","6,380",18,21,1/164,1/6.30,15,3.0,+517,"7,723",30,24,1/143,1/6.08,12,-,"-1,812","4,845",13,7,1/242,1/6.04,35,7.0
2025-10-10,金,はい,+296,"4,513",18,10,1/161,1/5.81,8,-,"+1,840","8,249",38,27,1/127,1/6.36,9,1.0,"-1,121","7,031",17,33,1/141,1/6.33,29,5.0,-818,"5,689",20,12,1/178,1/6.20,24,15.0
2025-10-09,木,いいえ,-570,"3,054",10,7,1/180,1/6.21,26,6.0,"-1,533","3,048",5,11,1/191,1/6.46,41,15.0,"+1,169","6,605",27,24,1/130,1/6.15,9,-,"+2,829","5,302",28,21,1/108,1/5.97,20,11.0
2025-10-08,水,いいえ,-365,"4,915",15,17,1/154,1/5.96,23,8.0,+0,"3,061",14,6,1/153,1/6.70,15,-,-193,"5,656",17,27,1/129,1/6.45,34,11.0,-299,"6,649",21,23,1/151,1/5.95,48,14.0
2025-10-07,火,いいえ,-65,"4,965",18,18,1/138,1/6.54,22,10.0,+595,"7,725",29,28,1/136,1/6.24,12,-,"-1,038","5,416",17,14,1/175,1/6.21,28,4.0,"-1,286","4,559",12,12,1/190,1/6.09,24,2.0
2025-10-05,日,はい,"+1,774","6,658",32,22,1/123,1/6.40,11,-,-453,"4,569",15,16,1/147,1/6.36,23,3.0,+691,"6,474",26,20,1/141,1/6.03,20,1.0,+782,"7,606",32,23,1/138,1/6.24,19,8.0
2025-10-04,土,はい,-608,"1,479",4,0,1/370,1/5.63,14,-,-56,"4,716",19,8,1/175,1/5.97,17,3.0,-340,"2,315",8,6,1/165,1/6.37,27,10.0,-418,"7,264",24,20,1/165,1/5.86,38,11.0
2025-10-03,金,いいえ,"+2,519","8,802",44,26,1/126,1/6.24,11,-,-287,"3,640",12,10,1/165,1/5.94,11,-,"-1,144","2,302",5,4,1/256,1/6.17,12,1.0,"-1,004","3,469",10,8,1/193,1/6.26,27,15.0
2025-10-02,木,いいえ,-258,"5,732",20,17,1/155,1/6.09,22,14.0,-679,"2,255",6,3,1/251,1/5.66,8,1.0,"+1,509","8,699",35,31,1/132,1/6.06,7,-,-522,"5,721",21,11,1/179,1/6.04,26,4.0
2025-10-01,水,いいえ,-511,"1,984",7,1,1/248,1/6.02,20,12.0,+0,"6,011",24,17,1/147,1/6.40,5,-,"-1,385","2,083",4,2,1/347,1/6.33,31,11.0,-234,"2,683",10,5,1/179,1/6.06,8,3.0
2025-09-30,火,はい,"-1,671","3,635",9,4,1/280,1/6.05,15,9.0,+327,"7,139",25,29,1/132,1/6.30,4,-,-26,"6,279",23,23,1/137,1/6.56,26,11.0,"+2,808","8,320",41,27,1/122,1/6.17,6,2.0
2025-09-29,月,いいえ,"+1,114","3,761",20,6,1/145,1/5.94,4,-,"+1,580","6,115",32,13,1/136,1/6.26,9,5.0,-72,"1,834",7,4,1/167,1/6.08,10,1.0,-7,"6,642",23,21,1/151,1/5.95,27,17.0
2025-09-28,日,はい,+650,"5,220",22,15,1/141,1/6.07,9,1.0,-481,"3,849",13,11,1/160,1/6.30,11,2.0,+728,"7,335",30,28,1/126,1/6.64,8,-,-2,"4,511",17,13,1/150,1/6.16,22,11.0
2025-09-27,土,はい,-840,"6,371",22,16,1/168,1/6.25,23,5.0,"+2,311","5,291",27,22,1/108,1/6.32,11,-,+994,"9,235",34,32,1/140,1/5.94,18,6.0,+921,"5,688",27,15,1/135,1/6.40,12,1.0
2025-09-26,金,いいえ,"+1,749","7,060",30,29,1/120,1/6.21,20,1.0,-851,"2,342",4,10,1/167,1/6.29,19,-,-269,"2,255",9,4,1/173,1/6.49,41,17.0,"-1,315","3,047",6,9,1/203,1/6.18,24,4.0
2025-09-25,木,いいえ,-310,"2,939",10,9,1/155,1/6.33,34,7.0,-556,"2,017",7,3,1/202,1/6.51,8,-,-140,"1,621",4,9,1/125,1/6.44,27,9.0,"+1,273","8,583",37,25,1/138,1/6.09,18,10.0
2025-09-24,水,いいえ,-378,"2,290",8,4,1/191,1/6.11,23,21.0,+743,"4,343",20,11,1/140,1/6.14,2,-,-116,"2,268",9,4,1/174,1/6.12,25,2.0,-237,"8,159",27,34,1/134,1/6.50,41,16.0
2025-09-23,火,いいえ,"+2,262","7,323",36,20,1/131,1/5.94,9,-,-696,"2,674",8,7,1/178,1/6.39,11,2.0,"+1,466","7,212",32,29,1/118,1/6.63,11,2.0,-458,"5,143",19,13,1/161,1/6.34,31,20.0
2025-09-22,月,いいえ,-923,"1,941",5,3,1/243,1/6.46,42,18.0,"+2,653","6,487",36,18,1/120,1/6.20,6,-,-17,"6,406",23,20,1/149,1/6.08,21,15.0,-166,"4,828",19,11,1/161,1/6.24,24,3.0
2025-09-21,日,はい,"-1,246","6,273",20,16,1/174,1/6.29,35,19.0,"-1,286","3,236",7,8,1/216,1/6.03,9,-,"-1,233","2,821",4,8,1/235,1/5.59,16,5.0,+463,"6,826",24,21,1/152,1/5.68,11,2.0
2025-09-20,土,はい,-221,"7,010",25,21,1/152,1/6.13,29,12.0,"+1,555","6,993",30,22,1/134,1/5.83,11,3.0,"-1,385","4,611",13,14,1/171,1/6.60,8,-,-229,"6,504",25,19,1/148,1/6.44,17,6.0
2025-09-19,金,いいえ,-317,"4,322",14,16,1/144,1/6.41,12,1.0,+18,609,2,2,1/152,1/5.69,15,3.0,"+1,116","7,672",36,19,1/139,1/6.34,6,-,-100,"3,569",13,11,1/149,1/6.24,11,5.0
2025-09-18,木,いいえ,+197,"3,276",13,9,1/149,1/6.04,12,9.0,"+2,128","5,716",27,24,1/112,1/6.20,26,11.0,-340,700,2,0,1/350,1/6.10,15,3.0,-605,"6,440",20,24,1/146,1/6.36,3,-
2025-09-17,水,いいえ,"+2,883","7,248",33,35,1/107,1/6.18,22,10.0,"-1,358","3,447",8,7,1/230,1/5.99,46,24.0,+287,"2,697",13,4,1/159,1/6.21,12,10.0,+192,"6,201",25,17,1/148,1/6.25,2,-
2025-09-16,火,いいえ,"-1,393","3,806",11,8,1/200,1/6.56,41,15.0,-8,"3,218",12,13,1/129,1/6.85,15,12.0,"+1,257","4,991",24,14,1/131,1/6.11,26,11.0,-82,"3,360",14,9,1/146,1/6.67,3,-
2025-09-15,月,いいえ,-856,"2,276",5,5,1/228,1/5.85,31,11.0,"+1,797","3,686",24,6,1/123,1/6.41,20,15.0,"+1,369","7,217",28,29,1/127,1/6.03,32,1.0,+888,"6,921",32,16,1/144,1/6.26,5,-
2025-09-14,日,はい,"-1,126","3,086",7,10,1/182,1/6.35,14,10.0,"-3,138","4,045",6,5,1/368,1/6.50,68,18.0,-41,"6,367",22,19,1/155,1/5.89,50,36.0,"+1,592","6,572",35,15,1/131,1/6.53,4,-
2025-09-13,土,はい,"+4,275","9,131",47,37,1/109,1/6.17,8,-,-414,"4,988",17,13,1/166,1/6.02,42,29.0,"-1,604","4,161",10,12,1/189,1/6.44,64,22.0,"+1,242","7,715",35,20,1/140,1/6.14,13,5.0
2025-09-12,金,いいえ,-558,"5,990",20,17,1/162,1/6.09,41,6.0,-526,"3,073",8,13,1/146,1/6.39,43,2.0,"-1,069","4,945",12,18,1/165,1/6.00,22,-,+531,"6,095",28,13,1/149,1/6.35,35,13.0
2025-09-11,木,いいえ,-356,"4,525",14,16,1/151,1/6.06,37,8.0,+268,"5,903",24,18,1/141,1/6.36,29,15.0,-204,"3,200",13,4,1/188,1/6.05,14,-,+733,"7,775",28,32,1/130,1/6.21,54,17.0
2025-09-10,水,はい,"-1,375","6,503",18,24,1/155,1/6.40,14,3.0,"+1,519","8,327",38,24,1/134,1/6.20,25,11.0,"-1,023","4,985",13,17,1/166,1/6.05,11,-,-114,"7,741",28,25,1/146,1/6.21,61,36.0
2025-09-09,火,いいえ,+78,"4,053",18,6,1/169,1/6.19,5,1.0,"-1,249","5,547",15,17,1/173,1/6.10,74,45.0,+322,"4,677",21,9,1/156,1/6.22,4,-,"-2,205","4,739",9,15,1/197,1/6.37,29,24.0
2025-09-07,日,はい,+601,"6,422",26,18,1/146,1/6.00,5,-,-897,"5,435",17,16,1/165,1/6.24,65,50.0,"+1,539","6,879",33,21,1/127,1/6.35,8,3.0,+403,"7,347",26,27,1/139,1/6.12,15,7.0
2025-09-06,土,はい,-310,"4,956",20,10,1/165,1/6.37,16,-,"-1,512","3,179",7,6,1/245,1/6.17,61,36.0,"-1,049","4,301",14,6,1/215,1/6.05,17,1.0,"-1,617","6,186",21,12,1/187,1/6.57,25,8.0
2025-09-05,金,いいえ,-63,"6,446",24,21,1/143,1/6.33,16,1.0,"-1,544","3,833",9,8,1/225,1/6.09,36,20.0,"+1,519","7,183",33,25,1/124,1/6.51,13,-,"-1,444","7,441",23,24,1/158,1/6.48,15,2.0
2025-09-04,木,いいえ,-418,698,2,0,1/349,1/6.69,14,5.0,+285,"6,944",30,15,1/154,1/6.26,32,9.0,"+1,402","5,760",24,23,1/123,1/6.09,23,9.0,"-1,107","1,592",3,3,1/265,1/6.94,9,-
2025-09-03,水,いいえ,"+1,156","4,184",21,10,1/135,1/6.05,9,7.0,"+1,085","7,081",28,24,1/136,1/6.00,31,22.0,"-1,051","3,869",13,7,1/193,1/6.51,39,8.0,+856,"5,236",24,13,1/142,1/6.13,2,-
2025-09-02,火,いいえ,"+2,007","7,686",35,26,1/126,1/6.16,8,4.0,-919,"2,731",7,6,1/210,1/6.07,47,24.0,"+2,834","7,017",32,38,1/100,1/6.44,23,15.0,"+2,620","7,303",38,19,1/128,1/5.97,4,-
2025-09-01,月,いいえ,+166,"5,147",22,10,1/161,1/6.15,15,1.0,-607,"4,354",15,10,1/174,1/6.18,45,30.0,"-1,632","2,404",4,5,1/267,1/6.65,55,10.0,-417,"3,766",13,8,1/179,1/5.98,14,-
2025-08-31,日,はい,-667,"6,874",25,20,1/153,1/6.50,34,21.0,"-2,015","5,080",12,13,1/203,1/6.29,40,2.0,-493,"4,997",19,10,1/172,1/6.26,38,4.0,"+1,272","6,149",29,14,1/143,1/5.98,13,-
2025-08-30,土,はい,"-1,817","4,384",10,11,1/209,1/6.26,32,7.0,+160,"7,406",26,27,1/140,1/6.23,25,-,"-1,180","4,144",12,9,1/197,1/6.19,35,3.0,"+1,563","7,498",37,17,1/139,1/6.22,32,7.0
2025-08-29,金,いいえ,-876,"2,458",6,5,1/223,1/5.95,25,10.0,"-1,121","3,400",7,12,1/179,1/6.07,35,1.0,-205,"4,212",16,12,1/150,1/6.42,15,-,-779,"2,979",9,4,1/229,1/5.86,34,9.0
2025-08-28,木,いいえ,"+1,510","7,114",30,29,1/121,1/6.33,11,2.0,+355,"6,074",23,22,1/135,1/6.37,15,3.0,-644,"3,990",14,8,1/181,1/6.23,9,-,+240,"5,397",23,10,1/164,1/6.04,12,1.0
2025-08-27,水,いいえ,"+3,678","8,175",39,30,1/118,1/5.69,20,16.0,+31,"3,042",13,6,1/160,1/6.27,29,9.0,+583,"4,921",21,14,1/141,1/6.15,4,-,-745,"4,341",15,5,1/217,1/5.84,38,9.0
2025-08-26,火,いいえ,-772,"3,905",14,5,1/206,1/6.15,51,5.0,"-1,196","3,176",5,14,1/167,1/6.26,46,14.0,"+1,243","3,748",21,8,1/129,1/6.34,4,-,"-1,402","4,448",11,14,1/178,1/6.30,32,28.0
2025-08-25,月,いいえ,-349,"4,843",19,10,1/167,1/6.30,19,3.0,-579,"2,728",10,5,1/182,1/6.60,38,19.0,-264,"1,232",5,0,1/246,1/6.19,16,2.0,-874,"7,096",22,26,1/148,1/6.47,14,-
2025-08-24,日,はい,-827,"4,189",12,15,1/155,1/6.39,16,4.0,+66,"7,537",29,20,1/154,1/6.10,12,1.0,-643,"7,064",23,23,1/154,1/6.18,11,3.0,-116,"4,763",17,13,1/159,1/5.98,8,-
2025-08-23,土,はい,"-1,213","5,629",17,18,1/161,1/6.49,6,2.0,"-1,050","4,186",13,9,1/190,1/6.26,14,6.0,"+1,966","7,280",34,26,1/121,1/6.35,8,2.0,"+1,503","7,058",35,19,1/131,1/6.43,4,-
2025-08-22,金,いいえ,+664,"3,346",14,13,1/124,1/6.27,4,1.0,+781,"7,251",27,27,1/134,1/6.10,8,4.0,-433,509,1,0,1/509,1/6.90,23,15.0,"+2,361","7,986",36,35,1/112,1/6.42,3,-
2025-08-21,木,いいえ,-91,887,4,0,1/222,1/6.17,13,4.0,-427,"2,201",6,7,1/169,1/6.03,18,4.0,"+2,029","6,674",34,18,1/128,1/6.14,9,-,-620,"4,851",13,18,1/156,1/5.91,14,1.0
2025-08-20,水,はい,+515,"3,214",14,10,1/134,1/6.17,12,3.0,-513,"4,293",16,12,1/153,1/6.68,22,10.0,+954,"7,292",27,24,1/143,1/5.69,38,16.0,-30,"9,031",31,34,1/139,1/6.32,9,-
2025-08-19,火,いいえ,"+2,326","9,098",41,29,1/130,1/5.93,11,5.0,-407,"4,863",14,21,1/139,1/6.32,14,3.0,"-1,549","5,335",14,16,1/178,1/6.29,77,63.0,+142,"3,481",15,10,1/139,1/6.61,6,-
2025-08-18,月,いいえ,-627,"2,264",7,3,1/226,1/5.99,45,31.0,"+1,401","5,690",26,20,1/124,1/6.32,6,-,-125,"8,510",29,29,1/147,1/6.06,65,20.0,-639,"3,805",13,9,1/173,1/6.32,14,8.0
2025-08-17,日,はい,"+1,205","7,644",34,21,1/139,1/6.12,43,31.0,"+1,114","6,330",27,21,1/132,1/6.21,12,6.0,-748,"7,593",23,26,1/155,1/6.03,49,6.0,"+2,430","7,014",39,17,1/125,1/6.35,6,-
2025-08-16,土,はい,-964,"5,397",16,13,1/186,1/5.88,71,28.0,-347,"6,378",24,18,1/152,1/6.39,39,6.0,-399,"6,977",22,23,1/155,1/5.92,43,4.0,+95,"7,606",28,26,1/141,1/6.24,33,-
2025-08-15,金,いいえ,"-1,411","5,910",18,17,1/169,1/6.48,58,19.0,+236,"5,965",26,12,1/157,1/6.25,39,7.0,+38,"9,400",31,36,1/140,1/6.16,17,-,-592,"7,437",25,27,1/143,1/6.56,32,15.0
2025-08-14,木,いいえ,-898,"6,232",20,20,1/156,1/6.36,38,2.0,"-1,761","4,768",12,13,1/191,1/6.42,38,2.0,-575,"8,288",25,32,1/145,1/6.20,36,5.0,-961,"4,566",17,9,1/176,1/6.74,31,-
2025-08-13,水,いいえ,+557,"6,525",25,23,1/136,1/6.24,14,-,-850,"4,215",16,6,1/192,1/6.50,26,5.0,"-1,058","2,969",8,7,1/198,1/6.39,18,4.0,+184,"7,187",29,17,1/156,1/6.10,21,3.0
2025-08-12,火,いいえ,"-1,464","5,320",14,17,1/172,1/6.31,44,13.0,"+1,889","6,985",36,21,1/123,1/6.67,12,6.0,-599,"5,585",20,16,1/155,1/6.46,6,-,-828,"6,376",23,19,1/152,1/6.67,31,19.0
2025-08-11,月,いいえ,-669,"5,363",18,15,1/163,1/6.24,36,10.0,-360,"3,831",15,9,1/160,1/6.55,26,13.0,+48,"4,816",20,9,1/166,1/6.09,2,-,+320,"5,886",23,20,1/137,1/6.43,13,11.0
2025-08-10,日,はい,-144,"6,346",24,17,1/155,1/6.19,28,2.0,"-2,135","5,069",12,11,1/220,1/6.23,28,2.0,-596,"5,885",21,20,1/144,1/6.69,5,-,"-1,252","8,546",29,22,1/168,1/6.29,26,21.0
2025-08-09,土,はい,-926,"3,641",9,13,1/166,1/6.20,28,9.0,-183,"6,259",24,15,1/160,1/6.15,13,12.0,+982,"4,197",20,13,1/127,1/6.29,1,-,+810,"7,977",29,33,1/129,1/6.22,19,6.0
2025-08-08,金,いいえ,"+1,274","5,971",27,17,1/136,1/5.99,11,3.0,"+1,492","5,612",27,15,1/134,1/5.99,8,6.0,-114,"1,191",5,1,1/199,1/6.17,2,-,-934,"6,954",25,17,1/166,1/6.41,26,15.0
2025-08-07,木,いいえ,+869,"5,669",23,22,1/126,1/6.34,12,11.0,-688,"4,146",15,10,1/166,1/6.59,14,2.0,"+3,207","8,093",45,21,1/123,1/6.19,1,-,-19,"4,197",17,9,1/161,1/6.16,24,10.0
2025-08-06,水,いいえ,-340,"6,566",23,20,1/153,1/6.17,25,4.0,+714,"5,716",24,16,1/143,1/6.02,9,3.0,"+1,416","4,756",25,11,1/132,1/6.18,6,-,-6,"4,712",21,6,1/175,1/6.21,21,12.0
2025-08-05,火,いいえ,"-1,409","4,137",13,7,1/207,1/6.54,22,4.0,+133,"5,671",22,22,1/129,1/6.81,11,5.0,"+1,931","5,178",28,15,1/120,1/6.27,6,-,+636,"8,240",28,38,1/125,1/6.28,18,7.0
2025-08-03,日,はい,-89,"4,701",20,10,1/157,1/6.47,14,5.0,"-1,195","3,454",9,7,1/216,1/6.08,19,5.0,"-1,228","2,870",8,5,1/221,1/6.57,9,-,-204,"7,465",21,34,1/136,1/6.08,31,12.0
2025-08-02,土,はい,"-1,092","4,712",15,12,1/175,1/6.45,12,1.0,-590,"7,486",25,20,1/166,1/5.95,11,6.0,+86,"4,943",22,11,1/150,1/6.58,5,-,-372,"5,754",17,26,1/134,1/6.42,21,9.0
2025-08-01,金,いいえ,"+1,131","3,916",18,11,1/135,1/5.73,9,5.0,"+1,361","5,924",24,25,1/121,1/6.12,4,-,"+3,363","7,094",41,21,1/114,1/6.37,4,-,"+3,560","8,907",44,31,1/119,1/6.00,11,2.0
2025-07-31,木,いいえ,+0,832,4,0,1/208,1/6.03,11,-,-451,"5,837",18,21,1/150,1/6.07,11,-,-369,"2,533",9,5,1/181,1/6.19,11,-,"-1,357","4,059",11,9,1/203,1/6.23,52,41.0
2025-07-30,水,はい,"+3,266","8,805",41,41,1/107,1/6.35,18,9.0,"+1,206","6,792",28,26,1/126,1/6.28,9,1.0,-708,"2,239",6,7,1/172,1/6.55,8,-,-591,"8,245",25,32,1/145,1/6.24,19,1.0
2025-07-29,火,いいえ,-602,"3,823",13,9,1/174,1/6.24,53,37.0,-546,"1,720",4,4,1/215,1/5.79,12,12.0,"+2,575","6,302",36,21,1/111,1/6.83,0,-,-465,"4,169",13,15,1/149,1/6.27,16,4.0
2025-07-28,月,いいえ,-96,"3,263",11,13,1/136,1/6.49,51,39.0,+239,"3,577",15,11,1/138,1/6.42,10,-,+0,"4,184",14,14,1/149,1/5.90,12,1.0,-643,"3,470",11,11,1/158,1/6.50,11,1.0
2025-07-27,日,はい,-719,"5,435",19,12,1/175,1/6.17,54,33.0,-398,"3,653",13,8,1/174,1/6.12,21,10.0,-904,"6,335",20,21,1/155,1/6.34,8,-,+0,"5,710",23,13,1/159,1/6.18,11,3.0
2025-07-26,土,はい,"-1,032","1,667",3,3,1/278,1/6.36,26,5.0,"+1,828","8,287",34,32,1/126,1/6.06,21,11.0,+320,"5,111",21,15,1/142,1/6.27,6,-,"+1,772","6,590",33,15,1/137,1/6.02,10,4.0
2025-07-25,金,いいえ,"+1,150","6,201",29,17,1/135,1/6.25,12,1.0,-796,"5,146",16,15,1/166,1/6.15,36,23.0,+633,"6,205",21,27,1/129,1/6.03,11,-,"-1,270","1,566",1,5,1/261,1/6.61,13,1.0
2025-07-24,木,いいえ,-514,"5,819",19,18,1/157,1/6.10,38,2.0,-555,"2,169",6,5,1/197,1/5.97,30,22.0,-896,"2,225",6,5,1/202,1/6.58,36,6.0,"+1,439","3,666",18,13,1/118,1/6.02,8,-
2025-07-23,水,いいえ,-258,"3,927",16,8,1/164,1/6.44,33,3.0,"+1,029","6,720",26,28,1/124,1/6.26,35,2.0,+385,"2,795",12,8,1/140,1/6.09,14,-,-117,"5,999",22,19,1/146,1/6.27,30,16.0
2025-07-22,火,いいえ,"-1,437","2,242",4,4,1/280,1/6.45,20,2.0,-285,"5,778",19,22,1/141,1/6.40,63,37.0,-457,"2,445",6,8,1/175,1/5.75,26,6.0,-802,"4,025",8,20,1/144,1/6.15,18,-
2025-07-21,月,いいえ,"-1,110","1,699",2,5,1/243,1/6.33,9,-,-344,"6,841",23,21,1/155,1/6.02,40,15.0,"+2,590","7,974",39,28,1/119,1/6.31,25,12.0,-20,"4,424",17,10,1/164,1/5.98,13,4.0
2025-07-20,日,はい,"+2,737","8,506",41,28,1/123,1/6.14,6,-,"-1,314","3,843",7,14,1/183,1/5.92,24,7.0,"-1,331","5,964",13,25,1/157,1/6.12,36,12.0,"+1,369","8,262",35,23,1/142,1/5.87,17,11.0
2025-07-19,土,はい,+87,"3,737",15,11,1/144,1/6.36,17,1.0,+553,"7,867",30,23,1/148,1/5.90,16,-,-572,"4,091",16,6,1/186,1/6.34,19,2.0,+634,"5,969",27,15,1/142,1/6.35,26,7.0
2025-07-18,金,いいえ,-466,"2,286",7,7,1/163,1/6.41,24,5.0,"-1,052","4,403",14,10,1/183,1/6.35,41,17.0,"-1,969","3,021",4,9,1/232,1/6.53,16,-,-839,"2,997",9,9,1/167,1/6.71,19,3.0
2025-07-17,木,いいえ,-699,"4,583",17,10,1/170,1/6.51,12,7.0,"-1,421","2,584",5,6,1/235,1/6.43,31,18.0,"+1,856","4,244",23,15,1/112,1/6.39,5,-,-499,"4,097",13,10,1/178,1/5.87,13,1.0
2025-07-16,水,いいえ,"+1,485","7,823",32,29,1/128,1/6.12,12,3.0,+204,"3,440",14,10,1/143,1/6.23,9,-,-752,"3,036",7,11,1/169,1/6.01,16,4.0,+245,"5,606",21,15,1/156,1/5.85,19,3.0
2025-07-15,火,いいえ,+426,"7,011",23,33,1/125,1/6.27,26,1.0,+248,"4,837",20,15,1/138,1/6.44,17,6.0,-421,"1,851",7,2,1/206,1/6.44,11,-,"-1,036","5,185",15,12,1/192,1/5.86,25,8.0
2025-07-14,月,いいえ,"-1,441","1,627",1,2,1/542,1/6.01,22,6.0,+766,"7,509",27,32,1/127,1/6.23,16,2.0,"+2,664","6,822",33,29,1/110,1/6.27,5,-,"-1,445","3,793",10,7,1/223,1/6.20,14,9.0
2025-07-13,日,はい,-891,"2,406",7,5,1/201,1/6.60,14,9.0,-895,"7,060",22,26,1/147,1/6.52,61,47.0,+201,"4,282",17,10,1/159,1/5.92,14,9.0,+873,"6,116",24,24,1/127,1/6.26,5,-
2025-07-12,土,はい,+87,"5,723",22,20,1/136,1/6.60,9,-,"-1,003","3,997",10,12,1/182,1/5.96,49,23.0,-939,"3,945",10,11,1/188,1/5.85,26,16.0,"+3,257","7,301",37,27,1/114,1/6.02,10,1.0
2025-07-11,金,いいえ,"+1,470","6,049",30,15,1/134,1/6.18,21,2.0,-667,"2,961",11,6,1/174,1/6.84,19,-,"+1,404","5,193",24,18,1/124,1/6.24,28,7.0,-275,"5,089",20,10,1/170,1/6.18,34,6.0
2025-07-10,木,はい,"-1,986","3,214",6,7,1/247,1/6.63,29,13.0,"+1,137","6,224",24,27,1/122,1/6.18,16,1.0,-876,"7,452",25,20,1/166,1/6.15,48,19.0,"-2,956","6,476",15,15,1/216,1/6.42,15,-
2025-07-09,水,いいえ,-34,"3,208",13,9,1/146,1/6.52,19,5.0,-593,"4,064",12,15,1/151,1/6.42,14,6.0,-633,"2,602",9,5,1/186,1/6.54,19,5.0,+875,"5,911",22,27,1/121,1/6.30,8,-
2025-07-08,火,いいえ,"+3,509","9,008",42,36,1/115,1/5.97,20,9.0,+149,"7,268",29,21,1/145,1/6.32,8,-,+199,"6,732",26,20,1/146,1/6.16,21,1.0,"+1,436","7,729",32,33,1/119,1/6.47,11,3.0
2025-07-06,日,はい,-675,"4,760",15,11,1/183,1/5.88,32,3.0,"-1,794","3,139",6,7,1/241,1/6.47,15,-,-266,"4,481",16,14,1/149,1/6.33,29,2.0,+431,"7,482",27,27,1/139,1/6.16,27,12.0
2025-07-05,土,はい,-192,"7,414",27,23,1/148,1/6.24,19,16.0,-480,"1,466",5,1,1/244,1/6.30,3,-,-139,"3,698",14,7,1/176,1/5.91,38,6.0,"-1,562","3,893",9,10,1/205,1/6.26,32,13.0
2025-07-04,金,いいえ,-950,"1,008",1,1,1/504,1/6.63,8,6.0,+678,"5,565",24,18,1/133,1/6.37,2,-,"-1,425","6,679",20,16,1/186,1/6.07,25,14.0,-403,"2,546",9,5,1/182,1/6.22,11,3.0
2025-07-03,木,いいえ,"+3,236","7,325",40,25,1/113,1/6.36,2,-,-393,"1,284",4,2,1/214,1/6.26,3,1.0,+416,"4,045",20,5,1/162,1/6.26,16,8.0,"+2,126","5,886",31,20,1/115,1/6.53,8,5.0
