日付,曜日,特定日,1165番台,,,,,,,,,1166番台,,,,,,,,,1167番台,,,,,,,,,1168番台,,,,,,,,,1170番台,,,,,,,,,1171番台,,,,,,,,,1172番台,,,,,,,,,1173番台,,,,,,,,,1175番台,,,,,,,,,1176番台,,,,,,,,,1177番台,,,,,,,,,1178番台,,,,,,,,,1180番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-14,木,いいえ,+574,"2,505",12,6,1/139,-,3.78,15,1.0,-97,"2,762",10,5,1/184,-,3.08,14,1.0,-375,"2,086",6,5,1/190,-,3.24,49,18.0,-428,"1,564",5,2,1/223,-,3.00,60,11.0,+331,"1,512",8,3,1/137,-,3.64,13,2.0,-348,"1,673",5,2,1/239,-,2.90,11,-,-33,706,1,4,1/141,-,3.78,31,16.0,+39,357,2,0,1/179,-,3.39,15,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-13,水,いいえ,-955,"1,410",2,2,1/353,-,2.79,26,3.0,+253,"3,257",14,5,1/171,-,3.09,14,7.0,+530,"6,055",23,17,1/151,-,3.92,42,16.0,-983,"1,231",1,4,1/246,-,3.25,44,2.0,-181,"1,487",6,1,1/212,-,2.99,23,7.0,+131,"3,012",11,8,1/159,-,3.58,7,-,"+2,759","6,277",32,17,1/128,-,4.65,26,3.0,-76,751,2,2,1/188,-,3.43,16,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-12,火,いいえ,+839,"6,289",24,14,1/166,-,3.25,24,9.0,-677,"1,195",3,1,1/299,-,2.91,15,1.0,-509,"5,407",18,12,1/180,-,2.99,62,2.0,-752,"1,601",5,0,1/320,-,2.59,38,14.0,-708,"3,630",12,7,1/191,-,2.92,14,5.0,"+3,861","5,588",33,17,1/112,-,5.14,9,-,"-1,316","2,293",6,1,1/328,-,2.34,60,22.0,"+2,973","7,010",40,8,1/146,-,3.27,15,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-10,日,はい,+763,"7,499",31,13,1/170,-,2.82,49,7.0,"+1,821","6,332",28,19,1/135,-,4.54,15,4.0,-945,"6,464",22,15,1/175,-,3.07,34,19.0,"-1,198","1,809",2,4,1/302,-,2.83,36,2.0,+839,"6,116",23,18,1/149,-,4.05,11,2.0,"+2,312","7,029",33,21,1/130,-,4.77,9,-,-702,"1,960",4,1,1/392,-,2.39,42,6.0,"-1,512","2,460",3,6,1/273,-,2.76,42,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-09,土,はい,+281,"4,055",16,8,1/169,-,3.19,49,13.0,+68,"3,182",13,5,1/177,-,3.05,18,2.0,-480,"2,004",5,4,1/223,-,2.99,27,9.0,-206,"4,253",14,13,1/158,-,3.76,16,4.0,+281,"2,226",9,4,1/171,-,3.26,10,-,+0,"6,194",24,18,1/147,-,4.09,12,2.0,-160,"1,719",6,4,1/172,-,3.39,34,7.0,-178,178,0,0,-,-,3.31,36,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-08,金,いいえ,-551,"2,052",6,3,1/228,-,2.87,51,11.0,-210,"4,099",12,10,1/186,-,3.08,36,1.0,-366,"1,060",2,2,1/265,-,3.12,24,10.0,"+2,100","3,674",21,11,1/115,-,4.67,14,1.0,+834,"4,332",18,11,1/149,-,3.77,13,-,-549,"1,728",4,4,1/216,-,3.13,25,1.0,-752,"1,166",2,2,1/292,-,3.02,35,10.0,-456,"1,327",3,3,1/221,-,3.19,40,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-07,木,いいえ,-884,833,0,1,1/833,-,2.89,55,16.0,-292,"3,035",8,9,1/179,-,3.40,39,1.0,-628,"1,943",4,4,1/243,-,2.93,25,6.0,-784,"3,370",11,4,1/225,-,2.50,29,4.0,-7,"2,388",10,3,1/184,-,3.03,19,3.0,-544,854,1,1,1/427,-,2.99,19,3.0,-264,425,1,1,1/213,-,3.41,16,-,"+1,079","7,992",30,26,1/143,-,4.55,38,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-06,水,いいえ,-646,"2,292",7,4,1/208,-,2.96,28,5.0,-420,"4,643",17,8,1/186,-,2.79,34,6.0,+243,"5,251",20,14,1/154,-,3.73,23,9.0,"+1,008","5,272",21,12,1/160,-,3.44,14,2.0,-363,"4,680",16,12,1/167,-,3.40,11,-,+415,"5,833",24,12,1/162,-,3.28,12,1.0,"+1,625","6,975",33,16,1/142,-,4.03,12,1.0,+296,"4,739",20,6,1/182,-,2.67,49,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-05,火,いいえ,-921,"2,207",5,3,1/276,-,2.63,26,5.0,+851,"6,464",23,22,1/144,-,4.44,32,1.0,+265,"7,039",26,16,1/168,-,3.20,42,10.0,-325,431,0,1,1/431,-,3.28,31,5.0,"+1,379","5,958",24,19,1/139,-,4.45,9,-,-290,439,1,0,1/439,-,3.18,18,9.0,-503,"2,335",8,3,1/212,-,2.85,21,3.0,-566,"5,859",15,19,1/172,-,3.57,84,42.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-04,月,いいえ,"-1,582","4,130",13,2,1/275,-,1.95,34,15.0,"-1,108","1,317",2,0,1/659,-,2.51,52,2.0,"+1,419","6,068",29,7,1/169,-,2.71,50,16.0,-758,"1,588",3,3,1/265,-,2.94,16,2.0,-749,"1,881",5,1,1/314,-,2.54,17,1.0,"+1,132","7,260",26,24,1/145,-,4.43,14,-,+746,"7,353",32,10,1/175,-,2.54,19,2.0,-237,"3,913",13,11,1/163,-,3.57,77,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-03,日,はい,+609,"2,939",14,4,1/163,-,3.19,22,8.0,"+1,048","7,805",28,30,1/135,-,5.01,45,5.0,-762,"1,073",1,1,1/537,-,2.79,86,14.0,"+1,012","5,310",24,12,1/148,-,3.75,14,2.0,"+2,245","5,386",27,14,1/131,-,4.39,12,-,+323,"3,114",14,5,1/164,-,3.23,31,9.0,-520,"4,206",16,8,1/175,-,3.05,40,9.0,"-1,111","1,446",3,0,1/482,-,2.51,72,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-02,土,はい,"+2,009","7,829",34,19,1/148,-,3.94,20,5.0,-476,"2,315",7,4,1/210,-,2.94,85,39.0,-531,"3,230",13,1,1/231,-,2.32,86,1.0,-242,"5,826",20,13,1/177,-,3.03,36,1.0,-597,"1,137",2,1,1/379,-,2.84,15,-,"-1,015","5,106",13,13,1/196,-,2.89,35,15.0,"-1,214","4,476",11,8,1/236,-,2.36,46,10.0,"-1,016","1,358",2,1,1/453,-,2.65,35,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-01,金,いいえ,-653,"4,955",15,11,1/191,-,2.86,35,11.0,-983,"3,134",8,6,1/224,-,2.73,86,38.0,"-1,305","3,048",10,1,1/277,-,2.19,86,38.0,-374,"2,314",10,1,1/210,-,2.71,36,1.0,"+2,284","7,725",33,29,1/125,-,5.24,12,-,-517,601,0,1,1/601,-,3.11,16,4.0,+835,"4,916",21,10,1/159,-,3.37,48,12.0,-456,"1,843",5,4,1/205,-,3.14,24,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
