日付,曜日,特定日,1165番台,,,,,,,,,1166番台,,,,,,,,,1167番台,,,,,,,,,1168番台,,,,,,,,,1170番台,,,,,,,,,1171番台,,,,,,,,,1172番台,,,,,,,,,1173番台,,,,,,,,,1175番台,,,,,,,,,1176番台,,,,,,,,,1177番台,,,,,,,,,1178番台,,,,,,,,,1180番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-03-18,水,いいえ,+696,"5,503",25,9,1/162,-,3.11,18,2.0,"-1,156","2,678",5,7,1/223,-,2.97,28,6.0,-159,"1,424",5,3,1/178,-,3.34,16,1.0,"-1,036","3,244",8,6,1/232,-,2.64,58,15.0,-246,"4,607",19,6,1/184,-,2.68,16,1.0,-804,"1,831",3,5,1/229,-,3.12,43,15.0,+520,"2,475",8,11,1/130,-,4.32,15,-,-593,"1,122",2,0,1/561,-,2.67,22,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-17,火,いいえ,"+1,490","3,241",15,10,1/130,-,4.24,26,1.0,-551,363,0,0,-,-,3.13,19,3.0,-687,"3,714",9,11,1/186,-,3.28,11,-,-16,"4,930",16,17,1/149,-,4.14,31,5.0,+468,"4,499",16,15,1/145,-,4.15,15,4.0,-709,"1,886",4,4,1/236,-,2.99,37,6.0,-874,"2,188",4,5,1/243,-,2.91,25,6.0,"-1,287","1,776",2,3,1/355,-,2.67,16,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-16,月,いいえ,-870,"1,548",3,3,1/258,-,2.98,35,1.0,-205,"3,345",13,6,1/176,-,3.09,12,4.0,+110,"2,266",9,6,1/151,-,3.65,8,-,-514,"3,717",9,12,1/177,-,3.48,28,4.0,+854,"2,556",12,9,1/122,-,4.33,24,2.0,-375,"1,590",4,4,1/199,-,3.27,34,6.0,-182,859,3,1,1/215,-,3.23,22,8.0,+890,"2,101",11,6,1/124,-,4.06,14,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-15,日,はい,-933,"3,218",10,3,1/248,-,2.36,32,1.0,"+1,332","5,794",26,14,1/145,-,3.93,11,3.0,+475,"3,944",18,6,1/164,-,3.13,8,-,+976,"7,173",25,25,1/143,-,4.55,26,7.0,-170,"2,279",9,3,1/190,-,3.01,31,5.0,-222,"1,639",6,1,1/234,-,2.85,31,5.0,"-1,049","1,443",2,0,1/722,-,2.42,15,4.0,"+1,027","6,383",25,16,1/156,-,3.66,19,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-14,土,はい,-929,"3,553",10,8,1/197,-,2.96,26,2.0,+135,"2,109",11,0,1/192,-,2.81,28,2.0,+136,"1,045",4,4,1/131,-,3.82,8,-,-398,"1,575",4,5,1/175,-,3.49,44,16.0,"+3,065","8,355",38,28,1/127,-,5.15,24,14.0,"+2,618","4,235",22,17,1/109,-,5.14,28,2.0,+727,"2,508",14,2,1/157,-,3.19,10,2.0,+804,"4,823",20,11,1/156,-,3.54,44,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-13,金,いいえ,+486,"2,330",12,3,1/155,-,3.33,13,5.0,+162,"4,514",19,6,1/181,-,2.75,45,7.0,+575,"5,073",22,9,1/164,-,3.15,8,-,-644,"4,653",15,12,1/172,-,3.31,38,24.0,"-1,402","2,457",3,5,1/307,-,2.58,52,6.0,"-1,693","6,614",20,9,1/228,-,1.96,46,1.0,"+2,339","7,465",34,24,1/129,-,4.95,14,1.0,-781,"1,838",3,5,1/230,-,3.11,56,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-12,木,いいえ,-14,"1,121",5,0,1/224,-,3.01,31,18.0,-161,"3,173",12,9,1/151,-,3.75,52,6.0,+222,"3,417",12,10,1/155,-,3.72,13,-,"-1,226","4,019",6,16,1/183,-,3.63,32,1.0,-226,208,0,0,-,-,3.28,46,4.0,"+2,997","7,118",36,25,1/117,-,5.32,35,3.0,-410,276,0,0,-,-,3.22,42,7.0,+374,"4,362",14,16,1/145,-,4.23,55,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-11,水,いいえ,-68,527,2,0,1/264,-,3.22,16,3.0,+13,"2,344",8,5,1/180,-,3.24,51,17.0,+243,"1,042",5,1,1/174,-,3.30,13,-,"+3,038","9,024",40,31,1/127,-,5.22,24,2.0,-372,"1,056",3,2,1/211,-,3.25,34,10.0,-623,"2,986",8,7,1/199,-,3.04,78,27.0,+182,"2,016",9,3,1/168,-,3.26,22,6.0,-621,"1,488",4,1,1/298,-,2.76,85,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-10,火,はい,"+3,535","7,637",40,23,1/121,-,5.14,19,3.0,-575,"2,901",8,4,1/242,-,2.56,74,19.0,"+1,958","5,934",31,14,1/132,-,4.35,12,-,"-1,126","2,214",6,2,1/277,-,2.56,55,21.0,-33,"4,072",16,8,1/170,-,3.17,34,15.0,-898,"5,093",14,11,1/204,-,2.66,84,4.0,-662,"4,267",11,14,1/171,-,3.59,16,4.0,"-1,181","2,432",6,2,1/304,-,2.40,80,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-09,月,いいえ,-544,"1,209",2,3,1/242,-,3.18,61,9.0,-329,"6,967",22,20,1/166,-,3.56,49,1.0,+523,"4,552",18,15,1/138,-,4.32,24,9.0,-208,"1,558",5,4,1/173,-,3.42,48,12.0,-864,"1,060",2,1,1/353,-,2.91,29,5.0,-677,647,0,1,1/647,-,3.06,52,3.0,+692,"5,352",21,16,1/145,-,4.13,15,-,-433,536,0,1,1/536,-,3.17,36,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-08,日,はい,"-1,174","4,058",10,6,1/254,-,2.26,55,12.0,-852,"2,137",7,1,1/267,-,2.54,43,8.0,"-1,356","2,279",4,4,1/285,-,2.65,29,3.0,-515,"2,166",7,3,1/217,-,2.88,43,8.0,"+2,379","5,232",23,19,1/125,-,4.87,26,-,-803,"3,564",10,8,1/198,-,2.95,34,5.0,-771,"3,065",7,6,1/236,-,2.68,35,1.0,-387,"2,719",9,4,1/209,-,2.81,34,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-07,土,はい,+209,"4,813",19,11,1/160,-,3.43,36,1.0,-627,"3,294",8,9,1/194,-,3.15,29,4.0,-100,"1,811",7,2,1/201,-,3.01,17,-,-208,"4,020",13,10,1/175,-,3.27,25,8.0,-823,"2,703",6,7,1/208,-,3.07,48,7.0,-737,"2,343",8,1,1/260,-,2.49,33,4.0,-945,"2,820",6,7,1/217,-,2.96,35,2.0,"-1,261","2,832",6,6,1/236,-,2.76,41,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-06,金,いいえ,-429,"2,474",5,9,1/177,-,3.57,26,1.0,-609,"5,789",18,14,1/181,-,3.03,25,9.0,"-1,248","1,952",1,6,1/279,-,2.97,15,-,-640,913,1,1,1/457,-,2.93,15,-,-748,"4,078",12,10,1/185,-,3.10,29,3.0,-649,"1,165",1,2,1/388,-,2.90,32,3.0,-136,"3,208",10,9,1/169,-,3.47,25,9.0,-875,"1,632",2,4,1/272,-,2.99,16,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-05,木,いいえ,+478,"2,973",12,7,1/156,-,3.53,26,1.0,-262,"4,306",14,10,1/179,-,3.12,19,1.0,+890,"4,603",21,11,1/144,-,3.87,8,-,+920,"4,272",18,13,1/138,-,4.20,12,4.0,"+2,410","7,042",35,19,1/130,-,4.66,26,1.0,-241,673,2,0,1/337,-,3.07,18,3.0,+465,"3,927",15,11,1/151,-,3.79,25,6.0,+17,975,4,1,1/195,-,3.24,15,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-04,水,いいえ,"-2,276","5,984",14,12,1/230,-,2.23,70,43.0,-417,341,0,0,-,-,3.15,16,2.0,+340,"4,506",19,6,1/180,-,2.76,14,2.0,+19,"3,585",11,15,1/138,-,4.40,12,-,"-1,270","2,392",6,1,1/342,-,2.28,80,10.0,+65,781,4,0,1/195,-,3.22,20,2.0,"+2,639","6,049",34,16,1/121,-,4.84,27,7.0,+362,"3,419",15,4,1/180,-,2.87,18,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-03,火,いいえ,-670,"4,412",15,10,1/176,-,3.14,42,18.0,"+2,195","5,157",25,17,1/123,-,4.82,14,-,-406,775,2,0,1/388,-,2.98,20,5.0,-449,"3,563",11,7,1/198,-,2.87,24,2.0,-231,"3,055",10,9,1/161,-,3.62,53,11.0,"+1,366","4,899",24,8,1/153,-,3.35,22,2.0,-627,488,0,0,-,-,3.01,74,21.0,"+1,166","8,117",34,20,1/150,-,3.87,15,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-01,日,はい,-166,"3,784",12,9,1/180,-,3.17,41,2.0,"+1,083","4,036",21,7,1/144,-,3.60,24,9.0,"+1,775","7,155",30,25,1/130,-,4.96,15,-,-824,"3,742",10,6,1/234,-,2.46,15,-,-464,"1,804",5,5,1/180,-,3.39,39,4.0,+306,"7,542",25,24,1/154,-,4.11,35,11.0,-352,"5,757",16,23,1/148,-,4.47,65,24.0,-713,"1,752",4,5,1/195,-,3.32,35,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-28,土,はい,+473,"4,904",19,12,1/158,-,3.55,44,20.0,"+2,994","8,092",37,26,1/128,-,5.02,24,1.0,+89,"2,150",10,2,1/179,-,3.05,16,3.0,+890,"6,240",29,12,1/152,-,3.48,13,-,"-1,195","3,741",10,7,1/220,-,2.62,23,4.0,"-1,719","4,393",10,10,1/220,-,2.63,56,12.0,"-1,054","2,782",6,7,1/214,-,2.99,44,20.0,"-1,351","3,300",7,6,1/254,-,2.50,19,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-27,金,いいえ,+622,"6,366",27,14,1/155,-,3.52,52,7.0,-998,"2,081",5,3,1/260,-,2.74,45,6.0,"-1,159","1,419",2,0,1/710,-,2.44,34,6.0,+16,"3,061",13,5,1/170,-,3.16,21,1.0,+708,"5,026",19,15,1/148,-,4.01,20,6.0,-903,"2,778",4,11,1/185,-,3.57,39,5.0,-157,"3,201",12,8,1/160,-,3.52,28,7.0,+613,"3,436",13,8,1/164,-,3.41,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-26,木,いいえ,-61,"2,946",12,5,1/173,-,3.15,85,44.0,-52,"3,746",15,4,1/197,-,2.61,29,3.0,+673,"5,015",21,10,1/162,-,3.28,26,7.0,-52,"1,471",5,4,1/163,-,3.51,14,-,-346,527,1,0,1/527,-,3.09,41,9.0,+121,"6,418",24,18,1/153,-,3.89,16,2.0,-204,823,2,2,1/206,-,3.35,19,3.0,-406,854,2,1,1/285,-,3.11,32,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-25,水,いいえ,"-1,709","5,375",9,18,1/199,-,3.14,57,16.0,-757,"1,428",3,3,1/238,-,3.09,25,1.0,-879,"1,512",3,3,1/252,-,3.01,41,5.0,+464,"6,173",23,16,1/158,-,3.62,19,2.0,-865,"1,422",2,3,1/284,-,2.98,36,8.0,-559,"1,872",4,5,1/208,-,3.20,24,5.0,-479,"2,860",11,3,1/204,-,2.73,17,-,-296,"3,497",12,7,1/184,-,3.04,28,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-24,火,いいえ,-423,"1,737",7,1,1/217,-,2.88,54,13.0,-298,710,1,2,1/237,-,3.34,20,6.0,-564,"1,124",2,2,1/281,-,3.06,41,9.0,-346,963,3,1,1/241,-,3.12,32,2.0,+103,"2,785",11,5,1/174,-,3.18,29,9.0,-296,227,0,0,-,-,3.26,14,3.0,-159,133,0,0,-,-,3.36,11,-,"+1,681","8,097",30,28,1/140,-,4.75,30,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-23,月,いいえ,-768,"4,654",15,8,1/202,-,2.59,51,6.0,-533,"3,643",11,8,1/192,-,2.99,18,5.0,-394,"4,230",13,9,1/192,-,2.89,31,13.0,+214,"4,769",18,12,1/159,-,3.55,31,13.0,+52,"2,259",8,4,1/188,-,3.11,44,13.0,+372,"2,095",11,3,1/150,-,3.43,13,3.0,+371,"1,297",6,2,1/162,-,3.38,10,-,-470,"7,693",26,18,1/175,-,3.02,45,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-22,日,はい,-555,"1,459",4,2,1/243,-,2.98,43,7.0,"+1,210","2,474",15,4,1/130,-,3.77,10,1.0,"+1,866","8,103",32,25,1/142,-,4.51,31,9.0,-592,511,0,0,-,-,2.98,36,5.0,+139,"3,787",16,4,1/189,-,2.67,48,5.0,-145,782,3,0,1/261,-,3.09,19,9.0,"+2,916","8,020",41,20,1/131,-,4.64,9,-,+195,"1,447",7,2,1/161,-,3.36,22,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-21,土,はい,-994,"4,291",13,10,1/187,-,3.02,34,4.0,+875,"6,294",28,14,1/150,-,3.70,16,2.0,-820,"1,562",4,1,1/312,-,2.70,66,4.0,-583,"3,628",9,9,1/202,-,2.97,30,14.0,"-1,106","4,914",13,12,1/197,-,2.87,79,13.0,-414,"2,973",11,4,1/198,-,2.82,14,2.0,"+1,674","6,144",29,15,1/140,-,4.13,12,-,-579,"5,346",16,14,1/178,-,3.19,62,28.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-20,金,はい,-557,"3,664",10,7,1/216,-,2.68,29,14.0,"+1,557","7,217",32,18,1/144,-,4.07,14,1.0,-96,"1,262",5,0,1/252,-,2.88,46,14.0,"+1,843","5,085",28,11,1/130,-,4.22,15,1.0,-100,"3,757",13,7,1/188,-,2.92,74,23.0,+715,"4,409",19,8,1/163,-,3.21,13,-,+798,"3,472",15,10,1/139,-,4.02,32,3.0,-928,"2,799",8,1,1/311,-,2.18,51,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-19,木,いいえ,"+3,333","7,611",39,23,1/123,-,5.09,26,2.0,-419,"4,494",13,12,1/180,-,3.23,24,11.0,-148,867,3,1,1/217,-,3.22,33,7.0,"-1,596","2,513",4,5,1/279,-,2.64,43,1.0,-379,"1,371",4,1,1/274,-,2.86,67,24.0,+22,"6,630",21,20,1/162,-,3.74,13,-,-822,"2,989",8,6,1/214,-,2.85,35,2.0,-557,599,1,0,1/599,-,3.02,42,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-18,水,いいえ,"-1,490","2,418",5,1,1/403,-,2.18,42,8.0,-533,"1,267",3,1,1/317,-,2.84,21,-,"-1,037","1,099",1,0,1/1099,-,2.58,26,2.0,-380,"2,974",11,3,1/212,-,2.64,34,2.0,-691,"1,381",2,4,1/230,-,3.22,66,24.0,+344,"5,805",22,13,1/166,-,3.27,24,3.0,-700,"2,436",8,3,1/221,-,2.76,32,6.0,-864,"1,144",2,1,1/381,-,2.84,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-17,火,いいえ,-279,"5,081",21,9,1/169,-,3.03,32,9.0,-546,965,2,1,1/322,-,3.00,11,-,-301,764,3,0,1/255,-,3.11,21,2.0,-417,"5,466",18,11,1/188,-,2.76,18,7.0,-477,796,1,1,1/398,-,3.04,64,22.0,-338,"1,941",7,2,1/216,-,2.89,42,10.0,-370,"4,182",11,14,1/167,-,3.67,23,2.0,+643,"2,234",10,6,1/140,-,3.80,19,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-16,月,いいえ,-228,"2,003",7,2,1/223,-,2.83,32,1.0,+303,"2,604",11,6,1/153,-,3.56,10,-,-556,597,0,1,1/597,-,3.11,16,2.0,+730,"1,864",8,8,1/117,-,4.32,14,4.0,-158,"4,354",13,12,1/174,-,3.35,39,7.0,+885,"4,657",19,12,1/150,-,3.78,31,9.0,+216,"2,664",11,5,1/167,-,3.29,22,3.0,+691,"3,546",16,9,1/142,-,3.87,19,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-15,日,はい,"+1,911","5,896",28,18,1/128,-,4.71,17,1.0,-556,900,1,2,1/300,-,3.15,14,-,+20,"5,421",24,8,1/169,-,2.89,15,1.0,-539,"2,051",6,4,1/205,-,3.07,16,1.0,"-1,585","3,633",9,6,1/242,-,2.45,41,10.0,-911,"2,868",8,4,1/239,-,2.59,57,16.0,-66,"4,271",12,16,1/153,-,4.09,31,3.0,"-1,208","4,144",13,6,1/218,-,2.45,28,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-14,土,はい,"-1,284","3,660",10,6,1/229,-,2.52,48,20.0,"+2,056","6,692",30,22,1/129,-,4.88,9,-,"+1,131","7,033",25,24,1/144,-,4.50,24,3.0,"+1,351","6,911",28,25,1/130,-,4.96,14,5.0,-192,"3,281",13,6,1/173,-,3.15,28,4.0,-368,"3,969",14,7,1/189,-,2.85,48,20.0,-242,"4,310",17,5,1/196,-,2.54,24,3.0,-105,"1,434",6,3,1/159,-,3.46,21,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-13,金,いいえ,-456,"3,401",11,6,1/200,-,2.82,41,4.0,"+1,332","4,395",22,9,1/142,-,3.78,10,-,+395,"1,270",8,0,1/159,-,3.24,47,6.0,-697,955,1,1,1/478,-,2.89,37,2.0,+604,"2,680",11,9,1/134,-,4.10,15,3.0,+614,"4,328",19,9,1/155,-,3.49,35,17.0,"+2,826","8,633",42,24,1/131,-,4.84,12,2.0,-347,286,0,0,-,-,3.21,18,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-12,木,いいえ,+76,"6,433",21,19,1/161,-,3.73,39,11.0,-269,"1,613",6,2,1/202,-,3.07,14,-,-70,"5,844",22,11,1/177,-,2.87,49,8.0,-390,"1,219",2,6,1/152,-,3.81,28,7.0,-457,740,1,1,1/370,-,3.09,21,5.0,"-1,493","6,252",15,17,1/195,-,2.88,59,10.0,"-1,053","4,343",11,11,1/197,-,2.95,41,2.0,+743,"1,922",9,7,1/120,-,4.19,16,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-11,水,いいえ,-526,"4,470",14,11,1/179,-,3.17,35,1.0,+13,"3,186",12,7,1/168,-,3.33,14,-,-93,"4,124",12,12,1/172,-,3.45,49,3.0,+568,"5,833",25,11,1/162,-,3.20,31,2.0,-512,"4,043",14,6,1/202,-,2.62,14,-,-837,"2,058",4,4,1/257,-,2.83,46,11.0,-64,"3,481",11,7,1/193,-,2.94,34,3.0,-641,"1,261",2,2,1/315,-,2.93,29,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-10,火,はい,-892,"1,829",5,2,1/261,-,2.76,20,3.0,-166,"5,525",19,13,1/173,-,3.18,29,8.0,-452,"2,857",9,6,1/190,-,3.08,49,4.0,-222,"4,544",14,15,1/157,-,3.88,45,6.0,"+1,079","5,114",20,15,1/146,-,4.05,11,-,+31,"4,859",17,10,1/180,-,2.97,39,10.0,-315,"2,745",9,6,1/183,-,3.18,21,1.0,+716,"5,307",23,9,1/166,-,3.06,17,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-09,月,いいえ,"+1,469","5,444",25,14,1/140,-,4.13,15,-,-345,523,1,1,1/262,-,3.31,26,6.0,-537,"3,450",9,9,1/192,-,3.13,35,9.0,+606,"6,156",24,15,1/158,-,3.56,48,13.0,-278,"2,797",11,4,1/186,-,2.97,20,3.0,-527,812,1,1,1/406,-,3.03,54,6.0,-232,"1,379",5,3,1/172,-,3.39,15,-,"+1,295","5,938",26,15,1/145,-,3.98,17,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-08,日,はい,-615,"1,649",3,4,1/236,-,3.09,25,10.0,+130,"4,493",17,9,1/173,-,3.10,26,1.0,-815,"1,371",1,5,1/229,-,3.32,35,9.0,-569,"4,324",11,14,1/173,-,3.54,78,25.0,-654,"2,382",6,5,1/217,-,2.96,15,1.0,-622,"2,591",7,6,1/199,-,3.09,26,1.0,"+1,097","5,006",22,12,1/147,-,3.80,14,-,-348,230,0,0,-,-,3.26,53,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-07,土,はい,"-1,480","2,368",3,5,1/296,-,2.65,24,2.0,"+1,767","7,296",32,20,1/140,-,4.34,31,2.0,-621,"1,703",5,2,1/243,-,2.87,32,1.0,-264,"4,321",13,9,1/196,-,2.82,52,20.0,+69,"4,881",22,4,1/188,-,2.44,14,-,+238,"7,090",23,24,1/151,-,4.27,22,8.0,"+1,170","5,342",24,12,1/148,-,3.72,29,5.0,-865,"1,816",4,0,1/454,-,2.34,53,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-06,金,いいえ,-299,"2,441",8,4,1/203,-,2.94,14,2.0,-463,422,0,1,1/422,-,3.28,46,1.0,"+1,744","4,508",19,20,1/116,-,5.12,17,3.0,-548,"1,111",2,2,1/278,-,3.07,45,6.0,+766,"3,437",18,6,1/143,-,3.61,12,-,-623,541,0,0,-,-,2.96,39,12.0,-63,"4,548",13,18,1/147,-,4.32,55,9.0,-347,"2,555",5,11,1/160,-,3.90,27,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-05,木,いいえ,"+1,644","4,758",21,17,1/125,-,4.76,14,-,-325,"2,550",9,3,1/213,-,2.77,46,3.0,-357,"2,792",7,8,1/186,-,3.30,39,8.0,-650,"1,751",4,4,1/219,-,3.11,43,1.0,+485,"5,324",25,8,1/161,-,3.08,17,3.0,-66,"1,769",7,3,1/177,-,3.25,31,11.0,-739,"2,339",6,4,1/234,-,2.81,42,3.0,-503,"1,012",2,3,1/202,-,3.38,20,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
