日付,曜日,特定日,1118番台,,,,,,,,1120番台,,,,,,,,1121番台,,,,,,,,1122番台,,,,,,,,1123番台,,,,,,,,1125番台,,,,,,,,1126番台,,,,,,,,1127番台,,,,,,,,1128番台,,,,,,,,1130番台,,,,,,,,1131番台,,,,,,,,1132番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-05-12,火,いいえ,"+2,006","4,299",23,12,1/123,-,11,-,"-2,562","4,592",12,8,1/230,-,14,3.0,"+1,633","4,450",23,10,1/135,-,25,4.0,"+3,092","2,566",20,6,1/99,-,11,-,"+2,810","4,613",25,17,1/110,-,21,2.0,"+2,144","3,717",20,13,1/113,-,19,5.0,"-1,120","3,746",13,6,1/197,-,54,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-10,日,はい,+412,"5,156",22,11,1/156,-,21,7.0,"+2,453","5,405",28,14,1/129,-,6,-,"-3,172","7,851",25,12,1/212,-,64,22.0,"+2,636","6,460",34,15,1/132,-,14,8.0,"-1,426","2,958",6,9,1/197,-,42,16.0,"-5,096","8,639",23,10,1/262,-,23,2.0,"-3,284","4,166",6,10,1/260,-,26,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-09,土,はい,"-1,263","3,649",12,5,1/215,-,45,7.0,"+3,060","2,660",20,6,1/102,-,6,-,-484,"3,285",10,11,1/156,-,28,3.0,"+3,560","4,328",30,8,1/114,-,14,5.0,"-1,282","3,690",12,6,1/205,-,38,10.0,+128,"3,192",13,7,1/160,-,9,3.0,"+2,655","2,701",18,6,1/113,-,25,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-08,金,いいえ,"+1,520","2,295",12,9,1/109,-,17,8.0,"+1,825","3,068",17,8,1/123,-,6,-,"-1,435","4,967",17,10,1/184,-,24,2.0,"-1,928","6,367",21,10,1/205,-,22,5.0,-950,"1,906",6,2,1/238,-,32,8.0,"+1,704","8,419",40,17,1/148,-,9,3.0,+686,"6,917",31,13,1/157,-,37,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-07,木,いいえ,+446,"3,078",14,5,1/162,-,56,34.0,"+1,209","5,327",27,6,1/161,-,6,-,"+1,721","1,518",10,7,1/89,-,16,8.0,"-1,119","2,840",7,9,1/178,-,8,2.0,"+5,438","5,028",36,16,1/97,-,19,3.0,-962,"3,855",13,8,1/184,-,22,3.0,"-2,115","3,011",6,6,1/251,-,77,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-06,水,いいえ,-727,"6,292",25,10,1/180,-,86,48.0,-810,"2,258",8,2,1/226,-,8,2.0,"+2,832","5,359",28,17,1/119,-,21,6.0,+413,"3,524",17,4,1/168,-,6,-,"+2,330","6,517",37,7,1/148,-,34,13.0,-347,"1,515",6,1,1/216,-,15,7.0,-630,"7,118",29,14,1/166,-,38,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-05,火,いいえ,-790,"3,544",13,7,1/177,-,65,9.0,"+1,890","3,899",24,4,1/139,-,11,5.0,"-2,980","3,099",3,8,1/282,-,56,23.0,+28,"2,433",11,2,1/187,-,6,-,"-1,924","2,683",6,3,1/298,-,70,5.0,"+2,856","6,489",29,30,1/110,-,14,3.0,-962,"3,199",10,7,1/188,-,33,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-04,月,いいえ,"-1,176","2,839",7,8,1/189,-,31,6.0,+356,676,4,2,1/113,-,11,4.0,-238,"3,217",12,8,1/161,-,18,7.0,-410,"4,384",19,5,1/183,-,7,-,-917,"3,322",12,4,1/208,-,31,6.0,+944,"2,211",13,2,1/147,-,25,7.0,"+3,178","2,254",17,11,1/81,-,31,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-03,日,はい,"-1,104","3,406",11,5,1/213,-,25,1.0,+173,"3,254",14,6,1/163,-,16,10.0,"+1,098","3,219",19,3,1/146,-,19,3.0,"+4,061","2,320",22,4,1/89,-,6,-,-661,"5,889",22,10,1/184,-,24,5.0,-621,"3,303",13,2,1/220,-,51,26.0,"-4,643","6,084",11,11,1/277,-,59,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-02,土,はい,"+1,842","8,428",42,19,1/138,-,22,3.0,"+3,275","5,333",32,12,1/121,-,19,13.0,"-1,146","2,766",9,2,1/251,-,51,29.0,+728,"4,042",19,9,1/144,-,6,-,"-1,316","1,386",2,2,1/347,-,22,3.0,"+1,562","6,854",33,16,1/140,-,59,3.0,+129,"4,791",16,18,1/141,-,56,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
