日付,曜日,特定日,1052番台,,,,,,,,,1053番台,,,,,,,,,1055番台,,,,,,,,,1056番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-04-25,土,はい,"-1,050","1,809",5,1,1/302,1/6.50,2.26,18,16.0,+425,"7,857",34,22,1/140,1/6.29,3.00,22,4.0,"-1,832","3,744",7,10,1/220,1/6.00,2.42,49,27.0,+72,"6,171",26,12,1/162,1/5.97,2.08,2,-
2026-04-24,金,いいえ,"-1,089","1,973",4,3,1/282,1/5.96,2.41,6,5.0,-709,"1,065",1,3,1/266,1/5.86,3.06,23,17.0,+208,"5,276",23,9,1/165,1/5.90,2.07,27,4.0,"+1,046","5,249",25,15,1/131,1/6.12,3.43,1,-
2026-04-23,木,いいえ,+998,"4,815",23,10,1/146,1/5.76,2.60,2,-,"+2,359","8,127",40,27,1/121,1/6.08,4.27,8,6.0,-567,"3,963",13,9,1/180,1/5.80,2.45,49,41.0,-872,"3,642",11,9,1/182,1/6.04,2.58,8,6.0
2026-04-22,水,いいえ,+818,"4,289",19,12,1/138,1/5.78,3.24,1,-,-325,"6,138",25,16,1/150,1/6.42,2.72,35,14.0,-952,"6,223",18,22,1/156,1/5.97,3.27,21,11.0,+698,"5,968",30,9,1/153,1/6.19,1.97,10,9.0
2026-04-20,月,はい,-7,"5,511",19,22,1/134,1/6.09,4.02,1,-,"-1,494","2,371",5,3,1/296,1/6.30,2.17,20,5.0,"+1,369","8,654",35,31,1/131,1/5.84,4.05,10,9.0,-682,"4,344",14,15,1/150,1/6.33,3.38,15,5.0
2026-04-19,日,はい,"+2,315","7,733",35,29,1/121,1/5.80,4.51,0,-,-458,"3,466",12,10,1/158,1/6.22,3.04,11,11.0,"-1,108","3,736",9,10,1/197,1/5.73,2.55,37,23.0,"+1,591","7,880",36,26,1/127,1/6.09,3.97,14,3.0
2026-04-18,土,はい,-62,"5,137",20,16,1/143,1/6.25,3.30,8,3.0,-564,"4,157",13,13,1/160,1/5.97,3.06,5,-,"-1,603","5,016",12,18,1/167,1/6.21,3.15,31,3.0,"+2,142","7,321",31,35,1/111,1/5.96,5.11,28,20.0
2026-04-17,金,いいえ,+469,"6,681",27,19,1/145,1/5.91,2.96,5,1.0,+768,"4,644",21,12,1/141,1/5.89,3.04,4,-,+281,"7,390",26,30,1/132,1/6.02,4.25,17,12.0,+981,"5,837",28,15,1/136,1/6.17,3.06,44,27.0
2026-04-16,木,いいえ,+28,"3,803",14,13,1/141,1/6.05,3.52,3,-,"+4,314","8,448",47,35,1/103,1/6.14,5.37,8,5.0,-584,"2,457",7,8,1/164,1/6.19,3.23,17,9.0,"-1,285","9,243",28,30,1/159,1/5.93,2.84,72,55.0
2026-04-15,水,いいえ,+892,"3,622",17,9,1/139,1/5.68,3.11,8,-,-48,"4,296",18,8,1/165,1/6.01,2.32,14,4.0,+959,"3,685",18,10,1/132,1/5.91,3.37,10,2.0,"-1,162","6,451",18,24,1/154,1/6.06,3.44,41,27.0
2026-04-14,火,いいえ,+852,"4,696",25,8,1/142,1/6.32,2.46,9,-,+286,"7,048",28,24,1/136,1/6.22,3.70,19,1.0,+0,"4,468",18,13,1/144,1/6.25,3.17,16,7.0,"-1,160","5,601",17,16,1/170,1/6.07,2.62,18,2.0
2026-04-13,月,いいえ,-558,"3,106",11,8,1/163,1/6.40,2.89,19,10.0,+250,"7,319",29,27,1/131,1/6.38,4.08,36,17.0,-620,"1,669",3,5,1/209,1/5.57,3.04,19,10.0,-630,"4,345",15,11,1/167,1/6.11,2.63,9,-
2026-04-12,日,はい,"-1,234","2,587",7,3,1/259,1/6.20,2.13,11,6.0,-244,"5,140",18,16,1/151,1/5.97,3.12,64,52.0,-912,"2,216",4,6,1/222,1/5.62,2.78,12,1.0,-863,"5,542",18,20,1/146,1/6.43,3.54,5,-
2026-04-11,土,はい,+521,"4,342",19,12,1/140,1/6.01,3.18,3,1.0,-845,"4,870",14,16,1/162,1/5.94,3.05,46,40.0,-808,"5,061",17,13,1/169,1/6.09,2.52,6,3.0,+169,"5,724",21,21,1/136,1/6.05,3.81,2,-
2026-04-10,金,はい,"+1,403","4,893",24,15,1/125,1/5.97,3.73,2,1.0,"-1,337","4,386",14,8,1/199,1/6.24,2.05,42,37.0,+852,"8,325",33,29,1/134,1/5.96,3.84,5,3.0,"+1,167","5,127",24,14,1/135,1/5.85,3.24,1,-
2026-04-09,木,いいえ,-781,902,1,0,1/902,1/5.73,2.58,10,2.0,"+1,078","6,837",28,30,1/118,1/6.26,4.77,32,22.0,+497,"3,164",15,9,1/132,1/6.29,3.44,8,-,+307,"6,549",30,16,1/142,1/6.46,2.71,8,-
2026-04-08,水,いいえ,+209,"5,594",21,18,1/143,1/5.91,3.34,3,-,-857,"1,949",5,3,1/244,1/6.04,2.50,35,12.0,-61,"5,696",20,20,1/142,1/5.99,3.56,23,11.0,"+1,611","5,410",28,13,1/132,1/5.92,3.08,12,9.0
2026-04-07,火,いいえ,-120,"4,110",18,9,1/152,1/6.47,2.68,7,-,-627,"2,930",7,13,1/147,1/6.09,3.79,32,14.0,"+1,956","7,914",36,25,1/130,1/5.81,3.74,12,5.0,+142,"7,811",30,26,1/139,1/6.14,3.51,18,6.0
2026-04-05,日,はい,"+1,225","6,383",32,12,1/145,1/5.99,2.25,11,-,-679,"1,488",5,0,1/298,1/6.32,2.34,14,3.0,+996,"8,004",32,32,1/125,1/6.12,4.49,14,3.0,"-1,173","4,883",14,15,1/168,1/6.14,2.84,39,25.0
2026-04-04,土,はい,+530,"6,472",27,21,1/135,1/6.18,3.59,26,15.0,+396,"3,281",14,12,1/126,1/6.29,3.88,9,-,-487,"2,561",9,4,1/197,1/5.95,2.44,30,4.0,+936,"8,019",31,32,1/127,1/6.01,4.41,11,2.0
2026-04-03,金,いいえ,"+1,243","6,796",29,28,1/119,1/6.21,4.64,42,11.0,-721,"1,600",4,2,1/267,1/5.90,2.55,17,-,"-1,193","3,400",8,10,1/189,1/6.02,2.78,25,8.0,-277,"5,745",20,19,1/147,1/6.04,3.30,31,6.0
2026-04-02,木,いいえ,"-1,103","4,688",14,13,1/174,1/6.11,2.64,59,40.0,-881,"5,557",19,15,1/163,1/6.21,2.61,11,-,-172,"7,903",28,24,1/152,1/5.87,2.88,19,1.0,"-1,175","3,286",7,10,1/193,1/5.86,2.81,18,7.0
2026-04-01,水,いいえ,"+1,084","6,132",28,21,1/125,1/6.26,4.04,52,38.0,"+2,122","7,763",33,36,1/113,1/6.00,5.07,3,-,"-1,299","2,727",6,5,1/248,1/5.94,2.29,11,8.0,-662,"3,016",10,6,1/189,1/6.06,2.49,14,3.0
2026-03-31,火,いいえ,-206,"4,087",15,13,1/146,1/6.20,3.31,82,70.0,"-1,040","2,312",7,3,1/231,1/6.52,2.33,12,6.0,+149,"2,513",8,11,1/132,1/5.71,3.91,6,-,+878,"8,012",36,21,1/141,1/6.13,2.80,12,6.0
