日付,曜日,特定日,716番台,,,,,,,,,717番台,,,,,,,,,731番台,,,,,,,,,732番台,,,,,,,,,733番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-04-28,火,いいえ,-698,"4,066",14,6,1/203,-,2.32,12,8.0,+169,657,3,1,1/164,-,3.35,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-27,月,いいえ,+143,"2,762",12,6,1/153,-,3.15,4,-,+32,"1,899",7,4,1/173,-,3.13,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-26,日,はい,"+1,589","7,216",30,24,1/134,-,3.90,4,2.0,+997,"6,058",25,18,1/141,-,3.46,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-25,土,はい,-148,"2,444",8,8,1/153,-,3.43,13,9.0,-866,"1,892",5,3,1/237,-,2.80,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-24,金,いいえ,"-1,298","6,624",22,13,1/189,-,2.11,12,11.0,+27,"1,927",6,6,1/161,-,3.36,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-23,木,いいえ,-241,"3,571",11,14,1/143,-,3.75,5,4.0,+244,"2,382",9,8,1/140,-,3.57,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-22,水,いいえ,+819,"4,240",18,12,1/141,-,3.41,4,3.0,+42,"5,484",18,20,1/144,-,3.71,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-20,月,はい,"+2,476","6,861",32,26,1/118,-,4.62,3,2.0,+889,"3,393",14,10,1/141,-,3.46,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-19,日,はい,"+2,122","7,846",30,30,1/131,-,4.35,3,-,"+1,610","4,863",24,14,1/128,-,3.72,4,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-18,土,はい,"+4,003","7,564",39,26,1/116,-,4.60,6,-,+414,"2,449",10,7,1/144,-,3.42,7,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-17,金,いいえ,-429,"4,066",12,11,1/177,-,2.89,30,24.0,"+2,339","6,057",28,25,1/114,-,4.77,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-16,木,いいえ,-315,"1,964",7,3,1/196,-,2.91,28,-,-556,559,0,1,1/559,-,3.18,36,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-15,水,いいえ,-355,624,1,1,1/312,-,3.21,27,-,-308,"5,473",17,16,1/166,-,2.95,31,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-14,火,いいえ,"+1,348","8,188",31,25,1/146,-,3.33,26,11.0,+254,824,4,3,1/118,-,3.65,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
