日付,曜日,特定日,1078番台,,,,,,,,1080番台,,,,,,,,1081番台,,,,,,,,1082番台,,,,,,,,1083番台,,,,,,,,1085番台,,,,,,,,1086番台,,,,,,,,1087番台,,,,,,,,1088番台,,,,,,,,1100番台,,,,,,,,1101番台,,,,,,,,1102番台,,,,,,,,1103番台,,,,,,,,1105番台,,,,,,,,1106番台,,,,,,,,1107番台,,,,,,,,1108番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-04-11,土,はい,"+8,483","7,900",0,14,1/564,-,23,12.0,"-1,384","1,731",0,3,1/577,-,35,1.0,"-2,351","5,569",0,11,1/506,-,11,-,"+5,607","6,424",0,13,1/494,-,26,1.0,"-1,786","4,405",0,7,1/629,-,25,2.0,-678,"8,255",0,20,1/413,-,60,1.0,+690,"9,190",0,25,1/368,-,59,10.0,+201,"5,363",0,12,1/447,-,34,2.0,"-1,127","2,218",0,3,1/739,-,41,3.0,"-2,638","4,408",0,8,1/551,-,49,2.0,-930,"1,772",0,2,1/886,-,47,6.0,"+7,364","9,355",0,21,1/445,-,32,1.0,-844,788,0,2,1/394,-,26,1.0,-385,"7,053",0,13,1/543,-,38,3.0,+236,"5,342",0,15,1/356,-,31,5.0,"+1,909","8,507",0,18,1/473,-,60,1.0,+201,"3,204",0,7,1/458,-,34,2.0
2026-04-10,金,はい,+112,"9,270",0,23,1/403,-,61,3.0,+27,"1,870",0,3,1/623,-,22,1.0,"+5,566","7,140",0,13,1/549,-,6,-,-622,"2,359",0,7,1/337,-,42,10.0,"+5,482","4,355",0,8,1/544,-,19,13.0,"+3,008","9,418",0,26,1/362,-,58,13.0,"-1,966","2,050",0,4,1/513,-,64,3.0,"-2,723","4,545",0,11,1/413,-,31,9.0,"-2,587","7,974",0,15,1/532,-,45,3.0,"-1,352",954,0,1,1/954,-,42,10.0,"+6,626","9,147",0,22,1/416,-,32,1.0,"-2,300","2,507",0,4,1/627,-,58,13.0,"-1,617","2,197",0,4,1/549,-,21,2.0,"-2,892","7,627",0,18,1/424,-,22,1.0,"+1,981","4,812",0,13,1/370,-,45,3.0,-87,"8,665",0,19,1/456,-,84,10.0,"-2,133","6,653",0,14,1/475,-,74,10.0
2026-04-09,木,いいえ,"-1,312","6,870",0,18,1/382,-,83,3.0,"+3,744","4,280",0,15,1/285,-,35,11.0,+126,719,0,1,1/719,-,14,-,-68,229,0,1,1/229,-,24,3.0,"+3,219","4,372",0,8,1/547,-,19,4.0,"-2,037","3,651",0,9,1/406,-,88,5.0,"+1,185","4,052",0,15,1/270,-,61,19.0,-767,925,0,2,1/463,-,24,3.0,"+1,240","8,292",0,22,1/377,-,42,1.0,"-2,726","4,219",0,8,1/527,-,41,6.0,-826,"2,009",0,3,1/670,-,71,10.0,+345,"3,096",0,9,1/344,-,21,2.0,"+3,392","4,714",0,10,1/471,-,14,-,+676,"2,495",0,6,1/416,-,15,1.0,"-1,089","4,669",0,13,1/359,-,74,3.0,-210,"8,282",0,22,1/376,-,80,6.0,-720,703,0,1,1/703,-,41,6.0
2026-04-08,水,いいえ,"-4,163","5,650",0,11,1/514,-,77,13.0,"-1,574","3,139",0,9,1/349,-,62,17.0,"+3,114","4,604",0,7,1/658,-,19,-,-278,277,0,1,1/277,-,26,4.0,"-1,527","2,809",0,6,1/468,-,33,1.0,-984,"4,276",0,8,1/535,-,86,6.0,"-1,053","7,705",0,19,1/406,-,87,1.0,"+1,063",383,0,1,1/383,-,22,2.0,"-1,214","1,169",0,2,1/585,-,64,2.0,-65,"4,053",0,7,1/579,-,20,1.0,-45,"2,800",0,6,1/467,-,38,1.0,-896,"2,037",0,4,1/509,-,37,4.0,"+3,043","7,868",0,19,1/414,-,32,6.0,"-1,464","1,092",0,1,1/1092,-,22,2.0,"-2,655","4,207",0,9,1/467,-,78,1.0,"-2,112","2,715",0,5,1/543,-,80,2.0,"-1,493","1,770",0,4,1/443,-,45,7.0
2026-04-07,火,いいえ,"-3,169","7,099",0,14,1/507,-,31,2.0,+767,"7,991",0,22,1/363,-,60,15.0,-239,"7,467",0,17,1/439,-,21,2.0,"-1,826","3,377",0,7,1/482,-,18,2.0,-523,"6,319",0,10,1/632,-,27,6.0,"-1,228","6,868",0,15,1/458,-,93,9.0,"-1,785","3,004",0,5,1/601,-,84,7.0,"+2,417","7,367",0,13,1/567,-,32,1.0,"-3,788","5,074",0,9,1/564,-,45,3.0,"+4,449","4,849",0,9,1/539,-,16,-,"-1,811","6,741",0,14,1/482,-,33,1.0,"-1,937","5,869",0,9,1/652,-,29,2.0,-268,"7,391",0,18,1/411,-,37,4.0,"+1,691","8,503",0,17,1/500,-,19,1.0,"-2,137","2,497",0,5,1/499,-,65,5.0,"-3,429","9,379",0,19,1/494,-,77,12.0,"+1,888","6,232",0,14,1/445,-,42,5.0
2026-04-05,日,はい,-61,"6,776",0,11,1/616,-,17,3.0,"-2,938","6,584",0,15,1/439,-,71,7.0,+310,"4,621",0,8,1/578,-,34,1.0,"+8,128","7,373",0,11,1/670,-,14,-,"-5,474","7,696",0,17,1/453,-,22,5.0,"-3,316","6,267",0,15,1/418,-,85,14.0,"-1,503","8,636",0,21,1/411,-,71,7.0,"-2,872","3,615",0,8,1/452,-,44,2.0,"+1,096","5,685",0,9,1/632,-,42,8.0,"-1,850","3,128",0,7,1/447,-,25,3.0,"-4,366","5,333",0,8,1/667,-,31,4.0,"-1,175","6,777",0,9,1/753,-,27,2.0,"-1,303","8,784",0,20,1/439,-,34,1.0,"-3,786","5,987",0,11,1/544,-,22,5.0,-114,"9,389",0,21,1/447,-,33,2.0,"-1,018","4,478",0,10,1/448,-,64,9.0,"+2,579","7,094",0,10,1/709,-,55,11.0
2026-04-04,土,はい,+0,"6,613",0,13,1/509,-,21,2.0,"-2,325","4,700",0,10,1/470,-,62,4.0,"+2,104","6,570",0,20,1/329,-,42,6.0,-824,"3,069",0,6,1/512,-,15,-,"+4,162","5,956",0,11,1/541,-,19,4.0,"-3,963","5,013",0,9,1/557,-,84,13.0,"-4,657","4,269",0,6,1/712,-,71,2.0,-489,"3,179",0,6,1/530,-,36,14.0,"+2,595","8,475",0,22,1/385,-,42,6.0,"+5,319","6,988",0,12,1/582,-,22,1.0,"-2,604","3,217",0,6,1/536,-,21,2.0,"-1,498","1,734",0,4,1/434,-,21,2.0,+974,"7,796",0,19,1/410,-,21,2.0,"+3,421","5,426",0,10,1/543,-,19,4.0,"+1,610","9,286",0,22,1/422,-,22,1.0,"-3,521","3,847",0,8,1/481,-,58,16.0,"-4,296","7,634",0,16,1/477,-,69,7.0
2026-04-03,金,いいえ,"-2,540","3,019",0,5,1/604,-,25,3.0,+996,"9,025",0,27,1/334,-,60,5.0,-955,"2,684",0,7,1/383,-,79,16.0,"+2,403","6,460",0,16,1/404,-,18,2.0,+25,337,0,1,1/337,-,31,6.0,"-1,475","9,695",0,24,1/404,-,33,1.0,-685,731,0,3,1/244,-,44,2.0,"+8,657","7,606",0,19,1/400,-,32,1.0,"-2,606","2,391",0,2,1/1196,-,80,1.0,"-1,794","2,173",0,5,1/435,-,42,9.0,"+4,947","4,733",0,8,1/592,-,16,-,"+2,242","4,563",0,9,1/507,-,22,4.0,-885,948,0,2,1/474,-,42,9.0,"+12,605","8,115",0,14,1/580,-,22,4.0,"-1,584","2,089",0,4,1/522,-,31,6.0,"+3,753","7,172",0,18,1/398,-,55,11.0,"-3,642","5,630",0,13,1/433,-,63,3.0
2026-04-02,木,いいえ,"+3,038","5,072",0,10,1/507,-,14,-,"-2,673","3,964",0,7,1/566,-,89,25.0,"-2,748","2,320",0,4,1/580,-,64,4.0,"+13,333","5,228",0,12,1/436,-,22,3.0,"+7,530","8,995",0,24,1/375,-,44,8.0,"-3,630","6,038",0,15,1/403,-,28,6.0,"-3,027","4,428",0,9,1/492,-,50,5.0,"-2,864","7,020",0,15,1/468,-,90,1.0,"-2,886","3,006",0,5,1/601,-,45,1.0,"-1,196","2,728",0,6,1/455,-,36,8.0,"+1,203","2,202",0,4,1/551,-,19,4.0,"+4,949","8,159",0,15,1/544,-,22,3.0,-222,484,0,1,1/484,-,28,6.0,+516,"6,245",0,19,1/329,-,56,6.0,"+1,209","4,842",0,9,1/538,-,15,1.0,+848,"9,414",0,27,1/349,-,44,8.0,"+1,840","8,790",0,31,1/284,-,60,4.0
2026-04-01,水,いいえ,"-1,687","4,484",0,10,1/448,-,16,-,-686,"6,437",0,17,1/379,-,81,7.0,-842,"2,240",0,6,1/373,-,26,1.0,"-1,357","2,523",0,4,1/631,-,25,3.0,"-2,159","2,654",0,4,1/664,-,53,1.0,"-3,453","7,135",0,14,1/510,-,19,3.0,"-1,634","3,408",0,8,1/426,-,25,3.0,"-1,020","7,273",0,14,1/520,-,88,7.0,-789,"3,690",0,9,1/410,-,35,3.0,"+5,791","6,400",0,18,1/356,-,22,3.0,"+6,169","7,755",0,18,1/431,-,32,4.0,+691,"3,041",0,3,1/1014,-,52,17.0,"-2,696","3,191",0,5,1/638,-,25,3.0,"-4,085","5,759",0,8,1/720,-,64,11.0,"-2,301","2,774",0,8,1/347,-,28,2.0,"-3,025","5,177",0,12,1/431,-,74,10.0,"-3,320","7,247",0,12,1/604,-,89,1.0
2026-03-31,火,いいえ,"+13,417","8,664",0,11,1/788,-,8,-,"-5,309","5,946",0,13,1/457,-,60,6.0,"+2,196","6,856",0,17,1/403,-,18,4.0,"+2,098","6,442",0,17,1/379,-,22,1.0,+585,"7,546",0,17,1/444,-,24,2.0,+938,"7,160",0,16,1/448,-,14,6.0,"+6,920","7,491",0,12,1/624,-,19,1.0,-423,"8,835",0,24,1/368,-,80,20.0,"+1,191","7,118",0,12,1/593,-,42,1.0,"+2,337","8,679",0,18,1/482,-,52,2.0,"-2,368","7,232",0,15,1/482,-,41,1.0,-89,"5,141",0,10,1/514,-,50,8.0,"+5,885","6,273",0,15,1/418,-,14,6.0,"-1,730","5,060",0,10,1/506,-,54,2.0,"-3,053","5,961",0,13,1/459,-,21,2.0,"-2,279","7,821",0,15,1/521,-,40,16.0,"-5,064","8,716",0,18,1/484,-,85,5.0
2026-03-30,月,はい,"+2,095","9,922",0,24,1/413,-,11,-,-171,"7,242",0,13,1/557,-,17,6.0,"-3,168","5,562",0,11,1/506,-,29,4.0,"-1,464","5,348",0,9,1/594,-,34,5.0,-916,"6,131",0,16,1/383,-,39,5.0,"+3,127","7,706",0,19,1/406,-,19,2.0,"+1,520","5,320",0,8,1/665,-,19,2.0,-715,"8,006",0,20,1/400,-,68,4.0,"-4,126","4,054",0,4,1/1014,-,45,6.0,"-3,056","3,776",0,7,1/539,-,89,8.0,-251,"8,148",0,18,1/453,-,20,1.0,"-1,469","7,027",0,14,1/502,-,64,9.0,"-1,251","4,468",0,7,1/638,-,25,5.0,"+2,215","8,975",0,23,1/390,-,55,10.0,"+1,321","5,222",0,8,1/653,-,11,-,"-4,121","4,857",0,8,1/607,-,34,5.0,"-2,699","5,685",0,11,1/517,-,81,13.0
2026-03-29,日,はい,"-1,915","6,138",0,10,1/614,-,19,4.0,+446,"9,237",0,28,1/330,-,20,1.0,-397,"6,255",0,12,1/521,-,15,4.0,"+10,456","9,035",0,22,1/411,-,32,1.0,"-3,243","4,529",0,7,1/647,-,31,10.0,"-1,359","4,989",0,10,1/499,-,21,1.0,"-2,255","5,544",0,8,1/693,-,41,8.0,"-2,281","3,179",0,7,1/454,-,60,11.0,"+1,209","7,147",0,18,1/397,-,33,1.0,"-1,833","3,198",0,6,1/533,-,68,2.0,"+8,296","8,565",0,20,1/428,-,21,1.0,"-1,828","2,940",0,5,1/588,-,49,8.0,"+8,480","7,835",0,14,1/560,-,21,1.0,"-1,463","5,870",0,14,1/419,-,82,14.0,"+1,665","8,220",0,21,1/391,-,11,-,"-2,562","4,592",0,10,1/459,-,31,10.0,"-1,809","7,998",0,13,1/615,-,66,6.0
2026-03-28,土,はい,-227,"8,783",0,21,1/418,-,7,-,"-3,775","4,667",0,8,1/583,-,25,1.0,"-1,882","8,186",0,17,1/482,-,8,1.0,"-2,699","6,749",0,14,1/482,-,67,9.0,"-4,475","5,817",0,13,1/447,-,28,3.0,"+9,606","6,169",0,7,1/881,-,11,3.0,"-2,316","5,798",0,15,1/387,-,44,3.0,"+1,559","8,238",0,20,1/412,-,37,3.0,"-1,713","8,289",0,20,1/414,-,58,7.0,"-1,316","3,206",0,5,1/641,-,30,2.0,"-2,187","5,308",0,9,1/590,-,50,6.0,"-3,172","5,207",0,11,1/473,-,24,13.0,"-1,368","1,490",0,2,1/745,-,34,4.0,"-1,122","9,077",0,21,1/432,-,51,1.0,+236,"7,576",0,20,1/379,-,25,1.0,"-1,477","3,683",0,8,1/460,-,25,1.0,"-3,637","5,255",0,10,1/526,-,41,4.0
2026-03-27,金,いいえ,"+2,197","7,397",0,13,1/569,-,6,-,+209,849,0,1,1/849,-,23,1.0,+961,"8,406",0,17,1/494,-,17,1.0,"-4,480","6,396",0,13,1/492,-,61,6.0,"-1,775","7,988",0,19,1/420,-,13,2.0,"+5,322","4,621",0,7,1/660,-,11,5.0,"-2,492","4,552",0,8,1/569,-,38,5.0,"-2,528","8,705",0,19,1/458,-,85,24.0,"+2,217","5,964",0,15,1/398,-,55,14.0,"-1,914","3,220",0,7,1/460,-,24,1.0,-102,"8,004",0,19,1/421,-,24,1.0,"+1,020","7,282",0,12,1/607,-,16,3.0,"+6,967","8,914",0,21,1/424,-,22,3.0,"-2,025","5,909",0,9,1/657,-,33,9.0,"+4,204","5,698",0,15,1/380,-,41,3.0,"+8,610","6,339",0,9,1/704,-,22,3.0,"-1,000","1,304",0,2,1/652,-,19,2.0
2026-03-26,木,いいえ,"+2,433","3,864",0,7,1/552,-,6,-,"-1,018","2,859",0,6,1/477,-,42,1.0,"+1,363","4,046",0,9,1/450,-,16,3.0,"+3,767","8,627",0,21,1/411,-,49,3.0,"+6,032","7,854",0,19,1/413,-,13,2.0,-49,"2,800",0,7,1/400,-,21,5.0,+476,"5,837",0,13,1/449,-,22,1.0,"-2,461","3,271",0,7,1/467,-,46,4.0,"-1,338","2,359",0,5,1/472,-,41,6.0,"+1,312","6,921",0,18,1/385,-,22,1.0,"-1,809","8,829",0,19,1/465,-,27,5.0,-38,"4,138",0,10,1/414,-,33,6.0,"-1,314","1,181",0,2,1/591,-,58,9.0,"+1,180","4,187",0,7,1/598,-,21,5.0,"-1,674","3,786",0,4,1/947,-,42,1.0,+793,768,0,6,1/128,-,35,2.0,"+5,650","7,386",0,16,1/462,-,11,5.0
2026-03-25,水,いいえ,"+2,977","8,396",0,17,1/494,-,6,-,+275,"3,121",0,7,1/446,-,40,1.0,+629,"1,914",0,3,1/638,-,20,4.0,"-1,872","3,650",0,6,1/608,-,91,36.0,"+2,830","4,103",0,6,1/684,-,20,4.0,"-1,967","2,563",0,5,1/513,-,16,10.0,+38,"2,438",0,6,1/406,-,34,1.0,-538,"5,696",0,10,1/570,-,39,4.0,"-2,890","4,288",0,7,1/613,-,35,1.0,"-1,392","1,415",0,2,1/708,-,55,3.0,"+2,883","2,871",0,4,1/718,-,25,3.0,"+3,678","4,838",0,11,1/440,-,32,7.0,"+2,220","4,632",0,10,1/463,-,42,2.0,"-2,257","4,634",0,10,1/463,-,52,10.0,-465,500,0,1,1/500,-,39,4.0,"+4,840","10,512",0,25,1/420,-,33,1.0,"-1,534","5,223",0,10,1/522,-,22,2.0
2026-03-24,火,いいえ,-478,535,0,1,1/535,-,15,2.0,"+8,065","7,418",0,18,1/412,-,34,9.0,"+2,594","6,972",0,22,1/317,-,25,2.0,-299,"6,256",0,14,1/447,-,73,17.0,+941,"2,151",0,2,1/1076,-,44,4.0,-946,"3,606",0,9,1/401,-,8,-,"+5,445","8,032",0,19,1/423,-,52,3.0,"-2,563","3,086",0,4,1/772,-,34,9.0,+659,"3,271",0,6,1/545,-,23,8.0,-784,"5,201",0,11,1/473,-,46,2.0,+426,"4,939",0,7,1/706,-,56,4.0,"-1,691","4,936",0,8,1/617,-,40,6.0,"-2,564","4,045",0,10,1/405,-,78,5.0,"-2,934","5,372",0,12,1/448,-,49,3.0,-772,"2,821",0,6,1/470,-,34,9.0,"-2,369","7,473",0,19,1/393,-,84,6.0,-305,"7,546",0,17,1/444,-,13,5.0
2026-03-23,月,いいえ,"+3,682","6,817",0,13,1/524,-,18,9.0,"-2,628","3,028",0,7,1/433,-,91,6.0,+168,"6,560",0,16,1/410,-,52,6.0,-960,"4,365",0,8,1/546,-,83,5.0,+168,"6,190",0,14,1/442,-,60,8.0,"+5,415","4,541",0,7,1/649,-,6,-,"-1,265","7,757",0,21,1/369,-,85,2.0,+446,"2,341",0,4,1/585,-,22,1.0,"-1,763","4,302",0,9,1/478,-,42,10.0,"+1,615","5,596",0,11,1/509,-,46,4.0,-949,"2,128",0,3,1/709,-,66,4.0,-567,"3,133",0,6,1/522,-,21,3.0,-343,"6,041",0,9,1/671,-,62,2.0,-399,"6,940",0,18,1/386,-,18,9.0,+804,"5,993",0,15,1/400,-,32,10.0,"-3,201","3,891",0,7,1/556,-,78,12.0,-466,"6,774",0,12,1/565,-,9,3.0
2026-03-22,日,はい,"+5,276","8,440",0,15,1/563,-,18,2.0,-157,"8,706",0,18,1/484,-,85,11.0,"+5,793","8,808",0,17,1/518,-,55,9.0,"-1,454","7,913",0,19,1/416,-,74,5.0,"-1,550","8,042",0,19,1/423,-,65,5.0,"+1,919","7,922",0,13,1/609,-,16,10.0,"-4,163","6,566",0,10,1/657,-,69,4.0,"+1,584","8,996",0,20,1/450,-,21,3.0,"-2,674","3,234",0,7,1/462,-,41,20.0,"+1,942","8,097",0,19,1/426,-,60,1.0,-720,"7,431",0,22,1/338,-,60,1.0,"+10,951","8,077",0,16,1/505,-,21,3.0,"-3,487","5,933",0,11,1/539,-,59,4.0,"+3,798","8,636",0,24,1/360,-,21,3.0,"-3,608","7,086",0,15,1/472,-,44,3.0,"-4,263","5,098",0,8,1/637,-,46,2.0,"+4,102","6,137",0,8,1/767,-,6,-
2026-03-21,土,はい,"+5,072","7,967",0,15,1/531,-,22,6.0,"-3,435","7,139",0,15,1/476,-,34,10.0,"-6,258","8,080",0,17,1/475,-,84,13.0,"-2,760","6,737",0,15,1/449,-,55,15.0,+766,"9,701",0,26,1/373,-,40,2.0,"+3,062","6,224",0,12,1/519,-,16,1.0,"-2,610","5,414",0,14,1/387,-,38,4.0,"-4,084","5,978",0,12,1/498,-,24,1.0,"-1,032","3,811",0,8,1/476,-,23,1.0,"-1,002","6,652",0,16,1/416,-,85,1.0,"+3,325","6,575",0,15,1/438,-,58,2.0,"-1,423","7,302",0,16,1/456,-,71,13.0,+662,"9,286",0,26,1/357,-,56,1.0,+413,"8,609",0,20,1/430,-,40,2.0,-911,"7,787",0,21,1/371,-,34,10.0,"-1,194","4,532",0,9,1/504,-,16,1.0,"+8,871","5,439",0,10,1/544,-,15,-
2026-03-20,金,はい,"-1,355","9,475",0,17,1/557,-,54,2.0,"-3,617","6,162",0,11,1/560,-,31,9.0,-534,"7,008",0,15,1/467,-,50,3.0,"-1,017","6,481",0,14,1/463,-,55,1.0,"-3,196","5,163",0,10,1/516,-,52,2.0,"+10,542","7,906",0,10,1/791,-,16,1.0,+427,"8,719",0,22,1/396,-,35,4.0,"+2,863","7,866",0,16,1/492,-,9,-,"+8,930","7,328",0,17,1/431,-,22,1.0,"-2,232","8,115",0,20,1/406,-,85,6.0,"-4,227","7,220",0,15,1/481,-,86,1.0,"-2,437","8,172",0,19,1/430,-,65,10.0,"-4,303","8,217",0,14,1/587,-,47,12.0,-264,"8,993",0,21,1/428,-,79,14.0,"+15,892","8,718",0,10,1/872,-,21,3.0,"+1,123","7,700",0,15,1/513,-,18,2.0,"+6,357","6,880",0,11,1/625,-,15,6.0
2026-03-19,木,いいえ,+779,"4,974",0,10,1/497,-,32,1.0,"-1,108","5,999",0,14,1/429,-,16,1.0,"-1,949","4,000",0,11,1/364,-,49,10.0,"+1,581","4,626",0,12,1/386,-,56,5.0,"-1,010","8,176",0,15,1/545,-,49,10.0,"+2,737","4,992",0,11,1/454,-,21,3.0,"-1,779","3,623",0,6,1/604,-,73,15.0,-265,"5,082",0,11,1/462,-,30,5.0,"-1,357","4,883",0,14,1/349,-,25,4.0,"-3,023","3,656",0,7,1/522,-,83,10.0,"-1,881","6,254",0,15,1/417,-,51,2.0,-180,"1,527",0,3,1/509,-,38,6.0,"+2,121","6,462",0,17,1/380,-,39,1.0,-791,"4,262",0,9,1/474,-,31,1.0,"-1,156","5,693",0,12,1/474,-,58,2.0,"+1,586","7,010",0,22,1/319,-,18,2.0,"+2,401","3,351",0,8,1/419,-,15,-
2026-03-18,水,いいえ,"-1,758","3,735",0,7,1/534,-,33,9.0,"+1,064","1,710",0,3,1/570,-,14,-,"-1,213","2,407",0,4,1/602,-,42,1.0,"+1,369","9,039",0,25,1/362,-,61,10.0,-467,725,0,1,1/725,-,41,3.0,-274,"6,008",0,15,1/401,-,41,3.0,"-2,181","4,857",0,8,1/607,-,44,2.0,-544,"2,894",0,7,1/413,-,24,4.0,"+5,445","6,352",0,13,1/489,-,18,4.0,-290,"2,549",0,5,1/510,-,41,3.0,"-4,264","4,476",0,9,1/497,-,49,2.0,+21,"2,280",0,4,1/570,-,47,3.0,"-4,086","5,419",0,12,1/452,-,83,22.0,"-1,852","2,443",0,5,1/489,-,20,1.0,"-1,334","4,139",0,10,1/414,-,51,2.0,-869,802,0,2,1/401,-,38,5.0,"+8,001","8,287",0,15,1/552,-,19,1.0
2026-03-17,火,いいえ,"-2,510","2,031",0,3,1/677,-,28,3.0,"-1,410","4,695",0,9,1/522,-,23,2.0,"-2,228","2,930",0,6,1/488,-,41,1.0,"-2,979","3,260",0,5,1/652,-,89,44.0,"-1,720","1,718",0,2,1/859,-,41,1.0,"-1,163",895,0,1,1/895,-,40,6.0,"-2,743","3,515",0,5,1/703,-,25,2.0,-544,"6,835",0,18,1/380,-,21,10.0,-526,"3,105",0,9,1/345,-,30,2.0,"-1,357","5,231",0,11,1/476,-,40,6.0,"-2,374","3,032",0,5,1/606,-,34,1.0,"+1,888","7,758",0,24,1/323,-,33,1.0,"-1,075",890,0,1,1/890,-,45,2.0,+767,"8,878",0,17,1/522,-,11,-,"-2,486","6,951",0,15,1/463,-,43,2.0,"-1,406","2,692",0,4,1/673,-,34,1.0,"-1,565","4,638",0,13,1/357,-,32,2.0
2026-03-16,月,いいえ,"+3,385","7,273",0,16,1/455,-,30,1.0,+446,"2,503",0,6,1/417,-,23,1.0,"-2,230","4,195",0,8,1/524,-,25,2.0,-44,"9,513",0,24,1/396,-,78,5.0,"-1,014","1,962",0,3,1/654,-,35,5.0,"-3,521","6,999",0,15,1/467,-,35,5.0,+488,"2,129",0,4,1/532,-,22,2.0,"+3,398","3,227",0,6,1/538,-,15,-,"-2,092","1,909",0,3,1/636,-,22,2.0,"-1,887","5,929",0,14,1/424,-,35,5.0,"-1,160","3,980",0,9,1/442,-,29,4.0,"-1,052","2,754",0,3,1/918,-,73,31.0,"-1,993","2,057",0,3,1/686,-,42,7.0,"-2,487","3,981",0,11,1/362,-,19,1.0,-434,"2,991",0,9,1/332,-,18,3.0,+238,"2,367",0,6,1/395,-,20,1.0,"+5,564","6,555",0,14,1/468,-,19,1.0
2026-03-15,日,はい,-878,"6,061",0,12,1/505,-,32,1.0,"+9,841","7,972",0,19,1/420,-,32,1.0,"+7,309","8,178",0,18,1/454,-,21,2.0,"-1,108","5,227",0,10,1/523,-,54,19.0,"+4,457","6,461",0,16,1/404,-,32,1.0,"+3,714","7,525",0,17,1/443,-,32,1.0,"+3,830","7,929",0,20,1/396,-,35,3.0,"+5,157","6,377",0,13,1/491,-,19,5.0,"+3,889","8,180",0,16,1/511,-,19,5.0,"+4,659","7,956",0,17,1/468,-,32,1.0,"-1,583","7,906",0,16,1/494,-,21,2.0,"-1,004","4,401",0,7,1/629,-,31,1.0,"-1,453","7,110",0,20,1/356,-,25,4.0,+304,"6,766",0,18,1/376,-,14,-,+515,"7,309",0,14,1/522,-,19,5.0,"+4,202","9,477",0,23,1/412,-,19,5.0,"-4,340","5,554",0,7,1/793,-,30,5.0
2026-03-14,土,はい,"-4,651","7,294",0,14,1/521,-,38,3.0,"-1,109","1,688",0,3,1/563,-,42,4.0,"+6,548","7,399",0,13,1/569,-,32,3.0,"-2,935","4,926",0,10,1/493,-,29,4.0,"+2,565","9,373",0,20,1/469,-,52,10.0,"+17,779","7,934",0,8,1/992,-,35,3.0,"-2,082","6,886",0,13,1/530,-,59,7.0,"+2,021","5,456",0,7,1/779,-,22,1.0,"-2,432","4,158",0,10,1/416,-,25,3.0,"-3,644","3,940",0,6,1/657,-,64,5.0,"+7,418","5,883",0,9,1/654,-,22,1.0,"-4,760","6,145",0,15,1/410,-,25,3.0,"+6,686","3,666",0,5,1/733,-,18,-,"-1,226","6,765",0,16,1/423,-,21,1.0,"+4,172","7,505",0,20,1/375,-,19,1.0,"-3,463","4,624",0,10,1/462,-,38,3.0,"+2,383","7,443",0,15,1/496,-,20,1.0
2026-03-13,金,いいえ,"+2,678","6,842",0,15,1/456,-,23,1.0,"+3,542","8,783",0,18,1/488,-,42,1.0,"-1,477","4,618",0,12,1/385,-,42,1.0,"-1,921","3,390",0,6,1/565,-,26,1.0,"-2,230","8,790",0,21,1/419,-,88,36.0,-98,"9,845",0,26,1/379,-,89,1.0,"-1,386","5,611",0,13,1/432,-,52,2.0,"-3,873","5,374",0,8,1/672,-,42,1.0,"+5,316","5,432",0,11,1/494,-,23,1.0,-147,"6,956",0,17,1/409,-,50,5.0,"+8,185","8,704",0,19,1/458,-,41,15.0,+854,"5,552",0,10,1/555,-,23,1.0,"-2,398","4,238",0,9,1/471,-,26,1.0,"+4,863","4,951",0,15,1/330,-,16,-,"-1,830","7,049",0,12,1/587,-,45,3.0,"+1,807","4,830",0,10,1/483,-,25,2.0,"+1,594","9,388",0,23,1/408,-,22,6.0
2026-03-12,木,いいえ,"+1,857","7,812",0,18,1/434,-,52,8.0,"-1,269","3,150",0,4,1/788,-,86,1.0,"-2,437","4,416",0,10,1/442,-,29,4.0,-970,"5,300",0,15,1/353,-,15,1.0,-810,"8,702",0,26,1/335,-,86,1.0,"-2,790","3,008",0,5,1/602,-,85,19.0,+28,"3,530",0,8,1/441,-,40,8.0,+533,"3,372",0,5,1/674,-,32,1.0,"+9,711","8,394",0,18,1/466,-,23,8.0,"+4,738","6,402",0,13,1/492,-,55,3.0,"-2,137","3,279",0,6,1/547,-,66,11.0,"-2,391","3,782",0,7,1/540,-,25,2.0,"-2,818","3,942",0,9,1/438,-,14,-,"+4,625","4,425",0,10,1/443,-,32,1.0,"-1,116","8,524",0,17,1/501,-,42,2.0,"-3,083","4,660",0,10,1/466,-,31,2.0,"-3,521","4,468",0,8,1/559,-,44,2.0
