日付,曜日,特定日,1026番台,,,,,,,,,1027番台,,,,,,,,,1028番台,,,,,,,,,1030番台,,,,,,,,,1031番台,,,,,,,,,1032番台,,,,,,,,,1033番台,,,,,,,,,1035番台,,,,,,,,,1036番台,,,,,,,,,1037番台,,,,,,,,,1038番台,,,,,,,,,1050番台,,,,,,,,,1051番台,,,,,,,,,1057番台,,,,,,,,,1058番台,,,,,,,,,1060番台,,,,,,,,,1061番台,,,,,,,,,1062番台,,,,,,,,,1063番台,,,,,,,,,1065番台,,,,,,,,,1066番台,,,,,,,,,1067番台,,,,,,,,,1068番台,,,,,,,,,1070番台,,,,,,,,,1071番台,,,,,,,,,1072番台,,,,,,,,,1073番台,,,,,,,,,1075番台,,,,,,,,,1076番台,,,,,,,,,1077番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-01-07,水,いいえ,+169,"7,629",25,33,1/132,1/5.92,4.74,31,7.0,-828,"6,241",23,16,1/160,1/6.30,2.45,52,1.0,-793,"3,888",13,8,1/185,1/6.01,2.25,19,1.0,"-1,250","9,691",27,39,1/147,1/5.94,4.19,55,1.0,+0,"8,864",29,33,1/143,1/5.76,3.98,15,1.0,+822,"8,585",36,23,1/146,1/5.86,2.63,34,3.0,+0,"5,480",21,13,1/161,1/5.77,2.37,14,3.0,-299,"4,535",17,8,1/181,1/5.72,2.02,16,1.0,-67,"7,040",24,26,1/141,1/5.93,3.95,22,3.0,"-1,425","3,838",11,4,1/256,1/5.81,1.74,38,4.0,"-1,552","6,724",19,18,1/182,1/5.85,2.31,63,8.0,-926,"2,640",6,7,1/203,1/5.79,2.71,23,1.0,+974,"5,649",26,14,1/141,1/5.87,2.70,18,1.0,"+3,447","7,124",37,28,1/110,1/5.76,5.06,6,-,-632,"4,065",13,9,1/185,1/5.72,2.30,17,1.0,-322,"6,108",22,14,1/170,1/5.73,2.17,22,3.0,-329,"4,784",18,11,1/165,1/5.96,2.37,16,1.0,"+1,825","6,398",32,12,1/145,1/5.56,2.06,10,3.0,-492,"4,706",15,15,1/157,1/5.90,3.15,19,1.0,+418,"5,811",25,13,1/153,1/5.89,2.31,24,1.0,"-1,034","4,821",14,13,1/179,1/5.87,2.53,23,1.0,-345,"6,042",20,18,1/159,1/5.73,2.86,54,2.0,"+1,771","5,517",29,15,1/125,1/6.02,3.33,7,1.0,"-1,761","4,388",9,13,1/199,1/5.90,2.62,51,1.0,+41,"6,193",25,14,1/159,1/5.91,2.23,50,1.0,-51,"4,454",17,12,1/154,1/5.94,2.81,11,1.0,-23,"9,076",31,34,1/140,1/5.93,4.10,49,4.0,"+1,931","9,851",36,49,1/116,1/5.83,5.58,14,3.0,"-1,040","5,516",17,14,1/178,1/5.87,2.35,52,1.0,-593,"5,686",20,11,1/183,1/5.71,1.94,45,7.0
2026-01-06,火,いいえ,-560,"6,263",21,24,1/139,1/6.31,4.08,19,2.0,-152,"6,626",22,24,1/144,1/5.87,3.78,25,3.0,+796,"8,112",31,26,1/142,1/5.69,3.39,15,1.0,"-3,167","8,394",21,21,1/200,1/6.08,1.98,34,3.0,"-2,862","6,513",16,9,1/261,1/5.82,1.54,22,3.0,-153,"8,306",26,33,1/141,1/5.80,4.26,45,1.0,"+2,121","8,079",36,47,1/97,1/6.88,5.88,14,2.0,"+1,756","8,180",38,24,1/132,1/5.93,3.35,12,1.0,-74,"6,331",23,16,1/162,1/5.68,2.39,19,2.0,-411,"7,075",26,17,1/165,1/5.87,2.20,34,3.0,+585,"7,042",31,15,1/153,1/5.90,2.10,31,2.0,"+1,679","8,549",34,30,1/134,1/5.57,4.02,22,3.0,-348,"7,101",25,21,1/154,1/5.90,2.86,29,1.0,-226,"8,412",30,23,1/159,1/5.76,2.48,17,2.0,"+1,168","6,907",32,16,1/144,1/5.85,2.39,10,1.0,-898,"6,755",24,14,1/178,1/5.93,1.93,15,1.0,"+1,254","8,732",36,28,1/136,1/5.81,3.57,14,2.0,"+2,034","8,630",46,15,1/141,1/6.04,1.80,11,1.0,"+2,404","7,746",39,24,1/123,1/5.99,3.90,17,2.0,"+1,596","8,854",31,47,1/114,1/5.88,5.67,19,2.0,+557,"6,857",28,22,1/137,1/6.04,3.53,15,1.0,-463,"6,031",21,18,1/155,1/6.00,2.93,52,7.0,+532,"8,568",31,33,1/134,1/5.91,4.36,9,-,+734,"7,142",32,15,1/152,1/5.88,2.08,26,1.0,-550,"7,969",23,33,1/142,1/5.83,4.35,80,26.0,+552,"6,667",28,16,1/152,1/5.81,2.38,11,1.0,"-2,555","7,442",20,19,1/191,1/6.15,2.11,54,2.0,"+1,131","8,841",29,43,1/123,1/5.70,5.34,22,3.0,-25,"8,895",30,31,1/146,1/5.78,3.64,44,10.0,"+1,678","8,652",34,36,1/124,1/5.79,4.91,28,2.0
2026-01-04,日,はい,+571,"8,403",33,26,1/142,1/5.88,3.24,18,1.0,"-1,791","5,672",16,11,1/210,1/5.90,1.86,26,4.0,"+1,371","7,158",33,18,1/140,1/5.81,2.63,20,2.0,"-1,245","4,242",12,8,1/212,1/5.79,2.02,18,1.0,+165,"6,496",25,19,1/148,1/5.91,2.97,15,1.0,"-1,603","5,595",13,18,1/180,1/5.80,2.85,41,1.0,"+1,122","7,525",32,24,1/134,1/5.91,3.59,17,1.0,-425,"2,987",11,4,1/199,1/5.80,2.10,16,1.0,"+3,448","8,811",44,33,1/114,1/5.87,4.92,14,5.0,"-1,040","4,707",14,11,1/188,1/5.82,2.26,29,3.0,"-1,037","6,603",20,19,1/169,1/5.83,2.60,76,25.0,"+1,504","7,982",37,22,1/135,1/5.96,3.01,22,1.0,"+3,090","9,225",43,30,1/126,1/5.58,4.01,16,1.0,"-1,243","7,654",25,19,1/174,1/5.93,2.15,21,1.0,"+2,079","7,280",36,20,1/130,1/5.85,3.18,9,-,+308,"6,852",30,14,1/156,1/6.01,2.04,15,1.0,+280,"7,157",27,21,1/149,1/5.78,2.92,36,2.0,-768,"4,782",16,10,1/184,1/5.84,2.13,18,1.0,"-1,509","5,302",14,16,1/177,1/6.04,2.74,26,4.0,"-1,442","7,705",24,21,1/171,1/5.98,2.37,40,2.0,"+2,032","9,488",37,38,1/127,1/5.62,4.75,16,1.0,"-1,995","4,454",11,8,1/234,1/6.05,1.90,47,4.0,"+1,750","8,158",36,26,1/132,1/5.80,3.70,9,-,"-1,336","4,808",14,9,1/209,1/5.80,1.94,34,5.0,"-1,975","5,843",18,6,1/243,1/5.89,1.52,76,25.0,+375,"7,179",26,29,1/131,1/6.04,4.53,15,1.0,-113,"5,552",21,12,1/168,1/5.72,2.16,22,1.0,-700,"6,849",26,13,1/176,1/5.97,1.84,38,2.0,"-1,172","6,262",21,14,1/179,1/6.03,2.06,43,2.0,+80,"7,401",27,20,1/157,1/5.68,2.52,51,4.0
2026-01-03,土,はい,-299,"7,638",27,21,1/159,1/5.79,2.53,28,1.0,+288,"6,318",28,8,1/176,1/5.73,1.63,14,1.0,"-1,053","4,606",15,8,1/200,1/5.89,1.93,39,1.0,"-1,402","4,744",16,5,1/226,1/6.02,1.65,13,1.0,"-1,406","2,864",7,3,1/286,1/5.89,1.91,18,2.0,-480,"7,141",27,15,1/170,1/5.89,1.95,25,1.0,"-1,304","4,817",15,8,1/209,1/5.89,1.85,39,1.0,+415,"7,498",30,21,1/147,1/5.89,2.80,13,1.0,"+1,100","9,089",32,40,1/126,1/5.78,5.02,24,3.0,+248,"5,379",21,15,1/149,1/5.82,2.87,28,1.0,"-2,791","6,041",14,13,1/224,1/6.11,1.89,71,32.0,"-1,040","7,122",19,32,1/140,1/6.09,4.64,28,1.0,-367,"6,618",22,20,1/158,1/5.76,2.89,37,3.0,+629,"7,765",30,25,1/141,1/5.81,3.43,13,1.0,"+1,537","8,331",32,33,1/128,1/5.66,4.61,9,-,"-1,261","7,335",24,23,1/156,1/6.28,3.01,16,2.0,-888,"5,807",16,19,1/166,1/5.70,3.05,27,2.0,-19,"5,428",23,12,1/155,1/6.15,2.32,11,2.0,+57,"8,115",28,31,1/138,1/5.96,4.20,12,1.0,"-1,543","3,969",9,11,1/198,1/5.99,2.56,20,2.0,"-1,863","3,602",8,5,1/277,1/5.92,1.85,29,1.0,-949,"4,325",15,8,1/188,1/6.13,2.07,32,2.0,"+1,536","8,523",39,20,1/144,1/5.75,2.28,13,1.0,-862,"6,380",23,15,1/168,1/6.12,2.20,25,1.0,"-1,074","5,350",18,9,1/198,1/5.86,1.82,38,1.0,"-1,728","2,587",4,6,1/259,1/6.29,2.42,30,1.0,-137,"6,369",23,16,1/163,1/5.70,2.37,11,2.0,+376,"8,564",32,28,1/143,1/5.86,3.46,21,1.0,-807,"5,033",16,13,1/174,1/5.87,2.47,34,2.0,"-1,528","6,877",21,16,1/186,1/5.90,2.03,85,14.0
2026-01-02,金,いいえ,"-1,160","6,110",19,16,1/175,1/5.94,2.37,34,5.0,"-1,301","7,239",22,19,1/177,1/5.83,2.27,21,1.0,"-1,195","6,474",18,21,1/166,1/5.84,3.00,29,1.0,"+1,061","6,802",29,19,1/142,1/5.73,2.94,8,1.0,"+2,502","8,057",39,29,1/118,1/6.00,4.61,8,1.0,"-1,775","6,709",20,11,1/216,1/5.72,1.64,21,1.0,+74,"7,348",30,19,1/150,1/6.08,2.52,17,1.0,-508,"6,206",23,16,1/159,1/6.09,2.48,20,1.0,-950,"6,047",22,13,1/173,1/6.17,2.07,56,16.0,"+4,839","8,286",49,27,1/109,1/5.79,4.71,26,1.0,"-1,005","5,739",18,15,1/174,1/5.90,2.41,27,1.0,-478,"6,160",24,11,1/176,1/5.92,1.85,16,2.0,+158,"8,500",32,27,1/144,1/5.96,3.30,40,6.0,+434,"6,719",25,16,1/164,1/5.42,2.22,18,1.0,-149,"6,005",25,12,1/162,1/6.07,2.05,19,1.0,"+1,062","8,901",36,31,1/133,1/5.95,4.03,6,-,+85,"5,951",24,14,1/157,1/5.91,2.35,24,3.0,"+1,333","7,617",34,19,1/144,1/5.72,2.51,7,1.0,-580,"7,163",27,16,1/167,1/6.00,2.06,21,1.0,"+1,148","8,490",38,20,1/146,1/5.85,2.26,12,1.0,-687,"5,476",20,14,1/161,1/6.22,2.51,18,1.0,-664,"5,064",17,17,1/149,1/6.29,3.41,14,2.0,"-1,070","7,211",25,18,1/168,1/6.09,2.24,16,2.0,-723,"7,236",24,21,1/161,1/5.89,2.69,17,1.0,-255,"4,629",18,9,1/171,1/5.89,2.14,28,1.0,+881,"5,711",25,15,1/143,1/5.78,2.81,25,1.0,"+1,114","7,949",39,13,1/153,1/5.97,1.72,11,3.0,"-2,725","5,983",13,13,1/230,1/5.93,1.89,25,1.0,"+1,210","9,562",36,39,1/127,1/5.88,4.78,16,2.0,-875,"8,048",27,24,1/158,1/6.00,2.78,68,12.0
2026-01-01,木,いいえ,"-1,599","5,504",15,14,1/190,1/5.95,2.28,26,2.0,-416,"3,359",12,8,1/168,1/6.05,2.62,8,-,"+2,216","6,726",35,18,1/127,1/5.90,3.20,15,1.0,+469,"3,975",17,8,1/159,1/5.59,2.37,11,1.0,"+1,746","7,531",34,21,1/137,1/5.66,3.02,15,1.0,"+2,104","6,451",30,24,1/119,1/5.79,4.55,14,1.0,-296,"6,294",21,17,1/166,1/5.61,2.51,22,6.0,"-1,069","2,759",7,5,1/230,1/5.86,2.25,15,1.0,"-1,830","5,930",15,19,1/174,1/6.11,2.88,54,10.0,-69,"8,258",25,34,1/140,1/5.71,4.40,44,9.0,-27,"2,656",12,5,1/156,1/6.36,2.61,24,2.0,+41,"4,750",20,8,1/170,1/5.84,2.00,10,1.0,"-1,509","5,728",16,12,1/205,1/5.71,1.94,35,8.0,+677,"7,221",31,17,1/150,1/5.83,2.30,13,2.0,-833,"3,258",11,5,1/204,1/6.05,2.09,15,1.0,-501,"2,230",7,5,1/186,1/5.97,2.71,14,1.0,+265,"7,455",29,23,1/143,1/5.98,3.22,15,1.0,-625,"7,190",24,23,1/153,1/5.98,3.14,11,1.0,-795,"2,555",7,3,1/256,1/5.50,2.06,15,1.0,-139,"5,782",20,18,1/152,1/5.80,3.11,24,2.0,-684,"2,234",7,3,1/223,1/5.94,2.27,16,1.0,"+3,002","8,159",41,29,1/117,1/5.92,4.65,14,1.0,+98,"5,462",23,9,1/171,1/5.78,1.88,9,1.0,+483,"3,157",16,4,1/158,1/5.93,2.19,16,1.0,+725,"7,839",31,24,1/143,1/5.79,3.20,27,1.0,"+2,244","8,628",38,29,1/129,1/5.67,4.03,24,2.0,-440,"2,160",8,3,1/196,1/6.12,2.38,11,1.0,+391,"4,664",20,14,1/137,1/6.16,3.32,10,1.0,"+1,013","9,355",37,38,1/125,1/6.16,4.84,44,9.0,"-1,797","3,467",7,9,1/217,1/6.24,2.46,35,8.0
2025-12-31,水,いいえ,+527,"6,564",28,16,1/149,1/5.90,2.45,15,1.0,"+1,298","5,039",25,13,1/133,1/5.92,3.02,6,-,-887,"1,709",3,5,1/214,1/6.10,2.99,19,1.0,"+1,366","6,960",29,29,1/120,1/6.03,4.89,14,1.0,+804,"5,298",23,12,1/151,1/5.61,2.41,24,1.0,-242,"3,071",11,6,1/181,1/5.68,2.39,16,1.0,-951,"2,974",8,7,1/198,1/5.96,2.52,23,2.0,"+2,049","4,886",29,8,1/132,1/5.83,2.26,10,1.0,+159,"5,600",22,16,1/147,1/5.95,2.95,47,1.0,-699,"7,217",20,28,1/150,1/5.73,3.91,46,3.0,+556,"4,037",18,11,1/139,1/5.98,3.09,15,1.0,"-1,720","3,115",5,9,1/223,1/6.07,2.65,18,2.0,"-1,262","4,849",12,13,1/194,1/5.62,2.42,30,3.0,+214,"6,128",22,23,1/136,1/5.96,4.08,18,2.0,-620,"4,222",13,12,1/169,1/5.82,2.78,9,1.0,"+2,335","5,275",28,16,1/120,1/5.68,3.82,6,-,"-1,249","2,581",5,5,1/258,1/5.71,2.29,26,2.0,"+3,822","6,689",32,37,1/97,1/5.63,5.77,14,1.0,+763,"7,421",31,23,1/137,1/6.00,3.39,13,3.0,"-1,107","2,475",5,6,1/225,1/5.84,2.57,21,1.0,+873,"5,814",26,15,1/142,1/5.87,2.77,10,1.0,-256,"2,731",11,4,1/182,1/6.00,2.27,27,1.0,+181,"5,900",22,19,1/144,1/5.89,3.37,13,3.0,-132,"6,079",25,10,1/174,1/5.85,1.80,16,1.0,-372,"7,273",22,31,1/137,1/5.95,4.54,34,4.0,-132,"3,857",15,6,1/184,1/5.64,2.04,43,9.0,+237,"5,701",24,15,1/146,1/6.10,2.75,8,2.0,-227,"4,662",18,9,1/173,1/5.82,2.12,20,1.0,-978,"5,412",18,15,1/164,1/6.21,2.66,81,34.0,-180,"6,912",23,20,1/161,1/5.59,2.70,24,1.0
2025-12-30,火,はい,"+2,190","7,284",34,23,1/128,1/5.68,3.77,17,1.0,"+1,766","7,474",34,23,1/131,1/5.80,3.56,12,1.0,"+1,475","8,283",36,25,1/136,1/5.81,3.34,11,1.0,"+1,771","6,477",32,21,1/122,1/6.12,4.02,14,2.0,-875,"7,967",25,26,1/156,1/5.90,3.14,31,4.0,"+1,721","7,799",34,24,1/134,1/5.67,3.46,15,1.0,-297,"7,942",29,22,1/156,1/5.91,2.59,16,1.0,+281,"8,379",31,28,1/142,1/5.90,3.56,15,1.0,-880,"6,428",21,19,1/161,1/6.02,2.79,34,3.0,"-1,360","7,393",23,20,1/172,1/5.95,2.37,49,15.0,"+1,378","8,417",35,30,1/129,1/5.91,4.21,14,2.0,"-1,022","4,420",13,8,1/210,1/5.62,1.96,10,1.0,-473,"6,451",23,16,1/165,1/5.85,2.31,20,3.0,+236,"7,614",30,19,1/155,1/5.80,2.34,34,3.0,"+2,475","7,798",38,29,1/116,1/6.06,4.76,6,-,+316,"7,401",29,22,1/145,1/5.93,3.04,15,1.0,-291,"6,177",24,16,1/154,1/6.13,2.55,27,2.0,"+2,525","8,873",43,25,1/130,1/5.79,3.23,20,3.0,-237,"7,730",25,28,1/146,1/5.81,3.77,11,1.0,"+3,506","8,739",39,41,1/109,1/5.68,5.54,11,1.0,"+1,796","8,330",41,23,1/130,1/6.15,3.17,9,3.0,-481,"6,630",25,15,1/166,1/5.97,2.13,21,1.0,"-1,145","7,796",25,19,1/177,1/5.78,2.08,21,1.0,+202,"7,440",29,21,1/149,1/5.91,2.79,12,1.0,-579,"6,512",26,13,1/167,1/6.18,1.96,24,3.0,-28,"7,488",26,26,1/144,1/5.88,3.65,31,4.0,-716,"6,614",22,18,1/165,1/5.86,2.50,14,2.0,-81,"7,018",27,21,1/146,1/6.11,3.05,9,3.0,"-1,193","6,057",17,16,1/184,1/5.67,2.33,68,19.0,+454,"8,552",34,27,1/140,1/6.03,3.39,25,1.0
2025-12-29,月,いいえ,-384,"6,623",25,15,1/166,1/5.91,2.13,20,2.0,"-1,246","3,832",11,9,1/192,1/6.18,2.38,15,1.0,-968,"7,210",25,18,1/168,1/6.02,2.24,32,2.0,"+1,731","8,847",40,22,1/143,1/5.69,2.44,20,2.0,"-1,247","4,186",11,12,1/182,1/6.02,2.69,32,2.0,-662,"4,263",16,6,1/194,1/5.95,1.88,30,1.0,+901,"8,657",38,19,1/152,1/5.82,2.03,13,1.0,-469,"2,806",8,6,1/200,1/5.41,2.45,16,1.0,+959,"7,191",30,21,1/141,1/5.78,3.08,18,2.0,-607,"5,209",18,8,1/200,1/5.55,1.78,46,5.0,-876,"7,763",24,24,1/162,1/5.79,2.85,22,2.0,"+1,490","8,011",38,21,1/136,1/6.02,2.82,7,-,+492,"4,500",22,8,1/150,1/6.16,2.22,14,1.0,"-2,023","5,835",13,19,1/182,1/5.97,2.85,41,9.0,+287,"6,946",27,20,1/148,1/5.86,2.90,11,1.0,"-1,349","4,515",12,10,1/205,1/5.77,2.15,24,2.0,-613,"6,231",20,19,1/160,1/5.83,2.91,24,2.0,+686,"6,494",29,14,1/151,1/5.88,2.20,54,8.0,+874,"8,727",34,29,1/139,1/5.81,3.65,13,1.0,"-1,193","6,499",21,18,1/167,1/6.11,2.54,20,2.0,-469,"6,439",22,21,1/150,1/6.03,3.29,15,1.0,-451,"5,473",20,10,1/182,1/5.71,1.92,9,1.0,"+1,677","9,016",34,40,1/122,1/5.78,5.15,15,1.0,"+1,155","8,711",33,36,1/126,1/5.90,4.82,16,1.0,-739,"3,094",9,8,1/182,1/5.93,2.69,12,1.0,-416,"6,966",26,17,1/162,1/5.95,2.27,22,2.0,+287,"5,107",21,14,1/146,1/5.98,2.91,10,1.0,+449,"7,954",33,19,1/153,1/5.86,2.24,8,1.0,-70,"6,108",23,18,1/149,1/6.00,2.99,22,2.0,-97,"8,278",30,21,1/162,1/5.68,2.25,29,5.0
2025-12-28,日,はい,+531,"6,684",28,16,1/152,1/5.81,2.36,19,1.0,+778,"6,898",28,24,1/133,1/5.99,3.95,12,1.0,-260,"7,404",26,24,1/148,1/5.96,3.29,41,6.0,-661,"5,524",18,15,1/167,1/5.83,2.57,44,2.0,+382,"6,133",26,15,1/150,1/5.96,2.49,19,1.0,"+2,589","9,563",42,34,1/126,1/5.69,4.39,26,2.0,-27,"3,772",14,11,1/151,1/5.91,3.08,16,1.0,+972,"7,753",35,17,1/149,1/5.86,2.13,16,1.0,-357,"9,148",27,40,1/137,1/5.87,4.73,42,1.0,-537,"3,132",11,6,1/184,1/5.99,2.34,22,1.0,"-1,037","6,036",20,14,1/178,1/5.95,2.15,15,1.0,"+2,618","6,413",32,19,1/126,1/5.49,3.59,12,1.0,+362,"7,584",33,18,1/149,1/6.11,2.31,24,2.0,-472,"6,180",23,14,1/167,1/5.94,2.17,22,1.0,+500,"4,963",21,15,1/138,1/6.03,3.32,10,2.0,"+1,025","8,121",34,25,1/138,1/5.89,3.36,16,1.0,+748,"6,133",24,14,1/161,1/5.34,2.23,18,1.0,"-1,120","4,831",14,14,1/173,1/6.03,2.73,57,13.0,+67,"7,712",27,29,1/138,1/5.98,4.12,31,5.0,+284,"7,423",27,29,1/133,1/6.06,4.39,8,-,"+2,331","7,771",37,29,1/118,1/6.02,4.73,16,1.0,"+1,133","6,865",27,25,1/132,1/5.71,4.13,11,1.0,-249,"5,308",17,17,1/156,1/5.68,3.15,35,3.0,-797,"6,969",23,25,1/145,1/6.25,3.73,26,2.0,"+1,445","8,296",37,27,1/130,1/6.05,3.86,12,1.0,"-1,528","3,504",9,9,1/195,1/6.48,2.54,21,2.0,"+2,830","9,056",39,38,1/118,1/5.69,5.12,14,2.0,+583,"7,826",31,23,1/145,1/5.82,2.99,8,-,-300,"6,306",24,12,1/175,1/5.75,1.89,17,1.0,-936,"8,440",26,29,1/153,1/5.92,3.39,32,1.0
2025-12-27,土,はい,"-1,883","5,386",15,12,1/199,1/6.14,2.06,26,2.0,"+2,053","7,992",39,19,1/138,1/5.75,2.47,15,1.0,-192,"9,098",28,40,1/134,1/5.93,4.81,42,2.0,+622,"4,362",21,7,1/156,1/5.85,2.10,23,2.0,"+1,737","9,785",37,34,1/138,1/5.45,3.88,21,2.0,-496,"5,180",17,13,1/173,1/5.68,2.40,59,11.0,+547,"7,587",30,21,1/149,1/5.75,2.72,21,2.0,"+2,456","7,757",38,23,1/127,1/5.77,3.56,15,1.0,-517,"5,021",21,9,1/167,1/6.37,2.03,42,2.0,+103,"7,250",29,18,1/154,1/5.93,2.37,19,4.0,+81,"4,816",21,13,1/142,1/6.44,2.96,15,1.0,+177,"4,940",22,8,1/165,1/5.94,1.97,14,2.0,"-1,252","5,662",16,20,1/157,1/6.19,3.42,48,6.0,-37,"7,330",28,19,1/156,1/5.87,2.44,19,4.0,+571,"5,496",26,10,1/153,1/6.02,2.07,8,1.0,+498,"4,878",20,14,1/143,1/5.82,3.08,31,5.0,-809,"5,128",16,15,1/165,1/5.95,2.79,24,1.0,+830,"8,492",30,30,1/142,1/5.55,3.80,21,2.0,+134,"9,712",30,43,1/133,1/5.81,4.88,40,1.0,+40,"5,569",23,10,1/169,1/5.81,1.95,14,2.0,"+1,096","8,239",33,26,1/140,1/5.71,3.40,34,2.0,+673,"6,437",25,21,1/140,1/5.75,3.51,12,3.0,+358,"3,156",16,3,1/166,1/5.97,2.03,40,1.0,-289,"5,282",19,14,1/160,1/5.88,2.62,32,1.0,-557,"5,565",20,13,1/169,1/5.94,2.27,26,2.0,-511,"5,298",19,15,1/156,1/6.14,2.82,9,1.0,-806,"6,239",22,15,1/169,1/6.03,2.25,21,2.0,+196,"5,584",23,19,1/133,1/6.40,3.81,7,-,+549,"7,706",30,22,1/148,1/5.73,2.83,21,2.0,+382,"8,656",30,29,1/147,1/5.62,3.45,39,5.0
2025-12-26,金,いいえ,-784,"6,210",18,20,1/163,1/5.71,3.02,12,1.0,+764,"9,134",34,31,1/141,1/5.73,3.68,27,1.0,+310,"8,667",33,28,1/142,1/5.96,3.43,31,4.0,"-1,548","4,740",14,10,1/198,1/6.17,2.09,48,2.0,"-1,144","7,632",23,17,1/191,1/5.53,1.89,26,1.0,"-1,071","5,344",16,13,1/184,1/5.79,2.26,46,1.0,"+2,005","7,279",34,23,1/128,1/5.79,3.78,32,1.0,-486,"6,438",20,16,1/179,1/5.42,2.21,68,14.0,"-1,969","3,636",7,8,1/242,1/6.06,2.18,43,2.0,"+2,379","9,089",38,39,1/118,1/5.81,5.17,41,3.0,"-1,194","4,174",11,14,1/167,1/6.19,3.18,19,2.0,"+1,787","5,017",28,11,1/129,1/5.98,2.75,16,2.0,"+1,699","8,989",37,36,1/123,1/5.94,4.83,25,3.0,"+2,829","5,894",32,18,1/118,1/5.66,3.95,21,2.0,+144,"7,067",25,19,1/161,1/5.53,2.49,11,1.0,-632,"4,196",12,13,1/168,1/5.72,2.98,45,2.0,"+3,211","7,453",40,25,1/115,1/5.92,4.50,16,2.0,-2,"6,803",23,26,1/139,1/5.92,4.11,38,5.0,-842,"4,746",17,7,1/198,1/5.90,1.82,38,5.0,"-1,104","7,231",24,14,1/190,1/5.72,1.77,19,2.0,"-1,849","3,616",6,10,1/226,1/5.89,2.49,53,5.0,"-1,296","7,794",27,19,1/169,1/6.14,2.14,17,1.0,"+1,258","8,067",31,31,1/130,1/5.73,4.44,33,1.0,-678,"4,635",18,5,1/202,1/5.91,1.70,22,1.0,-608,"3,233",10,5,1/216,1/5.49,2.07,17,1.0,"+1,366","4,744",24,13,1/128,1/5.96,3.29,6,-,"+1,561","8,988",44,15,1/152,1/5.83,1.67,10,4.0,+320,"7,959",36,14,1/159,1/6.06,1.75,14,2.0,"-1,932","6,225",16,18,1/183,1/6.02,2.51,54,1.0,+291,"8,033",27,29,1/143,1/5.66,3.83,53,5.0
