日付,曜日,特定日,1181番台,,,,,,,,,1182番台,,,,,,,,,1183番台,,,,,,,,,1185番台,,,,,,,,,1186番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-04-05,日,はい,-398,"6,687",27,16,1/156,-,2.34,46,19.0,+186,"1,076",6,1,1/154,-,3.03,27,12.0,-266,"1,707",6,5,1/155,-,3.22,49,3.0,+272,"3,762",15,10,1/150,-,2.91,15,3.0,"+1,205","3,828",19,12,1/123,-,3.72,12,-
2026-04-04,土,はい,-335,708,1,2,1/236,-,3.18,40,1.0,-420,"1,099",4,0,1/275,-,2.56,39,13.0,-661,"1,487",4,2,1/248,-,2.58,49,9.0,-512,"1,592",4,4,1/199,-,2.90,26,6.0,-881,"1,418",3,3,1/236,-,2.77,20,-
2026-04-03,金,いいえ,+731,"5,153",20,20,1/129,-,4.05,39,5.0,-222,337,1,0,1/337,-,3.15,34,17.0,-466,"1,216",4,1,1/243,-,2.65,42,3.0,+816,"2,299",12,9,1/109,-,4.15,13,-,-252,"1,693",6,4,1/169,-,3.00,17,4.0
2026-04-02,木,いいえ,-583,"1,462",4,5,1/162,-,3.31,69,30.0,+678,"4,897",23,14,1/132,-,3.33,39,8.0,"-1,287","1,844",2,9,1/168,-,3.59,31,16.0,-604,858,2,1,1/286,-,2.85,15,4.0,-421,"3,441",13,7,1/172,-,2.45,11,-
2026-04-01,水,いいえ,-136,"4,154",15,14,1/143,-,3.36,69,53.0,-96,"1,677",7,3,1/168,-,2.88,69,53.0,-556,"1,053",3,1,1/263,-,2.73,16,3.0,"+1,308","1,372",11,1,1/114,-,3.23,13,2.0,+123,"3,228",16,6,1/147,-,2.72,11,-
2026-03-31,火,いいえ,-386,"3,780",12,13,1/151,-,3.25,51,19.0,-368,422,0,2,1/211,-,3.45,69,18.0,+550,"6,701",30,22,1/129,-,3.74,15,5.0,-112,760,3,1,1/190,-,3.09,32,17.0,+76,"3,506",14,12,1/135,-,3.57,10,-
2026-03-30,月,はい,-605,800,2,0,1/400,-,2.69,41,12.0,-245,"1,196",5,3,1/150,-,3.27,69,28.0,"+1,421","6,068",27,24,1/119,-,4.50,26,13.0,-182,391,1,0,1/391,-,3.08,29,3.0,+38,"3,856",15,12,1/143,-,3.25,13,-
2026-03-29,日,はい,-569,"2,110",7,5,1/176,-,2.84,39,3.0,-293,"3,552",14,11,1/142,-,3.27,69,30.0,-720,"4,331",15,11,1/167,-,2.54,36,12.0,-456,382,0,0,-,-,2.98,24,-,"+2,431","6,681",35,25,1/111,-,4.74,24,-
2026-03-28,土,はい,-223,710,3,0,1/237,-,2.90,22,9.0,-548,"2,945",9,10,1/155,-,3.23,69,14.0,-609,"1,900",5,7,1/158,-,3.36,26,4.0,"+1,875","6,427",35,15,1/129,-,3.04,13,-,-924,818,0,1,1/818,-,2.69,55,29.0
2026-03-27,金,いいえ,-284,"1,267",4,3,1/181,-,3.06,19,-,-485,993,2,4,1/166,-,3.44,69,30.0,+36,289,1,2,1/96,-,3.76,28,4.0,"+1,152","4,813",23,16,1/123,-,3.88,24,5.0,-64,914,3,2,1/183,-,3.15,39,11.0
