日付,曜日,特定日,1151番台,,,,,,,,,1152番台,,,,,,,,,1153番台,,,,,,,,,1155番台,,,,,,,,,1156番台,,,,,,,,,1157番台,,,,,,,,,1158番台,,,,,,,,,1160番台,,,,,,,,,1161番台,,,,,,,,,1162番台,,,,,,,,,1163番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-05-14,木,いいえ,"+1,256","6,931",28,19,1/147,-,3.60,19,1.0,-938,"2,181",4,6,1/218,-,2.82,51,20.0,-101,"1,184",5,0,1/237,-,2.68,91,23.0,"-1,137","1,478",2,3,1/296,-,2.68,68,8.0,+41,"3,488",13,8,1/166,-,3.01,27,4.0,-234,"2,673",9,5,1/191,-,2.78,18,2.0,-629,581,0,1,1/581,-,2.78,60,4.0,-340,225,0,0,-,-,2.86,16,-,"-1,922","3,656",7,11,1/203,-,2.85,56,5.0,"+2,264","6,938",29,20,1/142,-,3.79,23,4.0,-298,417,1,0,1/417,-,2.82,31,4.0
2026-05-13,水,いいえ,"+1,983","5,069",24,12,1/141,-,3.48,19,7.0,-227,"3,735",10,12,1/170,-,3.17,42,2.0,"-2,399","5,153",12,7,1/271,-,2.04,72,30.0,-652,540,0,1,1/540,-,2.81,33,1.0,-17,"3,984",14,10,1/166,-,3.07,24,2.0,"+1,162","5,007",20,12,1/156,-,3.20,22,3.0,-304,411,1,0,1/411,-,2.83,40,7.0,"+2,709","7,710",39,14,1/145,-,3.34,12,-,-575,569,1,0,1/569,-,2.73,26,2.0,+114,"3,777",13,10,1/164,-,3.11,40,7.0,"+2,384","7,327",31,24,1/133,-,4.15,32,6.0
2026-05-12,火,いいえ,"+7,257","7,716",46,30,1/102,-,4.81,30,5.0,+149,994,4,3,1/142,-,3.13,31,1.0,"-1,068","5,820",17,12,1/201,-,2.52,30,5.0,-550,"1,924",6,2,1/241,-,2.59,21,5.0,+0,"3,565",13,7,1/178,-,2.83,14,-,-656,548,0,1,1/548,-,2.80,52,7.0,"+1,536","8,491",31,28,1/144,-,4.02,43,8.0,-100,90,0,0,-,-,2.94,25,4.0,+437,"3,090",12,7,1/163,-,3.04,16,2.0,"-1,214","2,623",7,2,1/291,-,2.31,35,4.0,"-1,409","2,997",8,4,1/250,-,2.41,45,2.0
2026-05-10,日,はい,"-2,229","5,368",13,10,1/233,-,2.27,74,2.0,"+2,502","7,630",30,28,1/132,-,4.32,31,4.0,-674,"2,443",7,7,1/175,-,3.03,24,3.0,"+1,307","7,202",25,25,1/144,-,3.96,19,1.0,-644,"5,210",18,7,1/208,-,2.32,26,2.0,-594,"4,841",16,8,1/202,-,2.48,48,17.0,"-2,093","4,369",10,7,1/257,-,2.23,72,24.0,-387,"3,705",11,9,1/185,-,2.86,24,3.0,"-1,374","6,086",19,9,1/217,-,2.21,21,2.0,"-1,569","2,245",4,4,1/281,-,2.53,27,1.0,"+1,581","7,432",28,26,1/138,-,4.13,18,-
2026-05-09,土,はい,-474,"5,312",19,9,1/190,-,2.56,44,5.0,"-1,109","1,341",2,1,1/447,-,2.50,89,45.0,+167,"5,228",20,9,1/180,-,2.67,24,3.0,"-2,984","5,788",13,8,1/276,-,1.95,39,2.0,-657,"2,596",8,3,1/236,-,2.50,24,3.0,-737,915,1,1,1/458,-,2.66,24,3.0,"-1,252","2,841",7,2,1/316,-,2.22,29,5.0,+291,"2,655",10,5,1/177,-,2.87,24,3.0,+980,"7,063",29,14,1/164,-,2.94,21,4.0,-391,642,1,1,1/321,-,2.82,17,-,"-1,722","3,006",5,6,1/273,-,2.44,37,8.0
2026-05-08,金,いいえ,"-1,316","6,249",17,15,1/195,-,2.65,43,1.0,"-1,740","1,986",2,4,1/331,-,2.52,55,6.0,-879,938,1,2,1/313,-,2.78,49,6.0,+831,"5,397",22,12,1/159,-,3.12,20,2.0,-739,"5,602",19,10,1/193,-,2.53,18,2.0,"+1,453","8,637",36,18,1/160,-,3.09,14,-,-838,"1,141",2,2,1/285,-,2.74,21,1.0,"-1,711","2,828",5,5,1/283,-,2.42,42,18.0,-566,"6,098",20,13,1/185,-,2.69,24,3.0,+21,"5,051",18,11,1/174,-,2.88,16,2.0,-651,"3,072",11,2,1/236,-,2.35,24,3.0
2026-05-07,木,いいえ,-628,888,2,0,1/444,-,2.62,19,1.0,"-1,640","4,148",9,9,1/230,-,2.48,47,3.0,-905,"2,259",5,4,1/251,-,2.59,42,11.0,-691,398,0,0,-,-,2.75,44,2.0,+537,"1,740",8,4,1/145,-,3.13,11,-,"+1,157","3,533",18,4,1/161,-,2.84,18,2.0,-461,615,1,1,1/308,-,2.84,14,3.0,+456,"2,850",12,5,1/168,-,2.91,31,10.0,-538,701,1,1,1/351,-,2.79,21,2.0,"-1,053","1,045",1,1,1/523,-,2.59,31,10.0,-810,"1,393",3,2,1/279,-,2.67,16,2.0
2026-05-06,水,いいえ,"+1,385","5,833",25,15,1/146,-,3.50,14,3.0,-760,"2,476",6,6,1/206,-,2.80,36,2.0,"+1,489","4,955",19,19,1/130,-,4.03,34,5.0,"+1,025","6,093",22,17,1/156,-,3.37,41,5.0,+295,"4,205",15,8,1/183,-,2.75,11,-,"-2,206","4,458",8,10,1/248,-,2.38,29,3.0,"+1,137","3,341",17,3,1/167,-,2.74,15,1.0,"+1,254","7,739",31,21,1/149,-,3.62,26,11.0,+552,"4,571",18,13,1/147,-,3.44,14,3.0,+662,"5,129",18,16,1/151,-,3.50,14,3.0,-576,"2,922",9,6,1/195,-,2.77,11,-
2026-05-05,火,いいえ,-814,"5,195",16,13,1/179,-,2.90,28,7.0,+75,"7,150",23,26,1/146,-,3.96,15,2.0,+849,"5,759",22,15,1/156,-,3.31,32,4.0,+873,"7,134",29,13,1/170,-,2.77,44,12.0,"+1,930","4,365",22,8,1/146,-,3.20,15,2.0,-863,"2,396",7,3,1/240,-,2.54,21,3.0,"-1,315","1,508",2,1,1/503,-,2.42,18,3.0,-264,"4,225",14,10,1/176,-,2.92,78,34.0,+344,"3,697",14,8,1/168,-,2.97,13,4.0,"+1,826","3,199",18,4,1/145,-,3.04,13,4.0,+951,"8,654",36,15,1/170,-,2.70,9,-
2026-05-04,月,いいえ,+905,"8,080",30,22,1/155,-,3.47,22,8.0,+40,"4,981",19,11,1/166,-,3.00,35,10.0,"-1,121","3,177",8,5,1/244,-,2.44,64,18.0,"-1,160","1,697",3,2,1/339,-,2.50,78,14.0,-568,"1,643",5,1,1/274,-,2.55,37,2.0,-437,679,1,1,1/340,-,2.80,14,2.0,"+1,507","5,800",24,15,1/149,-,3.44,12,3.0,-653,"2,787",8,5,1/214,-,2.64,82,4.0,-58,"1,976",8,1,1/220,-,2.59,25,3.0,-25,"3,069",10,10,1/153,-,3.31,46,9.0,"+1,116","4,357",21,4,1/174,-,2.60,9,-
