日付,曜日,特定日,1158番台,,,,,,,,,1160番台,,,,,,,,,1161番台,,,,,,,,,1162番台,,,,,,,,,1163番台,,,,,,,,,1175番台,,,,,,,,,1176番台,,,,,,,,,1177番台,,,,,,,,,1178番台,,,,,,,,,1180番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-04-23,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+425,"3,985",19,7,1/153,-,3.45,18,1.0,-842,"1,330",3,1,1/333,-,2.72,17,-,-53,"2,780",12,3,1/185,-,2.85,46,17.0,+110,"2,347",10,3,1/181,-,3.03,28,10.0,-499,606,1,0,1/606,-,2.95,29,1.0
2026-04-22,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,528","1,654",2,1,1/551,-,2.34,21,6.0,+464,"5,411",22,16,1/142,-,4.43,14,-,"-2,037","6,248",20,9,1/215,-,2.13,33,12.0,"-1,090","5,170",19,7,1/199,-,2.41,48,15.0,"+1,646","5,753",32,7,1/148,-,3.28,15,1.0
2026-04-20,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,170","2,484",14,8,1/113,-,4.61,15,-,"+1,273","8,456",39,20,1/143,-,4.33,24,2.0,+496,"2,382",12,5,1/140,-,3.77,18,3.0,+274,"2,851",13,6,1/150,-,3.64,22,4.0,-740,"3,223",13,3,1/201,-,2.57,38,14.0
2026-04-19,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-452,"1,889",7,2,1/210,-,2.88,38,15.0,+107,"5,310",23,13,1/148,-,4.01,46,8.0,-184,"2,825",10,6,1/177,-,3.27,18,-,"-1,246","1,979",4,4,1/247,-,2.90,48,2.0,-428,583,1,0,1/583,-,2.98,23,5.0
2026-04-18,土,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-431,"7,121",29,10,1/183,-,2.44,38,19.0,-808,"2,289",7,4,1/208,-,2.96,66,21.0,"+1,118","7,688",39,10,1/157,-,2.95,19,1.0,-228,"3,636",15,4,1/191,-,2.63,45,7.0,"-1,103","3,329",11,6,1/196,-,2.89,18,-
2026-04-17,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-744,"3,170",13,1,1/226,-,2.25,33,21.0,-187,617,2,0,1/309,-,3.07,39,1.0,"-1,354","2,651",6,5,1/241,-,2.73,52,13.0,-186,643,2,1,1/214,-,3.30,38,5.0,"+1,748","6,926",35,18,1/131,-,4.80,12,-
2026-04-16,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,796","6,905",36,14,1/138,-,4.20,37,6.0,-75,423,2,0,1/212,-,3.29,28,-,-137,"4,101",16,8,1/171,-,3.20,38,1.0,+419,"1,803",11,2,1/139,-,3.51,43,5.0,-610,"1,416",5,2,1/202,-,3.12,31,3.0
2026-04-15,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+107,"3,926",17,8,1/157,-,3.50,48,19.0,-444,362,0,0,-,-,3.08,19,4.0,+59,"6,627",31,4,1/189,-,2.01,29,10.0,-339,531,1,1,1/266,-,3.29,52,4.0,+909,"7,367",30,22,1/142,-,4.68,15,-
2026-04-14,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-527,"2,707",10,4,1/193,-,2.91,62,11.0,-391,596,1,1,1/298,-,3.22,16,-,-367,"1,501",5,4,1/167,-,3.54,25,9.0,+221,"7,671",31,16,1/163,-,3.34,51,15.0,-467,538,1,0,1/538,-,3.02,36,11.0
2026-04-13,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-825,"2,573",7,4,1/234,-,2.69,41,18.0,-344,316,0,0,-,-,3.13,13,-,+450,"3,951",18,4,1/180,-,2.68,23,5.0,-502,369,0,0,-,-,3.07,81,40.0,+786,"3,194",17,3,1/160,-,3.05,18,5.0
