日付,曜日,特定日,588番台,,,,,,,,,600番台,,,,,,,,,601番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-04-04,土,はい,+938,"5,068",20,13,1/154,-,3.36,2,1.0,-80,"2,376",10,6,1/149,-,3.43,34,32.0,"+1,344","6,269",25,18,1/146,-,3.79,1,-
2026-04-03,金,いいえ,-339,"3,086",11,6,1/182,-,2.91,3,-,"-1,058","5,339",16,14,1/178,-,3.25,29,21.0,-267,"2,208",7,1,1/276,-,2.33,8,5.0
2026-04-02,木,いいえ,+331,"6,361",26,11,1/172,-,2.23,2,-,"+1,440","3,122",16,2,1/173,-,2.21,14,5.0,+419,"2,618",13,4,1/154,-,2.86,9,7.0
2026-04-01,水,いいえ,+216,"4,839",19,9,1/173,-,2.58,2,-,"-1,850","4,638",10,16,1/178,-,4.05,35,21.0,"+3,004","6,287",32,15,1/134,-,3.30,14,12.0
2026-03-31,火,いいえ,"-1,566","3,935",9,9,1/219,-,2.91,4,-,-684,"1,593",5,1,1/266,-,2.67,31,17.0,"+1,430","6,313",25,22,1/134,-,4.62,14,10.0
2026-03-30,月,はい,"+1,838","6,022",27,13,1/151,-,2.87,1,-,"-1,529","2,377",5,4,1/264,-,2.78,26,8.0,+609,"2,968",13,6,1/156,-,3.06,18,17.0
2026-03-29,日,はい,+467,"4,880",19,11,1/163,-,2.99,10,1.0,"+2,430","6,765",29,19,1/141,-,3.79,9,-,-846,"2,180",6,6,1/182,-,3.44,50,40.0
2026-03-28,土,はい,+99,"4,552",17,13,1/152,-,3.66,9,-,-134,"6,767",24,16,1/169,-,2.91,25,16.0,"-1,349","4,855",15,10,1/194,-,2.66,26,1.0
2026-03-27,金,いいえ,-150,"2,635",9,4,1/203,-,2.72,16,2.0,"+3,095","5,650",31,11,1/135,-,2.81,14,-,"-1,162","4,875",13,16,1/168,-,3.98,14,-
2026-03-26,木,いいえ,+357,"5,450",22,11,1/165,-,2.68,9,3.0,"-1,776","3,288",8,7,1/219,-,2.89,61,52.0,-944,"2,760",7,5,1/230,-,2.79,6,-
2026-03-25,水,いいえ,"+2,167","5,897",30,10,1/147,-,2.41,9,5.0,-490,"1,319",4,2,1/220,-,3.07,21,12.0,"+2,033","3,255",17,3,1/163,-,2.34,4,-
2026-03-24,火,いいえ,"-1,302","2,390",5,5,1/239,-,3.00,17,6.0,-496,"1,597",4,3,1/228,-,3.10,27,10.0,+98,"6,696",23,16,1/172,-,2.93,11,-
2026-03-23,月,いいえ,"-2,209","2,089",2,3,1/418,-,2.67,7,-,"+1,261","7,146",28,17,1/159,-,2.98,28,19.0,-120,"3,934",12,10,1/179,-,3.24,9,2.0
2026-03-22,日,はい,+42,"1,802",8,2,1/180,-,2.84,2,-,"-1,370","2,477",6,5,1/225,-,2.97,55,49.0,+79,"2,225",8,4,1/185,-,2.99,6,4.0
2026-03-21,土,はい,-61,"3,566",14,2,1/223,-,1.96,4,-,"+1,113","6,726",22,27,1/137,-,5.10,29,20.0,+887,"3,110",12,7,1/164,-,3.16,9,5.0
2026-03-20,金,はい,"+1,364","6,394",26,17,1/149,-,3.49,1,-,"-1,356","5,033",13,17,1/168,-,4.08,36,18.0,-20,"4,867",16,13,1/168,-,3.37,18,17.0
2026-03-19,木,いいえ,"+1,554","5,212",21,21,1/124,-,4.96,0,-,+532,"4,099",14,13,1/152,-,3.91,16,4.0,-475,"2,781",9,6,1/185,-,3.07,12,12.0
2026-03-18,水,いいえ,"+1,395","3,528",18,5,1/153,-,2.59,1,-,"-1,791","2,670",5,6,1/243,-,3.02,24,16.0,-535,"3,124",10,4,1/223,-,2.43,8,7.0
2026-03-17,火,いいえ,"+1,228","3,285",17,5,1/149,-,2.73,1,-,"-1,356","3,621",8,13,1/172,-,4.06,18,10.0,"+1,122","4,922",20,13,1/149,-,3.47,8,7.0
2026-03-16,月,いいえ,"+1,137","3,788",16,12,1/135,-,3.98,4,-,"-1,039","5,698",19,16,1/163,-,3.55,10,6.0,"+1,210","5,609",25,10,1/160,-,2.46,15,5.0
2026-03-15,日,はい,-626,"2,295",6,8,1/164,-,3.84,11,7.0,+417,"5,003",20,9,1/173,-,2.50,4,-,-566,"1,975",5,1,1/329,-,2.42,44,33.0
2026-03-14,土,はい,+832,"8,033",25,29,1/149,-,4.82,4,2.0,+768,"4,718",19,9,1/169,-,2.66,2,-,+130,"5,919",23,13,1/164,-,2.82,47,43.0
2026-03-13,金,いいえ,"+3,564","7,520",37,18,1/137,-,3.23,9,8.0,"+1,187","4,746",19,9,1/170,-,2.64,1,-,+267,"2,842",12,6,1/158,-,3.13,59,50.0
2026-03-12,木,いいえ,-126,"4,001",14,10,1/167,-,3.26,19,12.0,+938,"5,381",24,9,1/163,-,2.38,7,-,-30,"4,797",19,10,1/165,-,2.82,81,62.0
2026-03-11,水,いいえ,"+3,564","6,526",31,13,1/148,-,2.64,9,-,-770,"4,164",12,8,1/208,-,2.62,14,5.0,"-1,515","3,332",8,6,1/238,-,2.64,86,72.0
2026-03-10,火,はい,-145,"3,546",12,7,1/187,-,2.83,34,32.0,-961,"4,426",12,14,1/170,-,3.82,2,-,-693,"5,415",18,13,1/175,-,3.02,79,45.0
2026-03-09,月,いいえ,"-1,157","3,123",7,8,1/208,-,3.22,38,36.0,+963,"3,936",17,8,1/157,-,2.93,2,-,-925,"4,346",11,13,1/181,-,3.61,78,40.0
2026-03-08,日,はい,+354,"6,517",24,17,1/159,-,3.33,-,-,"+3,270","5,702",29,14,1/133,-,3.42,-,-,"-1,781","3,861",9,9,1/215,-,2.96,-,-
2026-03-07,土,はい,-895,"5,286",18,10,1/189,-,2.47,-,-,"+1,883","6,045",25,16,1/147,-,3.49,-,-,"-2,063","3,062",5,7,1/255,-,2.96,-,-
2026-03-06,金,いいえ,-625,"6,853",22,23,1/152,-,4.37,-,-,-945,"4,809",15,11,1/185,-,2.91,-,-,"-2,157","5,427",12,19,1/175,-,4.20,-,-
2026-03-05,木,いいえ,"+1,392","6,371",27,18,1/142,-,3.78,-,-,"+1,077","7,205",30,12,1/172,-,2.05,-,-,"+1,707","7,482",27,22,1/153,-,3.87,-,-
2026-03-04,水,いいえ,-472,"6,874",23,14,1/186,-,2.40,-,-,"+1,234","7,059",31,17,1/147,-,3.15,-,-,+673,"5,681",24,7,1/183,-,1.91,-,-
2026-03-03,火,いいえ,"-1,441","7,607",23,20,1/177,-,3.17,-,-,+901,"8,106",32,17,1/165,-,2.46,-,-,-992,"6,861",23,12,1/196,-,2.08,-,-
