日付,曜日,特定日,1127番台,,,,,,,,1128番台,,,,,,,,1130番台,,,,,,,,1131番台,,,,,,,,1132番台,,,,,,,,1133番台,,,,,,,,1135番台,,,,,,,,1136番台,,,,,,,,1137番台,,,,,,,,1138番台,,,,,,,,1150番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-05-13,水,いいえ,-493,"1,621",5,10,1/108,-,24,1.0,+427,462,3,3,1/77,-,34,1.0,"-3,730","2,950",7,3,1/295,-,33,8.0,"-1,516","1,488",3,4,1/213,-,58,7.0,"-1,313","2,597",11,7,1/144,-,51,17.0,"-2,390","2,573",8,3,1/234,-,88,30.0,+451,415,4,1,1/83,-,25,1.0,"-1,193","1,899",7,5,1/158,-,23,17.0,"-1,197",911,2,3,1/182,-,51,17.0,-429,694,3,3,1/116,-,58,7.0,+402,"2,185",12,9,1/104,-,6,-
2026-05-12,火,いいえ,"-2,345","2,136",5,4,1/237,-,22,3.0,+366,"1,354",9,3,1/113,-,45,2.0,"+2,125","3,269",23,13,1/91,-,16,4.0,+257,"2,114",12,6,1/117,-,43,5.0,-233,"4,388",23,12,1/125,-,19,3.0,"-1,368","4,387",21,9,1/146,-,87,29.0,"-4,296","4,202",11,8,1/221,-,49,4.0,+593,"1,096",8,3,1/100,-,16,4.0,"-1,457","2,064",5,8,1/159,-,38,16.0,+592,"3,309",20,8,1/118,-,58,9.0,-166,704,4,6,1/70,-,12,-
2026-05-10,日,はい,"+7,044","5,460",51,21,1/76,-,16,5.0,"+1,843","5,294",37,11,1/110,-,53,23.0,+292,"4,503",29,4,1/136,-,29,2.0,"+2,499","6,926",45,25,1/99,-,55,2.0,+801,"3,507",21,13,1/103,-,18,2.0,"-1,880","6,310",29,15,1/143,-,87,25.0,"-1,583","2,969",11,6,1/175,-,21,3.0,"-3,173","5,270",18,16,1/155,-,30,1.0,"-2,628","3,763",13,7,1/188,-,27,6.0,-76,636,5,2,1/91,-,62,7.0,"+2,571","3,517",28,11,1/90,-,11,-
2026-05-09,土,はい,"-1,074","3,427",17,6,1/149,-,31,8.0,"-4,684","4,005",9,5,1/286,-,88,1.0,+662,"1,873",12,7,1/99,-,38,7.0,"-1,649","2,518",9,6,1/168,-,87,1.0,"-1,382","2,739",11,7,1/152,-,31,8.0,-251,617,4,2,1/103,-,86,28.0,+922,"3,231",18,15,1/98,-,12,-,-371,545,3,2,1/109,-,21,7.0,-434,920,4,7,1/84,-,23,2.0,"+1,239","3,256",23,6,1/112,-,58,20.0,"+2,407","3,002",22,14,1/83,-,14,2.0
2026-05-08,金,いいえ,"+1,436","2,586",19,6,1/103,-,26,1.0,-80,"1,463",9,2,1/133,-,68,42.0,"-4,126","3,806",9,7,1/238,-,69,1.0,"-3,022","2,853",7,6,1/219,-,81,12.0,"-3,763","4,444",13,10,1/193,-,25,5.0,"-1,313","3,933",17,12,1/136,-,87,6.0,-321,724,4,3,1/103,-,18,2.0,-710,779,3,4,1/111,-,16,-,"-1,121","2,325",10,4,1/166,-,20,2.0,"-4,014","4,391",11,13,1/183,-,94,7.0,"-1,409","1,232",2,3,1/246,-,16,-
2026-05-07,木,いいえ,"+5,814","4,650",43,16,1/79,-,26,6.0,-687,"2,351",12,4,1/147,-,65,4.0,-23,575,4,4,1/72,-,61,32.0,"-3,736","4,482",14,11,1/179,-,29,3.0,+857,635,7,0,1/91,-,20,2.0,-705,"1,328",5,3,1/166,-,94,5.0,"-1,281",708,0,2,1/354,-,14,5.0,"+8,122","3,426",44,12,1/61,-,9,-,"+2,311","2,298",18,11,1/79,-,18,4.0,"-2,256","3,144",11,5,1/197,-,89,24.0,+672,"2,417",15,8,1/105,-,9,-
2026-05-06,水,いいえ,-49,773,6,2,1/97,-,91,13.0,-312,160,0,0,-,-,78,22.0,"+1,790","2,926",24,4,1/105,-,56,5.0,-403,"1,524",7,5,1/127,-,22,4.0,+549,"1,002",7,3,1/100,-,23,1.0,-978,"3,102",14,7,1/148,-,92,1.0,"+4,841","5,450",44,20,1/85,-,14,5.0,+154,988,7,1,1/124,-,15,1.0,"+11,473","4,148",60,12,1/58,-,18,3.0,"-1,943","5,075",20,16,1/141,-,51,28.0,"+3,741","3,860",34,9,1/90,-,9,-
2026-05-05,火,いいえ,"-1,385","5,583",25,19,1/127,-,90,1.0,-310,529,2,4,1/88,-,61,18.0,-240,"1,462",7,4,1/133,-,89,1.0,+808,714,6,4,1/71,-,18,3.0,"+14,313","5,845",77,22,1/59,-,22,4.0,-633,"3,687",17,14,1/119,-,88,27.0,"-1,196","2,536",8,13,1/121,-,23,1.0,+477,748,5,3,1/94,-,15,-,"+2,615","7,563",50,23,1/104,-,18,3.0,-63,"2,091",11,6,1/123,-,43,20.0,-488,"2,644",12,7,1/139,-,18,3.0
2026-05-04,月,いいえ,"-1,087","2,028",8,5,1/156,-,84,2.0,-82,"2,489",13,7,1/124,-,71,5.0,-422,553,3,2,1/111,-,88,4.0,-705,"2,829",16,3,1/149,-,24,2.0,-504,"2,601",12,8,1/130,-,66,34.0,"-3,310","7,787",32,20,1/150,-,82,11.0,"+2,943","2,758",25,7,1/86,-,19,5.0,-221,775,5,3,1/97,-,24,2.0,"+3,857","4,945",37,20,1/87,-,22,3.0,-298,"1,463",7,4,1/133,-,32,8.0,-725,"4,278",21,14,1/122,-,14,-
2026-05-03,日,はい,-687,852,3,4,1/122,-,48,6.0,-523,"2,792",11,13,1/116,-,61,13.0,-30,465,3,3,1/78,-,78,9.0,+127,"1,290",9,1,1/129,-,23,4.0,"-4,767","3,788",6,8,1/271,-,42,8.0,"-4,156","3,424",5,11,1/214,-,69,8.0,"+2,451","2,523",22,5,1/93,-,19,12.0,-702,460,0,3,1/153,-,19,12.0,"-3,051","5,391",18,18,1/150,-,34,3.0,+55,"3,293",17,11,1/118,-,31,8.0,-157,"4,264",23,10,1/129,-,7,-
