日付,曜日,特定日,1127番台,,,,,,,,1128番台,,,,,,,,1130番台,,,,,,,,1131番台,,,,,,,,1132番台,,,,,,,,1133番台,,,,,,,,1135番台,,,,,,,,1136番台,,,,,,,,1137番台,,,,,,,,1138番台,,,,,,,,1150番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-03-01,日,はい,"-1,427","3,626",16,10,1/139,-,42,23.0,"-1,826","4,715",21,10,1/152,-,71,3.0,"+1,625","6,972",43,20,1/111,-,13,2.0,+36,"2,987",18,7,1/119,-,11,-,"-3,369","9,475",39,34,1/130,-,46,4.0,+644,"2,030",14,3,1/119,-,51,3.0,"-1,926","5,584",27,10,1/151,-,68,14.0,"-2,207","3,208",11,9,1/160,-,48,2.0,"-2,304","2,976",8,10,1/165,-,54,3.0,+429,"2,370",15,4,1/125,-,19,6.0,"-2,053","4,934",21,12,1/150,-,79,8.0
2026-02-28,土,はい,"-6,163","5,951",15,9,1/248,-,41,23.0,"-2,962","3,429",12,4,1/214,-,58,4.0,-196,"2,943",13,12,1/118,-,54,3.0,"-1,665","4,152",17,14,1/134,-,49,5.0,-615,"3,574",18,8,1/137,-,12,-,-87,"4,234",23,12,1/121,-,75,9.0,"-4,581","4,136",10,6,1/259,-,51,2.0,+914,"1,675",11,7,1/93,-,18,3.0,"-1,178","2,355",10,4,1/168,-,44,3.0,-345,"4,465",22,15,1/121,-,15,3.0,"-1,593","5,598",24,18,1/133,-,66,8.0
2026-02-27,金,いいえ,-220,128,0,0,-,-,15,3.0,+514,"2,630",15,10,1/105,-,25,9.0,-43,495,4,2,1/83,-,52,4.0,+197,843,4,5,1/94,-,48,13.0,+162,686,4,2,1/114,-,11,-,-808,463,0,1,1/463,-,35,4.0,+510,"2,441",15,6,1/116,-,16,1.0,+989,"2,760",20,5,1/110,-,15,3.0,-139,73,0,0,-,-,31,6.0,+573,292,3,2,1/58,-,12,1.0,"-2,255","3,966",14,11,1/159,-,60,8.0
2026-02-26,木,いいえ,"+8,533","3,664",46,15,1/60,-,16,1.0,"-1,067","1,210",3,2,1/242,-,61,4.0,+0,"2,018",11,5,1/126,-,62,1.0,+137,534,4,0,1/134,-,48,17.0,+574,"2,535",15,9,1/106,-,9,-,"-1,666","2,010",6,4,1/201,-,27,8.0,"-2,469","2,396",6,3,1/266,-,19,3.0,-547,322,0,1,1/322,-,31,1.0,"+5,855","4,360",43,12,1/79,-,30,3.0,+436,884,7,1,1/111,-,15,6.0,"+1,269","10,430",59,30,1/117,-,57,9.0
2026-02-25,水,いいえ,+379,"6,939",37,24,1/114,-,34,9.0,-691,743,3,2,1/149,-,78,3.0,-102,"2,155",11,8,1/113,-,65,2.0,+525,"1,010",7,3,1/101,-,48,14.0,-629,"2,323",11,6,1/137,-,18,6.0,"-1,157","1,972",7,7,1/141,-,19,1.0,+389,845,5,5,1/85,-,12,-,"-1,214","2,603",10,7,1/153,-,25,1.0,"-3,464","3,542",9,10,1/186,-,75,10.0,-652,"1,860",10,1,1/169,-,24,5.0,+511,"2,716",15,12,1/101,-,63,15.0
2026-02-24,火,いいえ,-172,"1,972",12,2,1/141,-,42,8.0,-65,39,0,0,-,-,69,4.0,+0,440,1,4,1/88,-,65,14.0,-84,48,0,0,-,-,51,9.0,+281,"1,518",10,2,1/127,-,17,1.0,"-1,126",829,2,2,1/207,-,20,1.0,-980,"1,334",5,2,1/191,-,19,2.0,-456,694,3,3,1/116,-,16,-,-714,992,5,3,1/124,-,34,14.0,"-1,391","1,425",4,1,1/285,-,17,1.0,"-2,421","4,832",21,9,1/161,-,88,19.0
2026-02-23,月,いいえ,-158,609,3,5,1/76,-,39,12.0,-223,"3,554",20,6,1/137,-,66,15.0,"-1,434","3,428",16,5,1/163,-,89,3.0,+177,"5,747",32,14,1/125,-,51,12.0,-208,"5,260",30,11,1/128,-,27,8.0,+149,"1,782",12,2,1/127,-,14,3.0,"-1,314","4,981",23,13,1/138,-,14,3.0,-640,956,4,5,1/106,-,11,1.0,-310,"1,834",9,4,1/141,-,19,5.0,-27,966,8,2,1/97,-,10,-,-98,"2,266",13,6,1/119,-,86,20.0
2026-02-22,日,はい,"-1,568","2,442",8,6,1/174,-,48,30.0,-268,737,4,5,1/82,-,60,12.0,"-1,333","3,505",16,6,1/159,-,82,14.0,"-5,467","4,811",11,11,1/219,-,68,8.0,"+1,348","3,569",23,11,1/105,-,16,2.0,+834,"2,132",16,3,1/112,-,14,5.0,"+1,166","1,704",11,10,1/81,-,6,-,+797,"5,565",30,23,1/105,-,6,-,-398,644,3,3,1/107,-,18,2.0,"+2,190","2,732",21,10,1/88,-,9,3.0,"-2,752","3,485",12,6,1/194,-,95,13.0
2026-02-21,土,はい,"+3,124","3,966",33,9,1/94,-,52,11.0,"+1,695","7,830",50,19,1/113,-,53,1.0,"-1,787","3,835",15,10,1/153,-,88,35.0,"-3,028","5,592",20,17,1/151,-,41,13.0,-575,857,4,4,1/107,-,28,12.0,"+4,945","3,384",35,9,1/77,-,16,2.0,"+6,034","5,116",48,15,1/81,-,6,-,"+2,665","1,802",19,5,1/75,-,6,-,"+2,679","8,815",54,31,1/104,-,14,2.0,"+2,327","6,211",43,14,1/109,-,12,6.0,-939,"5,501",28,13,1/134,-,92,4.0
2026-02-20,金,はい,"-1,228","6,574",34,13,1/140,-,54,16.0,"-2,367","4,850",19,11,1/162,-,94,8.0,"-2,557","3,694",12,11,1/161,-,81,27.0,+657,"3,855",24,10,1/113,-,38,12.0,"+18,240","7,049",99,19,1/60,-,26,1.0,-43,637,5,2,1/91,-,25,4.0,"+3,328","4,732",38,11,1/97,-,6,-,"+11,628","6,028",68,21,1/68,-,14,8.0,-292,816,6,2,1/102,-,21,7.0,-240,969,5,7,1/81,-,25,4.0,"-1,570","3,585",14,9,1/156,-,86,5.0
2026-02-19,木,いいえ,"-1,879","4,192",19,9,1/150,-,48,6.0,"-2,226","3,412",13,7,1/171,-,61,13.0,-534,356,1,0,1/356,-,42,18.0,+13,552,3,2,1/110,-,42,18.0,"-1,726","3,042",12,7,1/160,-,77,6.0,"+3,504","2,158",23,9,1/67,-,21,1.0,-564,"1,671",8,3,1/152,-,12,-,-296,445,2,2,1/111,-,20,7.0,-892,929,3,4,1/133,-,13,1.0,"+1,385",709,9,0,1/79,-,24,3.0,"-1,790","2,761",10,6,1/173,-,71,10.0
2026-02-18,水,いいえ,+708,"2,987",19,8,1/111,-,32,5.0,-468,"1,412",6,4,1/141,-,48,13.0,-96,"1,652",10,3,1/127,-,22,6.0,"-1,179","1,704",6,3,1/189,-,74,19.0,-712,"1,439",3,9,1/120,-,55,3.0,"-4,120","7,446",25,25,1/149,-,52,4.0,+976,"2,971",21,5,1/114,-,11,5.0,+252,"3,558",19,13,1/111,-,16,5.0,"+2,596","3,449",26,14,1/86,-,6,-,"+3,035","2,504",23,9,1/78,-,35,3.0,"-1,140","2,574",11,5,1/161,-,27,5.0
2026-02-17,火,いいえ,-359,626,4,1,1/125,-,72,16.0,"-1,427","1,338",2,5,1/191,-,45,3.0,"+1,737","2,318",17,9,1/89,-,18,1.0,-327,155,0,0,-,-,56,11.0,-63,400,3,2,1/80,-,28,10.0,+320,479,3,3,1/80,-,42,7.0,-145,101,0,0,-,-,17,3.0,-99,55,0,0,-,-,17,3.0,+173,"1,247",8,2,1/125,-,14,-,-735,"1,342",5,2,1/192,-,86,14.0,-774,454,1,0,1/454,-,35,7.0
2026-02-16,月,いいえ,"-3,672","4,097",12,4,1/256,-,61,9.0,-102,801,6,3,1/89,-,19,5.0,-204,998,6,7,1/77,-,32,10.0,-403,823,5,3,1/103,-,52,10.0,+394,965,6,4,1/97,-,33,1.0,+115,730,4,3,1/104,-,42,7.0,+179,621,4,2,1/104,-,14,1.0,"+5,033","2,644",31,8,1/68,-,13,-,"-1,571","3,231",15,4,1/170,-,22,3.0,-125,71,0,0,-,-,86,25.0,+166,"1,099",8,0,1/137,-,35,2.0
2026-02-15,日,はい,"-1,931","5,713",26,13,1/146,-,45,14.0,-104,"1,788",10,3,1/138,-,18,4.0,"-5,062","4,088",6,11,1/240,-,31,12.0,+496,"1,627",10,6,1/102,-,52,7.0,-806,"1,553",4,8,1/129,-,55,1.0,-506,"1,371",5,7,1/114,-,59,4.0,"+1,367","3,178",22,8,1/106,-,19,1.0,+442,939,6,4,1/94,-,14,2.0,-8,710,5,4,1/79,-,12,-,-349,688,4,2,1/115,-,86,27.0,"-1,335","4,293",21,8,1/148,-,54,2.0
2026-02-14,土,はい,"+3,634","6,640",50,12,1/107,-,21,4.0,+672,"3,673",23,8,1/118,-,17,5.0,-133,"2,175",11,7,1/121,-,12,-,"-2,997","3,647",13,6,1/192,-,66,9.0,-651,"3,212",18,4,1/146,-,57,3.0,"-1,090","2,419",10,5,1/161,-,54,2.0,"+1,485","5,184",34,12,1/113,-,22,1.0,"-3,132","6,000",25,12,1/162,-,35,13.0,+57,"1,074",4,8,1/90,-,17,5.0,-728,"7,520",43,12,1/137,-,86,20.0,"+1,089","7,887",45,27,1/110,-,52,17.0
2026-02-13,金,いいえ,"-1,445","2,968",14,3,1/175,-,23,7.0,+962,"1,738",11,8,1/91,-,26,3.0,"+2,666","2,082",20,6,1/80,-,8,-,+61,633,4,2,1/106,-,52,2.0,"-1,323","4,287",20,11,1/138,-,52,2.0,+20,656,3,3,1/109,-,50,24.0,-411,915,6,2,1/114,-,26,3.0,-945,"1,241",4,4,1/155,-,16,8.0,"+3,566","2,996",28,7,1/86,-,23,7.0,-876,"5,633",28,15,1/131,-,86,26.0,-810,686,2,1,1/229,-,60,8.0
2026-02-12,木,いいえ,+287,453,3,2,1/91,-,23,11.0,-945,"1,242",4,3,1/177,-,41,6.0,+104,960,6,2,1/120,-,12,-,-344,662,3,4,1/95,-,88,29.0,+97,"1,740",9,8,1/102,-,33,4.0,-246,897,6,3,1/100,-,35,2.0,"-1,068","2,780",15,1,1/174,-,29,6.0,+256,376,3,1,1/94,-,12,-,+76,605,4,1,1/121,-,59,17.0,"-2,086","2,205",5,7,1/184,-,88,29.0,"+3,742","6,202",48,12,1/103,-,42,1.0
2026-02-11,水,いいえ,"-1,519","6,111",29,16,1/136,-,42,6.0,-709,"2,190",8,9,1/129,-,36,3.0,"+4,668","3,319",35,7,1/79,-,11,-,-12,"2,642",16,3,1/139,-,78,33.0,+370,"3,592",21,7,1/128,-,45,3.0,"-2,985","2,838",8,3,1/258,-,19,8.0,"-1,353","4,833",19,21,1/121,-,19,8.0,"+2,429","5,997",45,9,1/111,-,11,-,"-2,069","3,711",14,11,1/148,-,33,14.0,"-2,603","4,645",19,7,1/179,-,95,7.0,"-5,140","4,668",10,11,1/222,-,88,10.0
2026-02-10,火,はい,-646,"3,524",18,8,1/136,-,39,4.0,"+9,453","4,399",54,15,1/64,-,35,10.0,"-2,115","3,902",14,14,1/139,-,25,7.0,-838,957,4,3,1/137,-,72,33.0,-117,867,6,4,1/87,-,88,11.0,+206,"3,195",20,5,1/128,-,12,-,+335,"2,674",19,1,1/134,-,17,5.0,+160,667,4,3,1/95,-,18,1.0,+450,634,5,1,1/106,-,17,5.0,"-2,349","5,545",25,11,1/154,-,94,6.0,"-2,091","6,399",26,23,1/131,-,77,5.0
2026-02-09,月,いいえ,"-2,138","1,809",4,3,1/258,-,25,15.0,"-1,424","1,416",3,5,1/177,-,57,2.0,-61,"1,496",7,7,1/107,-,10,-,-698,403,0,1,1/403,-,55,11.0,-473,348,1,0,1/348,-,72,15.0,-34,"3,198",18,8,1/123,-,31,6.0,"-1,056","1,377",4,4,1/172,-,33,2.0,+113,91,1,0,1/91,-,36,3.0,-442,256,0,1,1/256,-,44,1.0,-131,"1,788",10,5,1/119,-,74,2.0,"-2,111","1,888",3,4,1/270,-,43,7.0
2026-02-08,日,はい,"+10,310","6,952",74,15,1/78,-,21,2.0,-19,"2,734",14,10,1/114,-,49,3.0,+620,"2,048",11,11,1/93,-,9,-,"-4,482","6,790",27,12,1/174,-,32,5.0,"-1,899","1,858",5,4,1/206,-,46,12.0,-242,585,3,3,1/98,-,19,10.0,+689,"2,620",16,9,1/105,-,34,2.0,"-1,017",985,4,2,1/164,-,70,21.0,"-1,853","4,408",19,11,1/147,-,27,6.0,-32,"4,795",25,15,1/120,-,78,8.0,-83,"1,636",9,4,1/126,-,21,2.0
2026-02-07,土,はい,"+12,976","7,028",81,18,1/71,-,32,11.0,-3,574,5,1,1/96,-,38,6.0,"+3,827","5,629",40,22,1/91,-,9,-,"+1,360","4,258",27,15,1/101,-,11,2.0,-397,"2,731",13,8,1/130,-,15,1.0,-503,"5,223",28,10,1/137,-,14,3.0,"+2,786","3,538",28,9,1/96,-,39,1.0,"-1,796","4,753",22,10,1/149,-,59,20.0,-749,"2,538",12,5,1/149,-,16,1.0,"-3,381","4,638",14,14,1/166,-,67,8.0,-855,957,3,5,1/120,-,21,5.0
2026-02-06,金,いいえ,"-4,086","4,354",13,8,1/207,-,43,9.0,"-2,281","4,277",15,14,1/147,-,34,12.0,-244,845,6,3,1/94,-,10,1.0,-295,974,7,3,1/97,-,10,1.0,+325,705,5,2,1/101,-,14,4.0,"+7,104","4,007",47,7,1/74,-,9,1.0,"-1,437","2,432",9,5,1/174,-,91,32.0,-64,652,5,2,1/93,-,46,3.0,-781,949,4,3,1/136,-,8,-,"-1,148","3,184",14,9,1/138,-,59,13.0,"+2,733","3,868",32,8,1/97,-,22,8.0
2026-02-05,木,いいえ,-85,901,7,4,1/82,-,35,4.0,"-2,315","3,542",13,6,1/186,-,28,7.0,"+1,293","2,128",16,6,1/97,-,11,2.0,+627,"1,169",8,4,1/97,-,12,1.0,-563,840,4,3,1/120,-,21,4.0,"+6,732","3,763",43,11,1/70,-,9,3.0,-29,604,5,2,1/86,-,79,21.0,+892,"2,375",17,4,1/113,-,17,5.0,"+6,783","4,164",46,11,1/73,-,6,-,+123,"2,545",15,6,1/121,-,58,23.0,"-1,323","2,895",11,10,1/138,-,31,3.0
2026-02-04,水,いいえ,-296,858,5,4,1/95,-,29,5.0,"-1,459","1,586",4,3,1/227,-,14,3.0,-915,953,4,2,1/159,-,16,2.0,-56,510,4,2,1/85,-,24,2.0,"-2,131","2,497",7,8,1/166,-,11,5.0,-297,453,2,2,1/113,-,19,2.0,-504,665,4,1,1/133,-,75,13.0,+405,"1,225",8,4,1/102,-,17,1.0,+563,939,7,3,1/94,-,6,-,-344,"1,748",8,7,1/117,-,62,33.0,-429,588,3,2,1/118,-,22,3.0
2026-02-03,火,いいえ,"+8,809","4,487",54,12,1/68,-,30,8.0,"+5,733","2,136",29,10,1/55,-,11,4.0,"+3,539","2,595",25,10,1/74,-,12,1.0,-162,698,5,2,1/100,-,22,1.0,+639,941,7,3,1/94,-,6,-,-688,796,4,1,1/159,-,16,4.0,"-1,692","3,416",13,10,1/149,-,62,1.0,"-1,231","1,559",5,3,1/195,-,34,4.0,-419,"1,953",10,7,1/115,-,7,1.0,"+1,469","4,982",31,15,1/108,-,61,27.0,+174,"1,456",8,5,1/112,-,21,5.0
2026-02-01,日,はい,-697,"3,553",16,15,1/115,-,38,13.0,+833,"5,641",33,18,1/111,-,19,7.0,-708,"1,524",8,2,1/152,-,25,1.0,+947,"6,457",38,19,1/113,-,24,2.0,+303,"5,647",31,17,1/118,-,6,-,"+7,048","5,442",55,8,1/86,-,12,6.0,"-1,719","3,789",15,9,1/158,-,52,14.0,"-1,038","3,228",16,5,1/154,-,22,1.0,+322,"4,612",28,11,1/118,-,6,-,"-3,827","4,737",14,15,1/163,-,88,36.0,"+5,986","6,353",53,22,1/85,-,21,2.0
2026-01-31,土,はい,-869,"1,528",6,3,1/170,-,30,5.0,"+4,877","4,128",36,17,1/78,-,32,2.0,"+3,589","2,439",25,8,1/74,-,12,3.0,+288,"4,537",28,8,1/126,-,25,3.0,"+3,155","3,755",33,7,1/94,-,9,3.0,-452,"4,198",20,15,1/120,-,25,3.0,+221,"3,187",18,10,1/114,-,22,5.0,"-1,441","4,307",19,12,1/139,-,17,5.0,+530,276,3,1,1/69,-,6,-,"-1,178","9,513",47,30,1/124,-,92,50.0,"-1,988","4,300",17,13,1/143,-,42,10.0
2026-01-30,金,はい,"+4,349","8,441",57,32,1/95,-,19,3.0,-205,106,0,0,-,-,46,2.0,"+1,644","1,805",15,6,1/86,-,24,5.0,"+4,808","2,006",28,2,1/67,-,44,20.0,-653,763,4,1,1/153,-,16,1.0,+320,"2,268",14,7,1/108,-,15,4.0,-178,996,6,7,1/77,-,44,20.0,-233,559,3,3,1/93,-,10,-,"+4,434","6,356",52,12,1/99,-,11,1.0,-515,619,3,2,1/124,-,90,44.0,"-2,500","4,626",18,12,1/154,-,24,5.0
2026-01-29,木,いいえ,"-2,324","4,900",21,12,1/148,-,39,19.0,-881,763,2,3,1/153,-,44,2.0,-875,704,2,2,1/176,-,45,1.0,"-2,347","2,776",8,5,1/214,-,92,3.0,+442,233,3,0,1/78,-,12,3.0,"+4,730","3,700",35,13,1/77,-,14,2.0,-68,"1,688",8,7,1/113,-,42,3.0,"+6,359","6,463",57,14,1/91,-,9,-,+0,572,3,2,1/114,-,20,1.0,"-1,717","3,117",12,9,1/148,-,89,44.0,+801,714,6,3,1/79,-,19,5.0
2026-01-28,水,いいえ,-804,823,2,5,1/118,-,38,2.0,"+5,030","7,254",58,18,1/95,-,22,7.0,-42,123,1,0,1/123,-,38,2.0,-714,867,3,5,1/108,-,80,32.0,+819,965,8,2,1/97,-,15,-,-347,709,5,0,1/142,-,48,7.0,-717,431,1,0,1/431,-,41,3.0,+725,"2,173",13,8,1/103,-,15,-,-720,"1,461",6,3,1/162,-,32,10.0,-390,654,4,1,1/131,-,80,32.0,-664,902,5,0,1/180,-,36,4.0
2026-01-27,火,いいえ,-768,448,0,1,1/448,-,21,5.0,"-1,031",792,2,3,1/158,-,33,2.0,-87,599,5,0,1/120,-,33,2.0,"-1,830","3,231",14,5,1/170,-,50,9.0,-69,33,0,0,-,-,16,-,-899,"1,727",6,8,1/123,-,53,3.0,-185,100,0,0,-,-,38,5.0,"+2,649","1,745",19,3,1/79,-,24,3.0,+580,385,4,0,1/96,-,31,7.0,"-4,193","4,478",13,9,1/204,-,41,3.0,-119,53,0,0,-,-,33,2.0
2026-01-26,月,いいえ,"+7,576","3,973",48,9,1/70,-,22,1.0,"-2,158","2,227",6,4,1/223,-,31,4.0,-308,205,0,1,1/205,-,27,3.0,"-2,108","3,770",13,12,1/151,-,31,4.0,+790,609,5,4,1/68,-,21,-,-103,628,4,5,1/70,-,50,11.0,-727,391,0,1,1/391,-,39,1.0,+161,614,4,2,1/102,-,24,2.0,-364,"2,297",10,10,1/115,-,38,5.0,-325,547,2,3,1/109,-,33,1.0,"+5,396","5,317",47,14,1/87,-,32,1.0
2026-01-25,日,はい,-157,542,4,1,1/108,-,41,6.0,"-2,934","4,836",17,10,1/179,-,21,7.0,"+5,486","5,506",47,17,1/86,-,26,5.0,+262,770,5,2,1/110,-,14,-,-768,"4,233",20,14,1/125,-,51,6.0,"-1,091",964,3,1,1/241,-,45,1.0,"+5,239","5,982",49,18,1/89,-,35,9.0,-91,399,3,1,1/100,-,44,2.0,"+7,044","4,134",44,16,1/69,-,42,1.0,"+1,316","3,348",24,6,1/112,-,41,6.0,"-2,225","5,262",23,14,1/142,-,64,13.0
2026-01-24,土,はい,"+4,979","5,169",44,15,1/88,-,41,12.0,+132,756,4,4,1/95,-,14,-,-966,"1,606",6,3,1/178,-,71,22.0,"-2,837","4,271",14,13,1/158,-,29,15.0,-66,"2,284",13,5,1/127,-,49,1.0,+803,"6,224",39,11,1/124,-,48,3.0,-513,"2,052",9,7,1/128,-,94,7.0,-489,"4,654",23,12,1/133,-,45,4.0,"-1,391","1,389",2,4,1/232,-,87,12.0,-104,"2,891",15,9,1/120,-,75,4.0,"+1,172","2,244",16,6,1/102,-,48,3.0
2026-01-23,金,いいえ,-825,796,3,2,1/159,-,69,5.0,"-1,370","1,580",5,2,1/226,-,16,4.0,-740,"2,340",11,7,1/130,-,55,7.0,-30,387,3,2,1/77,-,12,-,+666,514,4,4,1/64,-,60,5.0,+266,974,6,3,1/108,-,64,2.0,-349,"4,497",24,11,1/128,-,48,9.0,-875,591,1,2,1/197,-,39,23.0,"-1,793","5,982",29,13,1/142,-,87,18.0,-756,360,0,0,-,-,62,2.0,"-1,050","2,590",12,6,1/144,-,92,5.0
2026-01-22,木,いいえ,"-2,910","4,990",19,11,1/166,-,64,6.0,"+7,572","4,964",49,21,1/71,-,6,-,"-1,405","1,839",6,4,1/184,-,36,28.0,+638,"1,375",8,8,1/86,-,8,2.0,-910,"3,075",16,4,1/154,-,58,4.0,-221,"3,185",17,10,1/118,-,86,22.0,"-2,046","2,434",7,7,1/174,-,49,11.0,"-1,071","1,863",7,2,1/207,-,38,2.0,-979,"2,415",11,6,1/142,-,86,22.0,-626,911,4,3,1/130,-,54,5.0,-633,"1,537",7,3,1/154,-,89,3.0
2026-01-21,水,いいえ,"+1,205","6,606",39,22,1/108,-,61,5.0,+171,877,5,3,1/110,-,21,15.0,+819,"1,440",11,3,1/103,-,31,1.0,"+1,348","2,241",17,6,1/97,-,6,-,+128,706,4,3,1/101,-,56,4.0,"-1,124","2,275",10,3,1/175,-,92,5.0,-228,497,3,2,1/99,-,41,10.0,-415,"4,082",18,19,1/110,-,30,9.0,"-1,387","1,294",4,1,1/259,-,87,9.0,"+6,064","8,675",69,23,1/94,-,52,11.0,"-1,990","3,280",12,7,1/173,-,78,17.0
2026-01-20,火,はい,"-3,755","4,308",14,7,1/205,-,88,40.0,"-1,312","4,166",19,10,1/144,-,27,21.0,-291,"1,951",9,6,1/130,-,48,7.0,+134,"1,993",12,3,1/133,-,6,-,"-1,175","4,229",18,14,1/132,-,88,40.0,-562,"1,561",5,7,1/130,-,90,2.0,"-2,639","3,693",12,10,1/168,-,41,12.0,"+3,451","2,536",26,5,1/82,-,29,1.0,"-2,586","2,006",3,5,1/251,-,94,3.0,"-4,733","9,011",35,23,1/155,-,91,1.0,-387,903,5,5,1/90,-,28,1.0
2026-01-19,月,いいえ,"-1,168","3,988",19,8,1/148,-,87,6.0,+285,"1,025",7,2,1/114,-,24,1.0,-562,"4,005",19,14,1/121,-,49,1.0,-86,451,3,2,1/90,-,13,-,-365,"2,401",12,7,1/126,-,80,1.0,-669,"3,388",17,6,1/147,-,79,30.0,-452,362,1,0,1/362,-,33,9.0,-33,250,2,1,1/83,-,48,15.0,-979,"1,227",3,3,1/205,-,91,4.0,"-4,229","4,496",12,10,1/204,-,81,1.0,"-1,090","2,025",7,7,1/145,-,23,10.0
2026-01-18,日,はい,-182,"6,627",35,19,1/123,-,62,8.0,-652,"1,435",6,2,1/179,-,34,11.0,-42,395,3,2,1/79,-,54,9.0,-120,905,7,1,1/113,-,9,-,"-1,710","6,028",29,14,1/140,-,65,3.0,"-2,022","2,934",11,6,1/173,-,77,9.0,+472,426,4,1,1/85,-,23,14.0,"-1,091","3,578",20,1,1/170,-,45,11.0,"-1,543","2,400",8,7,1/160,-,87,10.0,"-3,726","5,634",22,9,1/182,-,68,3.0,+619,"4,504",26,12,1/119,-,23,14.0
2026-01-17,土,はい,"-3,352","5,092",18,13,1/164,-,79,17.0,"+6,783","5,568",53,15,1/82,-,42,3.0,-858,"2,887",13,8,1/137,-,61,2.0,+675,"5,479",34,10,1/125,-,6,-,"-2,793","3,718",13,6,1/196,-,59,17.0,"-1,967","3,489",12,8,1/174,-,33,11.0,"+12,530","7,399",83,18,1/73,-,22,16.0,-207,"2,211",11,10,1/105,-,39,6.0,"-1,601","3,412",13,13,1/131,-,33,11.0,"-1,336","2,692",10,9,1/142,-,62,1.0,-896,"4,201",19,12,1/136,-,39,6.0
2026-01-16,金,いいえ,-667,"3,688",18,10,1/132,-,60,22.0,+654,"2,763",17,9,1/106,-,63,3.0,+712,491,5,1,1/82,-,38,2.0,"+1,069","2,757",17,10,1/102,-,13,-,"+1,554",968,10,3,1/74,-,25,3.0,"-1,808","2,776",11,4,1/185,-,35,6.0,"-3,551","3,993",11,10,1/190,-,84,21.0,"-1,015","2,414",9,7,1/151,-,36,1.0,"-1,266","1,709",5,5,1/171,-,29,4.0,+502,"2,092",14,4,1/116,-,22,9.0,"-2,970","4,366",16,12,1/156,-,25,3.0
2026-01-15,木,いいえ,-652,"2,874",13,10,1/125,-,46,12.0,"-5,962","5,271",11,12,1/229,-,95,18.0,-968,"3,901",20,6,1/150,-,58,12.0,"+2,338","2,968",23,11,1/87,-,19,1.0,"-1,727","2,854",10,8,1/159,-,34,5.0,"+1,085","3,920",25,12,1/106,-,20,1.0,"-2,792","3,019",9,4,1/232,-,77,19.0,-347,"2,255",12,4,1/141,-,21,1.0,"-2,136","3,123",11,7,1/174,-,24,3.0,"-2,758","6,354",23,21,1/144,-,29,5.0,"+1,170","1,595",13,4,1/94,-,18,-
2026-01-14,水,いいえ,"-1,141","3,560",17,7,1/148,-,44,11.0,"-1,230","2,166",9,4,1/167,-,51,7.0,+592,"8,017",43,26,1/116,-,56,5.0,+237,667,4,3,1/95,-,20,2.0,"-1,621","4,071",16,13,1/140,-,33,9.0,"-1,693","3,661",14,9,1/159,-,22,2.0,"-2,846","5,008",20,11,1/162,-,58,2.0,-933,"2,401",9,9,1/133,-,13,-,+655,"5,354",30,17,1/114,-,24,2.0,-219,976,7,3,1/98,-,22,2.0,"+17,660","6,307",91,20,1/57,-,18,5.0
2026-01-13,火,いいえ,-125,"4,286",20,18,1/113,-,36,8.0,-392,782,4,3,1/112,-,46,5.0,"-1,119","5,893",31,12,1/137,-,81,35.0,+206,"1,155",7,2,1/128,-,23,2.0,"-3,262","4,585",15,10,1/183,-,28,3.0,"+2,007","5,298",33,17,1/106,-,19,10.0,"-1,303","1,584",5,4,1/176,-,25,2.0,"+2,638","3,016",25,11,1/84,-,9,-,"-1,040","2,360",7,12,1/124,-,25,2.0,+640,"6,156",32,27,1/104,-,21,2.0,-523,"2,069",8,9,1/122,-,41,5.0
2026-01-12,月,いいえ,"+3,884","2,008",23,7,1/67,-,45,3.0,-167,"1,995",11,5,1/125,-,42,2.0,"-1,896","2,694",8,9,1/158,-,60,15.0,"-1,993","4,164",16,13,1/144,-,35,6.0,+468,"4,269",23,15,1/112,-,24,3.0,"-1,811","4,578",19,15,1/135,-,45,3.0,+342,"1,427",10,3,1/110,-,28,4.0,"+2,502","4,134",30,13,1/96,-,21,-,+498,637,5,3,1/80,-,24,3.0,"-1,051","1,897",7,5,1/158,-,29,1.0,"-2,109","4,688",20,11,1/151,-,40,5.0
2026-01-11,日,はい,"-1,952","5,805",23,23,1/126,-,87,32.0,"-3,641","4,309",13,11,1/180,-,31,3.0,"-3,986","7,064",28,13,1/172,-,55,19.0,"+6,876","8,938",72,24,1/93,-,22,3.0,-184,"2,985",16,7,1/130,-,24,2.0,"+2,628","6,050",44,12,1/108,-,35,1.0,"+2,142","7,297",47,24,1/103,-,19,1.0,-323,542,2,3,1/108,-,28,4.0,"+5,566","6,487",52,24,1/85,-,34,3.0,"-1,110","2,198",9,3,1/183,-,18,-,"-2,381","4,497",19,9,1/161,-,36,1.0
